run_stage,symbol,asset_class,day_key,side,entry_time,exit_time,duration_minutes,entry,initial_stop,exit,exit_reason,gross_r,commission_r,net_r,net_r_commission_x1_5
DEV_2024_2025,EURUSD,FOREX,20240102,SHORT,2024.01.02 00:00,2024.01.02 00:00,0.000000,1.10409,1.10429,1.10432,STOP,-1.15000000,0.50000000,-1.65000000,-1.90000000
DEV_2024_2025,GBPUSD,FOREX,20240102,LONG,2024.01.02 00:00,2024.01.02 00:00,0.000000,1.27338,1.27260,1.27260,STOP,-1.00000000,0.12820513,-1.12820513,-1.19230769
DEV_2024_2025,USDJPY,FOREX,20240102,LONG,2024.01.02 00:30,2024.01.02 23:45,1395.000000,140.948,140.867,142.024,EOD,13.08797096,0.17283097,12.91513999,12.82872451
DEV_2024_2025,BTCUSD,CRYPTO,20240102,LONG,2024.01.02 01:00,2024.01.02 23:45,1365.000000,44414.75,43534.34,44994.23,EOD,0.65819334,0.04062152,0.61757182,0.59726106
DEV_2024_2025,ETHUSD,CRYPTO,20240102,LONG,2024.01.02 01:15,2024.01.02 23:45,1350.000000,2377.28,2335.08,2359.46,EOD,-0.42227488,0.04489801,-0.46717289,-0.48962190
DEV_2024_2025,USDJPY,FOREX,20240103,LONG,2024.01.03 10:15,2024.01.03 23:45,810.000000,142.715,142.013,143.121,EOD,0.57387927,0.02022981,0.55364946,0.54353455
DEV_2024_2025,BTCUSD,CRYPTO,20240103,SHORT,2024.01.03 12:45,2024.01.03 23:45,660.000000,43810.31,44994.23,42758.81,EOD,0.88815123,0.02924830,0.85890293,0.84427878
DEV_2024_2025,ETHUSD,CRYPTO,20240103,SHORT,2024.01.03 12:45,2024.01.03 23:45,660.000000,2310.69,2359.46,2205.84,EOD,2.14988723,0.03704351,2.11284372,2.09432196
DEV_2024_2025,XAUUSD,METAL,20240103,SHORT,2024.01.03 13:30,2024.01.03 23:45,615.000000,2047.70,2059.20,2041.45,EOD,0.54347826,0.00568925,0.53778901,0.53494438
DEV_2024_2025,GBPUSD,FOREX,20240104,LONG,2024.01.04 08:30,2024.01.04 23:45,915.000000,1.26920,1.26616,1.26815,EOD,-0.34539474,0.03289474,-0.37828947,-0.39473684
DEV_2024_2025,EURUSD,FOREX,20240104,LONG,2024.01.04 10:00,2024.01.04 23:45,825.000000,1.09569,1.09206,1.09465,EOD,-0.28551724,0.02758621,-0.31310345,-0.32689655
DEV_2024_2025,USDJPY,FOREX,20240104,LONG,2024.01.04 11:30,2024.01.04 23:45,735.000000,144.072,143.135,144.569,EOD,0.52515161,0.01527580,0.50987581,0.50223791
DEV_2024_2025,BTCUSD,CRYPTO,20240105,SHORT,2024.01.05 02:45,2024.01.05 22:45,1200.000000,43269.66,44353.44,43843.63,EOD,-0.52960010,0.03215165,-0.56175175,-0.57782758
DEV_2024_2025,ETHUSD,CRYPTO,20240105,SHORT,2024.01.05 02:45,2024.01.05 22:45,1200.000000,2220.49,2270.08,2242.30,EOD,-0.43980641,0.03599750,-0.47580391,-0.49380266
DEV_2024_2025,EURUSD,FOREX,20240105,SHORT,2024.01.05 09:15,2024.01.05 15:15,360.000000,1.09188,1.09469,1.09469,STOP,-1.00000000,0.03558719,-1.03558719,-1.05338078
DEV_2024_2025,GBPUSD,FOREX,20240105,SHORT,2024.01.05 14:30,2024.01.05 15:15,45.000000,1.26450,1.26815,1.26815,STOP,-1.00000000,0.02743484,-1.02743484,-1.04115226
DEV_2024_2025,USDJPY,FOREX,20240105,LONG,2024.01.05 14:30,2024.01.05 16:00,90.000000,145.568,144.569,144.569,STOP,-1.00000000,0.01447136,-1.01447136,-1.02170704
