run_stage,symbol,asset_class,commission_rule,day_key,broker_day_start,nr4_high,nr4_low,nr4_range,side,signal_time,entry_time,exit_time,entry,initial_stop,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20260102,2026.01.02 00:00,3026.90,2956.39,70.51,LONG,2026.01.02 05:41,2026.01.02 05:41,2026.01.02 23:59,3026.90,2956.39,3128.57,70.51,70.51000000,1.44192313,2.46218800,0.03491970,1.40700343,1.38954358,EOD,ETHUSD_20260102_LONG,1.72003971,0.28052758,2026.01.02 19:16:16,2026.01.02 07:23:16,815.019967,102.022800,0.79336264,1,2026.01.02 12:07:40,386.432850,0.28052758,1,2026.01.02 16:50:31,669.270717,0.28052758,0,,,,0,,,,0,,,,0.38037158,1.72003971,,,,,0,,1098.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20260102,2026.01.02 00:00,89195.68,87244.94,1950.74,LONG,2026.01.02 10:59,2026.01.02 10:59,2026.01.02 23:59,89195.71,87244.94,90061.17,1950.77,1950.77000000,0.44365046,71.70275200,0.03675613,0.40689433,0.38851626,EOD,BTCUSD_20260102_LONG,0.90290501,0.37753297,2026.01.02 19:16:16,2026.01.02 16:33:16,496.633417,333.630217,0.75281043,1,2026.01.02 18:30:37,450.987300,0.37753297,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,780.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,20260105,2026.01.05 00:00,157.002,156.520,0.482,LONG,2026.01.05 01:45,2026.01.05 01:45,2026.01.05 14:33,157.002,156.520,156.520,0.482,307.95000000,-1.00000000,10.00000000,0.03247280,-1.03247280,-1.04870921,STOP,USDJPY_20260105_LONG,0.61311901,1.00000000,2026.01.05 06:30:14,2026.01.05 14:33:38,284.993300,768.390500,1.61311901,1,2026.01.05 02:53:41,68.446567,0.18002923,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,768.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20260107,2026.01.07 00:00,4497.43,4427.86,69.57,LONG,2026.01.07 01:00,2026.01.07 01:00,2026.01.07 15:10,4497.43,4427.86,4427.66,69.57,6957.00000000,-1.00287480,14.28014400,0.00205263,-1.00492743,-1.00595375,STOP,XAUUSD_20260107_LONG,0.04312204,1.00287480,2026.01.07 01:27:15,2026.01.07 15:10:16,26.591733,849.607967,1.04599684,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,850.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20260108,2026.01.08 00:00,1.17028,1.16729,0.00299,SHORT,2026.01.08 00:00,2026.01.08 00:00,2026.01.08 23:59,1.16724,1.17028,1.16595,0.00304,304.00000000,0.42434211,10.00000000,0.03289474,0.39144737,0.37500000,EOD,EURUSD_20260108_SHORT,0.97039474,0.35526316,2026.01.08 21:01:37,2026.01.08 08:03:07,1261.626650,483.116667,0.65131579,1,2026.01.08 16:19:33,979.558433,0.35526316,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1439.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20260108,2026.01.08 00:00,1.35170,1.34558,0.00612,SHORT,2026.01.08 00:00,2026.01.08 00:00,2026.01.08 23:59,1.34556,1.35170,1.34416,0.00614,614.00000000,0.22801303,10.00000000,0.01628664,0.21172638,0.20358306,EOD,GBPUSD_20260108_SHORT,0.64657980,0.17589577,2026.01.08 15:53:15,2026.01.08 00:48:07,952.764000,47.616667,0.50977199,1,2026.01.08 15:47:40,947.176767,0.17589577,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1439.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20260109,2026.01.09 00:00,1.34654,1.34157,0.00497,SHORT,2026.01.09 09:25,2026.01.09 09:25,2026.01.09 23:58,1.34157,1.34654,1.34067,0.00497,497.00000000,0.18108652,10.00000000,0.02012072,0.16096579,0.15090543,EOD,GBPUSD_20260109_SHORT,0.45875252,0.71830986,2026.01.09 17:17:42,2026.01.09 15:43:42,472.123250,378.121150,1.05432596,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,873.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20260109,2026.01.09 00:00,91683.09,89310.00,2373.09,LONG,2026.01.09 17:28,2026.01.09 17:28,2026.01.09 23:59,91685.17,89310.00,90537.46,2375.17,2375.17000000,-0.48321173,72.88905200,0.03068793,-0.51389966,-0.52924362,EOD,BTCUSD_20260109_LONG,0.14358551,0.66319042,2026.01.09 17:35:42,2026.01.09 23:07:17,6.995183,338.583683,0.80677594,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,391.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20260112,2026.01.12 00:00,4517.14,4452.87,64.27,LONG,2026.01.12 01:00,2026.01.12 01:00,2026.01.12 23:59,4519.06,4452.87,4597.58,66.19,6619.00000000,1.18628192,14.58662400,0.00220375,1.18407817,1.18297629,EOD,XAUUSD_20260112_LONG,1.67986101,0.08520925,2026.01.12 18:18:16,2026.01.12 01:01:42,1038.271200,1.715167,0.61897568,1,2026.01.12 02:13:41,73.688117,0.08520925,1,2026.01.12 02:39:30,99.502850,0.08520925,0,,,,0,,,,0,,,,0.64405499,1.67986101,,,,,0,,1379.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20260112,2026.01.12 00:00,3146.72,3056.80,89.92,LONG,2026.01.12 04:15,2026.01.12 04:15,2026.01.12 23:59,3146.80,3056.80,3090.54,90.00,90.00000000,-0.62511111,2.49493600,0.02772151,-0.65283262,-0.66669338,EOD,ETHUSD_20260112_LONG,0.26422222,0.93333333,2026.01.12 05:15:16,2026.01.12 16:24:42,59.795317,729.240067,1.19755556,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1184.000000
