run_stage,symbol,asset_class,commission_rule,day_key,broker_day_start,prior_20d_low,prior_low_age,prior_20d_high,prior_high_age,reentry_offset_ticks,side,signal_time,entry_time,exit_time,entry,initial_stop,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240102,2024.01.02 00:00,40198.39,16,44716.14,17,5,SHORT,2024.01.02 01:15,2024.01.02 01:15,2024.01.02 01:15,44715.18,44732.41,44734.76,17.23,17.23000000,-1.13639002,35.77997600,2.07660917,-3.21299919,-4.25130377,STOP,BTCUSD_20240102_SHORT,0.50957632,1.13639002,2024.01.02 01:15:10,2024.01.02 01:15:13,0.033067,0.082650,1.64596634,1,2024.01.02 01:15:10,0.033067,0.03946605,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,0.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240104,2024.01.04 00:00,2053.64,1,2451.87,5,5,LONG,2024.01.03 13:09,2024.01.03 13:11,2024.01.04 13:11,2116.43,2053.63,2230.48,62.80,62.80000000,1.81608280,1.73876400,0.02768732,1.78839548,1.77455182,H24_REFERENCE,ETHUSD_20240103_LONG,2.10796178,0.00191083,2024.01.03 13:59:41,2024.01.03 13:11:24,48.361733,0.082650,0.96910828,1,2024.01.03 13:11:38,0.305783,0.00191083,1,2024.01.03 13:12:38,1.311100,0.00191083,1,2024.01.03 13:56:41,45.368533,0.00191083,0,,,,0,,,,0.55541401,2.10796178,1.13885350,2.10796178,,,0,,1440.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240108,2024.01.08 00:00,40198.39,20,45902.18,4,5,SHORT,2024.01.08 19:03,2024.01.08 19:03,2024.01.08 19:04,45899.89,45980.78,45983.62,80.89,80.89000000,-1.03510941,36.75340400,0.45436276,-1.48947217,-1.71665355,STOP,BTCUSD_20240108_SHORT,0.21646681,1.03510941,2024.01.08 19:03:59,2024.01.08 19:04:24,0.066133,0.495867,1.25157621,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240110,2024.01.10 00:00,2053.64,5,2451.87,9,5,SHORT,2024.01.10 16:39,2024.01.10 16:39,2024.01.10 20:12,2451.63,2460.07,2460.90,8.44,8.44000000,-1.09834123,1.96501200,0.23282133,-1.33116256,-1.44757322,STOP,ETHUSD_20240110_SHORT,5.94549763,1.09834123,2024.01.10 18:03:13,2024.01.10 20:12:36,83.289250,212.666917,7.04383886,1,2024.01.10 16:40:33,0.625767,0.26184834,1,2024.01.10 16:41:27,1.514033,0.26184834,1,2024.01.10 17:17:05,37.144750,0.85663507,1,2024.01.10 17:37:05,57.148367,0.85663507,1,2024.01.10 17:57:26,77.494750,0.85663507,-1.09834123,5.94549763,-1.09834123,5.94549763,-1.09834123,5.94549763,0,,213.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,20240111,2024.01.11 00:00,140.242,10,145.968,4,5,SHORT,2024.01.11 14:31,2024.01.11 14:32,2024.01.11 14:56,145.963,146.177,146.178,0.214,146.40000000,-1.00464481,10.00000000,0.06830601,-1.07295082,-1.10710383,STOP,USDJPY_20240111_SHORT,1.72178962,1.00464481,2024.01.11 14:37:41,2024.01.11 14:56:39,5.041833,24.014150,2.72643443,1,2024.01.11 14:33:33,0.902633,0.08422131,1,2024.01.11 14:33:55,1.270283,0.08422131,0,,,,0,,,,0,,,,-1.00464481,1.72178962,,,,,0,,24.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240116,2024.01.16 00:00,1.08766,7,1.11392,13,5,LONG,2024.01.16 12:05,2024.01.16 12:06,2024.01.16 12:13,1.08773,1.08751,1.08751,0.00022,22.00000000,-1.00000000,10.00000000,0.45454545,-1.45454545,-1.68181818,STOP,EURUSD_20240116_LONG,0.54545455,1.00000000,2024.01.16 12:07:14,2024.01.16 12:13:16,1.233333,7.273967,1.54545455,1,2024.01.16 12:06:39,0.655733,0.40909091,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,7.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240117,2024.01.17 00:00,1.26097,11,1.28268,14,5,LONG,2024.01.17 06:15,2024.01.17 06:17,2024.01.17 06:33,1.26102,1.26069,1.26068,0.00033,33.00000000,-1.03030303,10.00000000,0.30303030,-1.33333333,-1.48484848,STOP,GBPUSD_20240117_LONG,1.09090909,1.03030303,2024.01.17 06:24:15,2024.01.17 06:33:34,6.795467,16.112133,2.12121212,1,2024.01.17 06:23:30,6.045467,0.72727273,1,2024.01.17 06:24:05,6.628800,0.72727273,0,,,,0,,,,0,,,,-1.03030303,1.09090909,,,,,0,,16.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240118,2024.01.18 00:00,41374.74,11,49004.25,5,5,LONG,2024.01.18 19:12,2024.01.18 19:12,2024.01.18 20:03,41375.97,41350.14,41348.53,25.83,25.83000000,-1.06233062,33.08980000,1.28106078,-2.34339141,-2.98392180,STOP,BTCUSD_20240118_LONG,8.96980256,1.06233062,2024.01.18 19:21:15,2024.01.18 20:03:37,8.550000,50.928567,10.03213318,1,2024.01.18 19:12:43,0.025000,0.03484321,1,2024.01.18 19:12:44,0.041667,0.03484321,1,2024.01.18 19:12:58,0.266667,0.03484321,1,2024.01.18 19:13:29,0.791667,0.03484321,1,2024.01.18 19:18:34,5.876567,0.03484321,-1.06233062,8.96980256,-1.06233062,8.96980256,-1.06233062,8.96980256,0,,51.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240124,2024.01.24 00:00,1.08213,1,1.11392,19,5,LONG,2024.01.23 16:23,2024.01.23 20:38,2024.01.24 20:38,1.08448,1.08212,1.08853,0.00236,236.00000000,1.71610169,10.00000000,0.04237288,1.67372881,1.65254237,H24_REFERENCE,EURUSD_20240123_LONG,3.69915254,0.17796610,2024.01.24 15:30:14,2024.01.23 23:05:36,1131.628783,146.983333,2.16101695,1,2024.01.24 00:05:02,206.416667,0.17796610,1,2024.01.24 08:06:31,687.912733,0.17796610,1,2024.01.24 10:32:04,833.461750,0.17796610,1,2024.01.24 14:32:29,1073.872983,0.17796610,0,,,,0.73728814,3.69915254,1.53813559,3.69915254,1.53813559,3.69915254,0,,1440.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20240202,2024.02.02 00:00,2001.81,12,2065.35,1,5,SHORT,2024.02.01 18:45,2024.02.01 18:48,2024.02.02 18:48,2063.86,2065.57,2036.73,1.71,171.00000000,15.86549708,6.56094400,0.03836809,15.82712898,15.80794494,H24_REFERENCE,XAUUSD_20240201_SHORT,21.01169591,0.28070175,2024.02.02 16:03:42,2024.02.01 18:50:39,1275.072583,2.013267,5.32748538,1,2024.02.01 18:51:40,3.037533,0.28070175,1,2024.02.01 18:53:15,4.609900,0.28070175,1,2024.02.01 18:56:04,7.432583,0.28070175,1,2024.02.01 19:39:27,50.810917,0.28070175,1,2024.02.01 19:42:38,54.002267,0.28070175,0.63157895,21.01169591,0.78947368,21.01169591,2.91228070,21.01169591,0,,1440.000000
