run_stage,symbol,asset_class,commission_rule,swap_mode,day_key,broker_day_start,side,signal_time,entry_time,exit_time,entry,entry_breakout_level,entry_channel_opposite,n20_entry,initial_stop,exit_channel_level,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240103,2024.01.03 00:00,LONG,2024.01.02 01:15,2024.01.02 01:15,2024.01.03 13:09,44718.21,44716.14,40198.39,1807.95,41102.31,41657.33,41655.75,3615.90,3615.90000000,-0.84694267,34.54958400,0.00955491,-0.85649758,-0.86127503,DONCHIAN_EXIT,BTCUSD_20240102_LONG,0.32743439,0.84694267,2024.01.02 10:06:39,2024.01.03 13:09:57,531.580167,2154.892017,1.17437706,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,2154.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240108,2024.01.08 00:00,SHORT,2024.01.03 13:09,2024.01.03 13:09,2024.01.08 20:13,2114.98,2116.37,2451.87,113.84,2342.67,2451.87,2342.68,227.69,227.69000000,-1.00004392,1.78306400,0.00783110,-1.00787502,-1.01179057,STOP,ETHUSD_20240103_SHORT,0.26891827,1.00004392,2024.01.03 13:10:14,2024.01.08 20:13:28,0.578517,7623.803700,1.26896219,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,7624.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240115,2024.01.15 00:00,LONG,2024.01.08 19:03,2024.01.08 19:03,2024.01.15 00:21,45903.70,45902.18,40198.39,1987.39,41928.92,41374.74,41928.10,3974.78,3974.78000000,-1.00020630,35.13272000,0.00883891,-1.00904521,-1.01346466,STOP,BTCUSD_20240108_LONG,0.78005575,1.00020630,2024.01.11 15:51:40,2024.01.15 00:21:31,4128.410483,8958.261050,1.78026205,1,2024.01.11 15:28:38,4105.382467,0.37879832,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,8958.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240123,2024.01.23 00:00,LONG,2024.01.10 16:39,2024.01.10 16:39,2024.01.23 10:55,2452.26,2451.87,2053.64,124.71,2202.83,2222.81,2222.44,249.43,249.43000000,-0.92138075,1.86988000,0.00749661,-0.92887736,-0.93262567,DONCHIAN_EXIT,ETHUSD_20240110_LONG,1.06129976,0.92138075,2024.01.12 16:11:14,2024.01.23 10:55:36,2851.754233,18376.123450,1.98268051,1,2024.01.11 00:09:25,449.930800,0.20414545,1,2024.01.12 15:56:29,2837.003400,0.20414545,0,,,,0,,,,0,,,,-0.92138075,1.06129976,,,,,0,,18376.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240131,2024.01.31 00:00,LONG,2024.01.11 14:31,2024.01.11 14:31,2024.01.31 15:52,145.968,145.968,140.242,1.315,143.338,146.642,146.642,2.630,1834.54000000,0.25053692,10.00000000,0.00545096,0.24508596,0.24236048,DONCHIAN_EXIT,USDJPY_20240111_LONG,1.03672310,0.61328180,2024.01.19 07:31:15,2024.01.12 16:16:42,11099.611950,1545.056700,0.78618618,1,2024.01.17 01:01:34,7829.931633,0.61328180,1,2024.01.19 07:03:36,11071.968767,0.61328180,0,,,,0,,,,0,,,,0.25053692,1.03672310,,,,,0,,28881.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240220,2024.02.20 00:00,SHORT,2024.01.16 12:05,2024.01.16 12:05,2024.02.20 11:36,1.08764,1.08766,1.11392,0.00608,1.09980,1.08054,1.08055,0.01216,1215.80000000,0.58315512,10.00000000,0.00822504,0.57493009,0.57081757,DONCHIAN_EXIT,EURUSD_20240116_SHORT,1.49119921,0.46224708,2024.02.14 09:36:04,2024.01.24 15:30:14,41610.737483,11724.904000,0.96726435,1,2024.01.26 08:20:04,14174.725217,0.46224708,1,2024.02.05 10:54:27,28729.108550,0.46224708,0,,,,0,,,,0,,,,0.57986511,1.49119921,,,,,0,,50371.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240124,2024.01.24 00:00,SHORT,2024.01.17 06:15,2024.01.17 06:15,2024.01.24 10:46,1.26096,1.26097,1.28268,0.00815,1.27725,1.27847,1.27726,0.01629,1629.20000000,-1.00049104,10.00000000,0.00613798,-1.00662902,-1.00969801,STOP,GBPUSD_20240117_SHORT,0.07733857,1.00049104,2024.01.17 07:36:06,2024.01.24 10:46:00,80.641683,10350.541683,1.07782961,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,10351.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240130,2024.01.30 00:00,SHORT,2024.01.18 19:12,2024.01.18 19:12,2024.01.30 03:13,41374.51,41374.74,49004.25,2119.73,45613.97,43565.40,43566.74,4239.46,4239.46000000,-0.51710123,33.97650000,0.00801435,-0.52511558,-0.52912275,DONCHIAN_EXIT,BTCUSD_20240118_SHORT,0.67326735,0.51710123,2024.01.23 15:24:15,2024.01.30 03:13:32,6971.639733,16320.928783,1.19036858,1,2024.01.23 10:09:27,6656.841667,0.18555901,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,16321.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240205,2024.02.05 00:00,LONG,2024.02.01 18:45,2024.02.01 18:45,2024.02.05 15:21,2064.41,2063.92,2001.81,22.12,2020.17,2009.31,2020.16,44.24,4424.10000000,-1.00020343,6.53531200,0.00147721,-1.00168064,-1.00241924,STOP,XAUUSD_20240201_LONG,0.02124726,1.00020343,2024.02.01 18:47:40,2024.02.05 15:21:38,2.670650,5556.638883,1.02145069,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,5556.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240229,2024.02.29 00:00,LONG,2024.02.05 01:37,2024.02.05 01:37,2024.02.29 15:55,148.798,148.798,143.412,1.278,146.242,149.518,149.518,2.556,1747.79000000,0.27551937,10.00000000,0.00572151,0.26979786,0.26693710,DONCHIAN_EXIT,USDJPY_20240205_LONG,0.78801801,0.45500890,2024.02.13 20:59:13,2024.02.07 15:51:42,12681.771867,3734.248267,0.51249864,1,2024.02.13 14:32:40,12295.216767,0.45500890,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,35418.000000
