london_day;symbol;fundednext_model;commission_usd_per_lot_side;side;entry_time_server;exit_time_server;entry_time_london;exit_time_london;server_utc_offset_h;london_utc_offset_h;or_high;or_low;entry;stop;exit;risk_price;gross_r;commission_r;net_r;exit_reason
2023-03-14;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.03.14 13:00;2023.03.14 13:45;2023.03.14 10:00;2023.03.14 10:45;3;0;134.218;133.987;133.958;134.218;134.218;0.260;-1.00000000;0.05162356;-1.05162356;STOP
2023-03-15;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.03.15 12:15;2023.03.15 18:45;2023.03.15 09:15;2023.03.15 15:45;3;0;134.712;133.971;133.749;134.712;132.718;0.963;1.07061267;0.01398875;1.05662392;TIME_1600
2023-03-16;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.16 12:30;2023.03.16 13:45;2023.03.16 09:30;2023.03.16 10:45;3;0;132.930;132.649;133.043;132.649;132.649;0.394;-1.00000000;0.03366777;-1.03366777;STOP
2023-03-17;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.03.17 13:15;2023.03.17 18:45;2023.03.17 10:15;2023.03.17 15:45;3;0;133.271;132.946;132.888;133.271;132.215;0.383;1.75718016;0.03479713;1.72238302;TIME_1600
2023-03-20;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.20 12:45;2023.03.20 18:45;2023.03.20 09:45;2023.03.20 15:45;3;0;131.287;130.807;131.436;130.807;131.612;0.629;0.27980922;0.02079607;0.25901315;TIME_1600
2023-03-21;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.21 12:15;2023.03.21 14:30;2023.03.21 09:15;2023.03.21 11:30;3;0;132.287;132.097;132.316;132.097;132.097;0.219;-1.00000000;0.06031727;-1.06031727;STOP
2023-03-22;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.22 12:15;2023.03.22 18:45;2023.03.22 09:15;2023.03.22 15:45;3;0;132.550;132.335;132.662;132.335;132.575;0.327;-0.26605505;0.04046945;-0.30652449;TIME_1600
2023-03-23;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.23 13:15;2023.03.23 16:00;2023.03.23 10:15;2023.03.23 13:00;3;0;131.295;131.068;131.405;131.068;131.068;0.337;-1.00000000;0.03889235;-1.03889235;STOP
2023-03-24;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.03.24 12:15;2023.03.24 14:45;2023.03.24 09:15;2023.03.24 11:45;3;0;130.194;129.667;129.665;130.194;130.194;0.529;-1.00000000;0.02461114;-1.02461114;STOP
2023-03-27;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.27 11:30;2023.03.27 17:45;2023.03.27 09:30;2023.03.27 15:45;3;1;131.169;130.879;131.315;130.879;131.490;0.436;0.40137615;0.03001831;0.37135784;TIME_1600
2023-03-28;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.03.28 12:00;2023.03.28 17:45;2023.03.28 10:00;2023.03.28 15:45;3;1;131.289;131.034;130.879;131.289;130.984;0.410;-0.25609756;0.03202152;-0.28811908;TIME_1600
2023-03-29;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.03.29 11:15;2023.03.29 13:30;2023.03.29 09:15;2023.03.29 11:30;3;1;132.088;131.921;131.819;132.088;132.088;0.269;-1.00000000;0.04910385;-1.04910385;STOP
2023-03-30;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.03.30 11:15;2023.03.30 17:45;2023.03.30 09:15;2023.03.30 15:45;3;1;132.579;132.373;132.673;132.373;132.704;0.300;0.10333333;0.04412478;0.05920855;TIME_1600

