london_day;symbol;fundednext_model;commission_usd_per_lot_side;side;entry_time_server;exit_time_server;entry_time_london;exit_time_london;server_utc_offset_h;london_utc_offset_h;or_high;or_low;entry;stop;exit;risk_price;gross_r;commission_r;net_r;exit_reason
2023-01-02;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.02 11:15;2023.01.02 17:45;2023.01.02 09:15;2023.01.02 15:45;2;0;130.949;130.850;130.778;130.949;130.748;0.171;0.17543860;0.07657554;0.09886305;TIME_1600
2023-01-03;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.03 13:00;2023.01.03 15:30;2023.01.03 11:00;2023.01.03 13:30;2;0;130.793;130.302;130.888;130.302;130.302;0.586;-1.00000000;0.02223606;-1.02223606;STOP
2023-01-05;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.05 11:45;2023.01.05 13:45;2023.01.05 09:45;2023.01.05 11:45;2;0;132.689;132.416;132.411;132.689;132.689;0.278;-1.00000000;0.04773042;-1.04773042;STOP
2023-01-06;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.06 11:15;2023.01.06 12:45;2023.01.06 09:15;2023.01.06 10:45;2;0;134.589;134.269;134.237;134.589;134.589;0.352;-1.00000000;0.03823507;-1.03823507;STOP
2023-01-09;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.09 11:45;2023.01.09 13:30;2023.01.09 09:45;2023.01.09 11:30;2;0;132.566;132.128;132.613;132.128;132.128;0.485;-1.00000000;0.02724276;-1.02724276;STOP
2023-01-10;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.10 11:30;2023.01.10 17:45;2023.01.10 09:30;2023.01.10 15:45;2;0;131.938;131.687;132.009;131.687;132.244;0.322;0.72981366;0.04089645;0.68891721;TIME_1600
2023-01-11;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.11 11:15;2023.01.11 13:45;2023.01.11 09:15;2023.01.11 11:45;2;0;132.739;132.412;132.407;132.739;132.739;0.332;-1.00000000;0.03998241;-1.03998241;STOP
2023-01-13;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.13 13:00;2023.01.13 14:30;2023.01.13 11:00;2023.01.13 12:30;2;0;128.716;128.223;128.763;128.223;128.223;0.540;-1.00000000;0.02374507;-1.02374507;STOP
2023-01-16;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.16 12:30;2023.01.16 17:45;2023.01.16 10:30;2023.01.16 15:45;2;0;128.818;128.273;128.161;128.818;128.590;0.657;-0.65296804;0.01960707;-0.67257511;TIME_1600
2023-01-17;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.17 11:15;2023.01.17 13:30;2023.01.17 09:15;2023.01.17 11:30;2;0;128.806;128.449;128.955;128.449;128.449;0.506;-1.00000000;0.02538522;-1.02538522;STOP
2023-01-18;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.18 11:45;2023.01.18 17:45;2023.01.18 09:45;2023.01.18 15:45;2;0;129.898;129.197;129.155;129.898;128.469;0.743;0.92328398;0.01748282;0.90580116;TIME_1600
2023-01-19;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.19 11:15;2023.01.19 17:45;2023.01.19 09:15;2023.01.19 15:45;2;0;128.393;128.183;128.416;128.183;128.474;0.233;0.24892704;0.05501458;0.19391246;TIME_1600
2023-01-20;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.20 11:15;2023.01.20 17:45;2023.01.20 09:15;2023.01.20 15:45;2;0;129.486;129.155;129.617;129.155;129.967;0.462;0.75757576;0.02795561;0.72962015;TIME_1600
2023-01-23;USDJPY;STELLAR_1STEP_2STEP;5.00;LONG;2023.01.23 11:30;2023.01.23 17:45;2023.01.23 09:30;2023.01.23 15:45;2;0;129.907;129.707;129.951;129.707;130.686;0.244;3.01229508;0.05315756;2.95913752;TIME_1600
2023-01-25;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.25 12:15;2023.01.25 17:45;2023.01.25 10:15;2023.01.25 15:45;2;0;130.275;129.797;129.763;130.275;129.649;0.512;0.22265625;0.02544465;0.19721160;TIME_1600
2023-01-26;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.26 12:00;2023.01.26 13:15;2023.01.26 10:00;2023.01.26 11:15;2;0;129.986;129.733;129.673;129.986;129.986;0.313;-1.00000000;0.04152824;-1.04152824;STOP
2023-01-27;USDJPY;STELLAR_1STEP_2STEP;5.00;SHORT;2023.01.27 11:30;2023.01.27 12:45;2023.01.27 09:30;2023.01.27 10:45;2;0;129.951;129.739;129.723;129.951;129.951;0.228;-1.00000000;0.05699630;-1.05699630;STOP
