run_stage;symbol;asset_class;commission_rule;side;signal_time;entry_time;exit_time;entry_channel_hi20;entry_channel_lo20;exit_channel10;atr20;entry;initial_stop;exit;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;SHORT;2025.03.03 09:00;2025.03.03 10:00;2025.03.03 12:00;151.025;150.235;150.950;0.313;150.174;150.800;150.800;414.86000000;-1.00000000;10.00000000;0.02410452;-1.02410452;-1.03615678;STOP
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;LONG;2025.03.03 13:00;2025.03.03 14:00;2025.03.03 16:00;151.025;149.947;149.947;0.314;151.217;150.589;150.589;416.96000000;-1.00000000;10.00000000;0.02398312;-1.02398312;-1.03597467;STOP
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;SHORT;2025.03.03 22:00;2025.03.03 23:00;2025.03.04 21:00;151.306;149.947;149.152;0.357;149.421;150.134;149.156;475.17000000;0.37390829;10.00000000;0.02104510;0.35286319;0.34234064;CHANNEL10
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;LONG;2025.03.04 23:00;2025.03.05 00:00;2025.03.05 10:00;149.579;148.095;149.417;0.421;149.840;148.998;149.417;565.31000000;-0.50078718;10.00000000;0.01768941;-0.51847659;-0.52732129;CHANNEL10
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;SHORT;2025.03.05 16:00;2025.03.05 17:00;2025.03.06 02:00;150.185;148.706;149.144;0.383;148.398;149.163;149.163;513.13000000;-1.00000000;10.00000000;0.01948824;-1.01948824;-1.02923236;STOP
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;SHORT;2025.03.06 09:00;2025.03.06 10:00;2025.03.07 15:00;149.742;148.394;147.855;0.354;148.375;149.082;147.859;474.24000000;0.73587213;10.00000000;0.02108637;0.71478576;0.70424258;CHANNEL10
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;SHORT;2025.03.10 13:00;2025.03.10 14:00;2025.03.10 22:00;148.203;146.960;147.390;0.349;146.919;147.617;147.394;473.11000000;-0.68117351;10.00000000;0.02113673;-0.70231024;-0.71287861;CHANNEL10
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;LONG;2025.03.11 13:00;2025.03.11 14:00;2025.03.12 20:00;147.519;146.544;148.184;0.324;147.563;146.915;148.184;441.07000000;0.95012130;10.00000000;0.02267214;0.92744916;0.91611309;CHANNEL10
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;SHORT;2025.03.13 06:00;2025.03.13 07:00;2025.03.13 15:00;149.197;148.075;148.252;0.288;148.044;148.620;148.256;387.50000000;-0.36903226;10.00000000;0.02580645;-0.39483871;-0.40774194;CHANNEL10
SMOKE_MAR2025;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;LONG;2025.03.14 07:00;2025.03.14 08:00;2025.03.14 19:00;148.433;147.412;148.353;0.263;148.502;147.977;148.353;354.92000000;-0.28299335;10.00000000;0.02817536;-0.31116871;-0.32525640;CHANNEL10
