run_stage;symbol;asset_class;commission_rule;side;signal_time;entry_time;exit_time;entry_channel_hi20;entry_channel_lo20;exit_channel10;atr20;entry;initial_stop;exit;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;LONG;2025.03.03 17:00;2025.03.03 18:00;2025.03.05 15:00;2883.04;2838.02;2903.35;7.88;2888.13;2872.37;2903.35;1575.90000000;0.96579732;9.26636800;0.00588005;0.95991727;0.95697725;CHANNEL10
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.05 15:00;2025.03.05 16:00;2025.03.05 16:00;2922.51;2901.99;2922.51;8.00;2899.99;2915.98;2915.98;1599.10000000;-1.00000000;9.30555360;0.00581924;-1.00581924;-1.00872887;STOP
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.06 11:00;2025.03.06 12:00;2025.03.06 16:00;2929.93;2894.35;2922.97;9.20;2894.25;2912.66;2912.66;1840.90000000;-1.00000000;9.29105440;0.00504702;-1.00504702;-1.00757053;STOP
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;LONG;2025.03.07 16:00;2025.03.07 17:00;2025.03.07 17:00;2926.31;2896.80;2903.85;7.57;2927.06;2911.92;2911.92;1513.70000000;-1.00000000;9.34237280;0.00617188;-1.00617188;-1.00925782;STOP
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.10 11:00;2025.03.10 12:00;2025.03.10 12:00;2930.51;2901.99;2918.31;8.72;2897.88;2915.32;2915.32;1744.20000000;-1.00000000;9.30112320;0.00533260;-1.00533260;-1.00799890;STOP
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.10 20:00;2025.03.10 21:00;2025.03.11 09:00;2918.31;2895.58;2900.50;8.62;2886.17;2903.40;2900.78;1723.30000000;-0.84779203;9.25912000;0.00537290;-0.85316493;-0.85585138;CHANNEL10
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;LONG;2025.03.11 12:00;2025.03.11 13:00;2025.03.12 04:00;2910.57;2880.19;2911.80;7.89;2911.91;2896.14;2911.80;1577.00000000;-0.00697527;9.31793600;0.00590865;-0.01288392;-0.01583824;CHANNEL10
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;LONG;2025.03.12 11:00;2025.03.12 12:00;2025.03.12 16:00;2922.09;2906.82;2908.94;5.88;2922.41;2910.64;2908.94;1176.60000000;-1.14482407;9.33016000;0.00792976;-1.15275383;-1.15671871;CHANNEL10
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;LONG;2025.03.12 18:00;2025.03.12 19:00;2025.03.14 10:00;2925.32;2906.09;2981.14;6.40;2928.67;2915.87;2981.14;1279.80000000;4.09985935;9.45569600;0.00738842;4.09247094;4.08877673;CHANNEL10
SMOKE_MAR2025;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;LONG;2025.03.14 12:00;2025.03.14 13:00;2025.03.14 17:00;2993.93;2939.15;2980.74;7.95;2998.96;2983.07;2983.07;1589.20000000;-1.00000000;9.57124480;0.00602268;-1.00602268;-1.00903402;STOP
