run_stage;symbol;asset_class;commission_rule;side;signal_time;entry_time;exit_time;entry_channel_hi20;entry_channel_lo20;exit_channel10;atr20;entry;initial_stop;exit;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;LONG;2025.03.03 00:00;2025.03.03 01:00;2025.03.03 10:00;85069.21;78202.13;91138.04;1742.72;94217.19;90731.74;91138.04;3485.45000000;-0.88342969;74.14209200;0.02127189;-0.90470157;-0.91533751;CHANNEL10
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.03 20:00;2025.03.03 21:00;2025.03.04 16:00;94786.02;89086.12;84551.23;1337.42;87088.08;89762.92;84586.80;2674.84000000;0.93511388;68.66995200;0.02567255;0.90944133;0.89660506;CHANNEL10
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;LONG;2025.03.04 21:00;2025.03.04 22:00;2025.03.06 14:00;86862.17;81412.78;90560.17;1426.39;88182.34;85329.57;90560.17;2852.77000000;0.83351620;71.49700400;0.02506231;0.80845389;0.79592273;CHANNEL10
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.06 19:00;2025.03.06 20:00;2025.03.07 00:00;92768.27;89059.52;91407.91;1030.00;88563.82;90623.83;90623.83;2060.01000000;-1.00000000;71.67505960;0.03479355;-1.03479355;-1.05219032;STOP
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.07 02:00;2025.03.07 03:00;2025.03.07 03:00;92768.27;87777.60;91407.91;1347.61;85469.03;88164.25;88164.25;2695.22000000;-1.00000000;69.45331080;0.02576907;-1.02576907;-1.03865360;STOP
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.10 00:00;2025.03.10 01:00;2025.03.10 12:00;91067.94;85541.10;82748.40;1526.07;81802.53;84854.66;82783.92;3052.13000000;-0.32154266;65.83458000;0.02157004;-0.34311270;-0.35389773;CHANNEL10
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.10 17:00;2025.03.10 18:00;2025.03.11 06:00;88866.06;79921.47;79826.63;1527.33;79815.75;82870.41;79862.27;3054.66000000;-0.01522919;63.87120800;0.02090943;-0.03613862;-0.04659334;CHANNEL10
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;LONG;2025.03.11 21:00;2025.03.11 22:00;2025.03.12 08:00;82210.64;76548.28;81572.88;1231.40;83243.59;80780.78;81572.88;2462.81000000;-0.67837551;65.92658800;0.02676885;-0.70514436;-0.71852879;CHANNEL10
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;LONG;2025.03.12 15:00;2025.03.12 16:00;2025.03.12 16:00;83729.35;80595.85;81238.05;824.86;84054.75;82405.03;82405.03;1649.72000000;-1.00000000;66.58391320;0.04036074;-1.04036074;-1.06054110;STOP
SMOKE_MAR2025;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;SHORT;2025.03.13 16:00;2025.03.13 17:00;2025.03.14 05:00;84295.04;81729.75;81827.13;701.69;81718.19;83121.58;81862.77;1403.39000000;-0.10302197;65.43238400;0.04662452;-0.14964649;-0.17295875;CHANNEL10
