run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr7_high;nr7_low;nr7_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240116;2024.01.16 00:00;43330.52;41689.29;1641.23;LONG;2024.01.16 17:01;2024.01.16 17:01;2024.01.16 23:59;43335.63;41689.29;43202.53;1646.34;1646.34000000;-0.08084600;34.61526400;0.02102559;-0.10187158;-0.11238438;EOD;BTCUSD_20240116_LONG;0.13956412;0.31330102;2024.01.16 22:38:32;2024.01.16 19:38:36;336.911383;156.993433;0.35385157;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240118;2024.01.18 00:00;43280.46;42182.34;1098.12;SHORT;2024.01.18 17:38;2024.01.18 17:38;2024.01.18 23:59;42182.00;43280.46;41330.10;1098.46;1098.46000000;0.77554030;33.40484000;0.03041061;0.74512969;0.72992439;EOD;BTCUSD_20240118_SHORT;1.41230450;0.02870382;2024.01.18 21:36:14;2024.01.18 17:39:40;237.778917;1.203250;0.64012345;1;2024.01.18 18:13:39;35.188867;0.02870382;1;2024.01.18 20:55:25;196.952467;0.02870382;0;;;;0;;;;0;;;;0.77218105;1.41230450;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240126;2024.01.26 00:00;40285.01;39533.47;751.54;LONG;2024.01.26 10:44;2024.01.26 10:44;2024.01.26 22:54;40285.43;39533.47;41979.80;751.96;751.96000000;2.25327145;32.90609200;0.04376043;2.20951102;2.18763081;EOD;BTCUSD_20240126_LONG;2.59734560;0.34303686;2024.01.26 21:13:59;2024.01.26 10:59:42;629.165650;14.868417;0.77457578;1;2024.01.26 11:57:24;72.574433;0.34303686;1;2024.01.26 12:30:19;105.487417;0.34303686;1;2024.01.26 17:29:28;404.640800;0.34303686;0;;;;0;;;;0.81593436;2.59734560;1.90794723;2.59734560;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240220;2024.02.20 00:00;52492.28;51689.76;802.52;SHORT;2024.02.20 01:40;2024.02.20 01:40;2024.02.20 14:34;51689.36;52492.28;52493.95;802.92;802.92000000;-1.00207991;41.67332400;0.05190221;-1.05398212;-1.07993323;STOP;BTCUSD_20240220_SHORT;0.45332038;1.00207991;2024.02.20 02:25:15;2024.02.20 14:34:39;44.829317;774.230317;1.45540029;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240319;2024.03.19 00:00;68936.36;66568.58;2367.78;SHORT;2024.03.19 03:21;2024.03.19 03:21;2024.03.19 23:59;66566.93;68936.36;63925.63;2369.43;2369.43000000;1.11474068;52.19702400;0.02202936;1.09271132;1.08169664;EOD;BTCUSD_20240319_SHORT;1.76674981;0.06437835;2024.03.19 16:36:41;2024.03.19 03:24:40;794.969450;2.950100;1.42381501;1;2024.03.19 05:34:30;132.778517;0.06437835;1;2024.03.19 09:05:15;343.534367;0.06437835;0;;;;0;;;;0;;;;0.34293480;1.76674981;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240327;2024.03.27 00:00;71563.36;69284.78;2278.58;LONG;2024.03.27 15:29;2024.03.27 15:29;2024.03.27 16:03;71565.93;69284.78;69279.09;2281.15;2281.15000000;-1.00249436;56.33800800;0.02469720;-1.02719155;-1.03954015;STOP;BTCUSD_20240327_LONG;0.08563663;1.00249436;2024.03.27 15:30:16;2024.03.27 16:03:28;0.780733;33.996100;1.08813099;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240401;2024.04.01 00:00;71070.94;69023.72;2047.22;LONG;2024.04.01 00:33;2024.04.01 00:33;2024.04.01 07:57;71071.28;69023.72;69022.48;2047.56;2047.56000000;-1.00060560;56.03750400;0.02736794;-1.02797354;-1.04165751;STOP;BTCUSD_20240401_LONG;0.14670632;1.00060560;2024.04.01 01:57:42;2024.04.01 07:57:14;84.048533;443.587483;1.14731192;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240412;2024.04.12 00:00;71296.56;69558.18;1738.38;SHORT;2024.04.12 16:38;2024.04.12 16:38;2024.04.12 22:54;69557.60;71296.56;66978.68;1738.96;1738.96000000;1.48302434;54.61451200;0.03140642;1.45161791;1.43591470;EOD;BTCUSD_20240412_SHORT;2.50047730;0.09099692;2024.04.12 20:35:42;2024.04.12 17:28:41;237.182233;50.169667;1.29339375;1;2024.04.12 18:21:40;103.154367;0.09099692;1;2024.04.12 19:28:26;169.921483;0.09099692;1;2024.04.12 20:35:26;236.926333;0.09099692;0;;;;0;;;;0.66896881;2.50047730;1.20708354;2.50047730;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240423;2024.04.23 00:00;66840.51;64517.37;2323.14;LONG;2024.04.23 00:53;2024.04.23 00:53;2024.04.23 23:59;66842.76;64517.37;66350.49;2325.39;2325.39000000;-0.21169352;53.27730000;0.02291112;-0.23460465;-0.24606021;EOD;BTCUSD_20240423_LONG;0.17091327;0.45092221;2024.04.23 01:12:15;2024.04.23 14:46:42;19.057383;833.500750;0.62183548;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240424;2024.04.24 00:00;67240.20;65794.19;1446.01;SHORT;2024.04.24 16:22;2024.04.24 16:22;2024.04.24 23:59;65792.31;67240.20;64370.55;1447.89;1447.89000000;0.98195305;52.06514400;0.03595932;0.94599373;0.92801406;EOD;BTCUSD_20240424_SHORT;1.52734669;0.09118096;2024.04.24 22:22:43;2024.04.24 16:24:40;360.273800;2.238600;0.57730905;1;2024.04.24 16:34:37;12.181517;0.09118096;1;2024.04.24 18:27:42;125.260667;0.09118096;0;;;;0;;;;0;;;;0.46192045;1.52734669;;;;;0;
