run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr7_high;nr7_low;nr7_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;1.10451;1.10411;0.00040;SHORT;2024.01.02 00:03;2024.01.02 00:03;2024.01.02 23:59;1.10411;1.10451;1.09419;0.00040;40.00000000;24.80000000;10.00000000;0.25000000;24.55000000;24.42500000;EOD;EURUSD_20240102_SHORT;25.60000000;0.62500000;2024.01.02 22:30:00;2024.01.02 02:06:36;1346.933333;123.533333;5.85000000;1;2024.01.02 00:12:00;8.933333;0.17500000;1;2024.01.02 00:32:59;29.916667;0.17500000;1;2024.01.02 03:08:13;185.150000;0.62500000;1;2024.01.02 03:22:05;199.016667;0.62500000;1;2024.01.02 03:53:39;230.583333;0.62500000;-0.62500000;25.60000000;0.55000000;25.60000000;0.55000000;25.60000000;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240111;2024.01.11 00:00;1.09728;1.09227;0.00501;LONG;2024.01.11 00:00;2024.01.11 00:00;2024.01.11 23:59;1.09728;1.09227;1.09716;0.00501;501.00000000;-0.02395210;10.00000000;0.01996008;-0.04391218;-0.05389222;EOD;EURUSD_20240111_LONG;0.51497006;0.85429142;2024.01.11 14:30:16;2024.01.11 16:14:39;870.185133;974.580900;1.36926148;1;2024.01.11 14:30:15;870.177367;0.28942116;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240116;2024.01.16 00:00;1.09673;1.09332;0.00341;SHORT;2024.01.16 01:40;2024.01.16 01:40;2024.01.16 23:59;1.09332;1.09673;1.08781;0.00341;341.00000000;1.61583578;10.00000000;0.02932551;1.58651026;1.57184751;EOD;EURUSD_20240116_SHORT;2.10263930;0.02639296;2024.01.16 23:01:13;2024.01.16 01:40:59;1280.650000;0.416667;0.96480938;1;2024.01.16 02:06:38;26.081967;0.02639296;1;2024.01.16 09:36:36;476.035017;0.02639296;1;2024.01.16 18:15:14;994.681033;0.02639296;0;;;;0;;;;0.71847507;2.10263930;1.56598240;2.10263930;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240122;2024.01.22 00:00;1.08975;1.08654;0.00321;LONG;2024.01.22 00:00;2024.01.22 00:00;2024.01.22 23:59;1.08975;1.08654;1.08817;0.00321;321.00000000;-0.49221184;10.00000000;0.03115265;-0.52336449;-0.53894081;EOD;EURUSD_20240122_LONG;0.36760125;0.56074766;2024.01.22 07:30:37;2024.01.22 23:10:33;450.025133;1389.958467;0.92834891;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240123;2024.01.23 00:00;1.09093;1.08795;0.00298;SHORT;2024.01.23 00:00;2024.01.23 00:00;2024.01.23 07:48;1.08794;1.09093;1.09130;0.00299;299.00000000;-1.12374582;10.00000000;0.03344482;-1.15719064;-1.17391304;STOP;EURUSD_20240123_SHORT;0.11036789;1.12374582;2024.01.23 01:00:38;2024.01.23 07:48:00;60.266667;467.633333;1.23411371;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240207;2024.02.07 00:00;1.07621;1.07223;0.00398;LONG;2024.02.07 01:53;2024.02.07 01:53;2024.02.07 23:59;1.07626;1.07223;1.07715;0.00403;403.00000000;0.22084367;10.00000000;0.02481390;0.19602978;0.18362283;EOD;EURUSD_20240207_LONG;0.52357320;0.17617866;2024.02.07 14:31:40;2024.02.07 16:56:39;758.666667;903.660550;0.69975186;1;2024.02.07 14:31:28;758.466667;0.15632754;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240208;2024.02.08 00:00;1.07837;1.07526;0.00311;LONG;2024.02.08 03:45;2024.02.08 03:45;2024.02.08 13:36;1.07837;1.07526;1.07526;0.00311;311.00000000;-1.00000000;10.00000000;0.03215434;-1.03215434;-1.04823151;STOP;EURUSD_20240208_LONG;0.15755627;1.00000000;2024.02.08 08:20:35;2024.02.08 13:36:26;275.483333;591.342850;1.15755627;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240220;2024.02.20 00:00;1.07891;1.07618;0.00273;SHORT;2024.02.20 03:06;2024.02.20 03:06;2024.02.20 10:26;1.07618;1.07891;1.07891;0.00273;273.00000000;-1.00000000;10.00000000;0.03663004;-1.03663004;-1.05494505;STOP;EURUSD_20240220_SHORT;0.00000000;1.00000000;;2024.02.20 10:26:16;;440.216667;1.00000000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240318;2024.03.18 00:00;1.08995;1.08726;0.00269;LONG;2024.03.18 11:34;2024.03.18 11:34;2024.03.18 18:17;1.08998;1.08726;1.08726;0.00272;272.00000000;-1.00000000;10.00000000;0.03676471;-1.03676471;-1.05514706;STOP;EURUSD_20240318_LONG;0.22426471;1.00000000;2024.03.18 13:46:34;2024.03.18 18:17:38;132.485600;403.555283;1.22426471;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240327;2024.03.27 00:00;1.08641;1.08240;0.00401;SHORT;2024.03.27 03:27;2024.03.27 03:27;2024.03.27 23:59;1.08240;1.08641;1.08276;0.00401;401.00000000;-0.08977556;10.00000000;0.02493766;-0.11471322;-0.12718204;EOD;EURUSD_20240327_SHORT;0.32418953;0.38653367;2024.03.27 15:40:37;2024.03.27 11:25:15;733.078200;477.710867;0.46384040;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240328;2024.03.28 00:00;1.08390;1.08105;0.00285;SHORT;2024.03.28 00:48;2024.03.28 00:48;2024.03.28 23:59;1.08105;1.08390;1.07897;0.00285;285.00000000;0.72982456;10.00000000;0.03508772;0.69473684;0.67719298;EOD;EURUSD_20240328_SHORT;1.23157895;0.57543860;2024.03.28 11:56:03;2024.03.28 07:50:14;667.650000;421.833333;1.52631579;1;2024.03.28 10:03:37;555.230950;0.57543860;1;2024.03.28 11:14:37;626.221050;0.57543860;0;;;;0;;;;0;;;;-0.29473684;1.23157895;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240410;2024.04.10 00:00;1.08848;1.08473;0.00375;SHORT;2024.04.10 14:30;2024.04.10 14:30;2024.04.10 23:59;1.08469;1.08848;1.07437;0.00379;379.00000000;2.72295515;10.00000000;0.02638522;2.69656992;2.68337731;EOD;EURUSD_20240410_SHORT;3.11081794;0.13192612;2024.04.10 18:35:15;2024.04.10 14:30:19;244.930400;0.000000;0.67282322;1;2024.04.10 14:30:37;0.291500;0.13192612;1;2024.04.10 14:30:42;0.376383;0.13192612;1;2024.04.10 15:10:26;40.108183;0.13192612;1;2024.04.10 18:10:27;220.117900;0.13192612;0;;;;0.88654354;3.11081794;1.90237467;3.11081794;2.43799472;3.11081794;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240425;2024.04.25 00:00;1.07140;1.06776;0.00364;LONG;2024.04.25 08:12;2024.04.25 08:12;2024.04.25 23:59;1.07140;1.06776;1.07280;0.00364;364.00000000;0.38461538;10.00000000;0.02747253;0.35714286;0.34340659;EOD;EURUSD_20240425_LONG;0.70604396;0.98626374;2024.04.25 14:30:42;2024.04.25 15:13:39;378.434517;421.388983;1.69230769;1;2024.04.25 14:30:38;378.366783;0.07967033;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240507;2024.05.07 00:00;1.07905;1.07549;0.00356;SHORT;2024.05.07 08:32;2024.05.07 08:32;2024.05.07 23:59;1.07548;1.07905;1.07565;0.00357;357.00000000;-0.04761905;10.00000000;0.02801120;-0.07563025;-0.08963585;EOD;EURUSD_20240507_SHORT;0.18487395;0.92156863;2024.05.07 20:40:03;2024.05.07 15:41:39;727.370517;428.987167;0.93277311;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240509;2024.05.09 00:00;1.07573;1.07348;0.00225;SHORT;2024.05.09 09:40;2024.05.09 09:40;2024.05.09 14:38;1.07347;1.07573;1.07573;0.00226;226.00000000;-1.00000000;10.00000000;0.04424779;-1.04424779;-1.06637168;STOP;EURUSD_20240509_SHORT;0.46017699;1.00000000;2024.05.09 13:45:13;2024.05.09 14:38:41;244.768833;298.233900;1.46017699;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240528;2024.05.28 00:00;1.08672;1.08402;0.00270;LONG;2024.05.28 02:41;2024.05.28 02:41;2024.05.28 23:59;1.08696;1.08402;1.08565;0.00294;294.00000000;-0.44557823;10.00000000;0.03401361;-0.47959184;-0.49659864;EOD;EURUSD_20240528_LONG;0.64965986;0.50340136;2024.05.28 13:17:59;2024.05.28 20:50:38;636.983333;1089.633333;1.15306122;1;2024.05.28 13:04:40;623.669550;0.24149660;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240620;2024.06.20 00:00;1.07530;1.07244;0.00286;LONG;2024.06.20 01:29;2024.06.20 01:29;2024.06.20 09:59;1.07530;1.07244;1.07244;0.00286;286.00000000;-1.00000000;10.00000000;0.03496503;-1.03496503;-1.05244755;STOP;EURUSD_20240620_LONG;0.00000000;1.00000000;;2024.06.20 09:59:25;;510.000000;1.00000000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240701;2024.07.01 00:00;1.07247;1.06853;0.00394;LONG;2024.07.01 00:00;2024.07.01 00:00;2024.07.01 23:59;1.07332;1.06853;1.07385;0.00479;479.00000000;0.11064718;10.00000000;0.02087683;0.08977035;0.07933194;EOD;EURUSD_20240701_LONG;0.90187891;0.28601253;2024.07.01 08:30:14;2024.07.01 17:10:42;510.245900;1030.707467;1.18789144;1;2024.07.01 03:25:37;205.617633;0.02087683;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240703;2024.07.03 00:00;1.07473;1.07099;0.00374;LONG;2024.07.03 00:00;2024.07.03 00:00;2024.07.03 23:59;1.07473;1.07099;1.07851;0.00374;374.00000000;1.01069519;10.00000000;0.02673797;0.98395722;0.97058824;EOD;EURUSD_20240703_LONG;1.85828877;0.29946524;2024.07.03 16:16:40;2024.07.03 07:28:06;976.250933;447.676933;1.05882353;1;2024.07.03 14:22:42;862.280633;0.29946524;1;2024.07.03 15:19:00;918.576933;0.29946524;0;;;;0;;;;0;;;;0.79946524;1.85828877;;;;;0;
