run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr7_high;nr7_low;nr7_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;1.27320;1.27164;0.00156;LONG;2024.01.02 00:00;2024.01.02 00:00;2024.01.02 03:37;1.27326;1.27164;1.27162;0.00162;162.00000000;-1.01234568;10.00000000;0.06172840;-1.07407407;-1.10493827;STOP;GBPUSD_20240102_LONG;0.11728395;1.01234568;2024.01.02 00:08:36;2024.01.02 03:37:37;8.233333;217.250000;1.12962963;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240111;2024.01.11 00:00;1.27432;1.26852;0.00580;LONG;2024.01.11 00:27;2024.01.11 00:27;2024.01.11 23:59;1.27433;1.26852;1.27565;0.00581;581.00000000;0.22719449;10.00000000;0.01721170;0.20998279;0.20137694;EOD;GBPUSD_20240111_LONG;0.56798623;0.92943201;2024.01.11 14:30:15;2024.01.11 16:14:40;843.093700;947.503533;1.49741824;1;2024.01.11 07:32:38;425.466667;0.02925990;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240116;2024.01.16 00:00;1.27646;1.27121;0.00525;SHORT;2024.01.16 01:13;2024.01.16 01:13;2024.01.16 23:59;1.27121;1.27646;1.26399;0.00525;525.00000000;1.37523810;10.00000000;0.01904762;1.35619048;1.34666667;EOD;GBPUSD_20240116_SHORT;1.76761905;0.05904762;2024.01.16 12:13:33;2024.01.16 01:13:31;660.531167;0.483333;1.15428571;1;2024.01.16 02:04:00;50.966667;0.05904762;1;2024.01.16 09:32:27;499.432000;0.05904762;0;;;;0;;;;0;;;;0.61333333;1.76761905;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240123;2024.01.23 00:00;1.27320;1.26859;0.00461;LONG;2024.01.23 05:56;2024.01.23 05:56;2024.01.23 15:30;1.27321;1.26859;1.26858;0.00462;462.00000000;-1.00216450;10.00000000;0.02164502;-1.02380952;-1.03463203;STOP;GBPUSD_20240123_LONG;0.30519481;1.00216450;2024.01.23 08:06:39;2024.01.23 15:30:28;130.663150;574.466667;1.30735931;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240208;2024.02.08 00:00;1.26408;1.25945;0.00463;SHORT;2024.02.08 13:30;2024.02.08 13:30;2024.02.08 23:59;1.25945;1.26408;1.26185;0.00463;463.00000000;-0.51835853;10.00000000;0.02159827;-0.53995680;-0.55075594;EOD;GBPUSD_20240208_SHORT;0.47732181;0.77753780;2024.02.08 14:47:40;2024.02.08 19:03:06;77.335667;332.769467;1.25485961;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240212;2024.02.12 00:00;1.26421;1.25981;0.00440;LONG;2024.02.12 01:32;2024.02.12 01:32;2024.02.12 23:59;1.26422;1.25981;1.26255;0.00441;441.00000000;-0.37868481;10.00000000;0.02267574;-0.40136054;-0.41269841;EOD;GBPUSD_20240212_LONG;0.25396825;0.83900227;2024.02.12 08:57:14;2024.02.12 14:55:33;444.604750;802.916667;1.09297052;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240222;2024.02.22 00:00;1.26408;1.26014;0.00394;LONG;2024.02.22 00:01;2024.02.22 00:01;2024.02.22 23:59;1.26409;1.26014;1.26561;0.00395;395.00000000;0.38481013;10.00000000;0.02531646;0.35949367;0.34683544;EOD;GBPUSD_20240222_LONG;1.70126582;0.76962025;2024.02.22 09:29:38;2024.02.22 16:10:14;568.042850;968.646267;2.47088608;1;2024.02.22 08:17:39;496.066650;0.27341772;1;2024.02.22 09:07:35;545.992100;0.27341772;0;;;;0;;;;0;;;;-0.76962025;1.70126582;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240228;2024.02.28 00:00;1.26960;1.26595;0.00365;SHORT;2024.02.28 06:30;2024.02.28 06:30;2024.02.28 23:59;1.26595;1.26960;1.26621;0.00365;365.00000000;-0.07123288;10.00000000;0.02739726;-0.09863014;-0.11232877;EOD;GBPUSD_20240228_SHORT;1.01369863;0.40547945;2024.02.28 11:00:38;2024.02.28 18:05:39;270.066150;695.072400;1.41917808;1;2024.02.28 09:24:35;174.013667;0.10410959;1;2024.02.28 11:00:36;270.024900;0.10410959;0;;;;0;;;;0;;;;-0.40547945;1.01369863;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240314;2024.03.14 00:00;1.28104;1.27732;0.00372;LONG;2024.03.14 10:12;2024.03.14 10:12;2024.03.14 15:47;1.28104;1.27732;1.27732;0.00372;372.00000000;-1.00000000;10.00000000;0.02688172;-1.02688172;-1.04032258;STOP;GBPUSD_20240314_LONG;0.30913978;1.00000000;2024.03.14 12:16:35;2024.03.14 15:47:29;124.523350;335.436567;1.30913978;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240318;2024.03.18 00:00;1.27581;1.27241;0.00340;SHORT;2024.03.18 16:41;2024.03.18 16:41;2024.03.18 23:59;1.27239;1.27581;1.27307;0.00342;342.00000000;-0.19883041;10.00000000;0.02923977;-0.22807018;-0.24269006;EOD;GBPUSD_20240318_SHORT;0.15497076;0.34795322;2024.03.18 19:47:39;2024.03.18 17:58:00;185.992867;76.342867;0.48245614;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240319;2024.03.19 00:00;1.27458;1.27169;0.00289;SHORT;2024.03.19 03:22;2024.03.19 03:22;2024.03.19 23:59;1.27169;1.27458;1.27232;0.00289;289.00000000;-0.21799308;10.00000000;0.03460208;-0.25259516;-0.26989619;EOD;GBPUSD_20240319_SHORT;1.68166090;0.57785467;2024.03.19 11:55:39;2024.03.19 19:33:38;513.434483;971.416667;2.25951557;1;2024.03.19 08:06:00;283.783333;0.45328720;1;2024.03.19 10:19:29;417.279267;0.45328720;0;;;;0;;;;0;;;;-0.57785467;1.68166090;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240328;2024.03.28 00:00;1.26406;1.26047;0.00359;SHORT;2024.03.28 10:35;2024.03.28 10:35;2024.03.28 14:57;1.26047;1.26406;1.26406;0.00359;359.00000000;-1.00000000;10.00000000;0.02785515;-1.02785515;-1.04178273;STOP;GBPUSD_20240328_SHORT;0.50139276;1.00000000;2024.03.28 11:23:59;2024.03.28 14:57:37;48.650000;262.294750;1.50139276;1;2024.03.28 11:23:59;48.650000;0.17270195;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240419;2024.04.19 00:00;1.24839;1.24287;0.00552;SHORT;2024.04.19 02:17;2024.04.19 02:17;2024.04.19 22:58;1.24287;1.24839;1.23718;0.00552;552.00000000;1.03079710;10.00000000;0.01811594;1.01268116;1.00362319;EOD;GBPUSD_20240419_SHORT;1.10326087;0.73550725;2024.04.19 20:41:17;2024.04.19 15:33:41;1104.033183;796.435650;1.43659420;1;2024.04.19 03:43:40;86.414150;0.06521739;1;2024.04.19 20:00:27;1063.209017;0.73550725;0;;;;0;;;;0;;;;0.85688406;1.10326087;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240425;2024.04.25 00:00;1.24690;1.24217;0.00473;LONG;2024.04.25 04:48;2024.04.25 04:48;2024.04.25 23:59;1.24690;1.24217;1.25100;0.00473;473.00000000;0.86680761;10.00000000;0.02114165;0.84566596;0.83509514;EOD;GBPUSD_20240425_LONG;1.17336152;0.27695560;2024.04.25 14:30:42;2024.04.25 16:04:15;582.470667;676.028950;1.45031712;1;2024.04.25 08:32:15;224.029167;0.21775899;1;2024.04.25 10:32:13;343.988883;0.21775899;0;;;;0;;;;0;;;;-0.27695560;1.17336152;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240507;2024.05.07 00:00;1.25934;1.25371;0.00563;SHORT;2024.05.07 08:00;2024.05.07 08:00;2024.05.07 23:59;1.25371;1.25934;1.25085;0.00563;563.00000000;0.50799290;10.00000000;0.01776199;0.49023091;0.48134991;EOD;GBPUSD_20240507_SHORT;0.62877442;0.50444050;2024.05.07 20:32:36;2024.05.07 15:44:38;751.983833;464.012700;0.62166963;1;2024.05.07 20:01:00;720.377783;0.50444050;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240509;2024.05.09 00:00;1.25078;1.24669;0.00409;SHORT;2024.05.09 13:00;2024.05.09 13:00;2024.05.09 14:38;1.24669;1.25078;1.25078;0.00409;409.00000000;-1.00000000;10.00000000;0.02444988;-1.02444988;-1.03667482;STOP;GBPUSD_20240509_SHORT;0.48899756;1.00000000;2024.05.09 13:08:15;2024.05.09 14:38:29;7.751917;97.988000;1.48899756;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240513;2024.05.13 00:00;1.25404;1.25017;0.00387;LONG;2024.05.13 13:10;2024.05.13 13:10;2024.05.13 23:59;1.25404;1.25017;1.25575;0.00387;387.00000000;0.44186047;10.00000000;0.02583979;0.41602067;0.40310078;EOD;GBPUSD_20240513_LONG;0.71059432;0.07751938;2024.05.13 16:47:14;2024.05.13 13:11:40;216.597050;1.016667;0.56589147;1;2024.05.13 15:19:27;128.803317;0.07751938;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240521;2024.05.21 00:00;1.27247;1.26882;0.00365;LONG;2024.05.21 11:58;2024.05.21 11:58;2024.05.21 15:02;1.27247;1.26882;1.26881;0.00365;365.00000000;-1.00273973;10.00000000;0.02739726;-1.03013699;-1.04383562;STOP;GBPUSD_20240521_LONG;0.00000000;1.00273973;;2024.05.21 15:02:37;;184.073183;1.00273973;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240606;2024.06.06 00:00;1.27946;1.27545;0.00401;LONG;2024.06.06 01:41;2024.06.06 01:41;2024.06.06 23:59;1.27947;1.27545;1.27905;0.00402;402.00000000;-0.10447761;10.00000000;0.02487562;-0.12935323;-0.14179104;EOD;GBPUSD_20240606_LONG;0.33830846;0.82089552;2024.06.06 03:57:12;2024.06.06 15:20:40;135.566667;819.033333;1.15920398;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240620;2024.06.20 00:00;1.27392;1.26994;0.00398;SHORT;2024.06.20 10:15;2024.06.20 10:15;2024.06.20 23:59;1.26993;1.27392;1.26602;0.00399;399.00000000;0.97994987;10.00000000;0.02506266;0.95488722;0.94235589;EOD;GBPUSD_20240620_SHORT;1.14035088;0.30075188;2024.06.20 23:01:13;2024.06.20 12:06:15;765.605567;110.638900;0.57393484;1;2024.06.20 13:59:16;223.665200;0.30075188;1;2024.06.20 22:26:49;731.205567;0.30075188;0;;;;0;;;;0;;;;0.86967419;1.14035088;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240626;2024.06.26 00:00;1.27017;1.26696;0.00321;SHORT;2024.06.26 09:14;2024.06.26 09:14;2024.06.26 23:59;1.26695;1.27017;1.26243;0.00322;322.00000000;1.40372671;10.00000000;0.03105590;1.37267081;1.35714286;EOD;GBPUSD_20240626_SHORT;1.65527950;0.18012422;2024.06.26 21:26:39;2024.06.26 09:51:15;732.433333;37.033333;0.72981366;1;2024.06.26 13:15:29;241.276283;0.18012422;1;2024.06.26 15:17:20;363.126183;0.18012422;0;;;;0;;;;0;;;;0.57763975;1.65527950;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240705;2024.07.05 00:00;1.27676;1.27409;0.00267;LONG;2024.07.05 02:47;2024.07.05 02:47;2024.07.05 22:58;1.27676;1.27409;1.28139;0.00267;267.00000000;1.73408240;10.00000000;0.03745318;1.69662921;1.67790262;EOD;GBPUSD_20240705_LONG;1.85393258;0.22471910;2024.07.05 21:51:42;2024.07.05 03:06:35;1144.633333;19.516667;1.20973783;1;2024.07.05 10:47:38;480.566667;0.22471910;1;2024.07.05 14:30:39;703.594367;0.22471910;0;;;;0;;;;0;;;;0.65168539;1.85393258;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240717;2024.07.17 00:00;1.29781;1.29618;0.00163;LONG;2024.07.17 02:00;2024.07.17 02:00;2024.07.17 22:50;1.29781;1.29618;1.30085;0.00163;163.00000000;1.86503067;10.00000000;0.06134969;1.80368098;1.77300613;EOD;GBPUSD_20240717_LONG;4.07361963;0.74233129;2024.07.17 12:05:15;2024.07.17 07:14:28;604.745017;313.953633;2.80368098;1;2024.07.17 08:00:41;360.181150;0.74233129;1;2024.07.17 09:14:17;433.781433;0.74233129;1;2024.07.17 09:38:42;458.198367;0.74233129;1;2024.07.17 10:43:37;523.115667;0.74233129;0;;;;0.65030675;4.07361963;1.26993865;4.07361963;1.26993865;4.07361963;0;
