run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr7_high;nr7_low;nr7_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;140.962;140.799;0.163;LONG;2024.01.02 00:33;2024.01.02 00:33;2024.01.02 23:59;140.964;140.799;142.024;0.165;117.19000000;6.36871747;10.00000000;0.08533151;6.28338595;6.24072020;EOD;USDJPY_20240102_LONG;7.45268368;0.41786842;2024.01.02 13:47:15;2024.01.02 00:36:00;794.254233;3.000000;4.28039935;1;2024.01.02 00:48:33;15.559517;0.41786842;1;2024.01.02 01:02:13;29.216667;0.41786842;1;2024.01.02 01:21:34;48.580633;0.41786842;1;2024.01.02 03:31:33;178.550000;0.41786842;1;2024.01.02 12:33:39;720.660367;0.41786842;0.80433484;7.45268368;1.02184487;7.45268368;1.93873197;7.45268368;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240116;2024.01.16 00:00;145.935;144.924;1.011;LONG;2024.01.16 02:05;2024.01.16 02:05;2024.01.16 23:59;145.935;144.924;147.092;1.011;697.61000000;1.12753544;10.00000000;0.01433466;1.11320079;1.10603346;EOD;USDJPY_20240116_LONG;1.33415519;0.14158341;2024.01.16 19:46:12;2024.01.16 02:42:14;1060.786550;36.822500;0.49398661;1;2024.01.16 09:38:42;453.286550;0.14158341;1;2024.01.16 17:00:40;895.268367;0.14158341;0;;;;0;;;;0;;;;0.80871834;1.33415519;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240119;2024.01.19 00:00;148.294;147.645;0.649;LONG;2024.01.19 02:26;2024.01.19 02:26;2024.01.19 22:59;148.294;147.645;148.049;0.649;439.57000000;-0.37648156;10.00000000;0.02274951;-0.39923107;-0.41060582;EOD;USDJPY_20240119_LONG;0.77054849;0.71713265;2024.01.19 07:31:15;2024.01.19 11:16:39;305.156083;530.555650;1.48768114;1;2024.01.19 06:40:27;254.355150;0.24417044;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240206;2024.02.06 00:00;148.885;148.257;0.628;SHORT;2024.02.06 16:12;2024.02.06 16:12;2024.02.06 23:59;148.257;148.885;147.910;0.628;421.80000000;0.55618777;10.00000000;0.02370792;0.53247985;0.52062589;EOD;USDJPY_20240206_SHORT;0.69122807;0.05915126;2024.02.06 19:02:40;2024.02.06 16:13:15;169.978717;0.557283;0.35654339;1;2024.02.06 18:43:25;150.724550;0.05915126;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240208;2024.02.08 00:00;148.251;147.624;0.627;LONG;2024.02.08 02:34;2024.02.08 02:34;2024.02.08 23:59;148.252;147.624;149.262;0.628;425.41000000;1.59060671;10.00000000;0.02350673;1.56709997;1.55534661;EOD;USDJPY_20240208_LONG;1.91706824;0.20312169;2024.02.08 16:46:38;2024.02.08 02:51:15;852.130567;16.743517;0.55506453;1;2024.02.08 06:17:34;223.059967;0.20312169;1;2024.02.08 11:32:27;537.944533;0.20312169;0;;;;0;;;;0;;;;0.92235726;1.91706824;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240212;2024.02.12 00:00;149.568;148.998;0.570;SHORT;2024.02.12 09:08;2024.02.12 09:08;2024.02.12 23:59;148.995;149.568;149.351;0.573;383.10000000;-0.62218742;10.00000000;0.02610285;-0.64829026;-0.66134169;EOD;USDJPY_20240212_SHORT;0.10516836;0.86434351;2024.02.12 14:06:15;2024.02.12 17:01:40;298.179700;473.583783;0.96951188;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240213;2024.02.13 00:00;149.472;148.919;0.553;LONG;2024.02.13 03:40;2024.02.13 03:40;2024.02.13 23:59;149.474;148.919;150.611;0.555;372.69000000;2.02559768;10.00000000;0.02683195;1.99876573;1.98534975;EOD;USDJPY_20240213_LONG;2.49333226;0.36488771;2024.02.13 20:59:13;2024.02.13 14:19:16;1038.597433;638.645017;0.74670638;1;2024.02.13 14:30:37;649.987867;0.36488771;1;2024.02.13 14:32:27;651.829983;0.36488771;1;2024.02.13 16:57:40;797.047983;0.36488771;0;;;;0;;;;1.00150259;2.49333226;1.83984008;2.49333226;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240215;2024.02.15 00:00;150.772;150.335;0.437;SHORT;2024.02.15 01:43;2024.02.15 01:43;2024.02.15 23:59;150.334;150.772;149.927;0.438;290.50000000;0.93449225;10.00000000;0.03442341;0.90006885;0.88285714;EOD;USDJPY_20240215_SHORT;1.83469880;0.17621343;2024.02.15 14:30:41;2024.02.15 01:53:05;767.428850;9.835050;1.64912220;1;2024.02.15 06:14:52;271.606400;0.17621343;1;2024.02.15 14:30:04;766.816683;0.17621343;0;;;;0;;;;0;;;;0.18557659;1.83469880;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240220;2024.02.20 00:00;150.185;149.867;0.318;LONG;2024.02.20 00:21;2024.02.20 00:21;2024.02.20 15:21;150.185;149.867;149.867;0.318;212.19000000;-1.00000000;10.00000000;0.04712757;-1.04712757;-1.07069136;STOP;USDJPY_20240220_LONG;0.78632358;1.00000000;2024.02.20 07:05:15;2024.02.20 15:21:39;403.629167;900.027683;1.78632358;1;2024.02.20 03:25:17;183.658700;0.04392290;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240229;2024.02.29 00:00;150.837;150.363;0.474;SHORT;2024.02.29 02:35;2024.02.29 02:35;2024.02.29 23:59;150.363;150.837;149.987;0.474;314.25000000;0.79774065;10.00000000;0.03182180;0.76591885;0.75000796;EOD;USDJPY_20240229_SHORT;2.45037391;0.08674622;2024.02.29 16:35:38;2024.02.29 02:36:40;840.067917;1.106417;1.80146380;1;2024.02.29 03:06:34;31.004483;0.08674622;1;2024.02.29 03:20:37;45.055817;0.08674622;1;2024.02.29 16:00:45;805.184800;0.08674622;0;;;;0;;;;0.43233095;2.45037391;0.64891010;2.45037391;;;0;
