status;source_name;source_version;run_stage;ticks_seen;days_initialized;nr7_setup_days;non_nr7_days;reference_unusable_days;ambiguous_days;entry_signals;trades_opened;trades_closed;stop_exits;eod_exits;test_end_exits;invalid_price;invalid_risk;risk_fallbacks;pnl_fallbacks;risk_calc_failures;pnl_calc_failures;path_calc_failures;csv_trade_rows;path_rows;symbol;timeframe;asset_class;commission_rule;fatal_status;trades_name;stats_name;trades_csv_fullpath;stats_csv_fullpath
INIT;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
READY;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;250000;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;500000;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;750000;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;1000000;9;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;1250000;12;1;4;7;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;1500000;14;1;6;7;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;1750000;16;1;8;7;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
PROGRESS;D038_NR7_TickPath_M15_v1_00.mq5;1.00;RUN;2000000;18;1;10;7;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;XAUUSD;PERIOD_M15;METAL;0.0016PCT_NOTIONAL_PER_SIDE;;D038_V100_RUN_XAUUSD_TRADES.csv;D038_V100_RUN_XAUUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D038_V100_RUN_XAUUSD_STATS.csv
