run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;inside_high;inside_low;inside_range;mother_high;mother_low;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240108;2024.01.08 00:00;44392.47;42651.97;1740.50;44774.26;42606.70;LONG;2024.01.08 12:49;2024.01.08 12:49;2024.01.08 23:59;44392.75;42651.97;47018.78;1740.78;1740.78000000;1.50853640;36.56461200;0.02100473;1.48753167;1.47702931;EOD;BTCUSD_20240108_LONG;1.64684222;0.00934064;2024.01.08 20:13:15;2024.01.08 12:53:39;443.639833;4.050983;0.44268661;1;2024.01.08 16:41:36;231.998167;0.00934064;1;2024.01.08 19:31:38;402.032683;0.00934064;0;;;;0;;;;0;;;;0.97705626;1.64684222;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240118;2024.01.18 00:00;43280.46;42182.34;1098.12;43565.40;42076.71;SHORT;2024.01.18 17:38;2024.01.18 17:38;2024.01.18 23:59;42182.00;43280.46;41330.10;1098.46;1098.46000000;0.77554030;33.40484000;0.03041061;0.74512969;0.72992439;EOD;BTCUSD_20240118_SHORT;1.41230450;0.02870382;2024.01.18 21:36:14;2024.01.18 17:39:40;237.778917;1.203250;0.64012345;1;2024.01.18 18:13:39;35.188867;0.02870382;1;2024.01.18 20:55:25;196.952467;0.02870382;0;;;;0;;;;0;;;;0.77218105;1.41230450;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240126;2024.01.26 00:00;40285.01;39533.47;751.54;40527.17;39445.46;LONG;2024.01.26 10:44;2024.01.26 10:44;2024.01.26 22:54;40285.43;39533.47;41979.80;751.96;751.96000000;2.25327145;32.90609200;0.04376043;2.20951102;2.18763081;EOD;BTCUSD_20240126_LONG;2.59734560;0.34303686;2024.01.26 21:13:59;2024.01.26 10:59:42;629.165650;14.868417;0.77457578;1;2024.01.26 11:57:24;72.574433;0.34303686;1;2024.01.26 12:30:19;105.487417;0.34303686;1;2024.01.26 17:29:28;404.640800;0.34303686;0;;;;0;;;;0.81593436;2.59734560;1.90794723;2.59734560;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240207;2024.02.07 00:00;43373.56;42424.34;949.22;43538.53;42248.05;LONG;2024.02.07 18:19;2024.02.07 18:19;2024.02.07 23:59;43373.60;42424.34;44160.85;949.26;949.26000000;0.82933022;35.01378000;0.03688534;0.79244487;0.77400220;EOD;BTCUSD_20240207_LONG;1.06910646;0.03283610;2024.02.07 22:32:15;2024.02.07 18:48:15;252.619567;28.625967;0.36327244;1;2024.02.07 21:08:39;169.020717;0.03283610;1;2024.02.07 22:29:24;249.778650;0.03283610;0;;;;0;;;;0;;;;0.79203801;1.06910646;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240220;2024.02.20 00:00;52492.28;51689.76;802.52;52561.32;51595.00;SHORT;2024.02.20 01:40;2024.02.20 01:40;2024.02.20 14:34;51689.36;52492.28;52493.95;802.92;802.92000000;-1.00207991;41.67332400;0.05190221;-1.05398212;-1.07993323;STOP;BTCUSD_20240220_SHORT;0.45332038;1.00207991;2024.02.20 02:25:15;2024.02.20 14:34:39;44.829317;774.230317;1.45540029;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240223;2024.02.23 00:00;52058.27;50930.04;1128.23;52523.85;50633.72;SHORT;2024.02.23 08:48;2024.02.23 08:48;2024.02.23 22:54;50929.46;52058.27;51017.70;1128.81;1128.81000000;-0.07817082;40.77886400;0.03612553;-0.11429635;-0.13235912;EOD;BTCUSD_20240223_SHORT;0.26978854;0.34235168;2024.02.23 17:21:39;2024.02.23 15:22:40;513.122700;394.133817;0.50199768;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240304;2024.03.04 00:00;63136.52;60781.75;2354.77;63672.92;60378.82;LONG;2024.03.04 00:57;2024.03.04 00:57;2024.03.04 23:59;63137.59;60781.75;67942.26;2355.84;2355.84000000;2.03947212;52.43194000;0.02225615;2.01721597;2.00608789;EOD;BTCUSD_20240304_LONG;2.03947212;0.34278219;2024.03.04 23:59:59;2024.03.04 01:49:38;1382.474700;52.130383;0.82438536;1;2024.03.04 09:07:15;489.749383;0.34278219;1;2024.03.04 09:44:38;527.121417;0.34278219;1;2024.03.04 23:47:50;1370.316667;0.34278219;0;;;;0;;;;0.61584827;2.03947212;1.93914697;2.03947212;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240307;2024.03.07 00:00;67641.63;62788.16;4853.47;69020.00;59027.33;LONG;2024.03.07 15:35;2024.03.07 15:35;2024.03.07 23:59;67643.45;62788.16;67121.02;4855.29;4855.29000000;-0.10760016;53.90578800;0.01110249;-0.11870265;-0.12425389;EOD;BTCUSD_20240307_LONG;0.07087733;0.22128235;2024.03.07 18:25:40;2024.03.07 15:46:42;170.273667;11.295817;0.27592585;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240319;2024.03.19 00:00;68936.36;66568.58;2367.78;72410.03;65591.79;SHORT;2024.03.19 03:21;2024.03.19 03:21;2024.03.19 23:59;66566.93;68936.36;63925.63;2369.43;2369.43000000;1.11474068;52.19702400;0.02202936;1.09271132;1.08169664;EOD;BTCUSD_20240319_SHORT;1.76674981;0.06437835;2024.03.19 16:36:41;2024.03.19 03:24:40;794.969450;2.950100;1.42381501;1;2024.03.19 05:34:30;132.778517;0.06437835;1;2024.03.19 09:05:15;343.534367;0.06437835;0;;;;0;;;;0;;;;0.34293480;1.76674981;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240401;2024.04.01 00:00;71070.94;69023.72;2047.22;71556.92;68886.90;LONG;2024.04.01 00:33;2024.04.01 00:33;2024.04.01 07:57;71071.28;69023.72;69022.48;2047.56;2047.56000000;-1.00060560;56.03750400;0.02736794;-1.02797354;-1.04165751;STOP;BTCUSD_20240401_LONG;0.14670632;1.00060560;2024.04.01 01:57:42;2024.04.01 07:57:14;84.048533;443.587483;1.14731192;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
