run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;inside_high;inside_low;inside_range;mother_high;mother_low;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240108;2024.01.08 00:00;2276.22;2206.14;70.08;2295.58;2196.40;SHORT;2024.01.08 00:28;2024.01.08 00:28;2024.01.08 16:41;2206.03;2276.22;2276.23;70.19;70.19000000;-1.00014247;1.79290400;0.02554358;-1.02568605;-1.03845784;STOP;ETHUSD_20240108_SHORT;0.56660493;1.00014247;2024.01.08 04:27:16;2024.01.08 16:41:15;239.047483;973.017950;1.56674740;1;2024.01.08 04:25:39;237.420183;0.26641972;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240118;2024.01.18 00:00;2604.54;2506.35;98.19;2613.53;2500.46;SHORT;2024.01.18 13:24;2024.01.18 13:24;2024.01.18 23:59;2506.18;2604.54;2470.52;98.36;98.36000000;0.36254575;1.99068000;0.02023871;0.34230704;0.33218768;EOD;ETHUSD_20240118_SHORT;0.79666531;0.29910533;2024.01.18 20:57:40;2024.01.18 16:00:33;453.588683;156.465800;0.45516470;1;2024.01.18 19:12:12;348.130083;0.29910533;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240125;2024.01.25 00:00;2264.33;2195.95;68.38;2351.08;2167.72;SHORT;2024.01.25 16:26;2024.01.25 16:26;2024.01.25 23:59;2195.70;2264.33;2221.72;68.63;68.63000000;-0.37913449;1.76696800;0.02574629;-0.40488078;-0.41775393;EOD;ETHUSD_20240125_SHORT;0.35042984;0.52120064;2024.01.25 18:08:40;2024.01.25 22:01:37;102.410983;335.363100;0.87163048;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240226;2024.02.26 00:00;2994.08;2906.56;87.52;3037.50;2906.07;LONG;2024.02.26 00:00;2024.02.26 00:00;2024.02.26 23:59;3104.43;2906.56;3185.43;197.87;197.87000000;0.40935968;2.51594400;0.01271514;0.39664454;0.39028698;EOD;ETHUSD_20240226_LONG;0.47308839;0.34123414;2024.02.26 21:06:41;2024.02.26 10:57:36;1266.688167;657.600000;0.50144034;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240304;2024.03.04 00:00;3451.92;3320.74;131.18;3528.71;3299.98;LONG;2024.03.04 00:00;2024.03.04 00:00;2024.03.04 23:59;3475.40;3320.74;3609.29;154.66;154.66000000;0.86570542;2.83387600;0.01832326;0.84738215;0.83822052;EOD;ETHUSD_20240304_LONG;0.90081469;0.32878572;2024.03.04 20:29:40;2024.03.04 01:49:40;1229.674683;109.672267;0.72151817;1;2024.03.04 16:11:29;971.499983;0.32878572;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240314;2024.03.14 00:00;4086.84;3932.19;154.65;4095.94;3828.73;SHORT;2024.03.14 14:23;2024.03.14 14:23;2024.03.14 23:59;3930.76;4086.84;3866.54;156.08;156.08000000;0.41145566;3.11892000;0.01998283;0.39147283;0.38148142;EOD;ETHUSD_20240314_SHORT;1.33098411;0.14825730;2024.03.14 21:36:17;2024.03.14 15:03:38;432.876200;40.229317;0.96014864;1;2024.03.14 15:54:40;91.263400;0.14825730;1;2024.03.14 20:51:40;388.256433;0.14825730;0;;;;0;;;;0;;;;0.37083547;1.33098411;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240401;2024.04.01 00:00;3586.99;3473.95;113.04;3613.77;3464.82;LONG;2024.04.01 00:00;2024.04.01 00:00;2024.04.01 17:07;3628.00;3473.95;3473.59;154.05;154.05000000;-1.00233690;2.84063600;0.01843970;-1.02077660;-1.02999646;STOP;ETHUSD_20240401_LONG;0.16059721;1.00233690;2024.04.01 01:34:39;2024.04.01 17:07:12;94.650000;1027.203283;1.16293411;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240419;2024.04.19 00:00;3093.84;2951.98;141.86;3122.92;2913.71;SHORT;2024.04.19 03:39;2024.04.19 03:39;2024.04.19 08:52;2951.75;3093.84;3094.10;142.09;142.09000000;-1.00182983;2.41834000;0.01701978;-1.01884960;-1.02735949;STOP;ETHUSD_20240419_SHORT;0.61425857;1.00182983;2024.04.19 04:42:15;2024.04.19 08:52:40;62.871050;313.286100;1.61608839;1;2024.04.19 04:22:41;43.305217;0.10042931;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240429;2024.04.29 00:00;3172.28;3102.34;69.94;3191.93;3071.60;LONG;2024.04.29 00:00;2024.04.29 00:00;2024.04.29 23:59;3307.01;3102.34;3175.57;204.67;204.67000000;-0.64220452;2.59303200;0.01266933;-0.65487386;-0.66120852;EOD;ETHUSD_20240429_LONG;0.02726340;0.93467533;2024.04.29 00:16:39;2024.04.29 15:50:16;16.658817;950.267000;0.96193873;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240503;2024.05.03 00:00;3016.73;2892.36;124.37;3030.27;2815.34;LONG;2024.05.03 04:09;2024.05.03 04:09;2024.05.03 22:54;3016.73;2892.36;3112.24;124.37;124.37000000;0.76795047;2.45158800;0.01971205;0.74823842;0.73838239;EOD;ETHUSD_20240503_LONG;0.89129211;0.47262201;2024.05.03 22:50:15;2024.05.03 09:50:37;1120.849750;341.219633;0.63769398;1;2024.05.03 17:45:37;816.215050;0.47262201;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
