run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;inside_high;inside_low;inside_range;mother_high;mother_low;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;1.10451;1.10411;0.00040;1.10839;1.10337;SHORT;2024.01.02 00:03;2024.01.02 00:03;2024.01.02 23:59;1.10411;1.10451;1.09419;0.00040;40.00000000;24.80000000;10.00000000;0.25000000;24.55000000;24.42500000;EOD;EURUSD_20240102_SHORT;25.60000000;0.62500000;2024.01.02 22:30:00;2024.01.02 02:06:36;1346.933333;123.533333;5.85000000;1;2024.01.02 00:12:00;8.933333;0.17500000;1;2024.01.02 00:32:59;29.916667;0.17500000;1;2024.01.02 03:08:13;185.150000;0.62500000;1;2024.01.02 03:22:05;199.016667;0.62500000;1;2024.01.02 03:53:39;230.583333;0.62500000;-0.62500000;25.60000000;0.55000000;25.60000000;0.55000000;25.60000000;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240109;2024.01.09 00:00;1.09786;1.09223;0.00563;1.09981;1.08766;SHORT;2024.01.09 16:50;2024.01.09 16:50;2024.01.09 23:59;1.09223;1.09786;1.09291;0.00563;563.00000000;-0.12078153;10.00000000;0.01776199;-0.13854352;-0.14742451;EOD;EURUSD_20240109_SHORT;0.21314387;0.39786856;2024.01.09 17:09:36;2024.01.09 19:02:38;18.958683;131.986350;0.61101243;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240115;2024.01.15 00:00;1.09867;1.09357;0.00510;1.09986;1.09300;SHORT;2024.01.15 11:16;2024.01.15 11:16;2024.01.15 23:59;1.09357;1.09867;1.09510;0.00510;510.00000000;-0.30000000;10.00000000;0.01960784;-0.31960784;-0.32941176;EOD;EURUSD_20240115_SHORT;0.03725490;0.46470588;2024.01.15 11:21:15;2024.01.15 13:59:35;4.773817;163.107150;0.50196078;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240122;2024.01.22 00:00;1.08975;1.08654;0.00321;1.09065;1.08464;LONG;2024.01.22 00:00;2024.01.22 00:00;2024.01.22 23:59;1.08975;1.08654;1.08817;0.00321;321.00000000;-0.49221184;10.00000000;0.03115265;-0.52336449;-0.53894081;EOD;EURUSD_20240122_LONG;0.36760125;0.56074766;2024.01.22 07:30:37;2024.01.22 23:10:33;450.025133;1389.958467;0.92834891;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240222;2024.02.22 00:00;1.08240;1.07897;0.00343;1.08385;1.07613;LONG;2024.02.22 01:14;2024.02.22 01:14;2024.02.22 23:59;1.08241;1.07897;1.08219;0.00344;344.00000000;-0.06395349;10.00000000;0.02906977;-0.09302326;-0.10755814;EOD;EURUSD_20240222_LONG;1.85174419;0.62790698;2024.02.22 09:15:40;2024.02.22 15:42:40;480.986217;867.989550;2.47965116;1;2024.02.22 08:05:59;411.300000;0.15697674;1;2024.02.22 09:07:38;472.950000;0.15697674;0;;;;0;;;;0;;;;-0.62790698;1.85174419;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240226;2024.02.26 00:00;1.08392;1.08116;0.00276;1.08878;1.08025;LONG;2024.02.26 10:42;2024.02.26 10:42;2024.02.26 23:59;1.08392;1.08116;1.08493;0.00276;276.00000000;0.36594203;10.00000000;0.03623188;0.32971014;0.31159420;EOD;EURUSD_20240226_LONG;0.73550725;0.07246377;2024.02.26 13:46:35;2024.02.26 10:52:15;184.134100;9.798400;0.76449275;1;2024.02.26 12:25:31;103.065067;0.07246377;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240304;2024.03.04 00:00;1.08430;1.07980;0.00450;1.08556;1.07949;LONG;2024.03.04 00:00;2024.03.04 00:00;2024.03.04 23:59;1.08432;1.07980;1.08529;0.00452;452.00000000;0.21460177;10.00000000;0.02212389;0.19247788;0.18141593;EOD;EURUSD_20240304_LONG;0.51548673;0.12610619;2024.03.04 17:14:37;2024.03.04 09:37:36;1034.072217;577.060383;0.44690265;1;2024.03.04 17:08:59;1028.444450;0.12610619;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240326;2024.03.26 00:00;1.08422;1.08019;0.00403;1.08679;1.08015;LONG;2024.03.26 02:56;2024.03.26 02:56;2024.03.26 23:59;1.08422;1.08019;1.08316;0.00403;403.00000000;-0.26302730;10.00000000;0.02481390;-0.28784119;-0.30024814;EOD;EURUSD_20240326_LONG;0.54342432;0.45161290;2024.03.26 12:36:14;2024.03.26 18:23:34;579.875267;927.200000;0.99503722;1;2024.03.26 12:30:26;574.066667;0.16377171;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240423;2024.04.23 00:00;1.06703;1.06236;0.00467;1.06772;1.06102;LONG;2024.04.23 09:30;2024.04.23 09:30;2024.04.23 23:59;1.06726;1.06236;1.07022;0.00490;490.00000000;0.60408163;10.00000000;0.02040816;0.58367347;0.57346939;EOD;EURUSD_20240423_LONG;0.78367347;0.40000000;2024.04.23 16:36:39;2024.04.23 12:52:59;426.666650;202.985900;0.85102041;1;2024.04.23 15:46:01;376.028033;0.40000000;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240430;2024.04.30 00:00;1.07334;1.06899;0.00435;1.07526;1.06737;SHORT;2024.04.30 08:21;2024.04.30 08:21;2024.04.30 11:36;1.06897;1.07334;1.07335;0.00437;437.00000000;-1.00228833;10.00000000;0.02288330;-1.02517162;-1.03661327;STOP;EURUSD_20240430_SHORT;0.00000000;1.00228833;;2024.04.30 11:36:27;;194.820017;1.00228833;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
