status;source_name;source_version;run_stage;ticks_seen;days_initialized;inside_setup_days;non_inside_days;reference_unusable_days;ambiguous_days;entry_signals;trades_opened;trades_closed;stop_exits;eod_exits;test_end_exits;invalid_price;invalid_risk;risk_fallbacks;pnl_fallbacks;risk_calc_failures;pnl_calc_failures;path_calc_failures;csv_trade_rows;path_rows;symbol;timeframe;asset_class;commission_rule;fatal_status;trades_name;stats_name;trades_csv_fullpath;stats_csv_fullpath
INIT;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
READY;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;250000;4;2;2;0;0;2;2;2;1;1;0;0;0;0;0;0;0;0;2;2;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;500000;8;4;4;0;0;3;3;3;1;2;0;0;0;0;0;0;0;0;3;3;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;750000;11;4;7;0;0;3;3;3;1;2;0;0;0;0;0;0;0;0;3;3;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;1000000;14;4;10;0;0;3;3;3;1;2;0;0;0;0;0;0;0;0;3;3;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;1250000;18;4;14;0;0;3;3;3;1;2;0;0;0;0;0;0;0;0;3;3;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;1500000;22;4;18;0;0;3;3;3;1;2;0;0;0;0;0;0;0;0;3;3;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;1750000;25;4;21;0;0;3;3;3;1;2;0;0;0;0;0;0;0;0;3;3;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;2000000;28;5;23;0;0;4;4;4;1;3;0;0;0;0;0;0;0;0;4;4;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;2250000;32;5;27;0;0;4;4;4;1;3;0;0;0;0;0;0;0;0;4;4;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;2500000;36;6;30;0;0;5;5;5;1;4;0;0;0;0;0;0;0;0;5;5;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;2750000;40;8;32;0;0;6;6;6;1;5;0;0;0;0;0;0;0;0;6;6;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;3000000;44;10;34;0;0;8;8;8;1;7;0;0;0;0;0;0;0;0;8;8;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;3250000;48;10;38;0;0;8;8;8;1;7;0;0;0;0;0;0;0;0;8;8;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;3500000;51;10;41;0;0;8;8;8;1;7;0;0;0;0;0;0;0;0;8;8;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;3750000;55;11;44;0;0;9;9;9;2;7;0;0;0;0;0;0;0;0;9;9;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;4000000;59;11;48;0;0;9;9;9;2;7;0;0;0;0;0;0;0;0;9;9;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;4250000;65;13;52;0;0;10;10;10;2;8;0;0;0;0;0;0;0;0;10;10;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
PROGRESS;D039_InsideDay_TickPath_M15_v1_00.mq5;1.00;RUN;4500000;69;13;56;0;0;11;11;11;2;9;0;0;0;0;0;0;0;0;11;11;GBPUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;;D039_V100_RUN_GBPUSD_TRADES.csv;D039_V100_RUN_GBPUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_GBPUSD_STATS.csv
