run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;inside_high;inside_low;inside_range;mother_high;mother_low;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;1.27320;1.27164;0.00156;1.27719;1.26994;LONG;2024.01.02 00:00;2024.01.02 00:00;2024.01.02 03:37;1.27326;1.27164;1.27162;0.00162;162.00000000;-1.01234568;10.00000000;0.06172840;-1.07407407;-1.10493827;STOP;GBPUSD_20240102_LONG;0.11728395;1.01234568;2024.01.02 00:08:36;2024.01.02 03:37:37;8.233333;217.250000;1.12962963;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240104;2024.01.04 00:00;1.26755;1.26147;0.00608;1.27588;1.26097;LONG;2024.01.04 05:02;2024.01.04 05:02;2024.01.04 23:59;1.26755;1.26147;1.26815;0.00608;608.00000000;0.09868421;10.00000000;0.01644737;0.08223684;0.07401316;EOD;GBPUSD_20240104_LONG;0.87500000;0.21381579;2024.01.04 11:27:39;2024.01.04 06:43:36;385.393117;101.333333;1.06743421;1;2024.01.04 09:55:39;293.385500;0.21381579;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240110;2024.01.10 00:00;1.27642;1.26885;0.00757;1.27661;1.26724;SHORT;2024.01.10 07:47;2024.01.10 07:47;2024.01.10 23:59;1.26885;1.27642;1.27427;0.00757;757.00000000;-0.71598415;10.00000000;0.01321004;-0.72919419;-0.73579921;EOD;GBPUSD_20240110_SHORT;0.03566711;0.77542933;2024.01.10 07:52:59;2024.01.10 23:06:39;5.766667;919.433333;0.81109643;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240207;2024.02.07 00:00;1.26020;1.25315;0.00705;1.26299;1.25170;LONG;2024.02.07 00:00;2024.02.07 00:00;2024.02.07 23:59;1.26021;1.25315;1.26266;0.00706;706.00000000;0.34702550;10.00000000;0.01416431;0.33286119;0.32577904;EOD;GBPUSD_20240207_LONG;0.54815864;0.09206799;2024.02.07 16:45:38;2024.02.07 01:51:34;1005.003017;110.933333;0.38810198;1;2024.02.07 11:35:04;694.433333;0.09206799;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240216;2024.02.16 00:00;1.26015;1.25408;0.00607;1.26100;1.25343;LONG;2024.02.16 00:00;2024.02.16 00:00;2024.02.16 22:58;1.26022;1.25408;1.25996;0.00614;614.00000000;-0.04234528;10.00000000;0.01628664;-0.05863192;-0.06677524;EOD;GBPUSD_20240216_LONG;0.34364821;0.85667752;2024.02.16 20:17:11;2024.02.16 14:39:15;1217.183333;879.257667;0.90065147;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240222;2024.02.22 00:00;1.26408;1.26014;0.00394;1.26675;1.25782;LONG;2024.02.22 00:01;2024.02.22 00:01;2024.02.22 23:59;1.26409;1.26014;1.26561;0.00395;395.00000000;0.38481013;10.00000000;0.02531646;0.35949367;0.34683544;EOD;GBPUSD_20240222_LONG;1.70126582;0.76962025;2024.02.22 09:29:38;2024.02.22 16:10:14;568.042850;968.646267;2.47088608;1;2024.02.22 08:17:39;496.066650;0.27341772;1;2024.02.22 09:07:35;545.992100;0.27341772;0;;;;0;;;;0;;;;-0.76962025;1.70126582;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240226;2024.02.26 00:00;1.27002;1.26469;0.00533;1.27081;1.26105;LONG;2024.02.26 13:21;2024.02.26 13:21;2024.02.26 23:59;1.27003;1.26469;1.26830;0.00534;534.00000000;-0.32397004;10.00000000;0.01872659;-0.34269663;-0.35205993;EOD;GBPUSD_20240226_LONG;0.00000000;0.57303371;;2024.02.26 19:36:13;;374.683333;0.57303371;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240228;2024.02.28 00:00;1.26960;1.26595;0.00365;1.26986;1.26554;SHORT;2024.02.28 06:30;2024.02.28 06:30;2024.02.28 23:59;1.26595;1.26960;1.26621;0.00365;365.00000000;-0.07123288;10.00000000;0.02739726;-0.09863014;-0.11232877;EOD;GBPUSD_20240228_SHORT;1.01369863;0.40547945;2024.02.28 11:00:38;2024.02.28 18:05:39;270.066150;695.072400;1.41917808;1;2024.02.28 09:24:35;174.013667;0.10410959;1;2024.02.28 11:00:36;270.024900;0.10410959;0;;;;0;;;;0;;;;-0.40547945;1.01369863;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240314;2024.03.14 00:00;1.28104;1.27732;0.00372;1.28228;1.27450;LONG;2024.03.14 10:12;2024.03.14 10:12;2024.03.14 15:47;1.28104;1.27732;1.27732;0.00372;372.00000000;-1.00000000;10.00000000;0.02688172;-1.02688172;-1.04032258;STOP;GBPUSD_20240314_LONG;0.30913978;1.00000000;2024.03.14 12:16:35;2024.03.14 15:47:29;124.523350;335.436567;1.30913978;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240326;2024.03.26 00:00;1.26517;1.25906;0.00611;1.26741;1.25743;LONG;2024.03.26 08:28;2024.03.26 08:28;2024.03.26 23:59;1.26518;1.25906;1.26265;0.00612;612.00000000;-0.41339869;10.00000000;0.01633987;-0.42973856;-0.43790850;EOD;GBPUSD_20240326_LONG;0.24673203;0.50653595;2024.03.26 12:32:11;2024.03.26 23:20:36;244.050000;892.466667;0.75326797;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
