run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;inside_high;inside_low;inside_range;mother_high;mother_low;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;140.962;140.799;0.163;141.906;140.791;LONG;2024.01.02 00:33;2024.01.02 00:33;2024.01.02 23:59;140.964;140.799;142.024;0.165;117.19000000;6.36871747;10.00000000;0.08533151;6.28338595;6.24072020;EOD;USDJPY_20240102_LONG;7.45268368;0.41786842;2024.01.02 13:47:15;2024.01.02 00:36:00;794.254233;3.000000;4.28039935;1;2024.01.02 00:48:33;15.559517;0.41786842;1;2024.01.02 01:02:13;29.216667;0.41786842;1;2024.01.02 01:21:34;48.580633;0.41786842;1;2024.01.02 03:31:33;178.550000;0.41786842;1;2024.01.02 12:33:39;720.660367;0.41786842;0.80433484;7.45268368;1.02184487;7.45268368;1.93873197;7.45268368;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240119;2024.01.19 00:00;148.294;147.645;0.649;148.514;147.086;LONG;2024.01.19 02:26;2024.01.19 02:26;2024.01.19 22:59;148.294;147.645;148.049;0.649;439.57000000;-0.37648156;10.00000000;0.02274951;-0.39923107;-0.41060582;EOD;USDJPY_20240119_LONG;0.77054849;0.71713265;2024.01.19 07:31:15;2024.01.19 11:16:39;305.156083;530.555650;1.48768114;1;2024.01.19 06:40:27;254.355150;0.24417044;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240126;2024.01.26 00:00;147.938;147.072;0.866;148.379;146.642;LONG;2024.01.26 10:05;2024.01.26 10:05;2024.01.26 22:59;147.939;147.072;148.139;0.867;589.51000000;0.22902071;10.00000000;0.01696324;0.21205747;0.20357585;EOD;USDJPY_20240126_LONG;0.29646656;0.62723279;2024.01.26 19:54:14;2024.01.26 14:30:15;588.599017;264.616650;0.78875676;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240215;2024.02.15 00:00;150.772;150.335;0.437;150.876;149.255;SHORT;2024.02.15 01:43;2024.02.15 01:43;2024.02.15 23:59;150.334;150.772;149.927;0.438;290.50000000;0.93449225;10.00000000;0.03442341;0.90006885;0.88285714;EOD;USDJPY_20240215_SHORT;1.83469880;0.17621343;2024.02.15 14:30:41;2024.02.15 01:53:05;767.428850;9.835050;1.64912220;1;2024.02.15 06:14:52;271.606400;0.17621343;1;2024.02.15 14:30:04;766.816683;0.17621343;0;;;;0;;;;0;;;;0.18557659;1.83469880;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240220;2024.02.20 00:00;150.185;149.867;0.318;150.639;149.820;LONG;2024.02.20 00:21;2024.02.20 00:21;2024.02.20 15:21;150.185;149.867;149.867;0.318;212.19000000;-1.00000000;10.00000000;0.04712757;-1.04712757;-1.07069136;STOP;USDJPY_20240220_LONG;0.78632358;1.00000000;2024.02.20 07:05:15;2024.02.20 15:21:39;403.629167;900.027683;1.78632358;1;2024.02.20 03:25:17;183.658700;0.04392290;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240222;2024.02.22 00:00;150.383;149.842;0.541;150.436;149.676;LONG;2024.02.22 00:49;2024.02.22 00:49;2024.02.22 23:59;150.384;149.842;150.493;0.542;361.71000000;0.20024329;10.00000000;0.02764646;0.17259683;0.15877360;EOD;USDJPY_20240222_LONG;0.54676398;0.69113378;2024.02.22 18:09:38;2024.02.22 09:11:42;1039.662500;501.726333;0.82159741;1;2024.02.22 18:05:36;1035.622717;0.69113378;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240312;2024.03.12 00:00;147.139;146.475;0.664;148.109;146.470;LONG;2024.03.12 04:06;2024.03.12 04:06;2024.03.12 23:59;147.139;146.475;147.612;0.664;453.32000000;0.70685167;10.00000000;0.02205947;0.68479220;0.67376246;EOD;USDJPY_20240312_LONG;1.51868437;0.12150357;2024.03.12 14:30:41;2024.03.12 14:41:15;624.013300;634.582117;1.64018795;1;2024.03.12 07:36:59;210.302300;0.06297979;1;2024.03.12 14:30:30;623.820850;0.06297979;0;;;;0;;;;0;;;;-0.12150357;1.51868437;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240314;2024.03.14 00:00;148.037;147.223;0.814;148.159;146.609;LONG;2024.03.14 15:09;2024.03.14 15:09;2024.03.14 23:59;148.037;147.223;148.278;0.814;552.90000000;0.29395912;10.00000000;0.01808645;0.27587267;0.26682944;EOD;USDJPY_20240314_LONG;0.38160608;0.75082293;2024.03.14 20:30:32;2024.03.14 15:22:42;320.848817;13.028033;0.75082293;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240326;2024.03.26 00:00;151.536;151.043;0.493;151.854;150.995;LONG;2024.03.26 17:52;2024.03.26 17:52;2024.03.26 23:59;151.536;151.043;151.506;0.493;326.40000000;-0.06066176;10.00000000;0.03063725;-0.09129902;-0.10661765;EOD;USDJPY_20240326_LONG;0.11317402;0.20637255;2024.03.26 17:58:41;2024.03.26 19:09:35;6.062500;76.972000;0.31954657;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240401;2024.04.01 00:00;151.489;151.162;0.327;151.537;151.141;LONG;2024.04.01 14:23;2024.04.01 14:23;2024.04.01 23:59;151.490;151.162;151.622;0.328;216.99000000;0.40121665;10.00000000;0.04608507;0.35513157;0.33208904;EOD;USDJPY_20240401_LONG;0.83506152;0.21305129;2024.04.01 17:07:14;2024.04.01 14:46:32;163.593033;22.882183;0.59486612;1;2024.04.01 16:00:05;96.432183;0.21305129;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240418;2024.04.18 00:00;154.724;154.150;0.574;154.777;153.893;SHORT;2024.04.18 04:13;2024.04.18 04:13;2024.04.18 23:59;154.149;154.724;154.622;0.575;371.63000000;-0.82315744;10.00000000;0.02690848;-0.85006593;-0.86352017;EOD;USDJPY_20240418_SHORT;0.32158330;0.93934828;2024.04.18 04:15:15;2024.04.18 22:38:06;2.197983;1105.037117;1.26093157;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240501;2024.05.01 00:00;157.838;156.053;1.785;160.185;154.499;LONG;2024.05.01 02:24;2024.05.01 02:24;2024.05.01 22:16;157.838;156.053;156.049;1.785;1143.84000000;-1.00226430;10.00000000;0.00874248;-1.01100678;-1.01537802;STOP;USDJPY_20240501_LONG;0.07802665;1.00226430;2024.05.01 09:07:05;2024.05.01 22:16:20;402.514117;1191.766750;1.08029095;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240503;2024.05.03 00:00;156.278;153.048;3.230;157.979;152.992;SHORT;2024.05.03 01:14;2024.05.03 01:14;2024.05.03 22:59;153.046;156.278;153.026;3.232;2068.11000000;0.00631978;10.00000000;0.00483533;0.00148445;-0.00093322;EOD;USDJPY_20240503_SHORT;0.37474312;0.13044761;2024.05.03 14:39:42;2024.05.03 02:40:15;805.129767;85.667917;0.38643012;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240513;2024.05.13 00:00;155.895;155.258;0.637;155.946;155.147;LONG;2024.05.13 02:11;2024.05.13 02:11;2024.05.13 23:59;155.895;155.258;156.188;0.637;410.28000000;0.45722433;10.00000000;0.02437360;0.43285074;0.42066394;EOD;USDJPY_20240513_LONG;0.54443307;0.62069806;2024.05.13 19:39:38;2024.05.13 03:12:40;1048.000000;61.035000;0.70822365;1;2024.05.13 17:29:13;917.583333;0.62069806;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240527;2024.05.27 00:00;157.138;156.815;0.323;157.189;156.522;SHORT;2024.05.27 00:01;2024.05.27 00:01;2024.05.27 23:59;156.813;157.138;156.933;0.325;206.82000000;-0.36974180;10.00000000;0.04835122;-0.41809303;-0.44226864;EOD;USDJPY_20240527_SHORT;0.42587757;0.52054927;2024.05.27 05:04:11;2024.05.27 23:01:37;302.783333;1380.216667;0.94642684;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240603;2024.06.03 00:00;157.357;156.553;0.804;157.664;156.365;LONG;2024.06.03 05:51;2024.06.03 05:51;2024.06.03 16:00;157.359;156.553;156.552;0.806;514.84000000;-1.00124310;10.00000000;0.01942351;-1.02066661;-1.03037837;STOP;USDJPY_20240603_LONG;0.12829228;1.00124310;2024.06.03 05:56:39;2024.06.03 16:00:04;5.372550;608.798850;1.12953539;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240607;2024.06.07 00:00;156.437;155.344;1.093;156.477;154.767;SHORT;2024.06.07 08:07;2024.06.07 08:07;2024.06.07 14:30;155.342;156.437;156.450;1.095;699.96000000;-1.01178639;10.00000000;0.01428653;-1.02607292;-1.03321618;STOP;USDJPY_20240607_SHORT;0.19246814;1.01178639;2024.06.07 09:32:15;2024.06.07 14:30:41;84.614300;383.052267;1.20425453;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240614;2024.06.14 00:00;157.304;156.574;0.730;157.362;155.711;LONG;2024.06.14 03:18;2024.06.14 03:18;2024.06.14 22:58;157.305;156.574;157.365;0.731;466.87000000;0.08167156;10.00000000;0.02141924;0.06025232;0.04954270;EOD;USDJPY_20240614_LONG;1.27637244;0.69670358;2024.06.14 08:14:15;2024.06.14 05:10:15;295.644200;111.649983;1.86347377;1;2024.06.14 05:24:38;126.033317;0.69670358;1;2024.06.14 07:52:27;273.834933;0.69670358;0;;;;0;;;;0;;;;-0.58710133;1.27637244;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240618;2024.06.18 00:00;157.954;157.150;0.804;158.248;156.795;LONG;2024.06.18 08:36;2024.06.18 08:36;2024.06.18 23:59;157.955;157.150;157.812;0.805;512.25000000;-0.17688629;10.00000000;0.01952172;-0.19640800;-0.20616886;EOD;USDJPY_20240618_LONG;0.32942899;0.41987311;2024.06.18 10:17:35;2024.06.18 14:42:15;101.522550;366.186733;0.74930210;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240620;2024.06.20 00:00;158.125;157.595;0.530;158.222;157.509;LONG;2024.06.20 03:31;2024.06.20 03:31;2024.06.20 23:59;158.125;157.595;158.904;0.530;336.31000000;1.45767298;10.00000000;0.02973447;1.42793851;1.41307127;EOD;USDJPY_20240620_LONG;1.52469448;0.18628646;2024.06.20 22:59:12;2024.06.20 03:41:40;1167.950000;10.416667;0.42755196;1;2024.06.20 10:15:27;404.213150;0.18628646;1;2024.06.20 15:32:36;721.353950;0.18628646;0;;;;0;;;;0;;;;0.91296720;1.52469448;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240626;2024.06.26 00:00;159.750;159.182;0.568;159.918;158.739;LONG;2024.06.26 02:21;2024.06.26 02:21;2024.06.26 23:59;159.751;159.182;160.760;0.569;357.45000000;1.75588194;10.00000000;0.02797594;1.72790600;1.71391803;EOD;USDJPY_20240626_LONG;1.92698279;0.13140299;2024.06.26 22:51:37;2024.06.26 02:52:35;1230.016683;30.997017;0.68957896;1;2024.06.26 11:35:14;553.637633;0.13140299;1;2024.06.26 12:55:40;634.068283;0.13140299;0;;;;0;;;;0;;;;0.44062107;1.92698279;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240628;2024.06.28 00:00;160.825;160.280;0.545;160.859;159.607;LONG;2024.06.28 02:51;2024.06.28 02:51;2024.06.28 15:40;160.825;160.280;160.280;0.545;340.03000000;-1.00000000;10.00000000;0.02940917;-1.02940917;-1.04411375;STOP;USDJPY_20240628_LONG;0.83513219;1.00000000;2024.06.28 03:30:41;2024.06.28 15:40:38;39.048050;768.987817;1.83513219;1;2024.06.28 02:59:30;7.864600;0.02926212;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
