run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;inside_high;inside_low;inside_range;mother_high;mother_low;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240105;2024.01.05 00:00;2050.87;2036.19;14.68;2065.90;2030.56;SHORT;2024.01.05 15:30;2024.01.05 15:30;2024.01.05 17:00;2036.15;2050.87;2050.89;14.72;1472.00000000;-1.00135870;6.53926400;0.00444243;-1.00580113;-1.00802235;STOP;XAUUSD_20240105_SHORT;0.78396739;1.00135870;2024.01.05 15:31:40;2024.01.05 17:00:17;1.661250;90.268850;1.78532609;1;2024.01.05 15:30:37;0.614283;0.00679348;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240110;2024.01.10 00:00;2041.89;2026.04;15.85;2046.54;2016.71;SHORT;2024.01.10 07:48;2024.01.10 07:48;2024.01.10 23:59;2026.02;2041.89;2024.54;15.87;1587.00000000;0.09325772;6.48089600;0.00408374;0.08917398;0.08713211;EOD;XAUUSD_20240110_SHORT;0.34404537;0.90044108;2024.01.10 21:17:41;2024.01.10 12:04:40;809.064883;256.047183;1.02331443;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240116;2024.01.16 00:00;2058.58;2045.76;12.82;2062.20;2028.54;SHORT;2024.01.16 10:34;2024.01.16 10:34;2024.01.16 23:59;2045.76;2058.58;2028.50;12.82;1282.00000000;1.34633385;6.51881600;0.00508488;1.34124897;1.33870653;EOD;XAUUSD_20240116_SHORT;1.66692668;0.01794072;2024.01.16 20:53:14;2024.01.16 10:34:36;618.712333;0.078583;1.07956318;1;2024.01.16 11:22:27;47.938900;0.01794072;1;2024.01.16 15:14:30;279.980883;0.01794072;0;;;;0;;;;0;;;;0.04680187;1.66692668;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240119;2024.01.19 00:00;2023.24;2005.73;17.51;2032.87;2001.81;LONG;2024.01.19 01:00;2024.01.19 01:00;2024.01.19 23:44;2023.86;2005.73;2029.54;18.13;1813.00000000;0.31329288;6.48544000;0.00357719;0.30971570;0.30792710;EOD;XAUUSD_20240119_LONG;0.85493657;0.19249862;2024.01.19 15:32:15;2024.01.19 07:41:30;872.254900;401.500000;0.89354661;1;2024.01.19 14:04:28;784.473683;0.19249862;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240207;2024.02.07 00:00;2038.86;2022.85;16.01;2042.19;2014.86;LONG;2024.02.07 16:43;2024.02.07 16:43;2024.02.07 23:59;2038.88;2022.85;2034.92;16.03;1603.00000000;-0.24703681;6.51808000;0.00406618;-0.25110298;-0.25313607;EOD;XAUUSD_20240207_LONG;0.35184030;0.33374922;2024.02.07 16:48:42;2024.02.07 23:29:42;5.627150;406.612867;0.68558952;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240212;2024.02.12 00:00;2037.12;2020.28;16.84;2038.65;2020.12;SHORT;2024.02.12 12:02;2024.02.12 12:02;2024.02.12 23:59;2020.26;2037.12;2020.16;16.86;1686.00000000;0.00593120;6.46467200;0.00383433;0.00209687;0.00017971;EOD;XAUUSD_20240212_SHORT;0.49110320;0.44068802;2024.02.12 18:02:41;2024.02.12 15:20:15;360.095850;197.650683;0.57532622;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240227;2024.02.27 00:00;2036.96;2025.04;11.92;2041.29;2015.98;LONG;2024.02.27 10:23;2024.02.27 10:23;2024.02.27 23:59;2036.99;2025.04;2030.26;11.95;1195.00000000;-0.56317992;6.50760000;0.00544569;-0.56862561;-0.57134845;EOD;XAUUSD_20240227_LONG;0.20334728;0.69037657;2024.02.27 10:51:38;2024.02.27 22:29:15;28.181000;725.794650;0.89372385;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240312;2024.03.12 00:00;2188.94;2174.80;14.14;2195.10;2153.94;SHORT;2024.03.12 08:44;2024.03.12 08:44;2024.03.12 23:59;2174.78;2188.94;2158.53;14.16;1416.00000000;1.14759887;6.93329600;0.00489640;1.14270247;1.14025428;EOD;XAUUSD_20240312_SHORT;1.69491525;0.52401130;2024.03.12 22:03:16;2024.03.12 15:41:43;798.779850;417.223100;1.45762712;1;2024.03.12 15:30:13;405.721733;0.31214689;1;2024.03.12 16:05:26;440.943267;0.52401130;0;;;;0;;;;0;;;;0.48234463;1.69491525;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240314;2024.03.14 00:00;2179.79;2155.73;24.06;2184.70;2150.54;SHORT;2024.03.14 18:35;2024.03.14 18:35;2024.03.14 23:59;2155.69;2179.79;2162.17;24.10;2410.00000000;-0.26887967;6.90857600;0.00286663;-0.27174630;-0.27317961;EOD;XAUUSD_20240314_SHORT;0.11369295;0.39336100;2024.03.14 18:41:41;2024.03.14 20:15:42;6.000500;100.017800;0.50705394;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240318;2024.03.18 00:00;2172.65;2155.11;17.54;2176.92;2152.72;SHORT;2024.03.18 01:00;2024.03.18 01:00;2024.03.18 23:59;2155.10;2172.65;2160.56;17.55;1755.00000000;-0.31111111;6.90505600;0.00393450;-0.31504562;-0.31701287;EOD;XAUUSD_20240318_SHORT;0.50427350;0.49230769;2024.03.18 06:16:38;2024.03.18 15:37:15;316.597367;877.220600;0.99658120;1;2024.03.18 06:16:38;316.597367;0.14700855;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
