status;source_name;source_version;run_stage;ticks_seen;days_initialized;nr4_setup_days;non_nr4_days;reference_unusable_days;ambiguous_days;entry_signals;trades_opened;trades_closed;stop_exits;eod_exits;test_end_exits;invalid_price;invalid_risk;risk_fallbacks;pnl_fallbacks;risk_calc_failures;pnl_calc_failures;path_calc_failures;csv_trade_rows;path_rows;symbol;timeframe;asset_class;commission_rule;fatal_status;trades_name;stats_name;trades_csv_fullpath;stats_csv_fullpath
INIT;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
READY;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;250000;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;500000;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;750000;6;1;5;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;1000000;8;1;7;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;1250000;10;1;9;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;1500000;12;3;9;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;2;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;1750000;14;4;10;0;0;3;3;3;0;3;0;0;0;0;0;0;0;0;3;3;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
PROGRESS;D040_NR4_TickPath_M15_v1_00.mq5;1.00;RUN;2000000;16;4;12;0;0;3;3;3;0;3;0;0;0;0;0;0;0;0;3;3;BTCUSD;PERIOD_M15;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;;D040_V100_RUN_BTCUSD_TRADES.csv;D040_V100_RUN_BTCUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D040_V100_RUN_BTCUSD_STATS.csv
