run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240102;2024.01.02 00:00;2349.56;2265.16;84.40;LONG;2024.01.02 00:27;2024.01.02 00:27;2024.01.02 23:59;2349.68;2265.16;2359.46;84.52;84.52000000;0.11571226;1.88365600;0.02228651;0.09342575;0.08228249;EOD;ETHUSD_20240102_LONG;0.98130620;0.09914813;2024.01.02 09:36:38;2024.01.02 22:04:15;548.715300;1296.326267;1.08045433;1;2024.01.02 01:59:27;91.530583;0.04093706;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240108;2024.01.08 00:00;2276.22;2206.14;70.08;SHORT;2024.01.08 00:28;2024.01.08 00:28;2024.01.08 16:41;2206.03;2276.22;2276.23;70.19;70.19000000;-1.00014247;1.79290400;0.02554358;-1.02568605;-1.03845784;STOP;ETHUSD_20240108_SHORT;0.56660493;1.00014247;2024.01.08 04:27:16;2024.01.08 16:41:15;239.047483;973.017950;1.56674740;1;2024.01.08 04:25:39;237.420183;0.26641972;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240112;2024.01.12 00:00;2689.54;2542.65;146.89;LONG;2024.01.12 14:48;2024.01.12 14:48;2024.01.12 22:10;2689.83;2542.65;2542.56;147.18;147.18000000;-1.00061150;2.09295600;0.01422038;-1.01483188;-1.02194207;STOP;ETHUSD_20240112_LONG;0.18446800;1.00061150;2024.01.12 16:11:14;2024.01.12 22:10:19;82.599117;441.684167;1.18507949;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240116;2024.01.16 00:00;2554.14;2469.99;84.15;LONG;2024.01.16 16:25;2024.01.16 16:25;2024.01.16 23:59;2554.43;2469.99;2592.73;84.44;84.44000000;0.45357650;2.05886400;0.02438257;0.42919394;0.41700265;EOD;ETHUSD_20240116_LONG;0.69990526;0.06300332;2024.01.16 22:38:35;2024.01.16 17:19:38;373.169550;54.219550;0.28375178;1;2024.01.16 22:29:21;363.947317;0.06300332;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240122;2024.01.22 00:00;2505.55;2415.98;89.57;SHORT;2024.01.22 06:00;2024.01.22 06:00;2024.01.22 23:59;2415.62;2505.55;2320.69;89.93;89.93000000;1.05559880;1.89452400;0.02106665;1.03453215;1.02399882;EOD;ETHUSD_20240122_SHORT;1.26064717;0.23106861;2024.01.22 23:46:38;2024.01.22 07:40:41;1066.351033;100.391583;0.51617925;1;2024.01.22 11:26:36;326.315400;0.23106861;1;2024.01.22 20:38:36;878.315867;0.23106861;0;;;;0;;;;0;;;;0.71577894;1.26064717;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240125;2024.01.25 00:00;2264.33;2195.95;68.38;SHORT;2024.01.25 16:26;2024.01.25 16:26;2024.01.25 23:59;2195.70;2264.33;2221.72;68.63;68.63000000;-0.37913449;1.76696800;0.02574629;-0.40488078;-0.41775393;EOD;ETHUSD_20240125_SHORT;0.35042984;0.52120064;2024.01.25 18:08:40;2024.01.25 22:01:37;102.410983;335.363100;0.87163048;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240202;2024.02.02 00:00;2312.42;2238.86;73.56;LONG;2024.02.02 01:16;2024.02.02 01:16;2024.02.02 22:54;2312.57;2238.86;2297.84;73.71;73.71000000;-0.19983720;1.84416400;0.02501918;-0.22485638;-0.23736597;EOD;ETHUSD_20240202_LONG;0.16510650;0.41554742;2024.02.02 13:16:13;2024.02.02 15:02:37;719.977550;826.381133;0.58065391;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240205;2024.02.05 00:00;2324.74;2281.94;42.80;SHORT;2024.02.05 01:40;2024.02.05 01:40;2024.02.05 09:55;2281.92;2324.74;2324.86;42.82;42.82000000;-1.00280243;1.84271200;0.04303391;-1.04583634;-1.06735329;STOP;ETHUSD_20240205_SHORT;0.30499766;1.00280243;2024.02.05 02:13:34;2024.02.05 09:55:40;33.250000;495.350000;1.30780009;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240209;2024.02.09 00:00;2463.90;2412.11;51.79;LONG;2024.02.09 04:14;2024.02.09 04:14;2024.02.09 22:54;2464.05;2412.11;2502.15;51.94;51.94000000;0.73353870;1.98648000;0.03824567;0.69529303;0.67617020;EOD;ETHUSD_20240209_LONG;1.19156719;0.45764343;2024.02.09 13:08:37;2024.02.09 06:21:14;534.360967;126.963683;0.95090489;1;2024.02.09 12:50:13;515.947317;0.45764343;1;2024.02.09 13:08:14;533.964583;0.45764343;0;;;;0;;;;0;;;;0.24066230;1.19156719;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240226;2024.02.26 00:00;2994.08;2906.56;87.52;LONG;2024.02.26 00:00;2024.02.26 00:00;2024.02.26 23:59;3104.43;2906.56;3185.43;197.87;197.87000000;0.40935968;2.51594400;0.01271514;0.39664454;0.39028698;EOD;ETHUSD_20240226_LONG;0.47308839;0.34123414;2024.02.26 21:06:41;2024.02.26 10:57:36;1266.688167;657.600000;0.50144034;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
