run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240102;2024.01.02 00:00;1.10451;1.10411;0.00040;SHORT;2024.01.02 00:03;2024.01.02 00:03;2024.01.02 23:59;1.10411;1.10451;1.09419;0.00040;40.00000000;24.80000000;10.00000000;0.25000000;24.55000000;24.42500000;EOD;EURUSD_20240102_SHORT;25.60000000;0.62500000;2024.01.02 22:30:00;2024.01.02 02:06:36;1346.933333;123.533333;5.85000000;1;2024.01.02 00:12:00;8.933333;0.17500000;1;2024.01.02 00:32:59;29.916667;0.17500000;1;2024.01.02 03:08:13;185.150000;0.62500000;1;2024.01.02 03:22:05;199.016667;0.62500000;1;2024.01.02 03:53:39;230.583333;0.62500000;-0.62500000;25.60000000;0.55000000;25.60000000;0.55000000;25.60000000;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240110;2024.01.10 00:00;1.09661;1.09102;0.00559;LONG;2024.01.10 16:45;2024.01.10 16:45;2024.01.10 23:59;1.09661;1.09102;1.09716;0.00559;559.00000000;0.09838998;10.00000000;0.01788909;0.08050089;0.07155635;EOD;EURUSD_20240110_LONG;0.11985689;0.24865832;2024.01.10 22:58:37;2024.01.10 17:37:10;373.205567;51.755567;0.29874776;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240111;2024.01.11 00:00;1.09728;1.09227;0.00501;LONG;2024.01.11 00:00;2024.01.11 00:00;2024.01.11 23:59;1.09728;1.09227;1.09716;0.00501;501.00000000;-0.02395210;10.00000000;0.01996008;-0.04391218;-0.05389222;EOD;EURUSD_20240111_LONG;0.51497006;0.85429142;2024.01.11 14:30:16;2024.01.11 16:14:39;870.185133;974.580900;1.36926148;1;2024.01.11 14:30:15;870.177367;0.28942116;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240116;2024.01.16 00:00;1.09673;1.09332;0.00341;SHORT;2024.01.16 01:40;2024.01.16 01:40;2024.01.16 23:59;1.09332;1.09673;1.08781;0.00341;341.00000000;1.61583578;10.00000000;0.02932551;1.58651026;1.57184751;EOD;EURUSD_20240116_SHORT;2.10263930;0.02639296;2024.01.16 23:01:13;2024.01.16 01:40:59;1280.650000;0.416667;0.96480938;1;2024.01.16 02:06:38;26.081967;0.02639296;1;2024.01.16 09:36:36;476.035017;0.02639296;1;2024.01.16 18:15:14;994.681033;0.02639296;0;;;;0;;;;0.71847507;2.10263930;1.56598240;2.10263930;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240122;2024.01.22 00:00;1.08975;1.08654;0.00321;LONG;2024.01.22 00:00;2024.01.22 00:00;2024.01.22 23:59;1.08975;1.08654;1.08817;0.00321;321.00000000;-0.49221184;10.00000000;0.03115265;-0.52336449;-0.53894081;EOD;EURUSD_20240122_LONG;0.36760125;0.56074766;2024.01.22 07:30:37;2024.01.22 23:10:33;450.025133;1389.958467;0.92834891;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240123;2024.01.23 00:00;1.09093;1.08795;0.00298;SHORT;2024.01.23 00:00;2024.01.23 00:00;2024.01.23 07:48;1.08794;1.09093;1.09130;0.00299;299.00000000;-1.12374582;10.00000000;0.03344482;-1.15719064;-1.17391304;STOP;EURUSD_20240123_SHORT;0.11036789;1.12374582;2024.01.23 01:00:38;2024.01.23 07:48:00;60.266667;467.633333;1.23411371;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240129;2024.01.29 00:00;1.08856;1.08126;0.00730;SHORT;2024.01.29 15:14;2024.01.29 15:14;2024.01.29 23:59;1.08125;1.08856;1.08343;0.00731;731.00000000;-0.29822161;10.00000000;0.01367989;-0.31190150;-0.31874145;EOD;EURUSD_20240129_SHORT;0.22298222;0.38714090;2024.01.29 17:02:14;2024.01.29 21:18:38;108.039733;364.429033;0.61012312;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240130;2024.01.30 00:00;1.08499;1.07957;0.00542;LONG;2024.01.30 13:58;2024.01.30 13:58;2024.01.30 23:59;1.08499;1.07957;1.08434;0.00542;542.00000000;-0.11992620;10.00000000;0.01845018;-0.13837638;-0.14760148;EOD;EURUSD_20240130_LONG;0.13284133;0.40959410;2024.01.30 15:50:15;2024.01.30 16:17:16;111.651900;138.676917;0.54243542;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240131;2024.01.31 00:00;1.08571;1.08117;0.00454;SHORT;2024.01.31 08:45;2024.01.31 08:45;2024.01.31 14:30;1.08116;1.08571;1.08571;0.00455;455.00000000;-1.00000000;10.00000000;0.02197802;-1.02197802;-1.03296703;STOP;EURUSD_20240131_SHORT;0.12087912;1.00000000;2024.01.31 08:48:36;2024.01.31 14:30:24;3.185900;344.996850;1.12087912;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240206;2024.02.06 00:00;1.07859;1.07230;0.00629;SHORT;2024.02.06 13:33;2024.02.06 13:33;2024.02.06 23:59;1.07229;1.07859;1.07537;0.00630;630.00000000;-0.48888889;10.00000000;0.01587302;-0.50476190;-0.51269841;EOD;EURUSD_20240206_SHORT;0.00317460;0.55238095;2024.02.06 13:33:39;2024.02.06 21:58:32;0.053333;504.933350;0.55555556;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240207;2024.02.07 00:00;1.07621;1.07223;0.00398;LONG;2024.02.07 01:53;2024.02.07 01:53;2024.02.07 23:59;1.07626;1.07223;1.07715;0.00403;403.00000000;0.22084367;10.00000000;0.02481390;0.19602978;0.18362283;EOD;EURUSD_20240207_LONG;0.52357320;0.17617866;2024.02.07 14:31:40;2024.02.07 16:56:39;758.666667;903.660550;0.69975186;1;2024.02.07 14:31:28;758.466667;0.15632754;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
