run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260102;2026.01.02 00:00;89195.68;87244.94;1950.74;LONG;2026.01.02 10:59;2026.01.02 10:59;2026.01.02 23:59;89195.71;87244.94;90061.17;1950.77;1950.77000000;0.44365046;71.70275200;0.03675613;0.40689433;0.38851626;EOD;BTCUSD_20260102_LONG;0.90290501;0.37753297;2026.01.02 19:16:16;2026.01.02 16:33:16;496.633417;333.630217;0.75281043;1;2026.01.02 18:30:37;450.987300;0.37753297;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260109;2026.01.09 00:00;91683.09;89310.00;2373.09;LONG;2026.01.09 17:28;2026.01.09 17:28;2026.01.09 23:59;91685.17;89310.00;90537.46;2375.17;2375.17000000;-0.48321173;72.88905200;0.03068793;-0.51389966;-0.52924362;EOD;BTCUSD_20260109_LONG;0.14358551;0.66319042;2026.01.09 17:35:42;2026.01.09 23:07:17;6.995183;338.583683;0.80677594;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260112;2026.01.12 00:00;92026.21;89694.93;2331.28;LONG;2026.01.12 04:46;2026.01.12 04:46;2026.01.12 23:59;92026.36;89694.93;91050.21;2331.43;2331.43000000;-0.41869153;73.23062800;0.03141018;-0.45010171;-0.46580680;EOD;BTCUSD_20260112_LONG;0.20985404;0.81623724;2026.01.12 05:23:16;2026.01.12 16:24:43;36.974550;698.424617;1.02609128;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260119;2026.01.19 00:00;95865.93;94288.39;1577.54;SHORT;2026.01.19 01:46;2026.01.19 01:46;2026.01.19 23:59;94287.49;95865.93;93019.91;1578.44;1578.44000000;0.80305872;74.92296000;0.04746646;0.75559226;0.73185903;EOD;BTCUSD_20260119_SHORT;1.49545120;0.01344365;2026.01.19 02:03:16;2026.01.19 01:46:21;16.919317;0.000000;0.95648869;1;2026.01.19 02:00:30;14.163867;0.01344365;1;2026.01.19 02:02:20;15.988133;0.01344365;0;;;;0;;;;0;;;;0.53896252;1.49545120;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260123;2026.01.23 00:00;90372.68;88510.20;1862.48;LONG;2026.01.23 18:41;2026.01.23 18:41;2026.01.23 23:59;90373.35;88510.20;89345.23;1863.15;1863.15000000;-0.55181816;71.88743200;0.03858381;-0.59040197;-0.60969388;EOD;BTCUSD_20260123_LONG;0.45478893;0.62714221;2026.01.23 19:37:42;2026.01.23 22:47:16;56.070000;245.625667;1.08193114;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260129;2026.01.29 00:00;90595.69;88834.79;1760.90;SHORT;2026.01.29 03:25;2026.01.29 03:25;2026.01.29 23:59;88834.52;90595.69;84542.95;1761.17;1761.17000000;2.43677215;69.35098800;0.03937779;2.39739435;2.37770546;EOD;BTCUSD_20260129_SHORT;3.08573846;0.04673598;2026.01.29 21:00:43;2026.01.29 03:46:42;1055.195667;21.190583;0.77828375;1;2026.01.29 04:46:40;81.141800;0.04673598;1;2026.01.29 16:58:29;812.963617;0.04673598;1;2026.01.29 17:17:39;832.131417;0.04673598;1;2026.01.29 20:52:40;1047.151500;0.04673598;0;;;;0.98690075;3.08573846;1.71081724;3.08573846;2.35642783;3.08573846;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260210;2026.02.10 00:00;72266.67;68301.10;3965.57;SHORT;2026.02.10 16:40;2026.02.10 16:40;2026.02.10 23:59;68299.79;72266.67;68654.31;3966.88;3966.88000000;-0.08936998;54.78164000;0.01380975;-0.10317974;-0.11008462;EOD;BTCUSD_20260210_SHORT;0.09244797;0.43122807;2026.02.10 16:42:43;2026.02.10 19:41:42;2.208467;181.201050;0.52367604;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260211;2026.02.11 00:00;70715.16;67911.91;2803.25;SHORT;2026.02.11 06:23;2026.02.11 06:23;2026.02.11 23:59;67911.40;70715.16;67830.37;2803.76;2803.76000000;0.02890048;54.29670800;0.01936568;0.00953480;-0.00014804;EOD;BTCUSD_20260211_SHORT;0.76297543;0.33257483;2026.02.11 17:14:16;2026.02.11 16:10:43;650.799967;587.246933;0.92885625;1;2026.02.11 12:53:28;390.005933;0.00756841;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260217;2026.02.17 00:00;70122.25;67289.32;2832.93;SHORT;2026.02.17 16:42;2026.02.17 16:42;2026.02.17 23:59;67288.11;70122.25;67697.06;2834.14;2834.14000000;-0.14429421;53.99406800;0.01905131;-0.16334552;-0.17287117;EOD;BTCUSD_20260217_SHORT;0.22958993;0.34018080;2026.02.17 17:33:43;2026.02.17 21:15:16;51.228300;272.777933;0.56977072;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260218;2026.02.18 00:00;69230.97;66616.27;2614.70;SHORT;2026.02.18 20:42;2026.02.18 20:42;2026.02.18 23:59;66615.00;69230.97;66359.22;2615.97;2615.97000000;0.09777635;53.18968800;0.02033268;0.07744367;0.06727733;EOD;BTCUSD_20260218_SHORT;0.27856971;0.00818052;2026.02.18 21:39:17;2026.02.18 20:42:31;56.774067;0.000000;0.25674989;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260219;2026.02.19 00:00;68471.62;65864.87;2606.75;SHORT;2026.02.19 15:49;2026.02.19 15:49;2026.02.19 23:59;65864.31;68471.62;66926.90;2607.31;2607.31000000;-0.40754264;53.11648400;0.02037214;-0.42791478;-0.43810085;EOD;BTCUSD_20260219_SHORT;0.08284017;0.51810487;2026.02.19 16:36:16;2026.02.19 21:08:16;46.777017;318.779350;0.60094504;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260220;2026.02.20 00:00;67315.68;65627.17;1688.51;LONG;2026.02.20 02:26;2026.02.20 02:26;2026.02.20 23:59;67316.20;65627.17;67819.01;1689.03;1689.03000000;0.29769157;54.05408400;0.03200303;0.26568854;0.24968702;EOD;BTCUSD_20260220_LONG;0.59077103;0.53319361;2026.02.20 12:08:42;2026.02.20 15:39:42;582.497717;793.501317;1.12396464;1;2026.02.20 11:03:25;517.211500;0.12198126;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260306;2026.03.06 00:00;73553.93;70640.62;2913.31;SHORT;2026.03.06 03:26;2026.03.06 03:26;2026.03.06 23:59;70639.54;73553.93;68305.77;2914.39;2914.39000000;0.80077478;55.57812400;0.01907024;0.78170453;0.77216941;EOD;BTCUSD_20260306_SHORT;0.98756515;0.27340884;2026.03.06 19:43:16;2026.03.06 04:26:16;976.775383;59.775383;0.35748133;1;2026.03.06 16:00:20;753.851933;0.27340884;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260313;2026.03.13 00:00;70945.69;69208.18;1737.51;LONG;2026.03.13 03:12;2026.03.13 03:12;2026.03.13 23:59;70945.76;69208.18;71342.00;1737.58;1737.58000000;0.22804130;56.91510400;0.03275539;0.19528591;0.17890822;EOD;BTCUSD_20260313_LONG;1.70559053;0.06299566;2026.03.13 17:32:42;2026.03.13 21:19:16;860.043883;1086.597617;1.76858619;1;2026.03.13 03:31:21;18.684233;0.02170835;1;2026.03.13 15:46:39;753.983667;0.02170835;0;;;;0;;;;0;;;;-0.06299566;1.70559053;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260323;2026.03.23 00:00;71362.69;69383.33;1979.36;SHORT;2026.03.23 00:00;2026.03.23 00:00;2026.03.23 14:12;68196.64;71362.69;71362.98;3166.05;3166.05000000;-1.00009160;55.82384800;0.01763202;-1.01772361;-1.02653962;STOP;BTCUSD_20260323_SHORT;0.25883672;1.00009160;2026.03.23 00:20:16;2026.03.23 14:12:29;20.268117;852.486383;1.25892832;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260401;2026.04.01 00:00;68585.16;65993.50;2591.66;LONG;2026.04.01 08:25;2026.04.01 08:25;2026.04.01 23:59;68585.81;65993.50;68186.84;2592.31;2592.31000000;-0.15390520;54.70906000;0.02110437;-0.17500957;-0.18556175;EOD;BTCUSD_20260401_LONG;0.27750925;0.25532440;2026.04.01 10:10:17;2026.04.01 16:43:43;104.972317;498.396550;0.53283365;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260402;2026.04.02 00:00;69305.20;67583.82;1721.38;SHORT;2026.04.02 04:18;2026.04.02 04:18;2026.04.02 23:59;67583.39;69305.20;66955.53;1721.81;1721.81000000;0.36465115;53.81556800;0.03125523;0.33339592;0.31776831;EOD;BTCUSD_20260402_SHORT;1.07508959;0.15298436;2026.04.02 16:35:43;2026.04.02 04:21:16;737.219400;2.769667;0.99611455;1;2026.04.02 05:44:28;85.978850;0.15298436;1;2026.04.02 16:35:27;736.957500;0.15298436;0;;;;0;;;;0;;;;0.07897503;1.07508959;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260406;2026.04.06 00:00;67364.70;66277.10;1087.60;LONG;2026.04.06 00:00;2026.04.06 00:00;2026.04.06 23:59;67668.15;66277.10;69821.38;1391.05;1391.05000000;1.54791704;54.99581200;0.03953547;1.50838157;1.48861384;EOD;BTCUSD_20260406_LONG;1.92566766;0.23440566;2026.04.06 19:48:16;2026.04.06 01:26:42;1188.269033;86.711400;0.79396858;1;2026.04.06 01:58:13;118.230117;0.23440566;1;2026.04.06 02:32:29;152.486483;0.23440566;0;;;;0;;;;0;;;;0.79335754;1.92566766;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260410;2026.04.10 00:00;72545.46;70461.06;2084.40;LONG;2026.04.10 00:06;2026.04.10 00:06;2026.04.10 23:59;72545.65;70461.06;73357.22;2084.59;2084.59000000;0.38931876;58.36114800;0.02799646;0.36132230;0.34732407;EOD;BTCUSD_20260410_LONG;0.42214056;0.53937225;2026.04.10 23:31:16;2026.04.10 11:04:16;1404.804550;657.802717;0.82258861;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260413;2026.04.13 00:00;73425.64;71421.28;2004.36;SHORT;2026.04.13 00:00;2026.04.13 00:00;2026.04.13 22:52;71331.16;73425.64;73425.94;2094.48;2094.48000000;-1.00014323;57.90284000;0.02764545;-1.02778868;-1.04161141;STOP;BTCUSD_20260413_SHORT;0.38643959;1.00014323;2026.04.13 01:30:42;2026.04.13 22:52:14;90.713800;1372.242017;1.38658283;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260416;2026.04.16 00:00;75276.73;73509.96;1766.77;LONG;2026.04.16 01:39;2026.04.16 01:39;2026.04.16 16:54;75277.66;73509.96;73509.42;1767.70;1767.70000000;-1.00030548;59.51483200;0.03366795;-1.03397343;-1.05080740;STOP;BTCUSD_20260416_LONG;0.08100922;1.00030548;2026.04.16 01:39:43;2026.04.16 16:54:32;0.214883;915.033967;1.08131470;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260422;2026.04.22 00:00;76898.66;74816.58;2082.08;LONG;2026.04.22 05:16;2026.04.22 05:16;2026.04.22 23:59;76899.58;74816.58;78422.60;2083.00;2083.00000000;0.73116659;62.12887200;0.02982663;0.70133996;0.68642664;EOD;BTCUSD_20260422_LONG;1.23337014;0.05747000;2026.04.22 19:05:17;2026.04.22 05:23:16;828.830567;6.801583;0.50968315;1;2026.04.22 08:17:31;181.053100;0.05747000;1;2026.04.22 17:11:41;715.228400;0.05747000;0;;;;0;;;;0;;;;0.72368699;1.23337014;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260427;2026.04.27 00:00;78576.66;77358.79;1217.87;LONG;2026.04.27 00:55;2026.04.27 00:55;2026.04.27 18:04;78577.18;77358.79;77357.11;1218.39;1218.39000000;-1.00137887;62.37371600;0.05119356;-1.05257242;-1.07816920;STOP;BTCUSD_20260427_LONG;0.74220898;1.00137887;2026.04.27 04:01:43;2026.04.27 18:04:28;186.715017;1029.463917;1.74358785;1;2026.04.27 03:55:37;180.622083;0.49892071;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260501;2026.05.01 00:00;76664.86;75318.64;1346.22;LONG;2026.05.01 04:48;2026.05.01 04:48;2026.05.01 23:59;76664.90;75318.64;77872.61;1346.26;1346.26000000;0.89708526;61.81500400;0.04591610;0.85116916;0.82821111;EOD;BTCUSD_20260501_LONG;1.66755307;0.10317472;2026.05.01 16:55:43;2026.05.01 05:58:16;727.413133;69.963283;0.87019595;1;2026.05.01 06:20:40;92.370250;0.10317472;1;2026.05.01 15:34:01;645.713767;0.10317472;0;;;;0;;;;0;;;;0.79735712;1.66755307;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260511;2026.05.11 00:00;80496.08;79171.15;1324.93;LONG;2026.05.11 00:00;2026.05.11 00:00;2026.05.11 23:59;80743.63;79171.15;81816.60;1572.48;1572.48000000;0.68234254;65.02409200;0.04135130;0.64099124;0.62031559;EOD;BTCUSD_20260511_LONG;1.09693605;0.18442842;2026.05.11 02:15:42;2026.05.11 17:32:42;135.715000;1052.712600;1.28136447;1;2026.05.11 01:27:28;87.470583;0.11725427;1;2026.05.11 02:02:30;122.513467;0.11725427;0;;;;0;;;;0;;;;-0.18442842;1.09693605;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260520;2026.05.20 00:00;77409.36;76137.23;1272.13;LONG;2026.05.20 09:50;2026.05.20 09:50;2026.05.20 23:59;77409.58;76137.23;77720.38;1272.35;1272.35000000;0.24427241;62.05198400;0.04876959;0.19550282;0.17111803;EOD;BTCUSD_20260520_LONG;0.34532951;0.41304672;2026.05.20 18:16:16;2026.05.20 17:13:16;505.603650;442.603683;0.67545880;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260528;2026.05.28 00:00;76170.18;74655.55;1514.63;SHORT;2026.05.28 00:40;2026.05.28 00:40;2026.05.28 23:59;74654.32;76170.18;73596.38;1515.86;1515.86000000;0.69791406;59.30028000;0.03911989;0.65879416;0.63923422;EOD;BTCUSD_20260528_SHORT;1.35569248;0.10229837;2026.05.28 17:07:16;2026.05.28 00:42:43;986.628550;2.079733;0.76980064;1;2026.05.28 06:18:20;337.696717;0.10229837;1;2026.05.28 06:55:41;375.043517;0.10229837;0;;;;0;;;;0;;;;0.58589184;1.35569248;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260609;2026.06.09 00:00;64223.56;61639.62;2583.94;SHORT;2026.06.09 17:21;2026.06.09 17:21;2026.06.09 23:59;61639.59;64223.56;62176.37;2583.97;2583.97000000;-0.20773461;49.52638400;0.01916678;-0.22690139;-0.23648478;EOD;BTCUSD_20260609_SHORT;0.32832425;0.25132645;2026.06.09 19:40:16;2026.06.09 23:15:16;138.594567;353.595917;0.57965069;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260611;2026.06.11 00:00;62853.29;60756.18;2097.11;LONG;2026.06.11 06:56;2026.06.11 06:56;2026.06.11 23:59;62854.22;60756.18;63386.55;2098.04;2098.04000000;0.25372729;50.49630800;0.02406832;0.22965896;0.21762480;EOD;BTCUSD_20260611_LONG;0.51052887;0.24829841;2026.06.11 22:33:43;2026.06.11 20:27:16;937.006217;810.555167;0.43837105;1;2026.06.11 22:33:40;936.954383;0.24829841;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260615;2026.06.15 00:00;64390.32;62829.77;1560.55;LONG;2026.06.15 00:15;2026.06.15 00:15;2026.06.15 23:59;64391.01;62829.77;66515.84;1561.24;1561.24000000;1.36098870;52.36274000;0.03353920;1.32744950;1.31067990;EOD;BTCUSD_20260615_LONG;1.85556353;0.02690169;2026.06.15 19:00:00;2026.06.15 00:17:16;1124.354033;1.624933;0.60176526;1;2026.06.15 00:40:28;24.832283;0.02690169;1;2026.06.15 06:46:42;391.059900;0.02690169;0;;;;0;;;;0;;;;0.70911583;1.85556353;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260622;2026.06.22 00:00;63412.36;62307.63;1104.73;LONG;2026.06.22 00:00;2026.06.22 00:00;2026.06.22 23:59;63859.28;62307.63;64428.77;1551.65;1551.65000000;0.36702220;51.31522000;0.03307139;0.33395081;0.31741512;EOD;BTCUSD_20260622_LONG;1.13418619;0.38451970;2026.06.22 17:00:16;2026.06.22 02:47:16;1020.270900;167.266767;0.87000290;1;2026.06.22 04:26:28;266.483100;0.38451970;1;2026.06.22 16:44:35;1004.596983;0.38451970;0;;;;0;;;;0;;;;0.26418329;1.13418619;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260629;2026.06.29 00:00;60751.60;58329.34;2422.26;LONG;2026.06.29 15:08;2026.06.29 15:08;2026.06.29 23:59;60751.86;58329.34;60288.77;2422.52;2422.52000000;-0.19116044;48.41625200;0.01998590;-0.21114635;-0.22113930;TEST_END;BTCUSD_20260629_LONG;0.00984925;0.72214471;2026.06.29 15:13:42;2026.06.29 17:15:16;5.479833;127.033267;0.73199396;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;

