run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260102;2026.01.02 00:00;3026.90;2956.39;70.51;LONG;2026.01.02 05:41;2026.01.02 05:41;2026.01.02 23:59;3026.90;2956.39;3128.57;70.51;70.51000000;1.44192313;2.46218800;0.03491970;1.40700343;1.38954358;EOD;ETHUSD_20260102_LONG;1.72003971;0.28052758;2026.01.02 19:16:16;2026.01.02 07:23:16;815.019967;102.022800;0.79336264;1;2026.01.02 12:07:40;386.432850;0.28052758;1;2026.01.02 16:50:31;669.270717;0.28052758;0;;;;0;;;;0;;;;0.38037158;1.72003971;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260112;2026.01.12 00:00;3146.72;3056.80;89.92;LONG;2026.01.12 04:15;2026.01.12 04:15;2026.01.12 23:59;3146.80;3056.80;3090.54;90.00;90.00000000;-0.62511111;2.49493600;0.02772151;-0.65283262;-0.66669338;EOD;ETHUSD_20260112_LONG;0.26422222;0.93333333;2026.01.12 05:15:16;2026.01.12 16:24:42;59.795317;729.240067;1.19755556;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260119;2026.01.19 00:00;3325.74;3251.68;74.06;LONG;2026.01.19 00:00;2026.01.19 00:00;2026.01.19 02:01;3340.97;3251.68;3251.66;89.29;89.29000000;-1.00022399;2.63705200;0.02953356;-1.02975755;-1.04452434;STOP;ETHUSD_20260119_LONG;0.16306417;1.00022399;2026.01.19 00:13:41;2026.01.19 02:01:30;13.689267;121.515300;1.16328816;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260123;2026.01.23 00:00;3043.74;2903.78;139.96;SHORT;2026.01.23 16:37;2026.01.23 16:37;2026.01.23 23:59;2903.70;3043.74;2942.93;140.04;140.04000000;-0.28013425;2.33865200;0.01669989;-0.29683413;-0.30518408;EOD;ETHUSD_20260123_SHORT;0.09540131;0.81712368;2026.01.23 16:40:16;2026.01.23 19:36:42;2.612183;179.052200;0.91252499;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260126;2026.01.26 00:00;3017.58;2889.79;127.79;SHORT;2026.01.26 00:00;2026.01.26 00:00;2026.01.26 23:59;2816.08;3017.58;2927.88;201.50;201.50000000;-0.55483871;2.29758400;0.01140240;-0.56624111;-0.57194231;EOD;ETHUSD_20260126_SHORT;0.15151365;0.66540943;2026.01.26 01:01:41;2026.01.26 17:15:43;61.692000;1035.720433;0.81692308;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260129;2026.01.29 00:00;3044.68;2981.20;63.48;SHORT;2026.01.29 04:31;2026.01.29 04:31;2026.01.29 23:59;2981.01;3044.68;2819.28;63.67;63.67000000;2.54012879;2.32011600;0.03643970;2.50368908;2.48546923;EOD;ETHUSD_20260129_SHORT;3.58159259;0.00863829;2026.01.29 20:54:42;2026.01.29 04:31:27;983.258533;0.000000;1.11999372;1;2026.01.29 04:48:41;17.236333;0.00863829;1;2026.01.29 16:29:38;718.184433;0.00863829;1;2026.01.29 17:03:28;752.027633;0.00863829;1;2026.01.29 20:30:28;959.028750;0.00863829;0;;;;0.90136642;3.58159259;1.91518769;3.58159259;2.46159887;3.58159259;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260210;2026.02.10 00:00;2150.56;2007.32;143.24;SHORT;2026.02.10 08:48;2026.02.10 08:48;2026.02.10 23:59;2007.28;2150.56;2007.25;143.28;143.28000000;0.00020938;1.60581200;0.01120751;-0.01099813;-0.01660188;EOD;ETHUSD_20260210_SHORT;0.13518984;0.27226410;2026.02.10 16:42:43;2026.02.10 19:41:43;474.194617;653.196883;0.40745394;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260211;2026.02.11 00:00;2125.04;1987.36;137.68;SHORT;2026.02.11 06:23;2026.02.11 06:23;2026.02.11 23:59;1987.28;2125.04;1969.87;137.76;137.76000000;0.12637921;1.58286000;0.01148998;0.11488923;0.10914424;EOD;ETHUSD_20260211_SHORT;0.62086237;0.20368757;2026.02.11 17:14:16;2026.02.11 16:10:42;650.766383;587.207900;0.62253194;1;2026.02.11 17:09:18;645.796683;0.20368757;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260212;2026.02.12 00:00;2031.24;1901.20;130.04;SHORT;2026.02.12 18:31;2026.02.12 18:31;2026.02.12 23:59;1901.15;2031.24;1923.01;130.09;130.09000000;-0.16803751;1.52966400;0.01175851;-0.17979602;-0.18567527;EOD;ETHUSD_20260212_SHORT;0.03174725;0.30425090;2026.02.12 18:31:42;2026.02.12 21:32:43;0.205833;181.214883;0.33599816;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20260213;2026.02.13 00:00;2000.20;1896.47;103.73;LONG;2026.02.13 16:48;2026.02.13 16:48;2026.02.13 23:59;2000.22;1896.47;2052.82;103.75;103.75000000;0.50698795;1.62121600;0.01562618;0.49136177;0.48354868;EOD;ETHUSD_20260213_LONG;0.69301205;0.14380723;2026.02.13 18:32:42;2026.02.13 16:57:16;103.994400;8.548067;0.32983133;1;2026.02.13 18:07:27;78.732717;0.14380723;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
