run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260108;2026.01.08 00:00;1.17028;1.16729;0.00299;SHORT;2026.01.08 00:00;2026.01.08 00:00;2026.01.08 23:59;1.16724;1.17028;1.16595;0.00304;304.00000000;0.42434211;10.00000000;0.03289474;0.39144737;0.37500000;EOD;EURUSD_20260108_SHORT;0.97039474;0.35526316;2026.01.08 21:01:37;2026.01.08 08:03:07;1261.626650;483.116667;0.65131579;1;2026.01.08 16:19:33;979.558433;0.35526316;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260115;2026.01.15 00:00;1.16617;1.16353;0.00264;SHORT;2026.01.15 03:34;2026.01.15 03:34;2026.01.15 23:59;1.16353;1.16617;1.16085;0.00264;264.00000000;1.01515152;10.00000000;0.03787879;0.97727273;0.95833333;EOD;EURUSD_20260115_SHORT;1.59469697;0.23863636;2026.01.15 16:43:15;2026.01.15 05:45:04;788.757683;130.571350;0.92045455;1;2026.01.15 14:57:56;683.442183;0.23863636;1;2026.01.15 15:31:40;717.182733;0.23863636;0;;;;0;;;;0;;;;0.67424242;1.59469697;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260204;2026.02.04 00:00;1.18289;1.17801;0.00488;LONG;2026.02.04 03:44;2026.02.04 03:44;2026.02.04 23:59;1.18289;1.17801;1.18066;0.00488;488.00000000;-0.45696721;10.00000000;0.02049180;-0.47745902;-0.48770492;EOD;EURUSD_20260204_LONG;0.18852459;0.78483607;2026.02.04 10:13:05;2026.02.04 18:18:42;388.840900;874.457917;0.97336066;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260205;2026.02.05 00:00;1.18381;1.17906;0.00475;SHORT;2026.02.05 04:48;2026.02.05 04:48;2026.02.05 23:59;1.17903;1.18381;1.17787;0.00478;478.00000000;0.24267782;10.00000000;0.02092050;0.22175732;0.21129707;EOD;EURUSD_20260205_SHORT;0.30334728;0.68200837;2026.02.05 23:39:39;2026.02.05 16:15:17;1130.957700;686.598017;0.86610879;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260206;2026.02.06 00:00;1.18217;1.17746;0.00471;SHORT;2026.02.06 02:15;2026.02.06 02:15;2026.02.06 16:37;1.17746;1.18217;1.18218;0.00471;471.00000000;-1.00212314;10.00000000;0.02123142;-1.02335456;-1.03397028;STOP;EURUSD_20260206_SHORT;0.16772824;1.00212314;2026.02.06 02:21:42;2026.02.06 16:37:37;6.665983;862.581250;1.16985138;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260211;2026.02.11 00:00;1.19286;1.18866;0.00420;SHORT;2026.02.11 01:45;2026.02.11 01:45;2026.02.11 23:59;1.18866;1.19286;1.18723;0.00420;420.00000000;0.34047619;10.00000000;0.02380952;0.31666667;0.30476190;EOD;EURUSD_20260211_SHORT;1.27857143;0.97142857;2026.02.11 15:33:43;2026.02.11 12:56:15;827.741217;670.275917;1.44761905;1;2026.02.11 15:30:31;824.535067;0.97142857;1;2026.02.11 15:30:42;824.718383;0.97142857;0;;;;0;;;;0;;;;-0.16904762;1.27857143;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260213;2026.02.13 00:00;1.18899;1.18523;0.00376;SHORT;2026.02.13 09:03;2026.02.13 09:03;2026.02.13 23:59;1.18523;1.18899;1.18704;0.00376;376.00000000;-0.48138298;10.00000000;0.02659574;-0.50797872;-0.52127660;EOD;EURUSD_20260213_SHORT;0.13031915;0.86702128;2026.02.13 09:37:37;2026.02.13 15:30:43;34.182867;387.276333;0.99734043;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260217;2026.02.17 00:00;1.18743;1.18462;0.00281;SHORT;2026.02.17 02:36;2026.02.17 02:36;2026.02.17 23:59;1.18462;1.18743;1.18562;0.00281;281.00000000;-0.35587189;10.00000000;0.03558719;-0.39145907;-0.40925267;EOD;EURUSD_20260217_SHORT;1.46263345;0.35587189;2026.02.17 17:51:05;2026.02.17 23:59:59;914.502983;1283.400000;1.81850534;1;2026.02.17 09:38:40;422.099583;0.09964413;1;2026.02.17 15:43:38;787.062117;0.13523132;0;;;;0;;;;0;;;;-0.35587189;1.46263345;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260224;2026.02.24 00:00;1.18348;1.17744;0.00604;SHORT;2026.02.24 03:26;2026.02.24 03:26;2026.02.24 23:59;1.17743;1.18348;1.17729;0.00605;605.00000000;0.02314050;10.00000000;0.01652893;0.00661157;-0.00165289;EOD;EURUSD_20260224_SHORT;0.11735537;0.33057851;2026.02.24 17:19:39;2026.02.24 11:37:15;833.258833;490.850017;0.41652893;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20260225;2026.02.25 00:00;1.17963;1.17660;0.00303;LONG;2026.02.25 06:56;2026.02.25 06:56;2026.02.25 23:59;1.17963;1.17660;1.18095;0.00303;303.00000000;0.43564356;10.00000000;0.03300330;0.40264026;0.38613861;EOD;EURUSD_20260225_LONG;0.59405941;0.83498350;2026.02.25 19:41:37;2026.02.25 13:30:06;765.000000;393.494433;1.22112211;1;2026.02.25 19:13:26;736.828783;0.83498350;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
