run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260105;2026.01.05 00:00;157.002;156.520;0.482;LONG;2026.01.05 01:45;2026.01.05 01:45;2026.01.05 14:33;157.002;156.520;156.520;0.482;307.95000000;-1.00000000;10.00000000;0.03247280;-1.03247280;-1.04870921;STOP;USDJPY_20260105_LONG;0.61311901;1.00000000;2026.01.05 06:30:14;2026.01.05 14:33:38;284.993300;768.390500;1.61311901;1;2026.01.05 02:53:41;68.446567;0.18002923;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260116;2026.01.16 00:00;158.880;158.195;0.685;SHORT;2026.01.16 04:39;2026.01.16 04:39;2026.01.16 23:58;158.195;158.880;158.111;0.685;431.14000000;0.12323143;10.00000000;0.02319432;0.10003711;0.08843995;EOD;USDJPY_20260116_SHORT;0.53933757;0.38057244;2026.01.16 17:01:40;2026.01.16 08:49:32;742.034783;249.890167;0.70357656;1;2026.01.16 16:53:41;734.042400;0.38057244;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260123;2026.01.23 00:00;158.896;158.176;0.720;LONG;2026.01.23 08:48;2026.01.23 08:48;2026.01.23 09:43;158.901;158.176;158.173;0.725;458.35000000;-1.00416712;10.00000000;0.02181739;-1.02598451;-1.03689320;STOP;USDJPY_20260123_LONG;0.44806371;1.00416712;2026.01.23 09:33:41;2026.01.23 09:43:30;44.979300;54.804000;1.45223083;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260130;2026.01.30 00:00;153.539;152.679;0.860;LONG;2026.01.30 02:42;2026.01.30 02:42;2026.01.30 23:58;153.540;152.679;154.755;0.861;563.93000000;1.39221180;10.00000000;0.01773270;1.37447910;1.36561275;EOD;USDJPY_20260130_LONG;1.43654354;0.09128793;2026.01.30 23:39:41;2026.01.30 03:42:15;1257.609433;60.169933;0.67898498;1;2026.01.30 04:37:40;115.585667;0.09128793;1;2026.01.30 16:27:03;824.975950;0.09128793;0;;;;0;;;;0;;;;0.72005391;1.43654354;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260204;2026.02.04 00:00;156.083;155.302;0.781;LONG;2026.02.04 03:01;2026.02.04 03:01;2026.02.04 23:59;156.083;155.302;156.865;0.781;502.89000000;0.99131023;10.00000000;0.01988506;0.97142516;0.96148263;EOD;USDJPY_20260204_LONG;1.09342003;0.04460220;2026.02.04 23:02:31;2026.02.04 03:16:15;1200.847800;14.581133;0.64165126;1;2026.02.04 10:25:27;443.781133;0.04460220;1;2026.02.04 21:30:35;1108.915400;0.04460220;0;;;;0;;;;0;;;;0.91558790;1.09342003;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260209;2026.02.09 00:00;157.254;156.510;0.744;LONG;2026.02.09 00:00;2026.02.09 00:00;2026.02.09 03:30;157.625;156.510;156.510;1.115;712.41000000;-1.00000000;10.00000000;0.01403686;-1.01403686;-1.02105529;STOP;USDJPY_20260209_LONG;0.03116183;1.00000000;2026.02.09 01:15:15;2026.02.09 03:30:31;75.256083;210.517850;1.03116183;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260217;2026.02.17 00:00;153.639;152.596;1.043;LONG;2026.02.17 01:09;2026.02.17 01:09;2026.02.17 23:59;153.639;152.596;153.278;1.043;683.50000000;-0.34457937;10.00000000;0.01463058;-0.35920995;-0.36652524;EOD;USDJPY_20260217_LONG;0.27183614;0.89774689;2026.02.17 17:46:15;2026.02.17 11:00:15;996.819533;590.823767;1.00811997;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260220;2026.02.20 00:00;155.344;154.545;0.799;LONG;2026.02.20 07:47;2026.02.20 07:47;2026.02.20 23:59;155.345;154.545;155.056;0.800;517.65000000;-0.36005023;10.00000000;0.01931807;-0.37936830;-0.38902734;EOD;USDJPY_20260220_LONG;0.37111948;0.78537622;2026.02.20 11:02:59;2026.02.20 18:13:15;195.323033;625.593067;1.15649570;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260227;2026.02.27 00:00;156.433;155.701;0.732;SHORT;2026.02.27 02:31;2026.02.27 02:31;2026.02.27 23:58;155.699;156.433;156.080;0.734;469.21000000;-0.52025745;10.00000000;0.02131242;-0.54156987;-0.55222608;EOD;USDJPY_20260227_SHORT;0.21101426;0.73932781;2026.02.27 06:47:41;2026.02.27 11:15:14;256.013400;523.571883;0.95034206;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20260302;2026.03.02 00:00;156.236;155.538;0.698;LONG;2026.03.02 00:10;2026.03.02 00:10;2026.03.02 23:59;156.238;155.538;157.342;0.700;450.05000000;1.55907121;10.00000000;0.02221975;1.53685146;1.52574158;EOD;USDJPY_20260302_LONG;2.13529608;0.20926564;2026.03.02 17:37:15;2026.03.02 00:51:42;1047.031367;41.466667;0.92294190;1;2026.03.02 01:33:39;83.422033;0.20926564;1;2026.03.02 08:23:33;493.319600;0.20926564;1;2026.03.02 17:14:40;1024.434667;0.20926564;0;;;;0;;;;0.78651261;2.13529608;1.24168426;2.13529608;;;0;
