run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;nr4_high;nr4_low;nr4_range;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260107;2026.01.07 00:00;4497.43;4427.86;69.57;LONG;2026.01.07 01:00;2026.01.07 01:00;2026.01.07 15:10;4497.43;4427.86;4427.66;69.57;6957.00000000;-1.00287480;14.28014400;0.00205263;-1.00492743;-1.00595375;STOP;XAUUSD_20260107_LONG;0.04312204;1.00287480;2026.01.07 01:27:15;2026.01.07 15:10:16;26.591733;849.607967;1.04599684;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260112;2026.01.12 00:00;4517.14;4452.87;64.27;LONG;2026.01.12 01:00;2026.01.12 01:00;2026.01.12 23:59;4519.06;4452.87;4597.58;66.19;6619.00000000;1.18628192;14.58662400;0.00220375;1.18407817;1.18297629;EOD;XAUUSD_20260112_LONG;1.67986101;0.08520925;2026.01.12 18:18:16;2026.01.12 01:01:42;1038.271200;1.715167;0.61897568;1;2026.01.12 02:13:41;73.688117;0.08520925;1;2026.01.12 02:39:30;99.502850;0.08520925;0;;;;0;;;;0;;;;0.64405499;1.67986101;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260115;2026.01.15 00:00;4642.98;4588.72;54.26;SHORT;2026.01.15 03:31;2026.01.15 03:31;2026.01.15 23:59;4588.71;4642.98;4616.21;54.27;5427.00000000;-0.50672563;14.72787200;0.00271381;-0.50943945;-0.51079635;EOD;XAUUSD_20260115_SHORT;0.13359130;0.67145753;2026.01.15 07:18:16;2026.01.15 18:18:16;226.626817;886.629700;0.80504883;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260116;2026.01.16 00:00;4632.84;4581.18;51.66;SHORT;2026.01.16 17:27;2026.01.16 17:27;2026.01.16 23:57;4581.18;4632.84;4596.17;51.66;5166.00000000;-0.29016647;14.68376000;0.00284238;-0.29300886;-0.29443005;EOD;XAUUSD_20260116_SHORT;0.85830430;0.35017422;2026.01.16 17:34:16;2026.01.16 18:43:43;6.630033;76.074950;1.20847851;1;2026.01.16 17:31:42;4.058300;0.05671700;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260126;2026.01.26 00:00;4990.01;4899.76;90.25;LONG;2026.01.26 01:00;2026.01.26 01:00;2026.01.26 23:59;5011.27;4899.76;5011.51;111.51;11151.00000000;0.00215227;16.03644800;0.00143812;0.00071416;-0.00000490;EOD;XAUUSD_20260126_LONG;0.89552507;0.19693301;2026.01.26 08:51:16;2026.01.26 23:36:42;471.267600;1356.708417;1.09245808;1;2026.01.26 03:22:39;142.659083;0.09138194;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260204;2026.02.04 00:00;4993.91;4666.28;327.63;LONG;2026.02.04 02:15;2026.02.04 02:15;2026.02.04 23:59;4993.94;4666.28;4964.58;327.66;32766.00000000;-0.08960508;15.93363200;0.00048629;-0.09009136;-0.09033451;EOD;XAUUSD_20260204_LONG;0.29994507;0.42455594;2026.02.04 10:01:15;2026.02.04 18:48:43;465.627533;993.088050;0.72450101;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260205;2026.02.05 00:00;5092.22;4854.83;237.39;SHORT;2026.02.05 04:47;2026.02.05 04:47;2026.02.05 23:59;4854.63;5092.22;4780.86;237.59;23759.00000000;0.31049287;15.41678400;0.00064888;0.30984398;0.30951954;EOD;XAUUSD_20260205_SHORT;0.39530283;0.37686771;2026.02.05 23:40:41;2026.02.05 10:15:43;1133.040583;328.058900;0.64817543;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260211;2026.02.11 00:00;5078.56;4987.40;91.16;LONG;2026.02.11 12:41;2026.02.11 12:41;2026.02.11 23:59;5078.56;4987.40;5083.96;91.16;9116.00000000;0.05923651;16.26003200;0.00178368;0.05745283;0.05656099;EOD;XAUUSD_20260211_LONG;0.44548047;0.65149188;2026.02.11 14:00:41;2026.02.11 15:31:16;79.466517;170.039650;1.09697236;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260217;2026.02.17 00:00;5049.52;4965.34;84.18;SHORT;2026.02.17 02:52;2026.02.17 02:52;2026.02.17 23:59;4965.29;5049.52;4879.51;84.23;8423.00000000;1.01840199;15.75168000;0.00187008;1.01653191;1.01559688;EOD;XAUUSD_20260217_SHORT;1.46194942;0.08239345;2026.02.17 16:01:42;2026.02.17 04:23:15;789.398300;90.937783;1.01923305;1;2026.02.17 07:15:27;263.139217;0.08239345;1;2026.02.17 07:31:39;279.338617;0.08239345;0;;;;0;;;;0;;;;0.23958210;1.46194942;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20260220;2026.02.20 00:00;5022.37;4955.80;66.57;LONG;2026.02.20 08:23;2026.02.20 08:23;2026.02.20 23:59;5022.40;4955.80;5106.80;66.60;6660.00000000;1.26726727;16.20672000;0.00243344;1.26483383;1.26361711;EOD;XAUUSD_20260220_LONG;1.28438438;0.50030030;2026.02.20 23:57:15;2026.02.20 17:06:42;933.801617;523.249117;1.12897898;1;2026.02.20 16:45:27;501.995083;0.25945946;1;2026.02.20 22:55:39;872.191467;0.50030030;0;;;;0;;;;0;;;;0.99519520;1.28438438;;;;;0;
