run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240103;2024.01.03 00:00;LONG;2024.01.02 01:15;2024.01.02 01:15;2024.01.03 13:09;44718.21;44716.14;40198.39;1807.95;41102.31;41657.33;41655.75;3615.90;3615.90000000;-0.84694267;34.54958400;0.00955491;-0.85649758;-0.86127503;DONCHIAN_EXIT;BTCUSD_20240102_LONG;0.32743439;0.84694267;2024.01.02 10:06:39;2024.01.03 13:09:57;531.580167;2154.892017;1.17437706;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240115;2024.01.15 00:00;LONG;2024.01.08 19:03;2024.01.08 19:03;2024.01.15 00:21;45903.70;45902.18;40198.39;1987.39;41928.92;41374.74;41928.10;3974.78;3974.78000000;-1.00020630;35.13272000;0.00883891;-1.00904521;-1.01346466;STOP;BTCUSD_20240108_LONG;0.78005575;1.00020630;2024.01.11 15:51:40;2024.01.15 00:21:31;4128.410483;8958.261050;1.78026205;1;2024.01.11 15:28:38;4105.382467;0.37879832;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240130;2024.01.30 00:00;SHORT;2024.01.18 19:12;2024.01.18 19:12;2024.01.30 03:13;41374.51;41374.74;49004.25;2119.73;45613.97;43565.40;43566.74;4239.46;4239.46000000;-0.51710123;33.97650000;0.00801435;-0.52511558;-0.52912275;DONCHIAN_EXIT;BTCUSD_20240118_SHORT;0.67326735;0.51710123;2024.01.23 15:24:15;2024.01.30 03:13:32;6971.639733;16320.928783;1.19036858;1;2024.01.23 10:09:27;6656.841667;0.18555901;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240320;2024.03.20 00:00;LONG;2024.02.09 09:57;2024.02.09 09:57;2024.03.20 01:03;46518.04;46517.45;38518.82;1570.76;43376.53;62380.32;62376.17;3141.51;3141.51000000;5.04793236;43.55768400;0.01386521;5.03406716;5.02713455;DONCHIAN_EXIT;BTCUSD_20240209_LONG;8.68043711;0.00964186;2024.03.14 09:05:40;2024.02.09 10:17:39;48908.150867;20.121167;3.63250475;1;2024.02.09 19:24:36;567.078350;0.00964186;1;2024.02.12 16:41:27;4723.932817;0.00964186;1;2024.02.15 15:34:39;8977.128350;0.00964186;1;2024.02.27 03:06:18;25508.778350;0.00964186;1;2024.02.28 17:57:25;27839.891500;0.00964186;0.57586638;8.68043711;1.30715166;8.68043711;2.88287161;8.68043711;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240515;2024.05.15 00:00;SHORT;2024.04.17 16:35;2024.04.17 16:35;2024.05.15 20:40;60773.76;60775.43;72775.88;3885.05;68543.85;65506.15;65506.96;7770.09;7770.10000000;-0.60915561;50.51228800;0.00650085;-0.61565646;-0.61890689;DONCHIAN_EXIT;BTCUSD_20240417_SHORT;0.54572271;0.83225827;2024.05.01 10:21:42;2024.04.23 01:12:15;19786.475150;7717.030183;1.15487832;1;2024.05.01 10:19:41;19784.456717;0.83225827;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240611;2024.06.11 00:00;LONG;2024.05.17 17:29;2024.05.17 17:29;2024.06.11 15:56;67241.99;67240.20;56532.66;3042.32;61157.36;66653.19;66651.30;6084.63;6084.63000000;-0.09707903;53.55731600;0.00880207;-0.10588110;-0.11028213;DONCHIAN_EXIT;BTCUSD_20240517_LONG;0.77736033;0.19361079;2024.05.21 02:19:17;2024.05.20 03:33:39;4849.955150;3484.318817;0.92761433;1;2024.05.20 22:00:32;4591.192683;0.19361079;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240717;2024.07.17 00:00;SHORT;2024.06.14 19:04;2024.06.14 19:04;2024.07.17 00:30;65110.99;65111.84;71971.94;2534.94;70180.88;63252.01;64336.85;5069.89;5069.89000000;0.15269365;51.77913600;0.01021307;0.14248058;0.13737404;DONCHIAN_EXIT;BTCUSD_20240614_SHORT;2.28281876;0.42800534;2024.07.05 06:19:42;2024.06.17 20:35:17;29475.253233;4410.831133;2.13012511;1;2024.06.24 07:21:39;13697.202050;0.42800534;1;2024.06.24 18:53:40;14389.221050;0.42800534;1;2024.07.05 06:15:38;29471.184617;0.42800534;0;;;;0;;;;0.15269365;2.28281876;0.15269365;2.28281876;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240801;2024.08.01 00:00;LONG;2024.07.19 18:23;2024.07.19 18:23;2024.08.01 18:21;66469.91;66469.22;53519.37;2880.74;60708.42;63228.03;63225.68;5761.49;5761.49000000;-0.56308871;51.87823600;0.00900431;-0.57209302;-0.57659518;DONCHIAN_EXIT;BTCUSD_20240719_LONG;0.62008786;0.56308871;2024.07.29 16:06:17;2024.08.01 18:21:19;14263.247350;18718.268967;1.18317657;1;2024.07.29 05:32:31;13629.474467;0.52674395;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240808;2024.08.08 00:00;SHORT;2024.08.05 04:10;2024.08.05 04:10;2024.08.08 18:36;53504.51;53519.37;70042.54;2941.89;59388.29;70042.54;59391.47;5883.78;5883.79000000;-1.00053877;45.15839200;0.00767505;-1.00821382;-1.01205135;STOP;BTCUSD_20240805_SHORT;0.71145639;1.00053877;2024.08.05 09:24:41;2024.08.08 18:36:39;314.040633;5186.004333;1.71199516;1;2024.08.05 09:22:28;311.810033;0.28632905;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240913;2024.09.13 00:00;SHORT;2024.09.06 10:24;2024.09.06 10:24;2024.09.13 20:46;55599.49;55600.39;65015.84;2754.85;61109.19;59915.56;59916.56;5509.70;5509.70000000;-0.78353994;46.20642000;0.00838638;-0.79192632;-0.79611950;DONCHIAN_EXIT;BTCUSD_20240906_SHORT;0.53667532;0.78353994;2024.09.06 23:53:16;2024.09.13 20:46:30;808.814667;10702.051767;1.32021526;1;2024.09.06 23:50:59;806.530633;0.25515001;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
