run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240108;2024.01.08 00:00;SHORT;2024.01.03 13:09;2024.01.03 13:09;2024.01.08 20:13;2114.98;2116.37;2451.87;113.84;2342.67;2451.87;2342.68;227.69;227.69000000;-1.00004392;1.78306400;0.00783110;-1.00787502;-1.01179057;STOP;ETHUSD_20240103_SHORT;0.26891827;1.00004392;2024.01.03 13:10:14;2024.01.08 20:13:28;0.578517;7623.803700;1.26896219;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240123;2024.01.23 00:00;LONG;2024.01.10 16:39;2024.01.10 16:39;2024.01.23 10:55;2452.26;2451.87;2053.64;124.71;2202.83;2222.81;2222.44;249.43;249.43000000;-0.92138075;1.86988000;0.00749661;-0.92887736;-0.93262567;DONCHIAN_EXIT;ETHUSD_20240110_LONG;1.06129976;0.92138075;2024.01.12 16:11:14;2024.01.23 10:55:36;2851.754233;18376.123450;1.98268051;1;2024.01.11 00:09:25;449.930800;0.20414545;1;2024.01.12 15:56:29;2837.003400;0.20414545;0;;;;0;;;;0;;;;-0.92138075;1.06129976;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240320;2024.03.20 00:00;LONG;2024.02.12 18:33;2024.02.12 18:33;2024.03.20 00:52;2613.88;2613.53;2167.72;96.73;2420.43;3201.11;3201.00;193.45;193.45000000;3.03499612;2.32595200;0.01202353;3.02297259;3.01696083;DONCHIAN_EXIT;ETHUSD_20240212_LONG;7.66120445;0.12778496;2024.03.12 02:22:15;2024.02.13 15:24:16;40788.787750;1250.810467;4.62620832;1;2024.02.14 09:58:37;2365.168000;0.12778496;1;2024.02.15 01:23:37;3290.158117;0.12778496;1;2024.02.20 14:45:16;11291.808333;0.12778496;1;2024.02.26 21:05:30;20312.042600;0.12778496;1;2024.03.04 18:28:03;30234.593917;0.12778496;0.64280176;7.66120445;1.31418971;7.66120445;2.83866632;7.66120445;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240429;2024.04.29 00:00;SHORT;2024.04.15 20:17;2024.04.15 20:17;2024.04.29 00:00;3055.43;3055.97;3732.09;245.57;3546.57;3293.34;3307.01;491.14;491.14000000;-0.51223684;2.54497600;0.00518177;-0.51741861;-0.52000950;DONCHIAN_EXIT;ETHUSD_20240415_SHORT;0.38880971;0.51223684;2024.04.19 04:42:15;2024.04.29 00:00:00;4824.620517;18942.360250;0.90104654;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240520;2024.05.20 00:00;SHORT;2024.05.01 09:09;2024.05.01 09:09;2024.05.20 21:23;2861.88;2862.16;3732.09;207.21;3276.31;3222.36;3223.15;414.43;414.43000000;-0.87172743;2.43401200;0.00587316;-0.87760059;-0.88053717;DONCHIAN_EXIT;ETHUSD_20240501_SHORT;0.11203340;0.87172743;2024.05.01 10:21:42;2024.05.20 21:23:19;72.453250;28094.061433;0.98376083;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240607;2024.06.07 00:00;LONG;2024.05.20 21:25;2024.05.20 21:25;2024.06.07 20:04;3312.62;3312.59;2815.34;153.58;3005.46;3627.39;3626.42;307.16;307.16000000;1.02161740;2.77561600;0.00903638;1.01258101;1.00806282;DONCHIAN_EXIT;ETHUSD_20240520_LONG;2.16808829;0.02708686;2024.05.27 17:47:15;2024.05.20 21:28:40;9861.728333;3.139133;1.38338325;1;2024.05.20 22:00:40;35.148850;0.02708686;1;2024.05.20 23:55:26;149.915633;0.02708686;1;2024.05.23 14:08:19;3882.803083;0.02708686;0;;;;0;;;;0.68697096;2.16808829;0.68697096;2.16808829;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240717;2024.07.17 00:00;SHORT;2024.06.18 03:44;2024.06.18 03:44;2024.07.17 02:32;3361.89;3362.47;3978.57;181.31;3724.52;3464.85;3465.09;362.63;362.63000000;-0.28458760;2.73079200;0.00753052;-0.29211811;-0.29588337;DONCHIAN_EXIT;ETHUSD_20240618_SHORT;1.52430852;0.72680142;2024.07.05 06:19:41;2024.06.20 13:08:40;24635.631650;3444.624633;1.80889612;1;2024.07.04 04:00:43;23056.662750;0.72680142;1;2024.07.05 04:58:18;24554.262000;0.72680142;0;;;;0;;;;0;;;;-0.28458760;1.52430852;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240725;2024.07.25 00:00;LONG;2024.07.22 01:07;2024.07.22 01:07;2024.07.25 03:09;3547.49;3547.49;2807.57;165.06;3217.36;3023.85;3217.35;330.13;330.13000000;-1.00003029;2.70593600;0.00819658;-1.00822687;-1.01232516;STOP;ETHUSD_20240722_LONG;0.04952594;1.00003029;2024.07.22 02:48:15;2024.07.25 03:09:39;101.001783;4442.405217;1.04955624;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240826;2024.08.26 00:00;SHORT;2024.08.05 00:00;2024.08.05 00:00;2024.08.26 00:16;2752.25;2807.57;3563.84;176.78;3105.81;2781.98;2781.98;353.56;353.56000000;-0.08408757;2.21369200;0.00626115;-0.09034872;-0.09347929;DONCHIAN_EXIT;ETHUSD_20240805_SHORT;1.88938228;0.08437040;2024.08.05 04:10:41;2024.08.14 15:30:16;250.695650;13890.267667;1.97375269;1;2024.08.05 03:55:29;235.493183;0.00220613;1;2024.08.05 04:08:18;248.306383;0.00220613;0;;;;0;;;;0;;;;-0.08437040;1.88938228;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240919;2024.09.19 00:00;SHORT;2024.09.04 04:03;2024.09.04 04:03;2024.09.19 19:31;2306.91;2307.29;2793.15;151.33;2609.57;2469.74;2469.78;302.66;302.66000000;-0.53812859;1.91067600;0.00631295;-0.54444154;-0.54759801;DONCHIAN_EXIT;ETHUSD_20240904_SHORT;0.46679442;0.61124694;2024.09.06 23:54:42;2024.09.04 19:31:41;4071.006100;928.001550;1.00492302;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
