run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240220;2024.02.20 00:00;SHORT;2024.01.16 12:05;2024.01.16 12:05;2024.02.20 11:36;1.08764;1.08766;1.11392;0.00608;1.09980;1.08054;1.08055;0.01216;1215.80000000;0.58315512;10.00000000;0.00822504;0.57493009;0.57081757;DONCHIAN_EXIT;EURUSD_20240116_SHORT;1.49119921;0.46224708;2024.02.14 09:36:04;2024.01.24 15:30:14;41610.737483;11724.904000;0.96726435;1;2024.01.26 08:20:04;14174.725217;0.46224708;1;2024.02.05 10:54:27;28729.108550;0.46224708;0;;;;0;;;;0;;;;0.57986511;1.49119921;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240319;2024.03.19 00:00;LONG;2024.03.06 15:01;2024.03.06 15:01;2024.03.19 11:46;1.08879;1.08878;1.06946;0.00482;1.07916;1.08402;1.08402;0.00963;963.10000000;-0.49527567;10.00000000;0.01038314;-0.50565881;-0.51085038;DONCHIAN_EXIT;EURUSD_20240306_LONG;0.96563181;0.49527567;2024.03.08 14:43:16;2024.03.19 11:46:39;2861.614883;18525.011433;1.46090749;1;2024.03.07 17:28:38;1586.985167;0.21077770;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240409;2024.04.09 00:00;SHORT;2024.03.28 10:05;2024.03.28 10:05;2024.04.09 14:40;1.07948;1.07949;1.09809;0.00520;1.08988;1.08762;1.08762;0.01040;1039.60000000;-0.78299346;10.00000000;0.00961908;-0.79261254;-0.79742209;DONCHIAN_EXIT;EURUSD_20240328_SHORT;0.67141208;0.78684109;2024.04.02 08:00:41;2024.04.04 15:43:38;7075.241117;10418.194100;1.45825317;1;2024.04.01 16:35:40;6150.228150;0.23181993;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240426;2024.04.26 00:00;SHORT;2024.04.11 14:15;2024.04.11 14:15;2024.04.26 10:02;1.07241;1.07244;1.09546;0.00568;1.08376;1.07397;1.07397;0.01135;1135.40000000;-0.13739651;10.00000000;0.00880747;-0.14620398;-0.15060772;DONCHIAN_EXIT;EURUSD_20240411_SHORT;1.07979567;0.28800423;2024.04.16 19:32:15;2024.04.11 15:29:40;7516.752033;74.175617;1.21807293;1;2024.04.12 11:18:35;1263.083250;0.28800423;1;2024.04.16 03:15:42;6540.210450;0.28800423;0;;;;0;;;;0;;;;-0.13827726;1.07979567;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240529;2024.05.29 00:00;LONG;2024.05.14 15:08;2024.05.14 15:08;2024.05.29 21:44;1.08125;1.08124;1.06009;0.00556;1.07013;1.08004;1.08004;0.01112;1112.20000000;-0.10879338;10.00000000;0.00899119;-0.11778457;-0.12228017;DONCHIAN_EXIT;EURUSD_20240514_LONG;0.73997482;0.10879338;2024.05.16 02:57:31;2024.05.23 23:01:00;2149.016683;13432.500017;0.84876821;1;2024.05.15 14:31:41;1403.186100;0.02607445;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240607;2024.06.07 00:00;LONG;2024.06.03 20:19;2024.06.03 20:19;2024.06.07 18:57;1.08948;1.08948;1.07238;0.00458;1.08031;1.07880;1.08031;0.00917;916.90000000;-1.00010906;10.00000000;0.01090631;-1.01101538;-1.01646854;STOP;EURUSD_20240603_LONG;0.22903261;1.00010906;2024.06.04 02:55:38;2024.06.07 18:57:38;396.633333;5678.633333;1.22914167;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240701;2024.07.01 00:00;SHORT;2024.06.10 00:17;2024.06.10 00:17;2024.07.01 03:35;1.07649;1.07655;1.09158;0.00521;1.08691;1.07611;1.07616;0.01042;1042.00000000;0.03166987;10.00000000;0.00959693;0.02207294;0.01727447;DONCHIAN_EXIT;EURUSD_20240610_SHORT;0.94625720;0.84261036;2024.06.26 15:32:38;2024.06.12 17:04:35;23955.639983;3887.588233;1.27447217;1;2024.06.14 09:17:25;6300.416667;0.84261036;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240729;2024.07.29 00:00;LONG;2024.07.11 10:42;2024.07.11 10:42;2024.07.29 14:43;1.08452;1.08450;1.06656;0.00494;1.07463;1.08256;1.08256;0.00989;988.60000000;-0.19826017;10.00000000;0.01011531;-0.20837548;-0.21343314;DONCHIAN_EXIT;EURUSD_20240711_LONG;1.03985434;0.19826017;2024.07.17 15:38:41;2024.07.24 09:58:05;8936.033817;18675.434667;1.23811451;1;2024.07.11 14:42:43;240.054883;0.02124216;1;2024.07.17 11:02:32;8659.872550;0.02124216;0;;;;0;;;;0;;;;-0.19826017;1.03985434;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240903;2024.09.03 00:00;LONG;2024.08.05 10:30;2024.08.05 10:30;2024.09.03 12:07;1.09480;1.09480;1.07774;0.00472;1.08536;1.10419;1.10418;0.00944;943.80000000;0.99385463;10.00000000;0.01059547;0.98325917;0.97796143;DONCHIAN_EXIT;EURUSD_20240805_LONG;2.68277177;0.70671752;2024.08.26 03:52:38;2024.08.08 16:49:15;29841.961133;4698.590317;1.68891714;1;2024.08.05 15:48:18;317.638267;0.15999152;1;2024.08.14 16:49:40;13338.994217;0.70671752;1;2024.08.21 18:25:39;23514.994200;0.70671752;0;;;;0;;;;0.01589320;2.68277177;0.99385463;2.68277177;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241001;2024.10.01 00:00;LONG;2024.09.25 01:56;2024.09.25 01:56;2024.10.01 16:36;1.11892;1.11891;1.10020;0.00629;1.10634;1.10685;1.10684;0.01258;1257.50000000;-0.96063618;10.00000000;0.00795229;-0.96858847;-0.97256461;DONCHIAN_EXIT;EURUSD_20240925_LONG;0.19721670;0.96063618;2024.09.25 16:06:42;2024.10.01 16:36:32;850.059867;9519.881517;1.15785288;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
