run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240124;2024.01.24 00:00;SHORT;2024.01.17 06:15;2024.01.17 06:15;2024.01.24 10:46;1.26096;1.26097;1.28268;0.00815;1.27725;1.27847;1.27726;0.01629;1629.20000000;-1.00049104;10.00000000;0.00613798;-1.00662902;-1.00969801;STOP;GBPUSD_20240117_SHORT;0.07733857;1.00049104;2024.01.17 07:36:06;2024.01.24 10:46:00;80.641683;10350.541683;1.07782961;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240222;2024.02.22 00:00;SHORT;2024.02.05 11:01;2024.02.05 11:01;2024.02.22 09:13;1.25952;1.25954;1.27847;0.00829;1.27610;1.26895;1.26895;0.01658;1658.20000000;-0.56868894;10.00000000;0.00603064;-0.57471958;-0.57773489;DONCHIAN_EXIT;GBPUSD_20240205_SHORT;0.46134363;0.58255940;2024.02.05 16:57:41;2024.02.13 14:30:16;356.474533;11729.045033;1.04390303;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240319;2024.03.19 00:00;LONG;2024.03.05 16:00;2024.03.05 16:00;2024.03.19 11:46;1.27083;1.27081;1.25315;0.00637;1.25809;1.26701;1.26701;0.01274;1273.70000000;-0.29991364;10.00000000;0.00785114;-0.30776478;-0.31169035;DONCHIAN_EXIT;GBPUSD_20240305_LONG;1.44618042;0.29991364;2024.03.08 14:43:15;2024.03.19 11:46:34;4243.036100;19906.356300;1.74609406;1;2024.03.07 16:15:00;2894.785750;0.15074193;1;2024.03.08 11:09:15;4029.028233;0.15074193;0;;;;0;;;;0;;;;-0.29991364;1.44618042;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240409;2024.04.09 00:00;SHORT;2024.03.22 09:52;2024.03.22 09:52;2024.04.09 12:02;1.25985;1.25985;1.28925;0.00684;1.27354;1.26828;1.26828;0.01369;1368.80000000;-0.61586791;10.00000000;0.00730567;-0.62317358;-0.62682642;DONCHIAN_EXIT;GBPUSD_20240322_SHORT;0.42592051;0.62755698;2024.04.02 06:00:38;2024.04.04 15:43:15;15608.033333;19070.663733;1.05347750;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240429;2024.04.29 00:00;SHORT;2024.04.10 17:43;2024.04.10 17:43;2024.04.29 06:20;1.25386;1.25386;1.28219;0.00668;1.26722;1.25402;1.25402;0.01336;1335.60000000;-0.01197963;10.00000000;0.00748727;-0.01946691;-0.02321054;DONCHIAN_EXIT;GBPUSD_20240410_SHORT;1.78496556;0.30772686;2024.04.22 15:34:15;2024.04.11 15:16:17;17150.653000;1292.691883;1.81191974;1;2024.04.12 12:56:32;2592.940300;0.30772686;1;2024.04.19 03:38:40;12115.071667;0.30772686;0;;;;0;;;;0;;;;-0.02695418;1.78496556;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240614;2024.06.14 00:00;LONG;2024.05.15 14:30;2024.05.15 14:30;2024.06.14 14:19;1.26333;1.26333;1.22986;0.00750;1.24832;1.26873;1.26872;0.01501;1500.60000000;0.35918966;10.00000000;0.00666400;0.35252566;0.34919366;DONCHIAN_EXIT;GBPUSD_20240515_LONG;1.50939624;0.13261362;2024.06.12 15:31:38;2024.05.15 15:54:38;40381.281583;84.296133;1.15020658;1;2024.05.17 19:16:33;3166.198000;0.13261362;1;2024.05.28 13:07:23;18637.031333;0.13261362;0;;;;0;;;;0;;;;0.31187525;1.50939624;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240703;2024.07.03 00:00;SHORT;2024.06.20 22:36;2024.06.20 22:36;2024.07.03 15:33;1.26562;1.26562;1.28598;0.00677;1.27916;1.27392;1.27392;0.01354;1354.50000000;-0.61277224;10.00000000;0.00738280;-0.62015504;-0.62384644;DONCHIAN_EXIT;GBPUSD_20240620_SHORT;0.31155408;0.61277224;2024.06.27 02:45:37;2024.07.03 15:33:35;8889.600000;18297.566667;0.92432632;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240729;2024.07.29 00:00;LONG;2024.07.11 00:00;2024.07.11 00:00;2024.07.29 10:18;1.28493;1.28488;1.26120;0.00608;1.27276;1.28497;1.28497;0.01217;1216.70000000;0.00328758;10.00000000;0.00821895;-0.00493137;-0.00904085;DONCHIAN_EXIT;GBPUSD_20240711_LONG;1.60433961;0.00821895;2024.07.17 12:05:15;2024.07.11 00:00:00;9365.258050;0.000000;1.60105203;1;2024.07.11 14:30:32;870.542050;0.00821895;1;2024.07.12 15:08:40;2348.671333;0.00821895;0;;;;0;;;;0;;;;0.00328758;1.60433961;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240813;2024.08.13 00:00;SHORT;2024.08.02 00:05;2024.08.02 00:05;2024.08.13 19:57;1.27253;1.27268;1.30445;0.00604;1.28461;1.28659;1.28462;0.01208;1208.50000000;-1.00041374;10.00000000;0.00827472;-1.00868846;-1.01282582;STOP;GBPUSD_20240802_SHORT;0.49731072;1.00041374;2024.08.08 13:08:14;2024.08.13 19:57:30;9422.645900;17031.900000;1.49772445;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240909;2024.09.09 00:00;LONG;2024.08.19 00:02;2024.08.19 00:02;2024.09.09 11:25;1.29473;1.29460;1.26648;0.00747;1.27980;1.30877;1.30871;0.01493;1493.40000000;0.93611892;10.00000000;0.00669613;0.92942279;0.92607473;DONCHIAN_EXIT;GBPUSD_20240819_LONG;2.13539574;0.10512924;2024.08.27 23:05:42;2024.08.19 00:08:59;12903.212033;6.483333;1.19927682;1;2024.08.20 15:50:03;2387.565467;0.10512924;1;2024.08.21 20:41:33;4119.050000;0.10512924;1;2024.08.27 12:19:40;12257.179983;0.10512924;0;;;;0;;;;0.86447034;2.13539574;0.93611892;2.13539574;;;0;
