run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240131;2024.01.31 00:00;LONG;2024.01.11 14:31;2024.01.11 14:31;2024.01.31 15:52;145.968;145.968;140.242;1.315;143.338;146.642;146.642;2.630;1834.54000000;0.25053692;10.00000000;0.00545096;0.24508596;0.24236048;DONCHIAN_EXIT;USDJPY_20240111_LONG;1.03672310;0.61328180;2024.01.19 07:31:15;2024.01.12 16:16:42;11099.611950;1545.056700;0.78618618;1;2024.01.17 01:01:34;7829.931633;0.61328180;1;2024.01.19 07:03:36;11071.968767;0.61328180;0;;;;0;;;;0;;;;0.25053692;1.03672310;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240229;2024.02.29 00:00;LONG;2024.02.05 01:37;2024.02.05 01:37;2024.02.29 15:55;148.798;148.798;143.412;1.278;146.242;149.518;149.518;2.556;1747.79000000;0.27551937;10.00000000;0.00572151;0.26979786;0.26693710;DONCHIAN_EXIT;USDJPY_20240205_LONG;0.78801801;0.45500890;2024.02.13 20:59:13;2024.02.07 15:51:42;12681.771867;3734.248267;0.51249864;1;2024.02.13 14:32:40;12295.216767;0.45500890;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240319;2024.03.19 00:00;SHORT;2024.03.07 09:02;2024.03.07 09:02;2024.03.19 05:35;147.921;147.921;150.876;0.790;149.501;150.539;149.509;1.580;1056.72000000;-1.00512908;10.00000000;0.00946324;-1.01459232;-1.01932395;STOP;USDJPY_20240307_SHORT;0.92573246;1.00512908;2024.03.08 14:41:15;2024.03.19 05:35:31;1778.762667;17073.020533;1.93086153;1;2024.03.08 10:36:40;1534.170200;0.24693391;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240405;2024.04.05 00:00;LONG;2024.03.19 17:37;2024.03.19 17:37;2024.04.05 02:15;150.837;150.837;146.470;0.889;149.058;150.995;150.995;1.779;1193.29000000;0.08769034;10.00000000;0.00838019;0.07931014;0.07512005;DONCHIAN_EXIT;USDJPY_20240319_LONG;0.62149184;0.32459838;2024.03.27 04:43:15;2024.03.21 03:33:15;10745.750333;2035.758183;0.86116535;1;2024.03.20 11:49:45;1092.251100;0.09343915;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240501;2024.05.01 00:00;LONG;2024.04.10 14:30;2024.04.10 14:30;2024.05.01 22:47;151.964;151.964;147.223;0.750;150.465;153.580;153.579;1.499;996.45000000;1.05532641;10.00000000;0.01003563;1.04529078;1.04027297;DONCHIAN_EXIT;USDJPY_20240410_LONG;5.15047418;0.03302725;2024.04.29 03:35:41;2024.04.10 14:30:13;26705.471900;0.000000;4.09514777;1;2024.04.10 16:05:40;95.459183;0.03302725;1;2024.04.15 03:05:18;6515.094983;0.03302725;1;2024.04.24 14:12:43;20142.515417;0.03302725;1;2024.04.26 09:07:40;22717.463150;0.03302725;1;2024.04.29 03:35:38;26705.432533;0.03302725;1.00098349;5.15047418;1.05532641;5.15047418;1.05532641;5.15047418;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240604;2024.06.04 00:00;LONG;2024.05.30 01:07;2024.05.30 01:07;2024.06.04 08:16;157.702;157.700;151.851;1.024;155.653;155.836;155.836;2.049;1316.32000000;-0.90966482;10.00000000;0.00759694;-0.91726176;-0.92106023;DONCHIAN_EXIT;USDJPY_20240530_LONG;0.00000000;0.90966482;;2024.06.04 08:16:26;;7629.440667;0.90966482;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240711;2024.07.11 00:00;LONG;2024.06.14 05:24;2024.06.14 05:24;2024.07.11 14:42;157.700;157.700;154.533;0.973;155.754;160.262;160.262;1.946;1249.60000000;1.27931338;10.00000000;0.00800256;1.27131082;1.26730954;DONCHIAN_EXIT;USDJPY_20240614_LONG;2.10152849;0.42085467;2024.07.03 12:59:38;2024.06.14 12:17:39;27814.978800;413.002917;0.82221511;1;2024.06.20 15:36:04;9251.419933;0.42085467;1;2024.06.21 22:36:26;11111.778800;0.42085467;1;2024.07.02 06:50:40;26006.022883;0.42085467;0;;;;0;;;;0.52379161;2.10152849;1.27931338;2.10152849;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240920;2024.09.20 00:00;SHORT;2024.07.17 09:23;2024.07.17 09:23;2024.09.20 13:37;157.369;157.369;161.953;1.082;159.533;144.055;144.061;2.164;1356.58000000;6.80958734;10.00000000;0.00737148;6.80221587;6.79853013;DONCHIAN_EXIT;USDJPY_20240717_SHORT;9.39291454;0.23300506;2024.09.16 10:36:41;2024.07.19 07:53:42;87912.993967;2790.010583;4.22707839;1;2024.07.17 10:41:41;77.995233;0.05336213;1;2024.07.24 03:12:42;9709.007250;0.23300506;1;2024.07.24 16:05:39;10481.950950;0.23300506;1;2024.07.31 10:49:42;20246.005700;0.23300506;1;2024.08.02 15:33:42;23410.011067;0.23300506;0.86393725;9.39291454;1.01960813;9.39291454;2.95282254;9.39291454;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241126;2024.11.26 00:00;LONG;2024.10.02 23:09;2024.10.02 23:09;2024.11.26 14:15;146.497;146.496;139.579;1.921;142.656;153.279;153.279;3.841;2692.85000000;1.64309561;10.00000000;0.00371354;1.63938207;1.63752530;DONCHIAN_EXIT;USDJPY_20241002_LONG;2.42924411;0.14709694;2024.11.15 02:49:16;2024.10.04 08:51:43;62139.792383;2022.244083;0.78614850;1;2024.10.04 15:32:43;2423.250033;0.14709694;1;2024.10.21 19:46:30;27157.025267;0.14709694;1;2024.11.12 19:12:12;58802.741850;0.14709694;0;;;;0;;;;0.98676495;2.42924411;1.64309561;2.42924411;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241213;2024.12.13 00:00;SHORT;2024.11.27 12:07;2024.11.27 12:07;2024.12.13 02:21;151.267;151.284;156.751;1.544;154.356;152.870;152.870;3.089;2000.96000000;-0.52404846;10.00000000;0.00499760;-0.52904606;-0.53154486;DONCHIAN_EXIT;USDJPY_20241127_SHORT;0.88017751;0.52534284;2024.12.03 16:41:16;2024.12.11 15:30:16;8913.732767;20362.735950;1.40552035;1;2024.11.29 06:24:05;2536.552250;0.22660123;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
