run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240205;2024.02.05 00:00;LONG;2024.02.01 18:45;2024.02.01 18:45;2024.02.05 15:21;2064.41;2063.92;2001.81;22.12;2020.17;2009.31;2020.16;44.24;4424.10000000;-1.00020343;6.53531200;0.00147721;-1.00168064;-1.00241924;STOP;XAUUSD_20240201_LONG;0.02124726;1.00020343;2024.02.01 18:47:40;2024.02.05 15:21:38;2.670650;5556.638883;1.02145069;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240223;2024.02.23 00:00;SHORT;2024.02.13 16:08;2024.02.13 16:08;2024.02.23 18:33;2001.80;2001.81;2065.35;21.12;2044.05;2037.12;2037.14;42.25;4224.80000000;-0.83648930;6.46230400;0.00152961;-0.83801891;-0.83878372;DONCHIAN_EXIT;XAUUSD_20240213_SHORT;0.41280061;0.83648930;2024.02.14 17:11:41;2024.02.23 18:33:42;1503.443433;14545.462083;1.24928991;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240423;2024.04.23 00:00;LONG;2024.03.01 13:42;2024.03.01 13:42;2024.04.23 04:37;2057.58;2057.58;1984.18;18.43;2020.71;2319.34;2319.32;36.87;3686.80000000;7.09938158;7.00304000;0.00189949;7.09748209;7.09653234;DONCHIAN_EXIT;XAUUSD_20240301_LONG;10.13968753;0.32548552;2024.04.12 18:04:42;2024.03.01 16:55:40;60742.071250;193.041683;3.04030596;1;2024.03.01 18:21:36;278.967283;0.32548552;1;2024.03.04 16:16:29;4473.850333;0.32548552;1;2024.03.05 15:28:39;5866.023683;0.32548552;1;2024.03.08 10:30:39;9888.022367;0.32548552;1;2024.04.01 01:00:27;43877.816783;0.32548552;0.97265922;10.13968753;1.75599436;10.13968753;2.39855701;10.13968753;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240523;2024.05.23 00:00;LONG;2024.05.17 18:03;2024.05.17 18:03;2024.05.23 17:33;2417.80;2417.80;2277.28;36.35;2345.09;2306.69;2345.07;72.71;7270.70000000;-1.00031634;7.62059200;0.00104812;-1.00136446;-1.00188852;STOP;XAUUSD_20240517_LONG;0.44301099;1.00031634;2024.05.20 08:53:41;2024.05.23 17:33:24;3770.077667;8609.781033;1.44332733;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240705;2024.07.05 00:00;SHORT;2024.06.07 15:31;2024.06.07 15:31;2024.07.05 15:16;2314.72;2314.73;2450.01;34.22;2383.16;2368.66;2368.66;68.44;6844.30000000;-0.78810105;7.49340800;0.00109484;-0.78919589;-0.78974331;DONCHIAN_EXIT;XAUUSD_20240607_SHORT;0.40646962;0.79146151;2024.06.07 23:14:39;2024.06.21 14:39:17;463.607450;20108.241233;1.19793113;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20240725;2024.07.25 00:00;LONG;2024.07.05 18:33;2024.07.05 18:33;2024.07.25 04:42;2387.65;2387.65;2286.74;30.42;2326.81;2371.04;2371.01;60.84;6083.60000000;-0.27352226;7.61385600;0.00125154;-0.27477379;-0.27539956;DONCHIAN_EXIT;XAUUSD_20240705_LONG;1.57899928;0.62791768;2024.07.17 17:00:17;2024.07.09 18:21:40;17186.772417;5748.157483;1.85252153;1;2024.07.11 18:00:05;8606.565500;0.62791768;1;2024.07.16 17:33:05;15779.565533;0.62791768;0;;;;0;;;;0;;;;-0.27352226;1.57899928;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241008;2024.10.08 00:00;LONG;2024.08.16 15:51;2024.08.16 15:51;2024.10.08 17:35;2479.97;2479.97;2353.12;40.61;2398.75;2622.63;2622.63;81.22;8121.50000000;1.75657206;8.16416000;0.00100525;1.75556681;1.75506418;DONCHIAN_EXIT;XAUUSD_20240816_LONG;2.53179831;0.11327957;2024.09.26 14:40:05;2024.08.22 17:23:16;58968.579067;8731.757150;0.77522625;1;2024.08.20 11:05:42;5474.193150;0.03127501;1;2024.09.13 03:43:05;39591.585317;0.11327957;1;2024.09.24 17:44:39;56273.153850;0.11327957;0;;;;0;;;;0.82312381;2.53179831;1.75657206;2.53179831;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241106;2024.11.06 00:00;LONG;2024.10.17 09:40;2024.10.17 09:40;2024.11.06 08:35;2685.62;2685.59;2551.09;31.50;2622.62;2708.72;2708.72;63.00;6300.30000000;0.36664921;8.63094400;0.00136993;0.36527928;0.36459432;DONCHIAN_EXIT;XAUUSD_20241017_LONG;1.65801628;0.19824453;2024.10.31 04:05:42;2024.10.17 15:31:43;19825.030950;351.048783;1.29136708;1;2024.10.18 17:19:30;1898.842367;0.19824453;1;2024.10.22 22:58:59;7998.316967;0.19824453;0;;;;0;;;;0;;;;0.36664921;1.65801628;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241122;2024.11.22 00:00;SHORT;2024.11.11 15:41;2024.11.11 15:41;2024.11.22 12:12;2638.05;2638.05;2790.08;35.08;2708.20;2710.34;2708.29;70.15;7015.20000000;-1.00125442;8.55414400;0.00121937;-1.00247379;-1.00308348;STOP;XAUUSD_20241111_SHORT;1.44129889;1.00125442;2024.11.14 11:52:16;2024.11.22 12:12:42;4090.862333;15631.308900;2.44255331;1;2024.11.12 09:24:21;1062.944633;0.04233664;1;2024.11.14 03:02:35;3561.188733;0.04233664;0;;;;0;;;;0;;;;-1.00125442;1.44129889;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20241216;2024.12.16 00:00;LONG;2024.12.11 20:24;2024.12.11 20:24;2024.12.16 02:50;2721.43;2721.36;2536.77;38.36;2644.71;2613.19;2644.71;76.72;7672.00000000;-1.00000000;8.58582400;0.00111911;-1.00111911;-1.00167867;STOP;XAUUSD_20241211_LONG;0.06191345;1.00000000;2024.12.12 03:00:41;2024.12.16 02:50:39;395.975133;6145.937467;1.06191345;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20250102;2025.01.02 00:00;SHORT;2024.12.18 21:57;2024.12.18 21:57;2025.01.02 18:46;2605.08;2605.24;2726.18;38.15;2681.38;2658.65;2658.65;76.30;7630.20000000;-0.70207858;8.42196800;0.00110377;-0.70318235;-0.70373423;DONCHIAN_EXIT;XAUUSD_20241218_SHORT;0.29121124;0.70207858;2024.12.19 01:01:17;2025.01.02 18:46:58;183.754800;21409.436650;0.99328982;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20250227;2025.02.27 00:00;LONG;2025.01.16 02:18;2025.01.16 02:18;2025.02.27 11:08;2697.85;2697.85;2582.66;31.07;2635.71;2877.04;2877.01;62.14;6214.00000000;2.88316704;8.91977600;0.00143543;2.88173161;2.88101389;DONCHIAN_EXIT;XAUUSD_20250116_LONG;4.15754747;0.13775346;2025.02.24 16:06:15;2025.01.20 03:06:16;56987.589583;5807.599133;1.27438043;1;2025.01.21 07:04:42;7486.034667;0.13775346;1;2025.01.22 11:24:05;9185.415500;0.13775346;1;2025.02.03 16:47:32;26788.867850;0.13775346;1;2025.02.07 17:31:40;32593.002817;0.13775346;0;;;;0.52574831;4.15754747;1.76005793;4.15754747;2.50273576;4.15754747;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20250407;2025.04.07 00:00;LONG;2025.03.13 17:36;2025.03.13 17:36;2025.04.07 01:22;2956.20;2956.20;2832.65;40.34;2875.52;3002.41;3002.31;80.68;8068.00000000;0.57151710;9.53361600;0.00118166;0.57033545;0.56974462;DONCHIAN_EXIT;XAUUSD_20250313_LONG;2.62035201;0.00322261;2025.04.03 02:53:15;2025.03.13 17:36:30;29356.759417;0.000000;2.04883490;1;2025.03.14 12:20:28;1123.961950;0.00322261;1;2025.03.18 16:24:30;7128.009267;0.00322261;1;2025.03.31 08:53:41;25397.179433;0.00322261;0;;;;0;;;;0.53544869;2.62035201;0.57151710;2.62035201;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20250501;2025.05.01 00:00;LONG;2025.04.10 18:25;2025.04.10 18:25;2025.05.01 06:41;3167.63;3167.61;2932.89;52.69;3062.25;3229.90;3229.88;105.38;10537.70000000;0.59073612;10.23601600;0.00097137;0.58976475;0.58927906;DONCHIAN_EXIT;XAUUSD_20250410_LONG;3.15438853;0.15250007;2025.04.22 09:18:16;2025.04.10 20:09:15;16732.601550;103.596483;2.56365241;1;2025.04.11 11:21:29;1015.830917;0.15250007;1;2025.04.16 04:04:40;7779.006633;0.15250007;1;2025.04.21 04:56:13;15030.558033;0.15250007;1;2025.04.22 06:19:30;16553.837817;0.15250007;0;;;;0.59073612;3.15438853;0.59073612;3.15438853;0.59073612;3.15438853;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20250523;2025.05.23 00:00;SHORT;2025.05.14 15:37;2025.05.14 15:37;2025.05.23 14:49;3201.85;3201.85;3500.03;87.24;3376.32;3347.56;3347.57;174.47;17447.40000000;-0.83519608;10.47907200;0.00060061;-0.83579668;-0.83609699;DONCHIAN_EXIT;XAUUSD_20250514_SHORT;0.46373672;0.83519608;2025.05.15 09:03:43;2025.05.23 14:49:40;1046.011917;12911.973050;1.29893279;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
