run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;prior_20d_low;prior_low_age;prior_20d_high;prior_high_age;reentry_offset_ticks;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240102;2024.01.02 00:00;40198.39;16;44716.14;17;5;SHORT;2024.01.02 01:15;2024.01.02 01:15;2024.01.02 01:15;44715.18;44732.41;44734.76;17.23;17.23000000;-1.13639002;35.77997600;2.07660917;-3.21299919;-4.25130377;STOP;BTCUSD_20240102_SHORT;0.50957632;1.13639002;2024.01.02 01:15:10;2024.01.02 01:15:13;0.033067;0.082650;1.64596634;1;2024.01.02 01:15:10;0.033067;0.03946605;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240108;2024.01.08 00:00;40198.39;20;45902.18;4;5;SHORT;2024.01.08 19:03;2024.01.08 19:03;2024.01.08 19:04;45899.89;45980.78;45983.62;80.89;80.89000000;-1.03510941;36.75340400;0.45436276;-1.48947217;-1.71665355;STOP;BTCUSD_20240108_SHORT;0.21646681;1.03510941;2024.01.08 19:03:59;2024.01.08 19:04:24;0.066133;0.495867;1.25157621;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240118;2024.01.18 00:00;41374.74;11;49004.25;5;5;LONG;2024.01.18 19:12;2024.01.18 19:12;2024.01.18 20:03;41375.97;41350.14;41348.53;25.83;25.83000000;-1.06233062;33.08980000;1.28106078;-2.34339141;-2.98392180;STOP;BTCUSD_20240118_LONG;8.96980256;1.06233062;2024.01.18 19:21:15;2024.01.18 20:03:37;8.550000;50.928567;10.03213318;1;2024.01.18 19:12:43;0.025000;0.03484321;1;2024.01.18 19:12:44;0.041667;0.03484321;1;2024.01.18 19:12:58;0.266667;0.03484321;1;2024.01.18 19:13:29;0.791667;0.03484321;1;2024.01.18 19:18:34;5.876567;0.03484321;-1.06233062;8.96980256;-1.06233062;8.96980256;-1.06233062;8.96980256;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240209;2024.02.09 00:00;38518.82;13;46517.45;20;5;SHORT;2024.02.09 09:57;2024.02.09 10:16;2024.02.09 11:56;46517.06;46740.36;46744.67;223.30;223.30000000;-1.01930139;37.30469200;0.16706087;-1.18636226;-1.26989269;STOP;BTCUSD_20240209_SHORT;0.12942230;1.01930139;2024.02.09 10:17:39;2024.02.09 11:56:20;1.144983;99.827167;1.14872369;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240417;2024.04.17 00:00;60775.43;20;72775.88;7;5;LONG;2024.04.17 16:35;2024.04.17 16:35;2024.04.17 17:14;60776.78;60738.37;60736.94;38.41;38.41000000;-1.03722989;48.60548800;1.26543838;-2.30266826;-2.93538745;STOP;BTCUSD_20240417_LONG;30.35824004;1.03722989;2024.04.17 16:46:42;2024.04.17 17:14:41;11.428917;39.401000;31.39546993;1;2024.04.17 16:35:17;0.013467;0.00026035;1;2024.04.17 16:35:18;0.023567;0.00026035;1;2024.04.17 16:35:19;0.043767;0.00026035;1;2024.04.17 16:35:20;0.063983;0.00026035;1;2024.04.17 16:35:28;0.191917;0.00026035;-1.03722989;30.35824004;-1.03722989;30.35824004;-1.03722989;30.35824004;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240430;2024.04.30 00:00;59583.54;7;72775.88;16;5;LONG;2024.04.30 21:53;2024.04.30 21:53;2024.04.30 21:53;59583.86;59568.48;59566.18;15.38;15.38000000;-1.14954486;47.66001600;3.09883069;-4.24837555;-5.79779090;STOP;BTCUSD_20240430_LONG;0.95643693;1.14954486;2024.04.30 21:53:10;2024.04.30 21:53:13;0.044367;0.092150;2.10598179;1;2024.04.30 21:53:09;0.023883;0.02210663;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240520;2024.05.20 00:00;56532.66;13;67464.75;1;5;SHORT;2024.05.17 17:29;2024.05.17 17:36;2024.05.20 00:00;67239.43;67465.06;66279.57;225.63;225.63000000;4.25413287;53.40760000;0.23670434;4.01742853;3.89907636;H24_REFERENCE;BTCUSD_20240517_SHORT;4.42060010;0.36537694;2024.05.17 20:07:39;2024.05.17 18:40:16;150.694833;63.309817;3.72955724;1;2024.05.17 17:48:30;11.531683;0.25679209;1;2024.05.17 18:46:41;69.727967;0.36537694;1;2024.05.17 19:13:38;96.674533;0.36537694;1;2024.05.17 20:01:26;144.478100;0.36537694;0;;;;0.27212693;4.42060010;0.69104286;4.42060010;0.69104286;4.42060010;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240617;2024.06.17 00:00;65048.39;1;71971.94;19;5;LONG;2024.06.14 19:04;2024.06.14 19:07;2024.06.17 00:00;65112.90;65048.38;66501.87;64.52;64.52000000;21.52774334;52.64590800;0.81596262;20.71178072;20.30379941;H24_REFERENCE;BTCUSD_20240614_LONG;21.52774334;0.83911965;2024.06.17 00:00:00;2024.06.14 20:24:42;3172.748783;77.458133;10.45830750;1;2024.06.14 19:07:28;0.226600;0.00464972;1;2024.06.14 19:08:00;0.762667;0.00464972;1;2024.06.14 19:08:15;1.012667;0.00464972;1;2024.06.14 19:10:29;3.234600;0.00464972;1;2024.06.14 19:15:38;8.388050;0.00464972;-0.83911965;21.52774334;-0.83911965;21.52774334;-0.83911965;21.52774334;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240704;2024.07.04 00:00;58475.62;8;71963.91;19;5;LONG;2024.07.04 03:57;2024.07.04 03:57;2024.07.04 04:00;58477.67;58437.73;58432.42;39.94;39.94000000;-1.13294942;46.76403600;1.17085719;-2.30380661;-2.88923520;STOP;BTCUSD_20240704_LONG;6.79168753;1.13294942;2024.07.04 03:58:17;2024.07.04 04:00:19;1.007700;3.034567;7.92463696;1;2024.07.04 03:57:19;0.045133;0.44942414;1;2024.07.04 03:57:26;0.152767;0.44942414;1;2024.07.04 03:57:28;0.197917;0.44942414;1;2024.07.04 03:57:36;0.326383;0.44942414;1;2024.07.04 03:58:00;0.726100;0.44942414;-1.13294942;6.79168753;-1.13294942;6.79168753;-1.13294942;6.79168753;0;
RUN;BTCUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240719;2024.07.19 00:00;53519.37;9;66469.22;20;5;SHORT;2024.07.19 18:23;2024.07.19 18:23;2024.07.19 18:23;66468.63;66501.53;66502.48;32.90;32.90000000;-1.02887538;53.18844400;1.61667003;-2.64554541;-3.45388043;STOP;BTCUSD_20240719_SHORT;0.00000000;1.02887538;;2024.07.19 18:23:13;;0.076383;1.02887538;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
