run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;prior_20d_low;prior_low_age;prior_20d_high;prior_high_age;reentry_offset_ticks;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240104;2024.01.04 00:00;2053.64;1;2451.87;5;5;LONG;2024.01.03 13:09;2024.01.03 13:11;2024.01.04 13:11;2116.43;2053.63;2230.48;62.80;62.80000000;1.81608280;1.73876400;0.02768732;1.78839548;1.77455182;H24_REFERENCE;ETHUSD_20240103_LONG;2.10796178;0.00191083;2024.01.03 13:59:41;2024.01.03 13:11:24;48.361733;0.082650;0.96910828;1;2024.01.03 13:11:38;0.305783;0.00191083;1;2024.01.03 13:12:38;1.311100;0.00191083;1;2024.01.03 13:56:41;45.368533;0.00191083;0;;;;0;;;;0.55541401;2.10796178;1.13885350;2.10796178;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240110;2024.01.10 00:00;2053.64;5;2451.87;9;5;SHORT;2024.01.10 16:39;2024.01.10 16:39;2024.01.10 20:12;2451.63;2460.07;2460.90;8.44;8.44000000;-1.09834123;1.96501200;0.23282133;-1.33116256;-1.44757322;STOP;ETHUSD_20240110_SHORT;5.94549763;1.09834123;2024.01.10 18:03:13;2024.01.10 20:12:36;83.289250;212.666917;7.04383886;1;2024.01.10 16:40:33;0.625767;0.26184834;1;2024.01.10 16:41:27;1.514033;0.26184834;1;2024.01.10 17:17:05;37.144750;0.85663507;1;2024.01.10 17:37:05;57.148367;0.85663507;1;2024.01.10 17:57:26;77.494750;0.85663507;-1.09834123;5.94549763;-1.09834123;5.94549763;-1.09834123;5.94549763;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240212;2024.02.12 00:00;2167.72;14;2613.53;19;5;SHORT;2024.02.12 18:33;2024.02.12 18:34;2024.02.12 19:24;2613.39;2620.03;2620.04;6.64;6.64000000;-1.00150602;2.09337200;0.31526687;-1.31677289;-1.47440633;STOP;ETHUSD_20240212_SHORT;2.99849398;1.00150602;2024.02.12 18:41:41;2024.02.12 19:24:22;6.821667;49.501433;4.00000000;1;2024.02.12 18:35:36;0.730883;0.24246988;1;2024.02.12 18:36:03;1.185700;0.24246988;1;2024.02.12 18:40:30;5.622650;0.24246988;0;;;;0;;;;-1.00150602;2.99849398;-1.00150602;2.99849398;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240415;2024.04.15 00:00;3055.97;18;3732.09;4;5;LONG;2024.04.15 20:17;2024.04.15 20:17;2024.04.15 21:00;3056.47;3044.54;3044.33;11.93;11.93000000;-1.01760268;2.44032000;0.20455323;-1.22215591;-1.32443252;STOP;ETHUSD_20240415_LONG;3.28667225;1.01760268;2024.04.15 20:35:36;2024.04.15 21:00:29;17.839000;42.723600;4.30427494;1;2024.04.15 20:18:15;0.485233;0.42078793;1;2024.04.15 20:18:34;0.805000;0.42078793;1;2024.04.15 20:19:34;1.793300;0.42078793;1;2024.04.15 20:35:23;17.608217;0.42078793;0;;;;-1.01760268;3.28667225;-1.01760268;3.28667225;-1.01760268;3.28667225;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240501;2024.05.01 00:00;2862.16;8;3732.09;16;5;LONG;2024.05.01 09:09;2024.05.01 09:09;2024.05.01 09:59;2862.57;2860.33;2860.15;2.24;2.24000000;-1.08035714;2.28908800;1.02191429;-2.10227143;-2.61322857;STOP;ETHUSD_20240501_LONG;23.33928571;1.08035714;2024.05.01 09:13:41;2024.05.01 09:59:38;4.417583;50.363817;24.41964286;1;2024.05.01 09:09:17;0.010250;0.04910714;1;2024.05.01 09:09:17;0.017067;0.04910714;1;2024.05.01 09:09:18;0.030717;0.04910714;1;2024.05.01 09:09:19;0.044367;0.04910714;1;2024.05.01 09:09:21;0.075083;0.04910714;-1.08035714;23.33928571;-1.08035714;23.33928571;-1.08035714;23.33928571;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240520;2024.05.20 00:00;2815.34;13;3312.59;15;5;SHORT;2024.05.20 21:25;2024.05.20 21:25;2024.05.20 21:26;3312.40;3330.02;3330.29;17.62;17.62000000;-1.01532350;2.65707600;0.15079886;-1.16612236;-1.24152179;STOP;ETHUSD_20240520_SHORT;0.27014756;1.01532350;2024.05.20 21:26:00;2024.05.20 21:26:23;0.050850;0.448100;1.28547106;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240625;2024.06.25 00:00;3216.86;1;3931.94;20;5;LONG;2024.06.24 11:30;2024.06.24 23:31;2024.06.25 23:31;3349.40;3216.85;3405.33;132.55;132.55000000;0.42195398;2.70189200;0.02038395;0.40157003;0.39137806;H24_REFERENCE;ETHUSD_20240624_LONG;0.60648812;0.15186722;2024.06.25 21:03:16;2024.06.25 01:04:16;1292.188517;93.182467;0.36816296;1;2024.06.25 17:18:27;1067.366250;0.15186722;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240704;2024.07.04 00:00;3216.86;8;3879.76;20;5;LONG;2024.07.04 03:56;2024.07.04 03:57;2024.07.04 04:00;3216.99;3202.38;3202.21;14.61;14.61000000;-1.01163587;2.56768000;0.17574812;-1.18738398;-1.27525804;STOP;ETHUSD_20240704_LONG;0.33949350;1.01163587;2024.07.04 03:58:17;2024.07.04 04:00:21;0.655033;2.713850;1.35112936;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240723;2024.07.23 00:00;2807.57;11;3563.84;1;5;SHORT;2024.07.22 01:07;2024.07.22 02:56;2024.07.23 02:56;3547.37;3565.35;3474.10;17.98;17.98000000;4.07508343;2.80858800;0.15620623;3.91887720;3.84077408;H24_REFERENCE;ETHUSD_20240722_SHORT;6.87597330;0.08342603;2024.07.23 01:12:42;2024.07.22 02:56:27;1336.241600;0.000000;3.61234705;1;2024.07.22 03:04:38;8.186417;0.08342603;1;2024.07.22 03:18:27;21.999883;0.08342603;1;2024.07.22 07:04:29;248.021067;0.08342603;1;2024.07.22 07:47:26;290.984867;0.08342603;1;2024.07.22 16:23:37;807.155550;0.08342603;-0.00556174;6.87597330;1.75250278;6.87597330;2.12013348;6.87597330;0;
RUN;ETHUSD;CRYPTO;0.04PCT_NOTIONAL_PER_SIDE;20240905;2024.09.05 00:00;2303.39;1;2793.15;8;5;LONG;2024.09.04 04:03;2024.09.04 04:04;2024.09.05 04:04;2307.34;2303.38;2456.13;3.96;3.96000000;37.57323232;1.90538800;0.48115859;37.09207374;36.85149444;H24_REFERENCE;ETHUSD_20240904_LONG;46.21717172;0.39141414;2024.09.04 19:31:41;2024.09.04 04:04:45;926.947200;0.000000;13.08838384;1;2024.09.04 04:04:47;0.046667;0.39141414;1;2024.09.04 04:04:57;0.210000;0.39141414;1;2024.09.04 04:05:19;0.581100;0.39141414;1;2024.09.04 04:05:28;0.718217;0.39141414;1;2024.09.04 04:05:39;0.902167;0.39141414;0.62878788;46.21717172;2.04797980;46.21717172;3.05808081;46.21717172;0;
