run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;prior_20d_low;prior_low_age;prior_20d_high;prior_high_age;reentry_offset_ticks;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240116;2024.01.16 00:00;1.08766;7;1.11392;13;5;LONG;2024.01.16 12:05;2024.01.16 12:06;2024.01.16 12:13;1.08773;1.08751;1.08751;0.00022;22.00000000;-1.00000000;10.00000000;0.45454545;-1.45454545;-1.68181818;STOP;EURUSD_20240116_LONG;0.54545455;1.00000000;2024.01.16 12:07:14;2024.01.16 12:13:16;1.233333;7.273967;1.54545455;1;2024.01.16 12:06:39;0.655733;0.40909091;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240124;2024.01.24 00:00;1.08213;1;1.11392;19;5;LONG;2024.01.23 16:23;2024.01.23 20:38;2024.01.24 20:38;1.08448;1.08212;1.08853;0.00236;236.00000000;1.71610169;10.00000000;0.04237288;1.67372881;1.65254237;H24_REFERENCE;EURUSD_20240123_LONG;3.69915254;0.17796610;2024.01.24 15:30:14;2024.01.23 23:05:36;1131.628783;146.983333;2.16101695;1;2024.01.24 00:05:02;206.416667;0.17796610;1;2024.01.24 08:06:31;687.912733;0.17796610;1;2024.01.24 10:32:04;833.461750;0.17796610;1;2024.01.24 14:32:29;1073.872983;0.17796610;0;;;;0.73728814;3.69915254;1.53813559;3.69915254;1.53813559;3.69915254;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240213;2024.02.13 00:00;1.07223;5;1.09506;20;5;LONG;2024.02.13 14:40;2024.02.13 14:40;2024.02.13 14:42;1.07230;1.07207;1.07204;0.00023;23.00000000;-1.13043478;10.00000000;0.43478261;-1.56521739;-1.78260870;STOP;EURUSD_20240213_LONG;1.91304348;1.13043478;2024.02.13 14:41:00;2024.02.13 14:42:17;0.262150;1.542367;3.04347826;1;2024.02.13 14:40:46;0.029700;0.17391304;1;2024.02.13 14:40:47;0.049500;0.17391304;0;;;;0;;;;0;;;;-1.13043478;1.91304348;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240306;2024.03.06 00:00;1.06946;15;1.08878;9;5;SHORT;2024.03.06 15:01;2024.03.06 15:01;2024.03.06 15:04;1.08873;1.08880;1.08880;0.00007;7.00000000;-1.00000000;10.00000000;1.42857143;-2.42857143;-3.14285714;STOP;EURUSD_20240306_SHORT;1.42857143;1.00000000;2024.03.06 15:02:38;2024.03.06 15:04:05;0.937600;2.384483;2.42857143;1;2024.03.06 15:02:28;0.774333;0.57142857;1;2024.03.06 15:02:38;0.937600;0.57142857;0;;;;0;;;;0;;;;-1.00000000;1.42857143;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240329;2024.03.29 00:00;1.07748;1;1.09809;15;5;LONG;2024.03.28 10:05;2024.03.28 14:44;2024.03.29 04:07;1.07955;1.07747;1.07746;0.00208;208.00000000;-1.00480769;10.00000000;0.04807692;-1.05288462;-1.07692308;STOP;EURUSD_20240328_LONG;1.10576923;1.00480769;2024.03.28 16:00:41;2024.03.29 04:07:06;75.695567;802.109300;2.11057692;1;2024.03.28 14:58:38;13.658933;0.14903846;1;2024.03.28 15:00:41;15.695333;0.14903846;0;;;;0;;;;0;;;;-1.00480769;1.10576923;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240411;2024.04.11 00:00;1.07244;7;1.09546;20;5;LONG;2024.04.11 14:15;2024.04.11 14:18;2024.04.11 14:30;1.07250;1.07146;1.07143;0.00104;104.00000000;-1.02884615;10.00000000;0.09615385;-1.12500000;-1.17307692;STOP;EURUSD_20240411_LONG;0.15384615;1.02884615;2024.04.11 14:18:15;2024.04.11 14:30:15;0.231300;12.221800;1.18269231;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240514;2024.05.14 00:00;1.06009;20;1.08124;7;5;SHORT;2024.05.14 15:08;2024.05.14 15:29;2024.05.14 16:12;1.08118;1.08231;1.08232;0.00113;113.00000000;-1.00884956;10.00000000;0.08849558;-1.09734513;-1.14159292;STOP;EURUSD_20240514_SHORT;0.00000000;1.00884956;;2024.05.14 16:12:28;;43.392850;1.00884956;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240603;2024.06.03 00:00;1.07238;17;1.08948;12;5;SHORT;2024.06.03 20:36;2024.06.03 20:39;2024.06.03 20:39;1.08943;1.08957;1.08958;0.00014;14.00000000;-1.07142857;10.00000000;0.71428571;-1.78571429;-2.14285714;STOP;EURUSD_20240603_SHORT;0.00000000;1.07142857;;2024.06.03 20:39:32;;0.333333;1.07142857;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240610;2024.06.10 00:00;1.07655;20;1.09158;4;5;LONG;2024.06.10 00:17;2024.06.10 00:17;2024.06.10 05:35;1.07661;1.07648;1.07646;0.00013;13.00000000;-1.15384615;10.00000000;0.76923077;-1.92307692;-2.30769231;STOP;EURUSD_20240610_LONG;11.69230769;1.15384615;2024.06.10 02:05:37;2024.06.10 05:35:59;108.283333;318.650000;12.84615385;1;2024.06.10 00:24:35;7.250000;0.61538462;1;2024.06.10 00:27:18;9.966667;0.61538462;1;2024.06.10 00:28:33;11.216667;0.61538462;1;2024.06.10 00:29:59;12.650000;0.61538462;1;2024.06.10 00:31:13;13.883333;0.61538462;-1.15384615;11.69230769;-1.15384615;11.69230769;-1.15384615;11.69230769;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240626;2024.06.26 00:00;1.06673;8;1.09158;16;5;LONG;2024.06.26 15:31;2024.06.26 15:31;2024.06.26 15:32;1.06678;1.06669;1.06669;0.00009;9.00000000;-1.00000000;10.00000000;1.11111111;-2.11111111;-2.66666667;STOP;EURUSD_20240626_LONG;0.00000000;1.00000000;;2024.06.26 15:32:19;;0.620817;1.00000000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240805;2024.08.05 00:00;1.07774;2;1.09480;13;5;SHORT;2024.08.05 10:30;2024.08.05 10:53;2024.08.05 11:09;1.09475;1.09672;1.09673;0.00197;197.00000000;-1.00507614;10.00000000;0.05076142;-1.05583756;-1.08121827;STOP;EURUSD_20240805_SHORT;0.51776650;1.00507614;2024.08.05 10:54:16;2024.08.05 11:09:04;0.949550;15.754083;1.52284264;1;2024.08.05 10:54:16;0.949550;0.00507614;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240814;2024.08.14 00:00;1.07774;9;1.10089;7;5;SHORT;2024.08.14 11:17;2024.08.14 11:19;2024.08.14 11:23;1.10083;1.10099;1.10100;0.00016;16.00000000;-1.06250000;10.00000000;0.62500000;-1.68750000;-2.00000000;STOP;EURUSD_20240814_SHORT;0.93750000;1.06250000;2024.08.14 11:20:40;2024.08.14 11:23:27;1.445900;4.233767;2.00000000;1;2024.08.14 11:19:59;0.769933;0.25000000;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240925;2024.09.25 00:00;1.10020;10;1.11891;5;5;SHORT;2024.09.25 01:56;2024.09.25 01:56;2024.09.25 01:58;1.11886;1.11893;1.11893;0.00007;7.00000000;-1.00000000;10.00000000;1.42857143;-2.42857143;-3.14285714;STOP;EURUSD_20240925_SHORT;0.14285714;1.00000000;2024.09.25 01:57:40;2024.09.25 01:58:35;1.000017;1.916683;1.14285714;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20241106;2024.11.06 00:00;1.07613;10;1.09810;20;5;LONG;2024.11.06 05:00;2024.11.06 05:08;2024.11.06 05:38;1.07622;1.07463;1.07459;0.00159;159.00000000;-1.02515723;10.00000000;0.06289308;-1.08805031;-1.11949686;STOP;EURUSD_20241106_LONG;1.09433962;1.02515723;2024.11.06 05:10:42;2024.11.06 05:38:35;2.451733;30.324017;2.11949686;1;2024.11.06 05:09:42;1.452483;0.25786164;1;2024.11.06 05:10:42;2.451733;0.25786164;0;;;;0;;;;0;;;;-1.02515723;1.09433962;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250102;2025.01.02 00:00;1.03430;7;1.06298;17;5;LONG;2025.01.02 12:32;2025.01.02 12:35;2025.01.02 12:48;1.03435;1.03396;1.03396;0.00039;39.00000000;-1.00000000;10.00000000;0.25641026;-1.25641026;-1.38461538;STOP;EURUSD_20250102_LONG;0.38461538;1.00000000;2025.01.02 12:36:40;2025.01.02 12:48:17;1.587767;13.208050;1.38461538;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250110;2025.01.10 00:00;1.02241;6;1.05393;20;5;LONG;2025.01.10 15:33;2025.01.10 15:33;2025.01.10 15:34;1.02253;1.02214;1.02213;0.00039;39.00000000;-1.02564103;10.00000000;0.25641026;-1.28205128;-1.41025641;STOP;EURUSD_20250110_LONG;0.00000000;1.02564103;;2025.01.10 15:34:01;;0.033683;1.02564103;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250124;2025.01.24 00:00;1.01775;9;1.04584;18;5;SHORT;2025.01.24 08:34;2025.01.24 08:35;2025.01.24 08:36;1.04579;1.04587;1.04588;0.00008;8.00000000;-1.12500000;10.00000000;1.25000000;-2.37500000;-3.00000000;STOP;EURUSD_20250124_SHORT;2.25000000;1.12500000;2025.01.24 08:35:38;2025.01.24 08:36:41;0.616667;1.668633;3.37500000;1;2025.01.24 08:35:12;0.183333;0.25000000;1;2025.01.24 08:35:16;0.250000;0.25000000;1;2025.01.24 08:35:38;0.616667;0.25000000;0;;;;0;;;;-1.12500000;2.25000000;-1.12500000;2.25000000;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250304;2025.03.04 00:00;1.02720;20;1.05289;4;5;SHORT;2025.03.04 13:51;2025.03.04 16:20;2025.03.04 20:10;1.05283;1.05601;1.05602;0.00318;318.00000000;-1.00314465;10.00000000;0.03144654;-1.03459119;-1.05031447;STOP;EURUSD_20250304_SHORT;0.99371069;1.00314465;2025.03.04 17:20:43;2025.03.04 20:10:43;60.439567;230.440483;1.99685535;1;2025.03.04 17:17:40;57.394267;0.18553459;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250319;2025.03.19 00:00;1.03599;13;1.09548;1;5;SHORT;2025.03.18 11:14;2025.03.18 11:18;2025.03.19 11:18;1.09466;1.09550;1.08983;0.00084;84.00000000;5.75000000;10.00000000;0.11904762;5.63095238;5.57142857;H24_REFERENCE;EURUSD_20250318_SHORT;8.73809524;0.91666667;2025.03.19 10:43:16;2025.03.18 11:51:14;1404.587550;32.560117;7.07142857;1;2025.03.18 12:30:24;71.729283;0.91666667;1;2025.03.18 13:25:40;126.993500;0.91666667;1;2025.03.18 14:40:28;201.785283;0.91666667;1;2025.03.18 14:51:16;212.593183;0.91666667;1;2025.03.18 15:36:20;257.665800;0.91666667;-0.64285714;8.73809524;-0.64285714;8.73809524;-0.64285714;8.73809524;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250403;2025.04.03 00:00;1.07329;5;1.09548;12;5;SHORT;2025.04.03 09:34;2025.04.03 10:24;2025.04.03 11:21;1.09541;1.09909;1.09910;0.00368;368.00000000;-1.00271739;10.00000000;0.02717391;-1.02989130;-1.04347826;STOP;EURUSD_20250403_SHORT;0.29347826;1.00271739;2025.04.03 10:25:41;2025.04.03 11:21:01;0.970733;56.304067;1.29619565;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;EURUSD;FOREX;USD5_PER_LOT_PER_SIDE;20250410;2025.04.10 00:00;1.07329;10;1.11469;5;5;SHORT;2025.04.10 17:38;2025.04.10 17:39;2025.04.10 17:52;1.11463;1.11491;1.11495;0.00028;28.00000000;-1.14285714;10.00000000;0.35714286;-1.50000000;-1.67857143;STOP;EURUSD_20250410_SHORT;3.60714286;1.14285714;2025.04.10 17:45:42;2025.04.10 17:52:46;6.190033;13.246167;4.75000000;1;2025.04.10 17:39:43;0.196717;0.07142857;1;2025.04.10 17:41:29;1.971383;0.82142857;1;2025.04.10 17:42:32;3.014250;0.82142857;1;2025.04.10 17:42:43;3.194700;0.82142857;0;;;;-1.14285714;3.60714286;-1.14285714;3.60714286;-1.14285714;3.60714286;0;
