run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;prior_20d_low;prior_low_age;prior_20d_high;prior_high_age;reentry_offset_ticks;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240117;2024.01.17 00:00;1.26097;11;1.28268;14;5;LONG;2024.01.17 06:15;2024.01.17 06:17;2024.01.17 06:33;1.26102;1.26069;1.26068;0.00033;33.00000000;-1.03030303;10.00000000;0.30303030;-1.33333333;-1.48484848;STOP;GBPUSD_20240117_LONG;1.09090909;1.03030303;2024.01.17 06:24:15;2024.01.17 06:33:34;6.795467;16.112133;2.12121212;1;2024.01.17 06:23:30;6.045467;0.72727273;1;2024.01.17 06:24:05;6.628800;0.72727273;0;;;;0;;;;0;;;;-1.03030303;1.09090909;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240205;2024.02.05 00:00;1.25954;13;1.27847;16;5;LONG;2024.02.05 11:01;2024.02.05 12:00;2024.02.05 12:34;1.25961;1.25802;1.25799;0.00159;159.00000000;-1.01886792;10.00000000;0.06289308;-1.08176101;-1.11320755;STOP;GBPUSD_20240205_LONG;0.00000000;1.01886792;;2024.02.05 12:34:34;;34.497300;1.01886792;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240306;2024.03.06 00:00;1.25343;15;1.27335;1;5;SHORT;2024.03.05 16:00;2024.03.05 17:44;2024.03.06 16:51;1.27074;1.27361;1.27362;0.00287;287.00000000;-1.00348432;10.00000000;0.03484321;-1.03832753;-1.05574913;STOP;GBPUSD_20240305_SHORT;0.60278746;1.00348432;2024.03.06 02:50:00;2024.03.06 16:51:38;545.915100;1387.558567;1.60627178;1;2024.03.06 02:30:03;525.965100;0.45644599;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240322;2024.03.22 00:00;1.25985;15;1.28925;10;5;LONG;2024.03.22 09:53;2024.03.22 10:09;2024.03.22 10:10;1.25991;1.25951;1.25950;0.00040;40.00000000;-1.02500000;10.00000000;0.25000000;-1.27500000;-1.40000000;STOP;GBPUSD_20240322_LONG;0.00000000;1.02500000;;2024.03.22 10:10:39;;1.055067;1.02500000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240401;2024.04.01 00:00;1.25743;6;1.28925;16;5;LONG;2024.04.01 16:10;2024.04.01 16:17;2024.04.01 16:17;1.25749;1.25731;1.25731;0.00018;18.00000000;-1.00000000;10.00000000;0.55555556;-1.55555556;-1.83333333;STOP;GBPUSD_20240401_LONG;0.00000000;1.00000000;;2024.04.01 16:17:29;;0.012200;1.00000000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240410;2024.04.10 00:00;1.25386;6;1.28219;19;5;LONG;2024.04.10 17:44;2024.04.10 17:44;2024.04.10 17:44;1.25391;1.25370;1.25369;0.00021;21.00000000;-1.04761905;10.00000000;0.47619048;-1.52380952;-1.76190476;STOP;GBPUSD_20240410_LONG;0.00000000;1.04761905;;2024.04.10 17:44:14;;0.123900;1.04761905;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240515;2024.05.15 00:00;1.22986;17;1.26333;8;5;SHORT;2024.05.15 14:30;2024.05.15 14:38;2024.05.15 17:33;1.26327;1.26714;1.26715;0.00387;387.00000000;-1.00258398;10.00000000;0.02583979;-1.02842377;-1.04134367;STOP;GBPUSD_20240515_SHORT;0.45478036;1.00258398;2024.05.15 15:54:38;2024.05.15 17:33:40;76.186600;175.205133;1.45736434;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240603;2024.06.03 00:00;1.24450;17;1.27998;4;5;SHORT;2024.06.03 21:01;2024.06.03 21:15;2024.06.03 21:21;1.27992;1.28012;1.28013;0.00020;20.00000000;-1.05000000;10.00000000;0.50000000;-1.55000000;-1.80000000;STOP;GBPUSD_20240603_SHORT;0.35000000;1.05000000;2024.06.03 21:18:18;2024.06.03 21:21:05;3.183333;5.966667;1.40000000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240612;2024.06.12 00:00;1.25826;20;1.28165;6;5;SHORT;2024.06.12 14:30;2024.06.12 14:30;2024.06.12 14:31;1.28158;1.28239;1.28240;0.00081;81.00000000;-1.01234568;10.00000000;0.12345679;-1.13580247;-1.19753086;STOP;GBPUSD_20240612_SHORT;0.00000000;1.01234568;;2024.06.12 14:31:24;;0.414567;1.01234568;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;GBPUSD;FOREX;USD5_PER_LOT_PER_SIDE;20240620;2024.06.20 00:00;1.26562;4;1.28598;6;5;LONG;2024.06.20 22:36;2024.06.20 22:36;2024.06.20 22:37;1.26567;1.26545;1.26545;0.00022;22.00000000;-1.00000000;10.00000000;0.45454545;-1.45454545;-1.68181818;STOP;GBPUSD_20240620_LONG;0.00000000;1.00000000;;2024.06.20 22:37:05;;0.100000;1.00000000;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
