run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;prior_20d_low;prior_low_age;prior_20d_high;prior_high_age;reentry_offset_ticks;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240111;2024.01.11 00:00;140.242;10;145.968;4;5;SHORT;2024.01.11 14:31;2024.01.11 14:32;2024.01.11 14:56;145.963;146.177;146.178;0.214;146.40000000;-1.00464481;10.00000000;0.06830601;-1.07295082;-1.10710383;STOP;USDJPY_20240111_SHORT;1.72178962;1.00464481;2024.01.11 14:37:41;2024.01.11 14:56:39;5.041833;24.014150;2.72643443;1;2024.01.11 14:33:33;0.902633;0.08422131;1;2024.01.11 14:33:55;1.270283;0.08422131;0;;;;0;;;;0;;;;-1.00464481;1.72178962;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240205;2024.02.05 00:00;143.412;19;148.798;11;5;SHORT;2024.02.05 01:37;2024.02.05 01:38;2024.02.05 16:53;148.792;148.836;148.836;0.044;29.56000000;-1.00000000;10.00000000;0.33829499;-1.33829499;-1.50744249;STOP;USDJPY_20240205_SHORT;11.81833559;1.00000000;2024.02.05 07:45:40;2024.02.05 16:53:36;367.184500;915.115917;12.81833559;1;2024.02.05 01:39:28;0.990150;0.43200271;1;2024.02.05 01:43:30;5.029917;0.47733424;1;2024.02.05 01:47:41;9.213400;0.47733424;1;2024.02.05 01:57:21;18.866300;0.47733424;1;2024.02.05 02:07:39;29.174667;0.47733424;-1.00000000;11.81833559;-1.00000000;11.81833559;-1.00000000;11.81833559;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240307;2024.03.07 00:00;147.921;20;150.876;17;5;LONG;2024.03.07 09:02;2024.03.07 09:03;2024.03.07 09:26;147.927;147.899;147.897;0.028;18.93000000;-1.07131537;10.00000000;0.52826202;-1.59957739;-1.86370840;STOP;USDJPY_20240307_LONG;5.95721078;1.07131537;2024.03.07 09:17:15;2024.03.07 09:26:37;13.933683;23.312467;7.02852615;1;2024.03.07 09:04:14;0.926400;0.67881669;1;2024.03.07 09:04:25;1.110867;0.67881669;1;2024.03.07 09:05:00;1.683683;0.67881669;1;2024.03.07 09:05:12;1.896917;0.67881669;1;2024.03.07 09:05:39;2.338083;0.67881669;-1.07131537;5.95721078;-1.07131537;5.95721078;-1.07131537;5.95721078;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240319;2024.03.19 00:00;146.470;7;150.837;14;5;SHORT;2024.03.19 17:37;2024.03.19 17:38;2024.03.19 17:39;150.832;150.856;150.857;0.024;15.91000000;-1.04148334;10.00000000;0.62853551;-1.67001886;-1.98428661;STOP;USDJPY_20240319_SHORT;0.00000000;1.04148334;;2024.03.19 17:39:40;;1.064483;1.04148334;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240422;2024.04.22 00:00;150.801;11;154.777;4;5;SHORT;2024.04.22 11:59;2024.04.22 12:01;2024.04.22 17:33;154.772;154.792;154.792;0.020;12.92000000;-1.00000000;10.00000000;0.77399381;-1.77399381;-2.16099071;STOP;USDJPY_20240422_SHORT;3.90247678;1.00000000;2024.04.22 14:21:40;2024.04.22 17:33:24;139.986867;331.716667;4.90247678;1;2024.04.22 12:06:00;4.316667;0.90015480;1;2024.04.22 12:08:00;6.316667;0.90015480;1;2024.04.22 12:08:43;7.033333;0.90015480;1;2024.04.22 14:20:53;139.214100;0.90015480;0;;;;-1.00000000;3.90247678;-1.00000000;3.90247678;-1.00000000;3.90247678;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240614;2024.06.14 00:00;154.533;8;157.700;12;5;SHORT;2024.06.14 05:24;2024.06.14 05:24;2024.06.14 05:25;157.694;157.737;157.737;0.043;27.26000000;-1.00000000;10.00000000;0.36683786;-1.36683786;-1.55025679;STOP;USDJPY_20240614_SHORT;1.55942773;1.00000000;2024.06.14 05:25:15;2024.06.14 05:25:41;0.535617;0.963450;2.55942773;1;2024.06.14 05:24:58;0.245450;0.48862803;1;2024.06.14 05:25:02;0.313967;0.48862803;0;;;;0;;;;0;;;;-1.00000000;1.55942773;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240620;2024.06.20 00:00;154.533;12;158.248;4;5;SHORT;2024.06.20 09:41;2024.06.20 09:45;2024.06.20 09:58;158.243;158.280;158.280;0.037;23.38000000;-1.00000000;10.00000000;0.42771600;-1.42771600;-1.64157399;STOP;USDJPY_20240620_SHORT;1.08126604;1.00000000;2024.06.20 09:53:59;2024.06.20 09:58:30;8.650000;13.176467;2.08126604;1;2024.06.20 09:51:24;6.066667;0.54063302;1;2024.06.20 09:53:51;8.516667;0.54063302;0;;;;0;;;;0;;;;-1.00000000;1.08126604;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240724;2024.07.24 00:00;155.364;4;161.953;14;5;LONG;2024.07.24 03:12;2024.07.24 03:13;2024.07.24 03:47;155.369;155.246;155.238;0.123;79.23000000;-1.06512685;10.00000000;0.12621482;-1.19134166;-1.25444907;STOP;USDJPY_20240724_LONG;1.38760570;1.06512685;2024.07.24 03:16:15;2024.07.24 03:47:32;2.920767;34.195133;2.45273255;1;2024.07.24 03:14:40;1.332517;0.07307838;1;2024.07.24 03:15:42;2.360550;0.07307838;0;;;;0;;;;0;;;;-1.06512685;1.38760570;;;;;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240731;2024.07.31 00:00;151.938;4;161.953;19;5;LONG;2024.07.31 06:56;2024.07.31 06:57;2024.07.31 10:48;151.944;151.573;151.573;0.371;244.77000000;-1.00000000;10.00000000;0.04085468;-1.04085468;-1.06128202;STOP;USDJPY_20240731_LONG;5.20292520;1.00000000;2024.07.31 07:00:43;2024.07.31 10:48:17;3.664000;231.231933;6.20292520;1;2024.07.31 06:57:13;0.158417;0.02418597;1;2024.07.31 06:57:16;0.214167;0.02418597;1;2024.07.31 06:57:29;0.424783;0.02418597;1;2024.07.31 06:58:40;1.611350;0.02418597;1;2024.07.31 06:59:43;2.659333;0.02418597;-1.00000000;5.20292520;-1.00000000;5.20292520;-1.00000000;5.20292520;0;
RUN;USDJPY;FOREX;USD5_PER_LOT_PER_SIDE;20240905;2024.09.05 00:00;143.445;8;149.393;15;5;LONG;2024.09.05 02:29;2024.09.05 02:29;2024.09.05 02:30;143.450;143.429;143.428;0.021;14.64000000;-1.04781421;10.00000000;0.68306011;-1.73087432;-2.07240437;STOP;USDJPY_20240905_LONG;2.33265027;1.04781421;2024.09.05 02:30:16;2024.09.05 02:30:21;0.490550;0.580967;3.38046448;1;2024.09.05 02:29:48;0.033750;0.23838798;1;2024.09.05 02:29:48;0.033750;0.23838798;1;2024.09.05 02:29:59;0.216267;0.23838798;0;;;;0;;;;-1.04781421;2.33265027;-1.04781421;2.33265027;;;0;
