run_stage;symbol;asset_class;commission_rule;day_key;broker_day_start;prior_20d_low;prior_low_age;prior_20d_high;prior_high_age;reentry_offset_ticks;side;signal_time;entry_time;exit_time;entry;initial_stop;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240202;2024.02.02 00:00;2001.81;12;2065.35;1;5;SHORT;2024.02.01 18:45;2024.02.01 18:48;2024.02.02 18:48;2063.86;2065.57;2036.73;1.71;171.00000000;15.86549708;6.56094400;0.03836809;15.82712898;15.80794494;H24_REFERENCE;XAUUSD_20240201_SHORT;21.01169591;0.28070175;2024.02.02 16:03:42;2024.02.01 18:50:39;1275.072583;2.013267;5.32748538;1;2024.02.01 18:51:40;3.037533;0.28070175;1;2024.02.01 18:53:15;4.609900;0.28070175;1;2024.02.01 18:56:04;7.432583;0.28070175;1;2024.02.01 19:39:27;50.810917;0.28070175;1;2024.02.01 19:42:38;54.002267;0.28070175;0.63157895;21.01169591;0.78947368;21.01169591;2.91228070;21.01169591;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240213;2024.02.13 00:00;2001.81;19;2065.35;8;5;LONG;2024.02.13 16:08;2024.02.13 16:09;2024.02.13 16:10;2001.87;2001.08;2001.07;0.79;79.00000000;-1.01265823;6.40470400;0.08107220;-1.09373043;-1.13426653;STOP;XAUUSD_20240213_LONG;0.12658228;1.01265823;2024.02.13 16:10:05;2024.02.13 16:10:29;0.452683;0.845900;1.13924051;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240301;2024.03.01 00:00;1984.18;12;2057.58;20;5;SHORT;2024.03.01 13:42;2024.03.01 17:18;2024.03.01 17:21;2057.52;2059.98;2059.99;2.46;246.00000000;-1.00406504;6.58801600;0.02678055;-1.03084559;-1.04423587;STOP;XAUUSD_20240301_SHORT;0.00000000;1.00406504;;2024.03.01 17:21:30;;3.282233;1.00406504;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240322;2024.03.22 00:00;2015.98;20;2222.72;1;5;SHORT;2024.03.21 01:15;2024.03.21 01:45;2024.03.22 01:45;2195.00;2222.97;2181.26;27.97;2797.00000000;0.49124061;7.00201600;0.00250340;0.48873721;0.48748551;H24_REFERENCE;XAUUSD_20240321_SHORT;1.01501609;0.62996067;2024.03.21 18:27:39;2024.03.21 04:12:17;1002.162167;146.793033;0.71540937;1;2024.03.21 17:24:15;938.763167;0.62996067;1;2024.03.21 18:27:37;1002.121633;0.62996067;0;;;;0;;;;0;;;;0.38827315;1.01501609;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240328;2024.03.28 00:00;2028.06;20;2222.72;5;5;SHORT;2024.03.28 19:38;2024.03.28 19:46;2024.03.28 23:47;2222.66;2225.59;2225.63;2.93;293.00000000;-1.01365188;7.11726400;0.02429100;-1.03794288;-1.05008838;STOP;XAUUSD_20240328_SHORT;1.95563140;1.01365188;2024.03.28 20:29:40;2024.03.28 23:47:35;43.644150;241.556967;2.96928328;1;2024.03.28 19:50:18;4.283567;0.30034130;1;2024.03.28 19:51:37;5.591833;0.30034130;0;;;;0;;;;0;;;;-1.01365188;1.95563140;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240517;2024.05.17 00:00;2277.28;10;2417.80;20;5;SHORT;2024.05.17 18:03;2024.05.17 18:04;2024.05.17 18:05;2417.74;2418.20;2418.26;0.46;46.00000000;-1.13043478;7.73760000;0.16820870;-1.29864348;-1.38274783;STOP;XAUUSD_20240517_SHORT;0.82608696;1.13043478;2024.05.17 18:04:41;2024.05.17 18:05:02;0.352033;0.694850;1.95652174;1;2024.05.17 18:04:38;0.306117;0.39130435;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240607;2024.06.07 00:00;2314.73;4;2450.01;14;5;LONG;2024.06.07 15:31;2024.06.07 15:31;2024.06.07 16:47;2314.82;2313.59;2313.57;1.23;123.00000000;-1.01626016;7.40542400;0.06020670;-1.07646686;-1.10657021;STOP;XAUUSD_20240607_LONG;10.73983740;1.01626016;2024.06.07 16:27:41;2024.06.07 16:47:41;56.358383;76.355700;11.75609756;1;2024.06.07 15:31:28;0.145383;0.19512195;1;2024.06.07 15:31:30;0.184400;0.19512195;1;2024.06.07 15:31:41;0.354600;0.19512195;1;2024.06.07 15:33:00;1.670217;0.19512195;1;2024.06.07 15:34:38;3.317933;0.19512195;-1.01626016;10.73983740;-1.01626016;10.73983740;-1.01626016;10.73983740;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240705;2024.07.05 00:00;2286.74;20;2387.65;20;5;SHORT;2024.07.05 18:33;2024.07.05 18:34;2024.07.05 20:05;2387.60;2388.53;2388.53;0.93;93.00000000;-1.00000000;7.64180800;0.08216998;-1.08216998;-1.12325497;STOP;XAUUSD_20240705_SHORT;5.21505376;1.00000000;2024.07.05 18:53:41;2024.07.05 20:05:39;19.227783;91.202983;6.21505376;1;2024.07.05 18:34:39;0.191733;0.20430108;1;2024.07.05 18:35:38;1.173150;0.20430108;1;2024.07.05 18:38:04;3.616767;0.20430108;1;2024.07.05 18:39:24;4.950283;0.20430108;1;2024.07.05 18:53:39;19.196417;0.20430108;-1.00000000;5.21505376;-1.00000000;5.21505376;-1.00000000;5.21505376;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20240912;2024.09.12 00:00;2432.20;20;2531.65;17;5;SHORT;2024.09.12 15:45;2024.09.12 15:47;2024.09.12 16:09;2531.60;2535.45;2535.46;3.85;385.00000000;-1.00259740;8.10729600;0.02105791;-1.02365531;-1.03418427;STOP;XAUUSD_20240912_SHORT;2.43896104;1.00259740;2024.09.12 16:00:43;2024.09.12 16:09:17;13.060567;21.624650;3.44155844;1;2024.09.12 15:58:38;10.978400;0.99740260;1;2024.09.12 15:59:41;12.028300;0.99740260;1;2024.09.12 16:00:39;12.993900;0.99740260;0;;;;0;;;;-1.00259740;2.43896104;-1.00259740;2.43896104;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;20241017;2024.10.17 00:00;2551.09;20;2685.59;15;5;SHORT;2024.10.17 09:40;2024.10.17 09:41;2024.10.17 09:41;2685.54;2685.72;2685.73;0.18;18.00000000;-1.05555556;8.59403200;0.47744622;-1.53300178;-1.77172489;STOP;XAUUSD_20241017_SHORT;0.00000000;1.05555556;;2024.10.17 09:41:40;;0.009150;1.05555556;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
