state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor
rsi14=Q5 & price_change_15m_pct=Q2,direction_1h_atr,-1,0.12460339779141076,1582,-0.13515353320502252,1644,-0.12460339779141076,1632,0.06670726398480852,1806,0.09975157819172051,False,,False,False
rsi14=Q4 & oi_accel_15m_pctpt=Q4,direction_1h_atr,1,0.1162357561942404,4551,0.1162357561942404,4718,0.12343583276213388,4400,0.09601365814388649,3890,0.0004502080199231236,True,0.0004502080199231236,False,False
atr_slope_3bar_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,-1,0.11441893929676264,4133,-0.11441893929676264,4175,-0.11888783046327224,4560,-0.053927641766452115,3123,-0.059110370266349396,True,0.053927641766452115,True,True
rsi14=Q1 & oi_change_1h_pct=Q1,direction_1h_atr,1,0.11391214988379286,5681,0.11391214988379286,6829,0.11732416601938139,5803,0.027308604097995508,7645,-0.04008085672625788,False,,False,False
atr_slope_3bar_pct=Q5 & oi_change_15m_pct=Q4,direction_1h_atr,-1,0.11278904242433715,2910,-0.11772590300525441,3061,-0.11278904242433715,2954,-0.018360734186467352,2307,0.0043430187781278275,False,,False,False
atr_slope_3bar_pct=Q5 & body_atr=Q4,direction_1h_atr,-1,0.10979346136635028,2726,-0.12067580558029012,2762,-0.10979346136635028,2576,-0.07300416460380099,2475,-0.00903433963683427,True,0.00903433963683427,False,False
price_change_1h_pct=Q5 & body_atr=Q1,direction_1h_atr,-1,0.1047705276171925,2432,-0.15658623091325258,2518,-0.1047705276171925,1908,0.06503308289170157,2675,0.12926725934920996,False,,False,False
atr_slope_3bar_pct=Q5 & price_change_1h_pct=Q5,direction_1h_atr,-1,0.10093016744481616,5814,-0.10093016744481616,5613,-0.14018722698122238,4186,0.003325491298293329,5479,0.05476526814940655,False,,False,False
price_change_5m_pct=Q2 & range_atr=Q5,direction_1h_atr,1,0.09638126718047,2062,0.12838052653498758,1910,0.09638126718047,2718,0.07011026352292905,1435,0.05245338013946355,True,0.05245338013946355,True,True
atr_slope_1bar_pct=Q5 & price_change_5m_pct=Q2,direction_1h_atr,1,0.09638126718047,2062,0.12838052653498758,1910,0.09638126718047,2718,0.07011026352292905,1435,0.05245338013946355,True,0.05245338013946355,True,True
