state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor
atr_slope_3bar_pct=Q2 & oi_change_15m_pct=Q1,direction_1h_atr,1,0.08135080903666733,3181,0.08135080903666733,3114,0.09454560588986667,2847,0.10850290365064853,4283,0.11494571705097763,True,0.10850290365064853,True,True
atr_slope_3bar_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,-1,0.11441893929676264,4133,-0.11441893929676264,4175,-0.11888783046327224,4560,-0.053927641766452115,3123,-0.059110370266349396,True,0.053927641766452115,True,True
price_change_5m_pct=Q2 & range_atr=Q5,direction_1h_atr,1,0.09638126718047,2062,0.12838052653498758,1910,0.09638126718047,2718,0.07011026352292905,1435,0.05245338013946355,True,0.05245338013946355,True,True
atr_slope_1bar_pct=Q5 & price_change_5m_pct=Q2,direction_1h_atr,1,0.09638126718047,2062,0.12838052653498758,1910,0.09638126718047,2718,0.07011026352292905,1435,0.05245338013946355,True,0.05245338013946355,True,True
rsi14=Q3 & price_change_1h_pct=Q5,direction_1h_atr,-1,0.08598251720817694,1797,-0.08598251720817694,1823,-0.10095359566564104,1232,-0.1720155440083722,2196,-0.043005742765341685,True,0.043005742765341685,True,True
rsi14=Q2 & atr_slope_3bar_pct=Q5,direction_1h_atr,-1,0.08533560401300486,2774,-0.08533560401300486,2774,-0.12908751370388893,2961,-0.09210457145358247,2479,-0.023201955197231474,True,0.023201955197231474,True,True
atr_slope_1bar_pct=Q1 & price_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.04383993838801514,1014,-0.044176751020375216,999,-0.04383993838801514,445,-0.048224063167986,1171,-0.03221021055744966,True,0.03221021055744966,True,True
price_change_5m_pct=Q5 & range_atr=Q1,move_ge_1atr_1h,-1,0.04383993838801514,1014,-0.044176751020375216,999,-0.04383993838801514,445,-0.048224063167986,1171,-0.03221021055744966,True,0.03221021055744966,True,True
atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.038860289639105816,2108,-0.038860289639105816,2124,-0.04598191086897063,1183,-0.032083419023884674,2360,-0.030971952658218282,True,0.030971952658218282,True,True
atr_slope_3bar_pct=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.04079970533563726,2220,-0.04079970533563726,2358,-0.05183648455250023,1358,-0.029447276419462876,2569,-0.03585712198480451,True,0.029447276419462876,True,True
atr_slope_3bar_pct=Q1 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.03201727050628411,3791,-0.03342721810295479,3928,-0.03201727050628411,3468,-0.021694508847910354,4415,-0.024686561944741503,True,0.021694508847910354,True,True
atr_slope_3bar_pct=Q1 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.035377026888342766,3443,-0.04211442406249655,3754,-0.035377026888342766,2702,-0.024506301044215917,4183,-0.020656389665151043,True,0.020656389665151043,True,True
atr_slope_3bar_pct=Q1 & oi_change_15m_pct=Q1,move_ge_1atr_1h,-1,0.02055529824912483,2508,-0.02055529824912483,2803,-0.022794990478993027,2311,-0.022865130073212114,3308,-0.02027062254939116,True,0.02027062254939116,True,True
atr_slope_1bar_pct=Q1 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.023794814894615768,3987,-0.03150835981404343,4147,-0.023794814894615768,3690,-0.019369886985774798,4725,-0.02160687329313893,True,0.019369886985774798,True,True
oi_change_1h_pct=Q1 & range_atr=Q1,move_ge_1atr_1h,-1,0.023794814894615768,3987,-0.03150835981404343,4147,-0.023794814894615768,3690,-0.019369886985774798,4725,-0.02160687329313893,True,0.019369886985774798,True,True
rsi14=Q3 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02449640395945596,1797,-0.04419650781424267,1823,-0.02449640395945596,1232,-0.02607500436162391,2196,-0.01922331877843686,True,0.01922331877843686,True,True
atr_slope_1bar_pct=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.030261396492243686,3068,-0.030261396492243686,3342,-0.031231279459787098,2198,-0.02445679772749365,3566,-0.018829496124286638,True,0.018829496124286638,True,True
price_change_15m_pct=Q5 & range_atr=Q1,move_ge_1atr_1h,-1,0.030261396492243686,3068,-0.030261396492243686,3342,-0.031231279459787098,2198,-0.02445679772749365,3566,-0.018829496124286638,True,0.018829496124286638,True,True
atr_slope_3bar_pct=Q1 & oi_accel_5m_pctpt=Q5,move_ge_1atr_1h,-1,0.022599444005604874,2620,-0.022599444005604874,2900,-0.026772871320948077,2058,-0.01706912928432025,3581,-0.02062568066715431,True,0.01706912928432025,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.020957516506106666,3081,-0.020957516506106666,3256,-0.02806279761087427,2337,-0.016859546092892197,4040,-0.017358091272079657,True,0.016859546092892197,True,True
