state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor,btcusdt_2025_n_recalc,btcusdt_2025_effect_recalc,btcusdt_block_p,ethusdt_2025_n_recalc,ethusdt_2025_effect_recalc,ethusdt_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,plateau_eligible,plateau_match,plateau_match_rate,worst_symbol_bh_q,dedup_cluster,cluster_representative,phase_c_screen_pass
rsi14=Q5 & price_change_15m_pct=Q2,direction_1h_atr,-1,0.12460339779141076,1582,-0.13515353320502252,1644,-0.12460339779141076,1632,0.06670726398480852,1806,0.09975157819172051,False,,False,False,1632,0.0667072639848085,0.7847384205264911,1806,0.09975157819172088,0.8757080973008997,0.8757080973008997,8,2,0.25,3,0,0.0,0.9934188603798734,,False,False
rsi14=Q4 & oi_accel_15m_pctpt=Q4,direction_1h_atr,1,0.1162357561942404,4551,0.1162357561942404,4718,0.12343583276213388,4400,0.09601365814388649,3890,0.0004502080199231236,True,0.0004502080199231236,False,False,4400,0.09601365814388634,0.08197267577474175,3890,0.0004502080199234445,0.48450516494501833,0.48450516494501833,8,6,0.75,4,2,0.5,0.8258610766108266,,False,False
atr_slope_3bar_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,-1,0.11441893929676264,4133,-0.11441893929676264,4175,-0.11888783046327224,4560,-0.053927641766452115,3123,-0.059110370266349396,True,0.053927641766452115,True,True,4560,-0.05392764176645242,0.24558480506497835,3123,-0.059110370266349105,0.22492502499166944,0.24558480506497835,8,6,0.75,3,2,0.6666666666666666,0.575589386871043,C01,True,False
rsi14=Q1 & oi_change_1h_pct=Q1,direction_1h_atr,1,0.11391214988379286,5681,0.11391214988379286,6829,0.11732416601938139,5803,0.027308604097995508,7645,-0.04008085672625788,False,,False,False,5803,0.027308604097995973,0.3488837054315228,7645,-0.04008085672625761,0.7240919693435521,0.7240919693435521,8,3,0.375,2,0,0.0,0.9363258224270071,,False,False
atr_slope_3bar_pct=Q5 & oi_change_15m_pct=Q4,direction_1h_atr,-1,0.11278904242433715,2910,-0.11772590300525441,3061,-0.11278904242433715,2954,-0.018360734186467352,2307,0.0043430187781278275,False,,False,False,2954,-0.018360734186467262,0.42619126957680775,2307,0.004343018778128068,0.5231589470176607,0.5231589470176607,8,3,0.375,3,1,0.3333333333333333,0.871931578362768,,False,False
atr_slope_3bar_pct=Q5 & body_atr=Q4,direction_1h_atr,-1,0.10979346136635028,2726,-0.12067580558029012,2762,-0.10979346136635028,2576,-0.07300416460380099,2475,-0.00903433963683427,True,0.00903433963683427,False,False,2576,-0.07300416460380094,0.15428190603132289,2475,-0.00903433963683397,0.42919026991003,0.42919026991003,8,5,0.625,3,1,0.3333333333333333,0.7485876800756338,,False,False
price_change_1h_pct=Q5 & body_atr=Q1,direction_1h_atr,-1,0.1047705276171925,2432,-0.15658623091325258,2518,-0.1047705276171925,1908,0.06503308289170157,2675,0.12926725934920996,False,,False,False,1908,0.06503308289170155,0.8470509830056647,2675,0.12926725934921063,0.9890036654448517,0.9890036654448517,8,0,0.0,2,0,0.0,0.9950016661112961,,False,False
atr_slope_3bar_pct=Q5 & price_change_1h_pct=Q5,direction_1h_atr,-1,0.10093016744481616,5814,-0.10093016744481616,5613,-0.14018722698122238,4186,0.003325491298293329,5479,0.05476526814940655,False,,False,False,4186,0.0033254912982933656,0.5268243918693769,5479,0.05476526814940716,0.76107964011996,0.76107964011996,8,3,0.375,2,0,0.0,0.9513495501499499,,False,False
price_change_5m_pct=Q2 & range_atr=Q5,direction_1h_atr,1,0.09638126718047,2062,0.12838052653498758,1910,0.09638126718047,2718,0.07011026352292905,1435,0.05245338013946355,True,0.05245338013946355,True,True,2718,0.07011026352292925,0.15194935021659448,1435,0.05245338013946385,0.28923692102632453,0.28923692102632453,8,7,0.875,3,1,0.3333333333333333,0.6025769188048428,C02,True,False
atr_slope_1bar_pct=Q5 & price_change_5m_pct=Q2,direction_1h_atr,1,0.09638126718047,2062,0.12838052653498758,1910,0.09638126718047,2718,0.07011026352292905,1435,0.05245338013946355,True,0.05245338013946355,True,True,2718,0.07011026352292925,0.15961346217927358,1435,0.05245338013946385,0.28123958680439853,0.28123958680439853,8,7,0.875,3,1,0.3333333333333333,0.6025769188048428,C02,False,False
atr_slope_1bar_pct=Q5 & price_change_1h_pct=Q5,direction_1h_atr,-1,0.09268645765435704,5232,-0.10671928950719539,5123,-0.09268645765435704,3852,-0.002966866804980226,5175,0.026685883400603842,False,,False,False,3852,-0.0029668668049800707,0.48683772075974674,5175,0.026685883400604207,0.6524491836054649,0.6524491836054649,8,3,0.375,2,0,0.0,0.928781315319136,,False,False
price_change_1h_pct=Q5 & range_atr=Q5,direction_1h_atr,-1,0.09268645765435704,5232,-0.10671928950719539,5123,-0.09268645765435704,3852,-0.002966866804980226,5176,0.026696647780449223,False,,False,False,3852,-0.0029668668049800707,0.5064978340553149,5176,0.026696647780449587,0.6451182939020327,0.6451182939020327,8,3,0.375,2,0,0.0,0.928781315319136,,False,False
price_change_15m_pct=Q1 & price_change_1h_pct=Q5,direction_1h_atr,-1,0.09243350337446593,2181,-0.1312744529642072,2197,-0.09243350337446593,1423,0.06269581797094068,2612,0.0814944590418466,False,,False,False,1423,0.0626958179709409,0.773075641452849,2612,0.08149445904184703,0.8890369876707764,0.8890369876707764,8,3,0.375,2,0,0.0,0.9934188603798734,,False,False
oi_change_15m_pct=Q5 & oi_accel_15m_pctpt=Q1,direction_1h_atr,-1,0.09029506804267098,1265,-0.09029506804267098,1357,-0.20008377512469455,1145,-0.024045421244943986,2078,0.11053601471618625,False,,False,False,1145,-0.024045421244944045,0.4051982672442519,2078,0.11053601471618726,0.9006997667444185,0.9006997667444185,8,3,0.375,2,2,1.0,0.9934188603798734,,False,False
rsi14=Q2 & price_change_1h_pct=Q4,direction_1h_atr,-1,0.09016420706281936,1542,-0.09016420706281936,1638,-0.16623226588800485,1464,0.1349906845633495,1740,0.0005783222531282033,False,,False,False,1464,0.13499068456334978,0.9343552149283573,1740,0.0005783222531285355,0.49783405531489505,0.9343552149283573,8,2,0.25,3,2,0.6666666666666666,0.9950016661112961,,False,False
atr_slope_3bar_pct=Q5 & oi_change_5m_pct=Q2,direction_1h_atr,-1,0.08877958527329177,3009,-0.08877958527329177,3142,-0.09469649303566807,3599,-0.026441117605296348,2401,0.013478565661363278,False,,False,False,3599,-0.026441117605296226,0.3465511496167944,2401,0.013478565661363861,0.5838053982005998,0.5838053982005998,8,4,0.5,3,0,0.0,0.9246917694101966,,False,False
atr_slope_3bar_pct=Q5 & oi_accel_15m_pctpt=Q5,direction_1h_atr,-1,0.08809953232246079,4316,-0.08809953232246079,4528,-0.12929931003728862,4106,-0.05230058750862498,4797,-0.017986413371320505,True,0.017986413371320505,False,False,4106,-0.05230058750862496,0.2109296901032989,4797,-0.017986413371320266,0.3785404865044985,0.3785404865044985,8,5,0.625,2,0,0.0,0.6914361879373543,,False,False
rsi14=Q3 & price_change_1h_pct=Q5,direction_1h_atr,-1,0.08598251720817694,1797,-0.08598251720817694,1823,-0.10095359566564104,1232,-0.1720155440083722,2196,-0.043005742765341685,True,0.043005742765341685,True,True,1232,-0.1720155440083721,0.019993335554815063,2196,-0.04300574276534133,0.2692435854715095,0.2692435854715095,8,6,0.75,3,1,0.3333333333333333,0.6025769188048428,C03,True,False
rsi14=Q4 & price_change_1h_pct=Q3,direction_1h_atr,1,0.08590130285889029,5638,0.15400197723911876,5604,0.08590130285889029,6673,-0.02854380541150949,5124,-0.03224529654162805,False,,False,False,6673,-0.02854380541150938,0.6754415194935022,5124,-0.032245296541627784,0.7120959680106631,0.7120959680106631,8,4,0.5,4,2,0.5,0.9363258224270071,,False,False
oi_change_5m_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,-1,0.0856479162763852,2686,-0.09118627316186698,2517,-0.0856479162763852,2265,0.0959933039287079,3073,-0.007310828940384687,False,,False,False,2265,0.0959933039287079,0.8847050983005664,3073,-0.007310828940384382,0.43385538153948683,0.8847050983005664,8,3,0.375,3,3,1.0,0.9934188603798734,,False,False
