state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor,btcusdt_2025_n_recalc,btcusdt_2025_effect_recalc,btcusdt_block_p,ethusdt_2025_n_recalc,ethusdt_2025_effect_recalc,ethusdt_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,plateau_eligible,plateau_match,plateau_match_rate,worst_symbol_bh_q,dedup_cluster,cluster_representative,phase_c_screen_pass
atr_slope_1bar_pct=Q1 & price_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.04383993838801514,1014,-0.044176751020375216,999,-0.04383993838801514,445,-0.048224063167986,1171,-0.03221021055744966,True,0.03221021055744966,True,True,445,-0.048224063167986,0.0003332222592469177,1171,-0.03221021055744966,0.0003332222592469177,0.0003332222592469177,7,7,1.0,2,2,1.0,0.0020826391202932357,C06,True,True
atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.038860289639105816,2108,-0.038860289639105816,2124,-0.04598191086897063,1183,-0.032083419023884674,2360,-0.030971952658218282,True,0.030971952658218282,True,True,1183,-0.032083419023884674,0.0003332222592469177,2360,-0.030971952658218282,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C08,True,True
atr_slope_3bar_pct=Q1 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.03201727050628411,3791,-0.03342721810295479,3928,-0.03201727050628411,3468,-0.021694508847910354,4415,-0.024686561944741503,True,0.021694508847910354,True,True,3468,-0.021694508847910354,0.0003332222592469177,4415,-0.024686561944741503,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C11,True,True
atr_slope_3bar_pct=Q1 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.035377026888342766,3443,-0.04211442406249655,3754,-0.035377026888342766,2702,-0.024506301044215917,4183,-0.020656389665151043,True,0.020656389665151043,True,True,2702,-0.024506301044215917,0.0003332222592469177,4183,-0.020656389665151043,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C09,True,True
atr_slope_1bar_pct=Q1 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.023794814894615768,3987,-0.03150835981404343,4147,-0.023794814894615768,3690,-0.019369886985774798,4725,-0.02160687329313893,True,0.019369886985774798,True,True,3690,-0.019369886985774798,0.0003332222592469177,4725,-0.02160687329313893,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C17,True,True
atr_slope_1bar_pct=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.030261396492243686,3068,-0.030261396492243686,3342,-0.031231279459787098,2198,-0.02445679772749365,3566,-0.018829496124286638,True,0.018829496124286638,True,True,2198,-0.02445679772749365,0.0003332222592469177,3566,-0.018829496124286638,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C12,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.020957516506106666,3081,-0.020957516506106666,3256,-0.02806279761087427,2337,-0.016859546092892197,4040,-0.017358091272079657,True,0.016859546092892197,True,True,2337,-0.016859546092892197,0.0003332222592469177,4040,-0.017358091272079657,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C24,True,True
atr_slope_3bar_pct=Q1 & oi_accel_15m_pctpt=Q5,move_ge_1atr_1h,-1,0.021544399992386443,3957,-0.021544399992386443,3941,-0.02904386852977825,3191,-0.018467620363609938,4669,-0.01588306852885435,True,0.01588306852885435,True,True,3191,-0.018467620363609938,0.0003332222592469177,4669,-0.01588306852885435,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C22,True,True
atr_slope_1bar_pct=Q1 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02641064969497542,3444,-0.031933522079210075,3727,-0.02641064969497542,2766,-0.017401149294059448,4189,-0.015347698659650577,True,0.015347698659650577,True,True,2766,-0.017401149294059448,0.0003332222592469177,4189,-0.015347698659650577,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C15,True,True
rsi14=Q4 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02306545649128866,4883,-0.028442898395582228,4990,-0.02306545649128866,3609,-0.01963075243732204,5605,-0.009874718046264608,True,0.009874718046264608,True,True,3609,-0.01963075243732204,0.0003332222592469177,5605,-0.009874718046264608,0.0003332222592469177,0.0003332222592469177,8,8,1.0,3,3,1.0,0.0020826391202932357,C18,True,True
atr_slope_3bar_pct=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.04079970533563726,2220,-0.04079970533563726,2358,-0.05183648455250023,1358,-0.029447276419462876,2569,-0.03585712198480451,True,0.029447276419462876,True,True,1358,-0.029447276419462876,0.0006664445184938354,2569,-0.03585712198480451,0.0003332222592469177,0.0006664445184938354,8,8,1.0,2,2,1.0,0.0031239586804398534,C07,True,True
atr_slope_3bar_pct=Q1 & oi_change_15m_pct=Q1,move_ge_1atr_1h,-1,0.02055529824912483,2508,-0.02055529824912483,2803,-0.022794990478993027,2311,-0.022865130073212114,3308,-0.02027062254939116,True,0.02027062254939116,True,True,2311,-0.022865130073212114,0.0006664445184938354,3308,-0.02027062254939116,0.0003332222592469177,0.0006664445184938354,8,8,1.0,2,2,1.0,0.0031239586804398534,C25,True,True
