state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q1,direction_1h_atr,1058,-0.02507428373686077,501,-0.01605443641312209,557,-0.0319335508148093,1126,0.02986836500550802,579,-0.08087475624119961,547,0.14516357915388556,True,False,0,0.01605443641312209,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,1019,-0.008657203292032734,485,-0.023997429105624635,534,0.005179649256076058,1078,-0.009269304076323981,559,0.0003853363761858186,519,-0.019649349338376143,True,False,0,0.0003853363761858186,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q2,direction_1h_atr,666,0.10287341480324627,321,0.11310884122129597,345,0.09416913592046447,609,0.07943122535991591,301,0.13821204817905408,308,0.022305245773998627,True,True,1,0.022305245773998627,True
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,647,0.011129143597741586,312,-0.012188018584873894,335,0.03277761448610572,596,-0.027233841935396796,295,-0.05446442560798692,301,-0.0005479596226565242,True,False,0,0.0005479596226565242,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q3,direction_1h_atr,365,-0.07134119940510446,175,-0.10492518630484071,190,-0.039457811357737585,420,0.08835671903443126,224,0.1424073441116407,196,0.022326230129480776,False,False,0,0.022326230129480776,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,356,0.02229129214852915,170,0.06266115185253185,186,-0.014694701354048378,408,0.009547313479789377,219,0.043670393678445996,189,-0.029956105309872028,False,False,0,0.009547313479789377,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q4,direction_1h_atr,284,0.13711736087007545,137,0.45815907031336023,147,-0.16128723999056396,281,0.2185162617374542,148,0.290039429110954,133,0.13549959626018054,False,False,0,0.13549959626018054,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,276,0.024367501234997146,133,0.06022859988437612,143,-0.009055179585494344,276,0.019138106318664028,146,-0.029388967052147608,130,0.0736661983124316,False,False,0,0.009055179585494344,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q5,direction_1h_atr,92,0.008747989687626946,52,0.03132190837262269,40,-0.02496473845887135,100,-0.13473882393758785,56,0.03016714333661958,44,-0.35246750082482053,False,False,0,0.008747989687626946,False
rsi14=Q1 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,90,-0.0640382958664521,51,-0.08439767167687995,39,-0.03702720755752231,95,-0.09535464730452431,55,-0.07696057352786367,40,-0.12056457091833761,False,True,-1,0.03702720755752231,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q1,direction_1h_atr,597,-0.014521180282874961,284,-0.13031215368934113,313,0.09168462495567883,630,-0.09070033593862928,309,-0.07709335635587443,321,-0.10307459375885894,True,False,0,0.014521180282874961,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,578,0.006088578412671353,274,-0.025359457851203693,304,0.03432906774612143,609,0.0021822985082835533,301,0.013163256130849732,308,-0.008551583905350602,True,False,0,0.0021822985082835533,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q2,direction_1h_atr,813,0.08310089775571977,367,0.29877907212728994,446,-0.09204572072109443,786,0.058725687880381336,392,-0.01352809022410878,394,0.1304436795610889,True,False,0,0.01352809022410878,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,799,0.018272926494832864,361,0.04677391052940982,438,-0.005414984164477055,765,0.01575646380658674,380,0.015383924079791889,385,0.016123740769974026,True,False,0,0.005414984164477055,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q3,direction_1h_atr,797,0.03707878442515076,381,-0.027585770155072242,416,0.09732636773740619,740,0.1093986236498833,363,-0.0956444673127458,377,0.307544579260053,True,False,0,0.027585770155072242,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,787,0.01978211921190448,375,0.002504289107433777,412,0.03541491342828795,729,0.0067029658641999945,359,-0.01881927193252303,370,0.03146245610868936,True,False,0,0.002504289107433777,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q4,direction_1h_atr,591,0.22899135300804185,276,0.018341140970871722,315,0.4151413384305457,623,-0.21184229809927396,293,-0.21361788368477697,330,-0.20747575505800986,True,False,0,0.018341140970871722,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,575,0.04349793601760582,265,0.013271584704918071,310,0.0691762663878871,615,-0.01893188307688204,290,-0.015832046882095607,325,-0.02171841707218375,True,False,0,0.013271584704918071,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q5,direction_1h_atr,321,0.15539459097768316,169,0.1744493251927131,152,0.13248233930929393,340,-0.017577118299293103,166,-0.030707020783593553,174,-0.004089279920940615,False,False,0,0.004089279920940615,False
rsi14=Q1 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,317,0.026287676793905368,166,0.04600629713956228,151,0.004745589182161836,334,0.0375794844320026,162,0.035721805821182395,172,0.0393191500118949,False,True,1,0.004745589182161836,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q1,direction_1h_atr,320,-0.12078746771333163,163,-0.08271199034215308,157,-0.1610113385793392,290,0.03365687301035719,148,0.25015152007692154,142,-0.19346278831679883,False,False,0,0.03365687301035719,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,310,0.025209015961504877,158,0.02282496421291902,152,0.027750120377700305,278,-0.034922992628265315,146,-0.0019917067781750064,132,-0.07132214667591336,False,False,0,0.0019917067781750064,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q2,direction_1h_atr,780,-0.041516820067610045,389,-0.029238578724746507,391,-0.05381750562674191,665,0.11700886220043737,303,0.13432934261090046,362,0.1067073589451474,True,False,0,0.029238578724746507,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,754,0.023848529951408237,374,0.022554199980874046,380,0.025118541430331875,644,0.03570125331659363,293,0.057758632181103164,351,0.017255941902175165,True,True,1,0.017255941902175165,True
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q3,direction_1h_atr,989,-0.07000963297322683,451,-0.15662737101222535,538,0.004713244550940222,889,0.1563749129844031,433,0.16902722406513984,456,0.1454457081897176,True,False,0,0.004713244550940222,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,970,-0.011804618890507101,440,-0.012071468468323798,530,-0.011773216265795194,876,0.014919325298215436,426,-0.00922689875193533,450,0.037768762414995716,True,False,0,0.00922689875193533,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q4,direction_1h_atr,1044,0.05396732470545638,448,0.030162514466212764,596,0.07518831455156927,995,0.13856905497411737,486,0.4047373946827506,509,-0.11463227037231477,True,False,0,0.030162514466212764,False
