state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible,discovery_rank,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_2025_block_p,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,worst_symbol_bh_q,phase_d_screen_pass
price_change_15m_pct=Q4 & oi_change_15m_pct=Q4 & oi_accel_15m_pctpt=Q2,direction_1h_atr,561,-0.29041593492995255,285,-0.2424704974026435,276,-0.34053940059661497,563,-0.24079779270402907,280,-0.2436782898443317,283,-0.2379641309265191,True,True,-1,0.2379641309265191,True,1,563,-0.061388608101852975,0.3028990336554482,521,-0.17375942356873425,0.1356214595134955,0.3028990336554482,8,5,0.625,True,0.061388608101852975,True,1.0,False
atr_slope_3bar_pct=Q5 & price_change_15m_pct=Q2 & oi_change_1h_pct=Q2,direction_1h_atr,565,-0.21870809608462075,263,-0.2313479387774604,302,-0.2060454907162777,591,-0.4138693177142508,310,-0.5373494493424075,281,-0.28080786448528344,True,True,-1,0.2060454907162777,True,2,805,-0.08277691275172543,0.24825058313895368,365,-0.09225271776195634,0.3205598133955348,0.3205598133955348,8,5,0.625,True,0.08277691275172543,True,1.0,False
rsi14=Q4 & price_change_1h_pct=Q3 & oi_accel_15m_pctpt=Q4,direction_1h_atr,1355,0.2244379773798787,672,0.19158568594720318,683,0.25683013708450364,1381,0.2970544225331731,686,0.3813681810845425,695,0.21388112850145868,True,True,1,0.19158568594720318,True,3,1564,0.13921349478701234,0.09563478840386538,1080,-0.07377484782410502,1.0,1.0,8,4,0.5,False,,False,1.0,False
atr_slope_1bar_pct=Q1 & price_change_5m_pct=Q4 & oi_change_5m_pct=Q1,direction_1h_atr,849,0.20761474367972754,434,0.2155900699902907,415,0.19847482784126716,841,0.2501723479079511,435,0.303418647175931,406,0.19083890050810423,True,True,1,0.19083890050810423,True,4,672,0.03277791127876618,0.36454515161612794,1044,0.050665905317898524,0.2355881372875708,0.36454515161612794,8,5,0.625,True,0.03277791127876618,False,1.0,False
price_change_5m_pct=Q4 & oi_change_5m_pct=Q1 & range_atr=Q1,direction_1h_atr,849,0.20761474367972754,434,0.2155900699902907,415,0.19847482784126716,841,0.2501723479079511,435,0.303418647175931,406,0.19083890050810423,True,True,1,0.19083890050810423,True,5,672,0.03277791127876618,0.3898700433188937,1044,0.050665905317898524,0.23258913695434855,0.3898700433188937,8,5,0.625,True,0.03277791127876618,False,1.0,False
rsi14=Q4 & oi_change_5m_pct=Q5 & oi_accel_15m_pctpt=Q4,direction_1h_atr,863,0.18572792152659642,456,0.19147564961777694,407,0.17744182251605375,1022,0.27238570413103536,504,0.3503849166892273,518,0.19693235224478875,True,True,1,0.17744182251605375,True,6,755,0.07889798553138759,0.275241586137954,988,0.00799323214035281,0.4581806064645118,0.4581806064645118,8,4,0.5,True,0.00799323214035281,False,1.0,False
atr_slope_3bar_pct=Q4 & price_change_15m_pct=Q1 & oi_change_1h_pct=Q1,direction_1h_atr,1174,0.2159069715975538,543,0.17513565828160677,631,0.2527921700435891,1199,0.2047908500664491,571,0.20726159822812654,628,0.20474402624351934,True,True,1,0.17513565828160677,True,7,1028,-0.0282530978220648,1.0,1576,-0.02533541940085553,1.0,1.0,8,5,0.625,False,,False,1.0,False
oi_change_1h_pct=Q4 & oi_accel_5m_pctpt=Q5 & body_atr=Q1,direction_1h_atr,725,-0.2219344815624588,349,-0.24031832304096404,376,-0.20402016052162564,666,-0.1866245899074772,322,-0.1989075173649207,344,-0.17366866394874872,True,True,-1,0.17366866394874872,True,8,603,0.008879501093199679,1.0,712,-0.005447877738532005,0.4678440519826724,1.0,8,4,0.5,False,,False,1.0,False
atr_slope_3bar_pct=Q5 & oi_accel_5m_pctpt=Q2 & oi_accel_15m_pctpt=Q1,direction_1h_atr,574,-0.2760623095435588,265,-0.3848831275582919,309,-0.18089594717480537,571,-0.2526303624867895,277,-0.17239707548597594,294,-0.32693523714273204,True,True,-1,0.17239707548597594,True,9,533,0.1382882196757646,1.0,549,0.010348869712609895,1.0,1.0,8,4,0.5,False,,False,1.0,False
rsi14=Q1 & price_change_5m_pct=Q2 & oi_change_1h_pct=Q1,direction_1h_atr,986,0.23016511183304222,456,0.21093962110897088,530,0.24850845479250439,1170,0.22161792307462036,637,0.17206610314685966,533,0.27513528513730007,True,True,1,0.17206610314685966,True,10,1228,0.08317394557398576,0.17260913028990338,1257,-0.0217625510433435,1.0,1.0,8,3,0.375,False,,False,1.0,False
price_change_5m_pct=Q5 & oi_change_5m_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,659,-0.1810999447896928,324,-0.19155316829959107,335,-0.17068623172692743,585,-0.2226373983036392,273,-0.2251901258926825,312,-0.2172577141792811,True,True,-1,0.17068623172692743,True,11,471,0.010451740741890626,1.0,716,-0.10132185351087161,0.11596134621792736,1.0,8,3,0.375,False,,False,1.0,False
rsi14=Q3 & price_change_15m_pct=Q4 & oi_change_15m_pct=Q5,direction_1h_atr,657,-0.17534052031106545,362,-0.16401038390631317,295,-0.19258790211850302,674,-0.18173189448293858,370,-0.20466281581604773,304,-0.16013334130080653,True,True,-1,0.16013334130080653,True,12,567,-0.1538080431759214,0.07764078640453183,812,-0.1422866990748485,0.06764411862712429,0.07764078640453183,8,7,0.875,True,0.1422866990748485,True,1.0,False
oi_change_1h_pct=Q2 & oi_accel_15m_pctpt=Q1 & body_atr=Q5,direction_1h_atr,695,-0.21311209858166397,323,-0.27554872537452535,372,-0.15720836918956577,695,-0.1886269167209203,338,-0.21480305626069326,357,-0.16268204143581605,True,True,-1,0.15720836918956577,True,13,727,-0.1542433446962383,0.0773075641452849,713,-0.029359813536803954,0.37554148617127625,0.37554148617127625,8,5,0.625,True,0.029359813536803954,False,1.0,False
rsi14=Q3 & atr_slope_1bar_pct=Q3 & oi_accel_5m_pctpt=Q3,direction_1h_atr,1067,0.17560973817363718,550,0.18428916965535194,517,0.1653236150467402,1043,0.2141929718610095,494,0.28123472956568374,549,0.15632760747014754,True,True,1,0.15632760747014754,True,14,1091,0.049794648541513165,0.25658113962012663,800,0.07780643382261686,0.20859713428857046,0.25658113962012663,8,6,0.75,True,0.049794648541513165,True,1.0,False
rsi14=Q3 & oi_accel_5m_pctpt=Q3 & range_atr=Q3,direction_1h_atr,1067,0.17560973817363718,550,0.18428916965535194,517,0.1653236150467402,1043,0.2141929718610095,494,0.28123472956568374,549,0.15632760747014754,True,True,1,0.15632760747014754,True,15,1091,0.049794648541513165,0.2619126957680773,800,0.07780643382261686,0.19326891036321225,0.2619126957680773,8,6,0.75,True,0.049794648541513165,True,1.0,False
atr_slope_1bar_pct=Q5 & price_change_15m_pct=Q3 & price_change_1h_pct=Q2,direction_1h_atr,592,-0.3006719430334963,296,-0.3816485312053045,296,-0.21985237849191505,500,-0.20038992362054914,265,-0.15391424241423918,235,-0.25663690904292014,True,True,-1,0.15391424241423918,True,16,836,-0.03228330519444453,0.38120626457847384,382,-0.03921280696592955,0.3958680439853382,0.3958680439853382,8,5,0.625,True,0.03228330519444453,False,1.0,False
price_change_15m_pct=Q3 & price_change_1h_pct=Q2 & range_atr=Q5,direction_1h_atr,592,-0.3006719430334963,296,-0.3816485312053045,296,-0.21985237849191505,500,-0.20038992362054914,265,-0.15391424241423918,235,-0.25663690904292014,True,True,-1,0.15391424241423918,True,17,836,-0.03228330519444453,0.3715428190603132,382,-0.03921280696592955,0.3768743752082639,0.3768743752082639,8,5,0.625,True,0.03228330519444453,False,1.0,False
rsi14=Q2 & oi_change_5m_pct=Q4 & oi_change_1h_pct=Q5,direction_1h_atr,867,-0.263159684855938,431,-0.3509896518913852,436,-0.17633304802123867,687,-0.15734102722983478,329,-0.15943418396854966,358,-0.15348752099572593,True,True,-1,0.15348752099572593,True,18,764,0.13245365964637545,1.0,851,0.0038621581807249984,1.0,1.0,8,3,0.375,False,,False,1.0,False
price_change_5m_pct=Q5 & oi_change_5m_pct=Q5 & oi_change_15m_pct=Q1,direction_1h_atr,673,-0.2101886980595957,360,-0.24622853245566487,313,-0.1710012016241787,529,-0.22621183260437494,259,-0.30289229355393416,270,-0.1518385274557381,True,True,-1,0.1518385274557381,True,19,429,-0.08072577413486787,0.2339220259913362,812,-0.08641674099016296,0.17560813062312564,0.2339220259913362,8,5,0.625,True,0.08072577413486787,True,1.0,False
rsi14=Q1 & price_change_5m_pct=Q3 & oi_change_5m_pct=Q2,direction_1h_atr,647,0.22236555940863628,297,0.3064171482029663,350,0.15300960987737577,723,0.20710709430752827,357,0.26582734932442514,366,0.15020119145955416,True,True,1,0.15020119145955416,True,20,1101,0.06539799555556108,0.1996001332889037,511,-0.24591218714938093,1.0,1.0,8,4,0.5,False,,False,1.0,False
atr_slope_3bar_pct=Q2 & price_change_5m_pct=Q2 & oi_change_5m_pct=Q3,direction_1h_atr,1207,0.15638809678996116,608,0.1622548768630277,599,0.1500653125734264,1241,0.22581296408676965,626,0.19546736588862249,615,0.2558975640850851,True,True,1,0.1500653125734264,True,21,1420,-0.002432324731116076,1.0,901,0.062211396868836824,0.25324891702765745,1.0,8,3,0.375,False,,False,1.0,False
atr_slope_1bar_pct=Q1 & oi_change_5m_pct=Q1 & oi_accel_5m_pctpt=Q2,direction_1h_atr,816,0.26701897646379136,425,0.34339322694579744,391,0.18262628630217306,773,0.16401702385678807,405,0.14974141100677033,368,0.17663929006145873,True,True,1,0.14974141100677033,True,22,891,-0.043489593024938426,1.0,790,0.05551079277398452,0.23958680439853383,1.0,8,5,0.625,False,,False,1.0,False
oi_change_5m_pct=Q1 & oi_accel_5m_pctpt=Q2 & range_atr=Q1,direction_1h_atr,816,0.26701897646379136,425,0.34339322694579744,391,0.18262628630217306,773,0.16401702385678807,405,0.14974141100677033,368,0.17663929006145873,True,True,1,0.14974141100677033,True,23,891,-0.043489593024938426,1.0,790,0.05551079277398452,0.23792069310229924,1.0,8,5,0.625,False,,False,1.0,False
atr_slope_3bar_pct=Q4 & price_change_1h_pct=Q1 & oi_change_1h_pct=Q1,direction_1h_atr,1453,0.1908819431976307,698,0.15100152329993305,755,0.22865387192699466,1712,0.1618651337734744,819,0.1479824687312286,893,0.1765787425159873,True,True,1,0.1479824687312286,True,24,1302,0.023898811792327265,0.39653448850383205,2097,-0.05497913497344213,1.0,1.0,8,5,0.625,False,,False,1.0,False
atr_slope_3bar_pct=Q3 & price_change_15m_pct=Q5 & oi_accel_15m_pctpt=Q1,direction_1h_atr,930,-0.18828397161044563,471,-0.1980336369191189,459,-0.17880328728565234,757,-0.16166869805239897,389,-0.14790604062928098,368,-0.17810351836989513,True,True,-1,0.14790604062928098,True,25,727,-0.04698852252067746,0.28490503165611464,1239,0.05628435387538076,1.0,1.0,8,4,0.5,False,,False,1.0,False
rsi14=Q3 & price_change_15m_pct=Q3 & body_atr=Q4,direction_1h_atr,1210,0.3229105096799405,666,0.31093711873018204,544,0.3342651960020246,1187,0.1763183857018782,640,0.19800070693924052,547,0.1459405102817761,True,True,1,0.1459405102817761,True,26,1204,0.04513736763496306,0.2992335888037321,1021,0.17850762344896018,0.024991669443518827,0.2992335888037321,8,6,0.75,True,0.04513736763496306,True,1.0,False
rsi14=Q1 & oi_change_15m_pct=Q1 & oi_accel_5m_pctpt=Q4,direction_1h_atr,552,0.2152181289003649,268,0.1454254782984441,284,0.2817123126880597,799,0.1955553063343376,398,0.23937783474933114,401,0.15195809713749428,True,True,1,0.1454254782984441,True,27,720,-0.09356978129007419,1.0,763,-0.13039590479663615,1.0,1.0,8,2,0.25,False,,False,1.0,False
rsi14=Q4 & oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q2,direction_1h_atr,1180,0.21489784317314653,550,0.21975933530891764,630,0.21227850534006298,1234,0.14568006755950053,609,0.14520940819310388,625,0.14653700448579793,True,True,1,0.14520940819310388,True,28,1034,0.22813345408510316,0.014661779406864379,972,0.06445220328811402,0.18227257580806397,0.18227257580806397,8,7,0.875,True,0.06445220328811402,True,1.0,False
atr_slope_3bar_pct=Q5 & oi_change_5m_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,762,-0.23838890313417938,367,-0.33834648353054464,395,-0.14467927116979334,665,-0.27337704630489396,339,-0.320243520502091,326,-0.2260533307171097,True,True,-1,0.14467927116979334,True,29,636,0.052300382082018745,1.0,630,0.07606668271242586,1.0,1.0,8,3,0.375,False,,False,1.0,False
rsi14=Q5 & atr_slope_1bar_pct=Q1 & price_change_15m_pct=Q3,direction_1h_atr,615,-0.3458998473707145,293,-0.26006933761660417,322,-0.42289354916697347,664,-0.14859336191658956,335,-0.15363382982827936,329,-0.14427443561626954,True,True,-1,0.14427443561626954,True,30,1127,0.17361501926317424,1.0,725,0.10844298424217205,1.0,1.0,8,3,0.375,False,,False,1.0,False
