state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible,discovery_rank
price_change_15m_pct=Q4 & oi_change_15m_pct=Q4 & oi_accel_15m_pctpt=Q2,direction_1h_atr,561,-0.29041593492995255,285,-0.2424704974026435,276,-0.34053940059661497,563,-0.24079779270402907,280,-0.2436782898443317,283,-0.2379641309265191,True,True,-1,0.2379641309265191,True,1
atr_slope_3bar_pct=Q5 & price_change_15m_pct=Q2 & oi_change_1h_pct=Q2,direction_1h_atr,565,-0.21870809608462075,263,-0.2313479387774604,302,-0.2060454907162777,591,-0.4138693177142508,310,-0.5373494493424075,281,-0.28080786448528344,True,True,-1,0.2060454907162777,True,2
rsi14=Q4 & price_change_1h_pct=Q3 & oi_accel_15m_pctpt=Q4,direction_1h_atr,1355,0.2244379773798787,672,0.19158568594720318,683,0.25683013708450364,1381,0.2970544225331731,686,0.3813681810845425,695,0.21388112850145868,True,True,1,0.19158568594720318,True,3
atr_slope_1bar_pct=Q1 & price_change_5m_pct=Q4 & oi_change_5m_pct=Q1,direction_1h_atr,849,0.20761474367972754,434,0.2155900699902907,415,0.19847482784126716,841,0.2501723479079511,435,0.303418647175931,406,0.19083890050810423,True,True,1,0.19083890050810423,True,4
price_change_5m_pct=Q4 & oi_change_5m_pct=Q1 & range_atr=Q1,direction_1h_atr,849,0.20761474367972754,434,0.2155900699902907,415,0.19847482784126716,841,0.2501723479079511,435,0.303418647175931,406,0.19083890050810423,True,True,1,0.19083890050810423,True,5
rsi14=Q4 & oi_change_5m_pct=Q5 & oi_accel_15m_pctpt=Q4,direction_1h_atr,863,0.18572792152659642,456,0.19147564961777694,407,0.17744182251605375,1022,0.27238570413103536,504,0.3503849166892273,518,0.19693235224478875,True,True,1,0.17744182251605375,True,6
atr_slope_3bar_pct=Q4 & price_change_15m_pct=Q1 & oi_change_1h_pct=Q1,direction_1h_atr,1174,0.2159069715975538,543,0.17513565828160677,631,0.2527921700435891,1199,0.2047908500664491,571,0.20726159822812654,628,0.20474402624351934,True,True,1,0.17513565828160677,True,7
oi_change_1h_pct=Q4 & oi_accel_5m_pctpt=Q5 & body_atr=Q1,direction_1h_atr,725,-0.2219344815624588,349,-0.24031832304096404,376,-0.20402016052162564,666,-0.1866245899074772,322,-0.1989075173649207,344,-0.17366866394874872,True,True,-1,0.17366866394874872,True,8
atr_slope_3bar_pct=Q5 & oi_accel_5m_pctpt=Q2 & oi_accel_15m_pctpt=Q1,direction_1h_atr,574,-0.2760623095435588,265,-0.3848831275582919,309,-0.18089594717480537,571,-0.2526303624867895,277,-0.17239707548597594,294,-0.32693523714273204,True,True,-1,0.17239707548597594,True,9
rsi14=Q1 & price_change_5m_pct=Q2 & oi_change_1h_pct=Q1,direction_1h_atr,986,0.23016511183304222,456,0.21093962110897088,530,0.24850845479250439,1170,0.22161792307462036,637,0.17206610314685966,533,0.27513528513730007,True,True,1,0.17206610314685966,True,10
