state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible
funding_delta_settlement|15m|Q1->Q1,direction_1h_atr,20574,0.1064986975479861,9735,0.14058616026905985,10839,0.07715924389834133,20535,0.012444023579677003,9516,-0.06355359371879633,11019,0.08153811788974388,True,False,1,0.012444023579677003,False
funding_delta_settlement|15m|Q1->Q1,up_first_1atr_1h,19936,0.004620085723534173,9430,0.007625556912837894,10506,0.0018150657222152367,19937,0.006060081341792256,9243,-0.004205979490462974,10694,0.014908591602702193,True,False,1,0.004620085723534173,False
funding_delta_settlement|15m|Q1->Q2,direction_1h_atr,135,0.09684567038547465,72,-0.5123598495909294,63,0.7909145589712793,141,0.48187573308239345,81,-0.32844624524124716,60,1.5658280040440673,False,False,,,False
funding_delta_settlement|15m|Q1->Q2,up_first_1atr_1h,131,0.029331222429696158,70,0.03237938209084129,61,0.02602449483844238,139,0.0226161899183408,79,0.011156997897830923,60,0.037768762414995716,False,False,,,False
funding_delta_settlement|15m|Q1->Q4,direction_1h_atr,99,-0.3787907397211018,30,0.13184100152533856,69,-0.5930109603151551,132,0.3826440381361512,48,0.5447731398892046,84,0.3015375804913756,False,False,,,False
funding_delta_settlement|15m|Q1->Q4,up_first_1atr_1h,94,-0.05057782418391438,28,-0.10333490362344444,66,-0.028868699399014153,131,0.06188248680449604,47,0.015466181846120641,84,0.08776876241499576,False,False,,,False
funding_delta_settlement|15m|Q1->Q5,direction_1h_atr,312,0.4204111934192307,145,0.5158640269871512,167,0.3392293482810492,312,-0.2766366066973905,147,-0.3086213509255631,165,-0.2454333918112414,False,False,,,False
funding_delta_settlement|15m|Q1->Q5,up_first_1atr_1h,305,0.13540055042368943,140,0.10380795351941269,165,0.16204039151007676,303,-0.02012189683997534,140,-0.009457830311934035,163,-0.029306902206681196,False,False,,,False
funding_delta_settlement|15m|Q2->Q1,direction_1h_atr,177,-0.054806170038911375,81,-0.19598521709143604,96,0.06635481397272766,169,-0.185643349775543,84,-0.124306091652128,85,-0.24624155248589696,False,False,,,False
funding_delta_settlement|15m|Q2->Q1,up_first_1atr_1h,174,0.0485906766720407,78,0.016628466339925485,96,0.07435099757068275,166,-0.06163448183341441,82,-0.11712333553841486,84,-0.007469332823099528,False,False,,,False
funding_delta_settlement|15m|Q2->Q2,direction_1h_atr,50112,-0.011164270662102224,28689,-0.0358782213555609,21423,0.017004620165472786,47892,0.013056537999374934,27027,0.03152947628639074,20865,-0.019343100192395254,False,False,,,False
funding_delta_settlement|15m|Q2->Q2,up_first_1atr_1h,48832,-0.0005809612966551914,27936,-0.004031393559625118,20896,0.004449261991305575,46641,0.00016026259099316542,26317,0.002452993218754973,20324,-0.002748196188953611,False,False,,,False
