state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_block_p,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_block_p,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_eb_screen_pass
mark_index_bps|15m|Q1->Q3,direction_1h_atr,1060,-0.20220676211575386,359,-0.2483102281603909,701,-0.1718903031584579,824,-0.2945033148661144,362,-0.16325282905398805,462,-0.3916692808492462,True,True,-1,0.20220676211575386,True,837,-0.15854261999508068,0.02599133622125958,243,-0.2292039865686586,213,0.21863493791948252,154,-0.3683999912190437,227,-0.2710287723996931,1472,-0.009791504236640894,0.4478507164278574,374,-0.00857044975497194,345,0.06608873466423343,257,-0.03258301714293238,496,-0.014956596334722225,True,0.009791504236640894,False,8,6,0.75,True,0.4478507164278574,1.0,False
mark_index_bps|1h|Q1->Q3,direction_1h_atr,2199,-0.17119317709096366,856,-0.20291320420640974,1343,-0.14603158010785464,1841,-0.16077852093798223,929,-0.1285859832719883,912,-0.1943941497587593,True,True,-1,0.16077852093798223,True,1833,-0.16409783320969845,0.021326224591802733,564,-0.1442440102508128,492,-0.23905283461454135,346,-0.2405853770777016,431,-0.02405294645927674,2587,0.07265767679515088,,638,-0.04492756919173753,733,0.16960045927230336,451,0.02697204467465933,765,0.13216019064250561,False,,False,8,5,0.625,False,1.0,1.0,False
mark_index_bps|1h|Q5->Q4,direction_1h_atr,2536,0.12911885501974904,1788,0.03710509172913734,748,0.3293529860636933,3247,0.14419707726028239,2480,0.15793044273578,767,0.03774954131809476,True,True,1,0.12911885501974904,True,102,-0.3142730985912616,,28,0.7056079290713759,0,,74,-0.7207609985200729,0,,128,0.18336569583191964,,86,0.44753577658296945,0,,42,-0.25507695494920835,0,,False,,False,3,1,0.3333333333333333,False,1.0,1.0,False
mark_index_bps_change_1h|1h|Q2->Q1,direction_1h_atr,2780,0.15455554736535662,1560,0.18832902107399002,1220,0.10729323783343422,2798,0.11632107848014556,1631,0.02341856182011879,1167,0.23486352937009117,True,True,1,0.11632107848014556,True,1583,-0.0583920627225087,,449,-0.07801406934260309,395,0.01217701455932843,429,-0.07198629159588762,310,-0.10793176165107857,2241,-0.022216771345045745,,532,-0.08397291482526091,551,0.36557990114059286,586,-0.18531938341450468,572,-0.17735360693233795,False,,False,8,2,0.25,False,1.0,1.0,False
mark_index_bps_change_1h|1h|Q4->Q5,direction_1h_atr,2884,-0.13456894950011575,1592,-0.13578591209379373,1292,-0.13649204646614363,2721,-0.11177923948897368,1625,-0.1058775965623973,1096,-0.13417887703433018,True,True,-1,0.11177923948897368,True,1683,-0.0923773388117335,0.17827390869710097,476,-0.2496700801933623,441,-0.16032663146421045,435,0.21562001355495275,331,-0.1887620629641868,2255,0.0008399987902438805,,502,-0.05577233060470162,560,0.10389276467583033,628,-0.09880288476153308,565,0.039941627390197215,False,,False,8,5,0.625,False,1.0,1.0,False
premium_index_change_1h|15m|Q5->Q5,direction_1h_atr,7466,-0.17852621945359654,4315,-0.1749480831539041,3151,-0.18877871225863402,7554,-0.10635212940670295,4782,-0.13969952192343393,2772,-0.06917534781190732,True,True,-1,0.10635212940670295,True,3428,-0.05225482405582814,0.28757080973008997,1248,0.03181222010731251,752,-0.03955213551227461,706,-0.15870910173833813,722,-0.06243222496041947,5532,0.08963836966143988,,1402,0.11158163248568544,1324,0.09756604474030287,1331,0.1006316497343997,1475,0.0621720637495536,False,,False,8,3,0.375,False,1.0,1.0,False
premium_index_close|1h|Q1->Q3,direction_1h_atr,2624,-0.1759582900041456,935,-0.1812872680070825,1689,-0.16688568159889988,2466,-0.10595397943936173,1104,-0.029170223052438056,1362,-0.1632644340737815,True,True,-1,0.10595397943936173,True,2749,-0.09863806598873721,0.04798400533155615,814,0.0021945686691846877,615,-0.18809736429398424,505,-0.10308834319762192,815,-0.0951406913152105,4397,0.1030944702106917,,990,0.1542098824201127,1172,0.07413030701035839,809,0.09369244284080175,1426,0.11789647765932362,False,,False,8,3,0.375,False,1.0,1.0,False
premium_index_close|1h|Q2->Q3,direction_1h_atr,5221,-0.10464446851581533,1948,-0.08224481206493296,3273,-0.11243855039827988,5272,-0.10113272587376908,2056,-0.04389032631051231,3216,-0.12806543501875237,True,True,-1,0.10113272587376908,True,7522,0.04306384755967022,,1997,0.12218362518960994,1549,-0.04949736899383303,2074,0.15693074913956911,1902,-0.07649687019572396,8168,0.07852697445699568,,2041,0.1777463880485998,2204,0.05433800666605674,2051,0.05748794567936896,1872,0.016205108268572074,False,,False,8,2,0.25,False,1.0,1.0,False
premium_index_change_1h|1h|Q1->Q1,direction_1h_atr,2139,0.09496730945158097,1243,0.03344305173146503,896,0.17471455664666122,2114,0.2813743855937815,1434,0.27010474064094325,680,0.2741824033054199,True,True,1,0.09496730945158097,True,637,0.09386280612951521,0.25191602799066976,295,-0.012940165900482026,98,0.3947624538018455,114,0.15664421860620065,130,0.15621980406742758,1433,-0.14663752085472978,,383,-0.005158961743108703,287,0.010697528622471565,349,-0.2710960035110966,414,-0.25999773338014515,False,,False,8,4,0.5,False,1.0,1.0,False
mark_index_bps_change_1h|1h|Q1->Q3,direction_1h_atr,3535,0.09169010565583993,1847,0.04732135022607137,1688,0.13875663140031488,3523,0.09578964534214043,1932,0.0913593546020488,1591,0.09493723415342517,True,True,1,0.09169010565583993,True,2793,0.01652318367185679,0.39286904365211595,759,-0.05153990206135382,654,0.043666732484796716,719,0.01351291851665383,661,0.0778273469563712,3272,-0.005271378064314743,,801,0.038538890121464824,834,0.15430675199488245,828,-0.042877742651784456,809,-0.17741104829084206,False,,False,8,5,0.625,False,1.0,1.0,False
