state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
spot_taker_imbalance=Q1,direction_1h_atr,spot_taker_imbalance,1,21079,0.0506932169999674,8972,0.06127267650225694,12107,0.04633880092059454,21079,0.015901696746183674,9635,0.05307934916499741,11444,-0.011337430954363447,1,0.015901696746183674,False
spot_taker_imbalance=Q1,up_first_1atr_1h,spot_taker_imbalance,1,20579,0.012405200237800396,8764,0.016473403085820737,11815,0.009094085453317913,20544,-0.0014539231500829697,9395,0.0010492783324816957,11149,-0.003592196714373108,,,False
spot_taker_imbalance=Q2,direction_1h_atr,spot_taker_imbalance,2,21079,0.006506763861029705,10648,0.009019858013677301,10431,0.003492170439650194,21079,-0.015912302621746997,10810,-0.029699582389565004,10269,-0.003162677518336132,,,False
spot_taker_imbalance=Q2,up_first_1atr_1h,spot_taker_imbalance,2,20503,-0.0013125895166472001,10344,0.0016811167058009557,10159,-0.00432410988740034,20493,-0.0009078981454198609,10515,-0.002352334761360042,9978,0.000627050649110783,-1,0.0009078981454198609,False
spot_taker_imbalance=Q3,direction_1h_atr,spot_taker_imbalance,3,21078,-0.013604822955668151,11178,-0.03172145866995901,9900,0.004878146202796994,21078,0.009509872064338242,11053,-0.03336003474625755,10025,0.05363356333037625,,,False
spot_taker_imbalance=Q3,up_first_1atr_1h,spot_taker_imbalance,3,20498,-0.001777007082920612,10856,-0.004850852670712558,9642,0.0018491825945368134,20495,0.006655462525626987,10766,0.003806148881824123,9729,0.009831667132849553,,,False
spot_taker_imbalance=Q4,direction_1h_atr,spot_taker_imbalance,4,21079,0.005726320525001924,11420,0.0031202718184775574,9659,0.006086473788469451,21079,0.005836012545878164,10880,0.0032832140797101478,10199,0.006405827164959316,1,0.005726320525001924,True
spot_taker_imbalance=Q4,up_first_1atr_1h,spot_taker_imbalance,4,20471,0.0008306550659222256,11087,0.003041289859270213,9384,-0.0015494713125226434,20483,-0.004328070227904379,10555,-0.0033672841929653363,9928,-0.005334917413099882,,,False
spot_taker_imbalance=Q5,direction_1h_atr,spot_taker_imbalance,5,21079,-0.04932212385103183,10184,-0.0320927868089255,10895,-0.06466577240313409,21079,-0.015334827580800228,10024,0.014229853480605188,11055,-0.03987213101446522,-1,0.015334827580800228,False
spot_taker_imbalance=Q5,up_first_1atr_1h,spot_taker_imbalance,5,20487,-0.01019933819020169,9895,-0.014433582609945539,10592,-0.006307360938884177,20456,3.53496238185147e-05,9723,0.0009710496633822396,10733,-0.0008287095561835267,,,False
perp_taker_imbalance=Q1,direction_1h_atr,perp_taker_imbalance,1,21079,0.020918330355533837,9943,0.010448673804080946,11136,0.031616628070466994,21079,0.0032826623866595538,9537,-0.01784547452334203,11542,0.0252345584907223,1,0.0032826623866595538,False
perp_taker_imbalance=Q1,up_first_1atr_1h,perp_taker_imbalance,1,20548,0.006117655833812685,9702,0.003911025051055617,10846,0.007980523048585542,20532,0.0003932902719562259,9306,-0.004306008138835249,11226,0.004257271233809201,1,0.0003932902719562259,False
perp_taker_imbalance=Q2,direction_1h_atr,perp_taker_imbalance,2,21079,0.011896795283850237,10843,0.006377034331463263,10236,0.016753172904854355,21079,-0.001959553805148572,10914,-0.03110654817860147,10165,0.026990589582809185,,,False
perp_taker_imbalance=Q2,up_first_1atr_1h,perp_taker_imbalance,2,20516,0.0012976191649197721,10550,0.005893261576284725,9966,-0.003482385933230525,20515,-0.004216606579045712,10631,-0.0026502460233978065,9884,-0.00588427953832954,,,False
perp_taker_imbalance=Q3,direction_1h_atr,perp_taker_imbalance,3,21078,-0.010488802646727663,10803,-0.01610895197799507,10275,-0.005459248378565561,21078,0.005524797191986331,11171,0.027671622029545324,9907,-0.023282148707648893,,,False
perp_taker_imbalance=Q3,up_first_1atr_1h,perp_taker_imbalance,3,20492,0.0002712876646118745,10488,0.003521912329481347,10004,-0.0030638698156960076,20513,-0.0009024981780304531,10860,0.0009604806588631165,9653,-0.00297159464153246,,,False
perp_taker_imbalance=Q4,direction_1h_atr,perp_taker_imbalance,4,21079,-0.017122629054806326,10745,-0.0051253595368141724,10334,-0.03031306989302011,21079,-0.038873683583282685,11020,-0.0418968548269604,10059,-0.038510246733098455,-1,0.017122629054806326,True
perp_taker_imbalance=Q4,up_first_1atr_1h,perp_taker_imbalance,4,20488,-0.008319564029553084,10413,-0.008436356477706297,10075,-0.008143832867696044,20449,-0.000577500227102623,10675,9.720481687158777e-05,9774,-0.0012940573108074505,-1,0.000577500227102623,False
