state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_fb_screen_pass,btcusdt_block_p,ethusdt_block_p
log_quote_volume_ratio=Q5,direction_1h_atr,log_quote_volume_ratio,5,21079,-0.04333906651767262,5871,-0.025456103750366846,15208,-0.041763643907654295,21079,-0.05381116326316089,6093,-0.06814543148911369,14986,-0.03188766908647509,-1,0.04333906651767262,True,28317,0.06522339479565814,5210,-0.006360946857076,10265,0.03725565539871252,8145,0.10338614662558411,4697,0.03457042850145764,45016,0.020372150158398508,5550,0.06787644559205917,14702,-0.04910992977505592,12395,0.03323464690032549,12369,0.008944477992321391,False,,False,8,2,0.25,False,1.0,1.0,False,,
log_quote_volume_ratio_change_1h=Q1,direction_1h_atr,log_quote_volume_ratio_change_1h,1,21079,0.02424259902156564,10114,0.025222974928437975,10965,0.024273354397907766,21079,0.01755309710062403,10179,0.03567284114169341,10900,0.0021525771367860574,1,0.01755309710062403,True,23688,-0.012150964837577861,5502,-0.028068517390502562,5982,-0.00920268861332052,6490,-0.025358207098853464,5714,0.004253219563768333,20049,-0.02246311822839305,4913,-0.07912080042156695,4672,0.04259321738864515,5187,-0.026629633479624285,5277,-0.0221382509676729,False,,False,8,2,0.25,False,1.0,1.0,False,,
perp_taker_imbalance=Q4,direction_1h_atr,perp_taker_imbalance,4,21079,-0.017122629054806326,10745,-0.0051253595368141724,10334,-0.03031306989302011,21079,-0.038873683583282685,11020,-0.0418968548269604,10059,-0.038510246733098455,-1,0.017122629054806326,True,19963,-0.013128321535518326,5117,-0.004534690392474436,5022,0.0191374497465258,4607,-0.06840974443491692,5217,0.0033402391061521583,21830,-0.015599690969880623,5307,-0.026652827457563477,5500,0.035581766697612295,5402,-0.07309771309647692,5621,0.0009270779194862286,True,0.013128321535518326,True,8,4,0.5,False,0.34488503832055983,1.0,False,0.34488503832055983,0.3255581472842386
spot_taker_imbalance_change_1h=Q4,direction_1h_atr,spot_taker_imbalance_change_1h,4,21079,-0.01654992607846685,11001,-0.017016410322100307,10078,-0.017485539745545186,21079,-0.021979261104064108,10843,-0.03400606060362689,10236,-0.011186198604828125,-1,0.01654992607846685,True,18018,0.008098113068084209,4749,0.04618291043682182,4450,-0.027713158423262094,4230,0.026457437563457337,4589,-0.005188926810478202,20118,-0.011490335686255836,5049,-0.05600598087661619,5295,-0.027664557550088544,5012,0.04274582458593015,4762,-0.005240770766965816,False,,False,8,5,0.625,False,1.0,1.0,False,,0.39886704431856046
taker_imbalance_diff=Q4,direction_1h_atr,taker_imbalance_diff,4,21079,0.020170400773489514,10446,0.029156502640384094,10633,0.011433101366992833,21079,0.015692313689830612,10961,0.023630850277088604,10118,0.004481574759573154,1,0.015692313689830612,True,18771,-0.005323730013824904,4928,0.013987417156117114,4693,0.04295353581399172,4292,-0.058620346721227505,4858,-0.015478021212192966,20915,0.04820200955258405,5353,0.0574148237587337,5260,0.07973927322258467,5267,-0.001461033202320411,5035,0.05907696722264136,False,,False,8,5,0.625,False,1.0,1.0,False,,0.09096967677440854
taker_imbalance_diff_change_1h=Q5,direction_1h_atr,taker_imbalance_diff_change_1h,5,21079,0.00932009059361305,9637,0.011893149729099092,11442,0.009215228790912619,21079,0.01932699692536537,9768,0.04313101338237462,11311,0.002233254061921655,1,0.00932009059361305,True,26481,0.013806984920906193,6046,-0.018146032010235735,6636,0.004540379885457885,7300,0.02038034324238218,6499,0.03503814780413921,21999,0.021390026487183814,5368,-0.025305488726432984,5180,0.04117683599888539,5424,0.03683730134540439,6027,0.03834677667963681,True,0.013806984920906193,True,8,6,0.75,True,0.36454515161612794,1.0,False,0.36454515161612794,0.28723758747084305
spot_taker_imbalance=Q4,direction_1h_atr,spot_taker_imbalance,4,21079,0.005726320525001924,11420,0.0031202718184775574,9659,0.006086473788469451,21079,0.005836012545878164,10880,0.0032832140797101478,10199,0.006405827164959316,1,0.005726320525001924,True,16479,-0.03873083410395231,4406,-0.01911035585120467,4015,-0.04417104744124609,3803,-0.033396748969976284,4255,-0.04732075709559606,19199,0.022638409823338902,4732,0.0063406972391363,5340,-0.037068039815909386,4708,0.06390850243169749,4419,0.06245740868609881,False,,False,8,3,0.375,False,1.0,1.0,False,,0.26057980673108966
spot_taker_imbalance_change_15m=Q3,direction_1h_atr,spot_taker_imbalance_change_15m,3,21078,0.003323903368805399,11200,0.003072363494615843,9878,0.0015700504917221525,21078,0.01970818062748968,10980,0.027429412458912943,10098,0.008590438609579802,1,0.003323903368805399,True,17427,0.026991193381419587,4674,0.05541216164827565,4244,0.03954951469713425,3995,0.02268429274000411,4514,0.0015424175378257812,20188,-0.00032359794059809953,5326,-0.03868833096565595,5330,-0.003555835164613684,4816,0.09041388126482514,4716,-0.03871682236276648,False,,False,8,5,0.625,False,1.0,1.0,False,0.20793068977007664,
log_trade_count_ratio=Q1,direction_1h_atr,log_trade_count_ratio,1,21079,0.002114587446284677,966,0.0431227021772235,20113,0.01337857283164881,21079,0.035362199690933474,308,0.23578651612375476,20771,0.0593144289802506,1,0.002114587446284677,True,38156,-0.027358264206013443,11232,-0.0007463124672013946,7874,-0.02639544263565724,5124,-0.04771601213534719,13926,0.0039672116840558935,33958,0.018867422712600782,4599,0.08809536977141387,6838,0.03719514258511874,6910,-0.005102348943657367,15611,0.010127052314773864,False,,False,8,4,0.5,False,1.0,1.0,False,,0.3015661446184605
log_quote_volume_ratio_change_15m=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_15m,2,20505,0.0073686029978316525,10450,0.008879723854340937,10055,0.0058599897801970835,20470,0.006291545676723853,10400,0.009924037819934062,10070,0.0025486366288322015,1,0.006291545676723853,True,18799,0.0036908857876550294,4919,0.0050685839947376965,4659,0.001761981254952305,4412,0.006527665888563128,4809,0.0016388401658833374,21204,-0.006140945870134695,5160,-0.0029461981310872076,5453,-0.0018897668346948837,5315,-0.009894001930941532,5276,-0.010293563434634001,False,,False,8,4,0.5,False,1.0,1.0,False,0.22259246917694103,
