state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
log_quote_volume_ratio=Q5,direction_1h_atr,log_quote_volume_ratio,5,21079,-0.04333906651767262,5871,-0.025456103750366846,15208,-0.041763643907654295,21079,-0.05381116326316089,6093,-0.06814543148911369,14986,-0.03188766908647509,-1,0.04333906651767262,True
log_quote_volume_ratio_change_1h=Q1,direction_1h_atr,log_quote_volume_ratio_change_1h,1,21079,0.02424259902156564,10114,0.025222974928437975,10965,0.024273354397907766,21079,0.01755309710062403,10179,0.03567284114169341,10900,0.0021525771367860574,1,0.01755309710062403,True
perp_taker_imbalance=Q4,direction_1h_atr,perp_taker_imbalance,4,21079,-0.017122629054806326,10745,-0.0051253595368141724,10334,-0.03031306989302011,21079,-0.038873683583282685,11020,-0.0418968548269604,10059,-0.038510246733098455,-1,0.017122629054806326,True
spot_taker_imbalance_change_1h=Q4,direction_1h_atr,spot_taker_imbalance_change_1h,4,21079,-0.01654992607846685,11001,-0.017016410322100307,10078,-0.017485539745545186,21079,-0.021979261104064108,10843,-0.03400606060362689,10236,-0.011186198604828125,-1,0.01654992607846685,True
taker_imbalance_diff=Q4,direction_1h_atr,taker_imbalance_diff,4,21079,0.020170400773489514,10446,0.029156502640384094,10633,0.011433101366992833,21079,0.015692313689830612,10961,0.023630850277088604,10118,0.004481574759573154,1,0.015692313689830612,True
taker_imbalance_diff_change_1h=Q5,direction_1h_atr,taker_imbalance_diff_change_1h,5,21079,0.00932009059361305,9637,0.011893149729099092,11442,0.009215228790912619,21079,0.01932699692536537,9768,0.04313101338237462,11311,0.002233254061921655,1,0.00932009059361305,True
spot_taker_imbalance=Q4,direction_1h_atr,spot_taker_imbalance,4,21079,0.005726320525001924,11420,0.0031202718184775574,9659,0.006086473788469451,21079,0.005836012545878164,10880,0.0032832140797101478,10199,0.006405827164959316,1,0.005726320525001924,True
spot_taker_imbalance_change_15m=Q3,direction_1h_atr,spot_taker_imbalance_change_15m,3,21078,0.003323903368805399,11200,0.003072363494615843,9878,0.0015700504917221525,21078,0.01970818062748968,10980,0.027429412458912943,10098,0.008590438609579802,1,0.003323903368805399,True
log_trade_count_ratio=Q1,direction_1h_atr,log_trade_count_ratio,1,21079,0.002114587446284677,966,0.0431227021772235,20113,0.01337857283164881,21079,0.035362199690933474,308,0.23578651612375476,20771,0.0593144289802506,1,0.002114587446284677,True
log_quote_volume_ratio_change_15m=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_15m,2,20505,0.0073686029978316525,10450,0.008879723854340937,10055,0.0058599897801970835,20470,0.006291545676723853,10400,0.009924037819934062,10070,0.0025486366288322015,1,0.006291545676723853,True
taker_imbalance_diff=Q4,up_first_1atr_1h,taker_imbalance_diff,4,20512,0.00705009263488604,10152,0.009422610729814596,10360,0.004716184185869388,20507,0.004069794285054662,10678,0.006981845389775809,9829,0.000925407716314941,1,0.004069794285054662,True
perp_taker_imbalance_change_15m=Q1,up_first_1atr_1h,perp_taker_imbalance_change_15m,1,20534,0.004805152467161455,9856,0.0024889600129192058,10678,0.006866059692178683,20532,0.003802602564962232,9388,0.00141927724178198,11144,0.005781444874914388,1,0.003802602564962232,True
perp_spot_basis_bps_change_15m=Q2,up_first_1atr_1h,perp_spot_basis_bps_change_15m,2,20506,-0.0058716561915675425,9756,-0.00859467050682755,10750,-0.00349590165412339,20522,-0.00355575820681564,9795,-0.00563663874189102,10727,-0.0016706583612386972,-1,0.00355575820681564,True
taker_imbalance_diff_change_15m=Q3,up_first_1atr_1h,taker_imbalance_diff_change_15m,3,20486,-0.003488062831584482,10880,-0.0021663111864696494,9606,-0.004811765285865188,20466,-0.006363265040119859,10799,-0.004200729786753121,9667,-0.008753771290738566,-1,0.003488062831584482,True
taker_imbalance_diff=Q5,up_first_1atr_1h,taker_imbalance_diff,5,20580,0.0046544815043184085,8884,0.0024572106108129987,11696,0.006051293968311611,20533,0.002609441700784698,9377,0.003174903276329022,11156,0.0021048446427954226,1,0.002609441700784698,True
