state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
spot_taker_imbalance=Q1,direction_1h_atr,spot_taker_imbalance,1,17611,0.04902731727468894,7580,0.05137069149909425,10031,0.05199569321798581,17424,0.008166633154945141,8011,0.03284606395573522,9413,-0.0077053684045649135,1,0.008166633154945141,False
spot_taker_imbalance=Q1,up_first_1atr_1h,spot_taker_imbalance,1,17219,0.010245326943033206,7417,0.011682518002946563,9802,0.008926103107369243,17045,-0.0019945988121179425,7837,-0.0009294168270025938,9208,-0.002903856367448776,,,False
spot_taker_imbalance=Q2,direction_1h_atr,spot_taker_imbalance,2,16279,-0.001690959975219536,8237,0.008587015919347712,8042,-0.013139132478522851,16213,-0.01918136021662977,8358,-0.03804264427306631,7855,-0.001492738208671282,-1,0.001690959975219536,False
spot_taker_imbalance=Q2,up_first_1atr_1h,spot_taker_imbalance,2,15912,-0.002845678757026071,8040,-0.0006415801257975695,7872,-0.0050539799767201354,15844,-0.0004383502937277406,8162,-0.0013517688808270534,7682,0.0005333820254816435,-1,0.0004383502937277406,False
spot_taker_imbalance=Q3,direction_1h_atr,spot_taker_imbalance,3,15508,-0.013253573653680212,8161,-0.046046057278190305,7347,0.020427299695436087,15393,0.010839559361111023,8114,-0.02257943561563519,7279,0.04392422744431841,,,False
spot_taker_imbalance=Q3,up_first_1atr_1h,spot_taker_imbalance,3,15178,0.0002956266212631453,7991,-0.004103543864854786,7187,0.005323677260092918,15026,0.006433085174535558,7929,0.004693119394802436,7097,0.008379285136890957,1,0.0002956266212631453,False
spot_taker_imbalance=Q4,direction_1h_atr,spot_taker_imbalance,4,15287,0.003063270561293824,8240,-0.0073647724472965664,7047,0.011279124671256524,15387,0.00837733955648459,7997,0.00019431330056264573,7390,0.014213550192569369,1,0.003063270561293824,False
spot_taker_imbalance=Q4,up_first_1atr_1h,spot_taker_imbalance,4,14904,0.0002030943258475859,8031,0.0037750275344443085,6873,-0.003775171152512302,15048,-0.006061826179896479,7809,-0.005946301625027461,7239,-0.006184906293823789,,,False
spot_taker_imbalance=Q5,direction_1h_atr,spot_taker_imbalance,5,16347,-0.041425628184815155,7900,-0.0029941130731350185,8447,-0.07641378687084746,15930,-0.00797636433777502,7624,0.03101865419800076,8306,-0.04099524392836491,-1,0.00797636433777502,False
spot_taker_imbalance=Q5,up_first_1atr_1h,spot_taker_imbalance,5,15991,-0.008670363513242185,7724,-0.010230030932355139,8267,-0.0072605841803271565,15554,0.0022822413095592298,7433,0.0037050858316937663,8121,0.0009784532392802525,,,False
