state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_active_n,btcusdt_2025_active_effect,btcusdt_2025_q1_active_n,btcusdt_2025_q1_active_effect,btcusdt_2025_q2_active_n,btcusdt_2025_q2_active_effect,btcusdt_2025_q3_active_n,btcusdt_2025_q3_active_effect,btcusdt_2025_q4_active_n,btcusdt_2025_q4_active_effect,ethusdt_2025_active_n,ethusdt_2025_active_effect,ethusdt_2025_q1_active_n,ethusdt_2025_q1_active_effect,ethusdt_2025_q2_active_n,ethusdt_2025_q2_active_effect,ethusdt_2025_q3_active_n,ethusdt_2025_q3_active_effect,ethusdt_2025_q4_active_n,ethusdt_2025_q4_active_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_fc_screen_pass,ethusdt_block_p,btcusdt_block_p
log_quote_volume_ratio=Q5,direction_1h_atr,log_quote_volume_ratio,5,17022,-0.05647112726208715,4931,-0.018936904348094502,12091,-0.05970924241819961,16865,-0.055349495816276156,5004,-0.07669056502663112,11861,-0.026076933136819976,-1,0.055349495816276156,True,23441,0.05814915985079416,4341,-0.023190277879108323,8364,0.038816734042868076,6931,0.10790452531741204,3805,0.0017499958129838268,33890,0.018998809670556,4372,0.1054385709582726,10892,-0.0498639855378099,9560,0.032612771231313814,9066,-0.02033431316597605,False,,False,8,3,0.375,False,1.0,1.0,False,,
log_quote_volume_ratio_change_1h=Q1,direction_1h_atr,log_quote_volume_ratio_change_1h,1,15586,0.04144488369389135,7301,0.05981531486396287,8285,0.027349171592197345,15630,0.02172941289807078,7570,0.0353264208874705,8060,0.010981486488780242,1,0.02172941289807078,True,18849,-0.004102633843201152,4321,0.002267907872833763,4730,0.012315080980695434,5370,-0.055065173216193815,4428,0.022776075515145384,14246,-0.031453202244653436,3644,-0.11360997390921315,3232,0.035621022443142115,3698,-0.01756546286428036,3672,-0.01995346429969096,False,,False,8,4,0.5,False,1.0,1.0,False,,
spot_taker_imbalance_change_1h=Q4,direction_1h_atr,spot_taker_imbalance_change_1h,4,15631,-0.018893347572159207,8111,-0.034227708406318606,7520,-0.0044200250086503315,15355,-0.03515031912811455,7890,-0.0492418644139798,7465,-0.02238642226114012,-1,0.018893347572159207,True,14092,0.015573790817481649,3579,0.059034224454538424,3508,-0.003416561685825145,3482,0.022053948309116243,3523,-0.008992892332616156,14215,-0.00757556747475824,3664,-0.06618270741012638,3643,-0.025831210539379208,3597,0.08775505126248154,3311,-0.026454030591826657,False,,False,8,5,0.625,False,1.0,1.0,False,0.4218593802065978,
perp_spot_basis_bps=Q4,direction_1h_atr,perp_spot_basis_bps,4,16092,0.01684833333471511,11308,0.001989179873267924,4784,0.022822874551436147,15761,0.08460932245841207,11858,0.05846461840276457,3903,0.09203033776831941,1,0.01684833333471511,True,1181,-0.34905484029111317,214,0.05385146402667665,8,0.2661183802640667,954,-0.4704695113527062,5,-0.8735575288313119,849,-0.14643066587011622,233,-0.09326727977558671,13,-0.09535953712777889,597,-0.22179630458109628,6,-0.6980631864118294,False,,False,4,1,0.25,False,1.0,1.0,False,,
spot_taker_imbalance_change_15m=Q3,direction_1h_atr,spot_taker_imbalance_change_15m,3,15760,0.018635115629064905,8320,0.020745186254479034,7440,0.013372904307303021,15741,0.01536998957122694,8222,0.021811794476508453,7519,0.004906316624385718,1,0.01536998957122694,True,13850,0.03986786686136523,3651,0.06500100213898811,3329,0.07270463404423712,3366,0.028935878812134157,3504,0.006414946325283499,14630,-0.009185045526928164,3956,-0.03685624311292732,3744,-0.015539902169077534,3554,0.10303740580782136,3376,-0.07820077546492717,False,,False,8,5,0.625,False,1.0,1.0,False,,0.137620793068977
taker_imbalance_diff=Q4,direction_1h_atr,taker_imbalance_diff,4,16453,0.009963684951095106,8165,0.00837982692746568,8288,0.011426789155979993,16217,0.008135955430126936,8431,0.0015887616267204613,7786,0.012181777229162936,1,0.008135955430126936,True,15219,0.0005633198487319663,3875,0.02912092462961545,3790,0.07192968674660709,3684,-0.07404184155356619,3870,-0.018210516467321202,15461,0.045963413538219706,4020,0.06807957923959196,3785,0.07263624670602575,3984,0.0024953611517423008,3672,0.04238079981633394,True,0.0005633198487319663,False,8,6,0.75,True,0.49416861046317895,1.0,False,0.12829056981006332,0.49416861046317895
log_trade_count_ratio_change_15m=Q2,direction_1h_atr,log_trade_count_ratio_change_15m,2,15404,0.007497979030067256,7336,0.0002560746344668352,8068,0.0155848151781467,15514,0.022433193739702102,8011,0.03294970535409421,7503,0.008694724534344861,1,0.007497979030067256,True,17440,0.008266712130295159,4166,0.0426556020540009,4243,0.016988277982357844,4532,-0.021159637775651753,4499,0.0004730961050774772,16479,-0.005012234617733336,4376,-0.044576855846930774,4068,0.0499744993386732,4141,0.023465254643775607,3894,-0.042589145602760045,False,,False,8,5,0.625,False,1.0,1.0,False,,0.40753082305898036
taker_imbalance_diff_change_15m=Q3,direction_1h_atr,taker_imbalance_diff_change_15m,3,15799,-0.004845258290241086,8294,-0.010239256415563225,7505,-0.0015096424244173262,15844,-0.019197600354240667,8352,-0.03905064765986609,7492,-0.0012362429285702782,-1,0.004845258290241086,True,13349,0.014291031821019307,3509,0.031463601528099065,3284,0.06500728501879698,3160,-0.01418438034772048,3396,-0.012994557339008218,14635,-0.00960072526269332,3787,0.002537494455804243,3697,-0.021386251429460018,3729,0.017386770209774055,3422,-0.0396270777622732,False,,False,8,4,0.5,False,1.0,1.0,False,0.39320226591136287,
taker_imbalance_diff_change_1h=Q5,direction_1h_atr,taker_imbalance_diff_change_1h,5,16827,0.003401055058453034,7698,0.003288213830804021,9129,0.006389556069420217,16712,0.030639955120238718,7837,0.06212583528327023,8875,0.006840030791195769,1,0.003401055058453034,True,21929,0.017872645389501528,5038,-0.03133278632824085,5420,0.02172796508819133,6247,0.029033337250504894,5224,0.03871981166031113,16638,0.009843404257749405,4201,-0.028689272826670165,3799,0.021291430733284225,4171,0.036371453775387724,4467,0.017411622010126825,True,0.009843404257749405,True,8,6,0.75,True,0.4055314895034988,1.0,False,0.4055314895034988,0.35121626124625127
log_trade_count_ratio=Q1,direction_1h_atr,log_trade_count_ratio,1,16374,0.0023446405144842974,800,0.051127511175904014,15574,0.01941981230058159,15843,0.03522921487836921,234,0.12325986969777304,15609,0.06853034663768758,1,0.0023446405144842974,True,29869,-0.03473880917017689,8529,0.003353273785612912,6155,-0.045209587085689694,4403,-0.06463016315709233,10782,-0.0024873221821642526,24175,0.015016597555203261,3361,0.050982097120688116,4714,0.04604486191424884,5210,-0.021971014404583072,10890,0.006951177443370286,False,,False,8,4,0.5,False,1.0,1.0,False,0.3678773742085971,
