state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
log_quote_volume_ratio=Q5,direction_1h_atr,log_quote_volume_ratio,5,17022,-0.05647112726208715,4931,-0.018936904348094502,12091,-0.05970924241819961,16865,-0.055349495816276156,5004,-0.07669056502663112,11861,-0.026076933136819976,-1,0.055349495816276156,True
log_quote_volume_ratio_change_1h=Q1,direction_1h_atr,log_quote_volume_ratio_change_1h,1,15586,0.04144488369389135,7301,0.05981531486396287,8285,0.027349171592197345,15630,0.02172941289807078,7570,0.0353264208874705,8060,0.010981486488780242,1,0.02172941289807078,True
spot_taker_imbalance_change_1h=Q4,direction_1h_atr,spot_taker_imbalance_change_1h,4,15631,-0.018893347572159207,8111,-0.034227708406318606,7520,-0.0044200250086503315,15355,-0.03515031912811455,7890,-0.0492418644139798,7465,-0.02238642226114012,-1,0.018893347572159207,True
perp_spot_basis_bps=Q4,direction_1h_atr,perp_spot_basis_bps,4,16092,0.01684833333471511,11308,0.001989179873267924,4784,0.022822874551436147,15761,0.08460932245841207,11858,0.05846461840276457,3903,0.09203033776831941,1,0.01684833333471511,True
spot_taker_imbalance_change_15m=Q3,direction_1h_atr,spot_taker_imbalance_change_15m,3,15760,0.018635115629064905,8320,0.020745186254479034,7440,0.013372904307303021,15741,0.01536998957122694,8222,0.021811794476508453,7519,0.004906316624385718,1,0.01536998957122694,True
taker_imbalance_diff=Q4,direction_1h_atr,taker_imbalance_diff,4,16453,0.009963684951095106,8165,0.00837982692746568,8288,0.011426789155979993,16217,0.008135955430126936,8431,0.0015887616267204613,7786,0.012181777229162936,1,0.008135955430126936,True
log_trade_count_ratio_change_15m=Q2,direction_1h_atr,log_trade_count_ratio_change_15m,2,15404,0.007497979030067256,7336,0.0002560746344668352,8068,0.0155848151781467,15514,0.022433193739702102,8011,0.03294970535409421,7503,0.008694724534344861,1,0.007497979030067256,True
taker_imbalance_diff_change_15m=Q3,direction_1h_atr,taker_imbalance_diff_change_15m,3,15799,-0.004845258290241086,8294,-0.010239256415563225,7505,-0.0015096424244173262,15844,-0.019197600354240667,8352,-0.03905064765986609,7492,-0.0012362429285702782,-1,0.004845258290241086,True
taker_imbalance_diff_change_1h=Q5,direction_1h_atr,taker_imbalance_diff_change_1h,5,16827,0.003401055058453034,7698,0.003288213830804021,9129,0.006389556069420217,16712,0.030639955120238718,7837,0.06212583528327023,8875,0.006840030791195769,1,0.003401055058453034,True
log_trade_count_ratio=Q1,direction_1h_atr,log_trade_count_ratio,1,16374,0.0023446405144842974,800,0.051127511175904014,15574,0.01941981230058159,15843,0.03522921487836921,234,0.12325986969777304,15609,0.06853034663768758,1,0.0023446405144842974,True
log_quote_volume_ratio_change_15m=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_15m,2,15203,0.004343156025820749,7627,0.0057977878696780505,7576,0.0029064116322117806,15152,0.008338169160603481,7720,0.009402319635017253,7432,0.007233582037308006,1,0.004343156025820749,True
log_trade_count_ratio=Q4,up_first_1atr_1h,log_trade_count_ratio,4,15242,0.004106711073170455,10886,0.0006038233912488145,4356,0.01443658812110965,15714,0.0049228015527869595,12595,0.0022506104486677003,3119,0.01576984248621821,1,0.004106711073170455,True
log_quote_volume_ratio_change_1h=Q1,up_first_1atr_1h,log_quote_volume_ratio_change_1h,1,15272,0.0036435873769569693,7147,0.00320634479416676,8125,0.003924021899452457,15293,0.003635445260793846,7404,0.003630967922037598,7889,0.0036385925702939192,1,0.003635445260793846,True
taker_imbalance_diff_change_15m=Q5,up_first_1atr_1h,taker_imbalance_diff_change_15m,5,16275,0.004843570640003236,7588,0.0010033974113978217,8687,0.008087371201238536,16226,0.003396120724124596,7592,0.004859905203682402,8634,0.0021068432548191907,1,0.003396120724124596,True
taker_imbalance_diff=Q5,up_first_1atr_1h,taker_imbalance_diff,5,16378,0.004182566284191835,7118,0.0010307620129048067,9260,0.00638602555454465,16067,0.0032210058419265275,7410,0.005116870060503043,8657,0.0015956487110787565,1,0.0032210058419265275,True
perp_taker_imbalance_change_15m=Q1,up_first_1atr_1h,perp_taker_imbalance_change_15m,1,16403,0.0031728373349701466,7867,0.0020175059109058813,8536,0.004177010148317006,16239,0.003982710899945452,7494,0.0025845338001317386,8745,0.005178309487285593,1,0.0031728373349701466,True
perp_spot_basis_bps=Q4,up_first_1atr_1h,perp_spot_basis_bps,4,15736,0.0028866305915696278,11040,0.0007238752062379006,4696,0.009393318190895339,15407,0.0027395889200910184,11571,0.0035286820839303124,3836,0.0003967599529471899,1,0.0027395889200910184,True
taker_imbalance_diff_change_15m=Q3,up_first_1atr_1h,taker_imbalance_diff_change_15m,3,15418,-0.002536643481221623,8096,-0.0007418691942890909,7322,-0.004390780697568097,15469,-0.0064295249290780565,8147,-0.0037576947636202007,7322,-0.009400232213446658,-1,0.002536643481221623,True
log_quote_volume_ratio_change_1h=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_1h,2,15135,-0.0026485090909588727,7521,-0.002003488176291035,7614,-0.0032776268851750223,15133,-0.0023962240070237173,7661,-0.0015966469361293756,7472,-0.0032154744185988182,-1,0.0023962240070237173,True
perp_spot_basis_bps_change_15m=Q2,up_first_1atr_1h,perp_spot_basis_bps_change_15m,2,15778,-0.008841770456964548,7483,-0.010847449748684068,8295,-0.007113285097348154,15786,-0.0022334081703586084,7533,-0.0035737978831359984,8253,-0.0010114870813097143,-1,0.0022334081703586084,True
perp_taker_imbalance=Q4,up_first_1atr_1h,perp_taker_imbalance,4,15242,-0.008883710131395883,7695,-0.009953936472717972,7547,-0.007751455875720514,14943,-0.00216034451554753,7881,-0.002416802632546955,7062,-0.0018719141384978544,-1,0.00216034451554753,True
log_trade_count_ratio_change_1h=Q2,up_first_1atr_1h,log_trade_count_ratio_change_1h,2,15190,-0.002929086810073589,7301,-0.002419653871573557,7889,-0.0034571768485607834,15204,-0.0019324461418220862,7698,-0.001238321834336864,7506,-0.0026437690420007542,-1,0.0019324461418220862,True
