outcome,state,btcusdt_annual_n,btcusdt_annual_effect,btcusdt_h1_n,btcusdt_h1_effect,btcusdt_h2_n,btcusdt_h2_effect,ethusdt_annual_n,ethusdt_annual_effect,ethusdt_h1_n,ethusdt_h1_effect,ethusdt_h2_n,ethusdt_h2_effect,stable,sign
direction_1h_atr,rsi14=Q1,21079,0.013866814104993228,10129,-0.011554096416677817,10950,0.038279739680216536,21079,-0.012072808576965771,10290,-0.012963579913364838,10789,-0.010252536290488912,False,
direction_1h_atr,rsi14=Q2,21079,-0.031875039698418164,10815,-0.04447901271908079,10264,-0.019506140983964804,21079,-0.010020809373231406,10580,-0.00025749464388961224,10499,-0.02038046305013888,True,-1
direction_1h_atr,rsi14=Q3,21078,0.033655850301025594,10903,0.03887580006532068,10175,0.026899447641518505,21078,0.0013724838850286414,10513,0.0026369300634145193,10565,-5.744557060638478e-05,False,
direction_1h_atr,rsi14=Q4,21079,0.039605701799999116,10368,0.02499631429023655,10711,0.054041074865853474,21079,0.04339747785631669,10415,0.04920893392113294,10664,0.0380593848902148,True,1
direction_1h_atr,rsi14=Q5,21079,-0.05525172985451844,10187,-0.008339321636593261,10892,-0.09837384787730112,21079,-0.022676278679715674,10604,-0.03810953997589586,10475,-0.007701123858167172,True,-1
direction_1h_atr,atr_slope_3bar_pct=Q1,21079,0.006413506473818983,10852,0.002452596860228029,10227,0.009600279828580909,21079,0.015608565952452764,10760,0.01920226090035703,10319,0.010372210094951477,True,1
direction_1h_atr,atr_slope_3bar_pct=Q2,21078,0.0384336036847802,10393,0.018874803115305414,10685,0.05768568473339771,21078,0.032519475133090434,10267,0.01424239246669455,10811,0.05096002645155775,True,1
direction_1h_atr,atr_slope_3bar_pct=Q3,21078,-0.0004899037805230003,10340,0.025826939109828903,10738,-0.025466586451456188,21078,0.04566158860396892,10477,0.06862009926646967,10601,0.022987193229089587,False,
direction_1h_atr,atr_slope_3bar_pct=Q4,21078,0.005906044152058573,10291,0.01370699827004547,10787,-0.0010460570669101957,21078,-0.013642444559248316,10365,-0.0033817427543149994,10713,-0.022979681664846027,False,
direction_1h_atr,atr_slope_3bar_pct=Q5,21078,-0.050434035175524854,10523,-0.06029096907869508,10555,-0.04072094555061629,21078,-0.0801496508270666,10530,-0.09844989791028796,10548,-0.06214121991692058,True,-1
direction_1h_atr,price_change_5m_pct=Q1,21079,-0.0137913107223809,10362,-0.058694596614825054,10717,0.02993387809205015,21079,-0.008499838818537494,9930,-0.052486145428378705,11149,0.0333916522529807,False,
direction_1h_atr,price_change_5m_pct=Q2,21079,0.0343187684936989,10456,0.03541697240448187,10623,0.03330234632059797,21079,0.022481808701676435,10737,0.018173916504558803,10342,0.025590732127021946,True,1
direction_1h_atr,price_change_5m_pct=Q3,21078,0.017993585755508607,10609,0.01910746010686841,10469,0.016520113437868182,21078,-0.01791033361597946,11017,-0.01580397329465215,10061,-0.02315113610362575,False,
direction_1h_atr,price_change_5m_pct=Q4,21079,-0.0001593387396466167,10633,0.051511010340240596,10446,-0.05316307193497974,21079,0.013793704947534301,10779,0.06107442770668541,10300,-0.03727903790893624,False,
direction_1h_atr,price_change_5m_pct=Q5,21079,-0.03836085116102335,10342,-0.049560440007734526,10737,-0.027212425689155027,21079,-0.009866190891320554,9939,-0.015912546520658665,11140,-0.0017993906486104914,True,-1
direction_1h_atr,price_change_15m_pct=Q1,21079,0.005062909899532939,10281,-0.026324069701882384,10798,0.03546395616120641,21079,-0.0017842703541806476,9918,-0.040518227184473135,11161,0.03540660000862316,False,
direction_1h_atr,price_change_15m_pct=Q2,21079,0.02354810318819521,10475,0.009298394029186724,10604,0.03763896977358736,21079,-0.01653513945980066,10780,-0.021994011904821628,10299,-0.012420047873861447,False,
direction_1h_atr,price_change_15m_pct=Q3,21078,0.020416929764939973,10866,0.03420519660054025,10212,0.004688225886974241,21078,0.01242029566524407,11034,0.02590771026018856,10044,-0.005428834694119856,False,
direction_1h_atr,price_change_15m_pct=Q4,21079,-0.022448521760488796,10406,0.00808308662553743,10673,-0.05202107012445991,21079,0.022318577940507397,10628,0.05067315046313708,10451,-0.007292117180633275,False,
direction_1h_atr,price_change_15m_pct=Q5,21079,-0.026578452501175718,10374,-0.02723628133193475,10705,-0.02566265440702921,21079,-0.016418874565731663,10042,-0.0184688998788647,11037,-0.012369471534004342,True,-1
direction_1h_atr,price_change_1h_pct=Q1,21079,0.014977397211082905,10215,-0.025739284362160976,10864,0.05394538325836979,21079,0.015891145457179973,9927,-0.024042265050672397,11152,0.05416662099260218,False,
direction_1h_atr,price_change_1h_pct=Q2,21079,0.022865594750078336,10514,0.0418591114832081,10565,0.003875059307705875,21079,-0.008448841149091436,10683,0.004670767558564506,10396,-0.02300149918856912,False,
direction_1h_atr,price_change_1h_pct=Q3,21078,0.0449376617680457,11126,0.05680472929214518,9952,0.029854797805481538,21078,0.013011410755107675,10969,0.04143111042605322,10109,-0.020485352924349297,False,
direction_1h_atr,price_change_1h_pct=Q4,21079,0.010982817618196986,10223,0.03027499780667832,10856,-0.006520909210525477,21079,0.01980900834800074,10716,0.0631071182851003,10363,-0.026213321514864607,False,
direction_1h_atr,price_change_1h_pct=Q5,21079,-0.09376133947863557,10324,-0.10835825542978068,10755,-0.07934231545100232,21079,-0.04026210614231536,10107,-0.09319718754097477,10972,0.010371173152174088,False,
direction_1h_atr,oi_change_5m_pct=Q1,21079,-0.01483485711346031,10359,-0.031187153376418544,10720,0.0012838333291271264,21079,-0.007040865288479229,10669,-0.028683059070265846,10410,0.014144300425747706,False,
direction_1h_atr,oi_change_5m_pct=Q2,21079,0.002464367563195728,10273,0.0013935845296183247,10806,0.004019514045533752,21079,0.01875150855340209,10431,0.007892480553720951,10648,0.0296448028792397,True,1
direction_1h_atr,oi_change_5m_pct=Q3,21078,0.03687967778807956,10674,0.04101144520675078,10404,0.032119053296947635,21078,0.021196072187523184,10349,0.0021876375497430003,10729,0.04020252738092036,True,1
direction_1h_atr,oi_change_5m_pct=Q4,21079,-0.0052118567029073234,10454,0.015387783299827026,10625,-0.025410192666115623,21079,-0.012281203762518084,10375,0.02189506985733284,10704,-0.04486518272011693,False,
direction_1h_atr,oi_change_5m_pct=Q5,21079,-0.019295581941578335,10642,-0.027238171847368813,10437,-0.011629864471423348,21079,-0.020624506135955397,10578,-0.0024681526004268484,10501,-0.03942443852242081,True,-1
direction_1h_atr,oi_change_15m_pct=Q1,21079,-0.02020271631562362,10272,-0.02855207548065697,10807,-0.011726973654012894,21079,0.030005953793623457,10581,-0.012840319908636738,10498,0.07266468040947582,False,
direction_1h_atr,oi_change_15m_pct=Q2,21079,0.010230712295200936,10482,0.02394802651178561,10597,-0.003341701171210326,21079,-0.007597132341636776,10569,-0.0007013491629905971,10510,-0.014994556841135273,False,
direction_1h_atr,oi_change_15m_pct=Q3,21078,0.03028142816067575,10713,0.011380257801793761,10365,0.049188342625551766,21078,-0.004210897973065009,10458,-0.0001521418835925617,10620,-0.008093843170346312,False,
direction_1h_atr,oi_change_15m_pct=Q4,21079,0.00991464792539215,10379,0.02349773138724813,10700,-0.0029955759088192355,21079,-0.0048124581002435135,10372,0.006822069624542314,10707,-0.015525866690765467,False,
direction_1h_atr,oi_change_15m_pct=Q5,21079,-0.03022263549710968,10556,-0.03064948374934571,10523,-0.02999516273869099,21079,-0.013385665146123151,10422,0.007110782760486593,10657,-0.03312836196033046,False,
direction_1h_atr,oi_change_1h_pct=Q1,21079,-0.014170835303694646,10367,-0.034839871559672345,10712,0.006128924301371547,21079,0.048293189378044055,10573,0.01064274688814424,10506,0.08569970239148081,False,
direction_1h_atr,oi_change_1h_pct=Q2,21079,-0.030920461314373898,10459,-0.03552103535855113,10620,-0.026332999278164522,21079,-0.0071720353843218575,10564,0.013121993795069266,10515,-0.027997203597426697,False,
direction_1h_atr,oi_change_1h_pct=Q3,21078,0.037779071595162486,10575,0.0517406530209355,10503,0.023468753732367974,21078,-0.0153082038854904,10645,-0.010239695799846307,10433,-0.021349148111568003,False,
direction_1h_atr,oi_change_1h_pct=Q4,21079,0.00808851736564331,10391,0.024414328270684627,10688,-0.007549372856002497,21079,0.012840379580567562,10330,0.08909697280748369,10749,-0.05967397188524842,False,
