candidate_id,feature,tail,side,horizon,outcome_kind,expected_sign,discovery_eligible,discovery_worst_abs_effect,btcusdt_threshold,btcusdt_annual_n,btcusdt_annual_effect,btcusdt_h1_n,btcusdt_h1_effect,btcusdt_h2_n,btcusdt_h2_effect,ethusdt_threshold,ethusdt_annual_n,ethusdt_annual_effect,ethusdt_h1_n,ethusdt_h1_effect,ethusdt_h2_n,ethusdt_h2_effect
oi_change_15m_pct|LOW_1P|15m|return_atr,oi_change_15m_pct,LOW_1P,LOW,15m,return_atr,0,False,0.0006955447805201877,-1.3201893063919998,1054,0.02159990333384708,575,0.03970015735934725,479,-0.0010251906386325327,-1.1352306397279999,1054,-0.0006955447805201877,563,0.03067037291610364,491,-0.037753279481384516
oi_change_15m_pct|LOW_1P|15m|excursion_bias_atr,oi_change_15m_pct,LOW_1P,LOW,15m,excursion_bias_atr,-1,True,0.10775882904899167,-1.3201893063919998,1054,-0.10775882904899167,575,-0.02802103554148416,479,-0.20119802659876915,-1.1352306397279999,1054,-0.11503328583071284,563,-0.11016503103810897,491,-0.12009775800599323
oi_change_15m_pct|LOW_1P|15m|up_first_touch,oi_change_15m_pct,LOW_1P,LOW,15m,up_first_touch,0,False,0.0229569462809317,-1.3201893063919998,725,0.0229569462809317,395,0.02023660770876501,330,0.026383008564090482,-1.1352306397279999,687,-0.03041865402936994,365,-0.03283911484787849,322,-0.02767282265247506
oi_change_15m_pct|LOW_1P|30m|return_atr,oi_change_15m_pct,LOW_1P,LOW,30m,return_atr,0,False,0.03598633326271715,-1.3201893063919998,1054,0.07643135559836275,575,0.05358060611346403,479,0.10207442486156743,-1.1352306397279999,1054,0.03598633326271715,563,0.0886811560098511,491,-0.02669435106831415
oi_change_15m_pct|LOW_1P|30m|excursion_bias_atr,oi_change_15m_pct,LOW_1P,LOW,30m,excursion_bias_atr,-1,True,0.10116314345508134,-1.3201893063919998,1054,-0.10116314345508134,575,-0.09532050716860085,479,-0.10562429459808069,-1.1352306397279999,1054,-0.12414931225808612,563,-0.03967550552817706,491,-0.22128664815822258
oi_change_15m_pct|LOW_1P|30m|up_first_touch,oi_change_15m_pct,LOW_1P,LOW,30m,up_first_touch,0,False,0.01489478553078949,-1.3201893063919998,930,0.031092906192579983,504,0.010816089088340364,426,0.0552415809092614,-1.1352306397279999,898,-0.01489478553078949,490,-0.023171768707482998,408,-0.004707192150739059
oi_change_15m_pct|LOW_1P|1h|return_atr,oi_change_15m_pct,LOW_1P,LOW,1h,return_atr,0,False,0.02666137875629928,-1.3201893063919998,1054,0.07428169865734419,575,0.05682517376319375,479,0.09221799619826274,-1.1352306397279999,1054,0.02666137875629928,563,0.1433685437119046,491,-0.11154844129319784
oi_change_15m_pct|LOW_1P|1h|excursion_bias_atr,oi_change_15m_pct,LOW_1P,LOW,1h,excursion_bias_atr,-1,True,0.09667686594249875,-1.3201893063919998,1054,-0.09667686594249875,575,-0.09720822556089825,479,-0.09337840858937996,-1.1352306397279999,1054,-0.27228079790656207,563,-0.13937473174580023,491,-0.4269577501149882
oi_change_15m_pct|LOW_1P|1h|up_first_touch,oi_change_15m_pct,LOW_1P,LOW,1h,up_first_touch,0,False,0.014791034230972222,-1.3201893063919998,1007,0.0338950038608658,547,0.01934725882105809,460,0.05143466459868168,-1.1352306397279999,1003,-0.014791034230972222,536,-0.01756017572771229,467,-0.011584663512637927
oi_change_15m_pct|LOW_1P|2h|return_atr,oi_change_15m_pct,LOW_1P,LOW,2h,return_atr,1,True,0.08151554960902706,-1.3201893063919998,1054,0.08151554960902706,575,0.07233423476661058,479,0.08669046856569125,-1.1352306397279999,1054,0.08835337898478261,563,0.10053584465035272,491,0.06521452933037368
