interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
1,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704217200,1704217800,192169
2,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704304500,1704305100,188256;188263;191826
3,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704384600,1704385200,188885
4,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704385500,1704386100,193318
5,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704390000,1704390600,192206
6,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704394500,1704395100,188912
7,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704471900,1704472500,191754;191766;191790
8,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704477300,1704477900,188270;188314
9,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704911100,1704911700,189279
10,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704920100,1704920700,185913
11,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1704990300,1704990900,191634;191646;191658;191950;191962;193319
12,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1705006500,1705007100,185916
13,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1705076700,1705077300,191586
14,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1705508700,1705509300,195000;195012
15,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1705595100,1705595700,191999;193320
16,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1705604100,1705604700,189510
17,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1705686900,1705687500,189032
18,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706120700,1706121300,190089
19,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706199900,1706200500,193321;195036
20,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706205300,1706205900,194976
21,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706282700,1706283300,210904;210906
22,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706637300,1706637900,191827;192212
23,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706717400,1706718000,188886
24,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706722800,1706723400,191986
25,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706725500,1706726100,191422
26,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706738100,1706738700,184735
27,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706739900,1706740500,184743
28,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706804700,1706805300,193708
29,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706809200,1706809800,194093
30,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706810100,1706810700,178983;178999
31,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1706891100,1706891700,191755;191767;191791
32,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707154800,1707155400,194309
33,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707155700,1707156300,188271;188315
34,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707330300,1707330900,192259
35,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707339300,1707339900,188872
36,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707409500,1707410100,193709
37,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707425700,1707426300,188875
38,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707841500,1707842100,191635;191647;191659;191951;191963
39,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1707935100,1707935700,192398
40,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1708014300,1708014900,192000;193710;195001;195013
41,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1708100700,1708101300,191587
42,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1708619100,1708619700,193711
43,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1708624500,1708625100,189033
44,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1708628100,1708628700,193106
45,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1708970100,1708970700,194977
46,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709051100,1709051700,195037
47,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709056500,1709057100,192213
48,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709144700,1709145300,193286
49,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709220300,1709220900,210903;210905
50,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709223900,1709224500,193712
51,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709228400,1709229000,193675
52,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709314800,1709315400,196040
53,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709315700,1709316300,178984;179000
54,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709660400,1709661000,196156
55,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709661300,1709661900,188272;188316
56,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709741400,1709742000,188887
57,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709747700,1709748300,191828;197020
58,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709749500,1709750100,194335
59,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709828700,1709829300,195929
60,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709834100,1709834700,197021
61,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1709915100,1709915700,191756;191768;191792
62,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710257100,1710257700,191636;191648;191660;191952;191964
63,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710273300,1710273900,188873
64,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710350700,1710351300,194706
65,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710359700,1710360300,188876
66,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710429900,1710430500,191588;195002;195014;195930
67,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710955500,1710956100,195398
68,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710968100,1710968700,184736
69,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1710969900,1710970500,184744
70,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711034700,1711035300,192001;195931
71,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711040100,1711040700,189034
72,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711385700,1711386300,194978
73,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711466700,1711467300,195038
74,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711472100,1711472700,192214
75,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711560300,1711560900,195787
76,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711639500,1711640100,195932;197681;197752
77,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711725900,1711726500,197621;197631
78,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711730400,1711731000,195910
79,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711736700,1711737300,197540
80,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711989600,1711990200,197224
81,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1711990500,1711991100,188257;188264
82,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712076900,1712077500,191829
83,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712157000,1712157600,188888
84,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712162400,1712163000,197250
85,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712163300,1712163900,188273;188317
86,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712165100,1712165700,196203
87,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712171100,1712171700,197829
88,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712244300,1712244900,197109
89,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1712330700,1712331300,191757;191769;191793
