month,timeframe,raw_rows,news_excluded_rows,clean_rows,news_excluded_fraction
2024-01,M1,30173,297,29876,0.00984323733138899
2024-01,M5,6054,81,5973,0.013379583746283449
2024-02,M1,28789,264,28525,0.009170169161832645
2024-02,M5,5775,72,5703,0.012467532467532468
2024-03,M1,27556,275,27281,0.009979677747133112
2024-03,M5,5528,75,5453,0.013567293777134587
2024-04,M1,30321,297,30024,0.009795191451469279
2024-04,M5,6082,81,6001,0.01331798750411049
2024-05,M1,31538,319,31219,0.010114782167543915
2024-05,M5,6327,87,6240,0.013750592697961118
2024-06,M1,27424,286,27138,0.01042882147024504
2024-06,M5,5502,78,5424,0.014176663031624863
2024-07,M1,31593,352,31241,0.011141708606336847
2024-07,M5,6342,96,6246,0.015137180700094607
2024-08,M1,30378,264,30114,0.008690499703732965
2024-08,M5,6094,72,6022,0.0118148999015425
2024-09,M1,28843,308,28535,0.010678500849426203
2024-09,M5,5787,84,5703,0.014515292897874546
2024-10,M1,31756,286,31470,0.009006172061972541
2024-10,M5,6371,78,6293,0.012242975984931723
2024-11,M1,28713,264,28449,0.009194441542158604
2024-11,M5,5761,72,5689,0.012497830237805936
2024-12,M1,28801,297,28504,0.01031214193951599
2024-12,M5,5779,81,5698,0.014016265789929053
2025-01,M1,30203,308,29895,0.01019766248385922
2025-01,M5,6062,84,5978,0.013856812933025405
2025-02,M1,27311,286,27025,0.01047197100069569
2025-02,M5,5484,78,5406,0.014223194748358862
2025-03,M1,28958,297,28661,0.010256233165273845
2025-03,M5,5815,81,5734,0.013929492691315564
2025-04,M1,28889,308,28581,0.010661497455779016
2025-04,M5,5815,84,5731,0.014445399828030954
2025-05,M1,30199,285,29914,0.009437398589357264
2025-05,M5,6064,77,5987,0.012697889182058048
2025-06,M1,28847,308,28539,0.010677020140742538
2025-06,M5,5787,84,5703,0.014515292897874546
2025-07,M1,31520,330,31190,0.010469543147208122
2025-07,M5,6324,90,6234,0.014231499051233396
2025-08,M1,28990,264,28726,0.009106588478785788
2025-08,M5,5817,72,5745,0.012377514182568335
2025-09,M1,30250,297,29953,0.009818181818181818
2025-09,M5,6070,81,5989,0.013344316309719934
2025-10,M1,31756,220,31536,0.0069278246630558
2025-10,M5,6371,60,6311,0.009417673834562863
2025-11,M1,27316,209,27107,0.007651193439742275
2025-11,M5,5482,57,5425,0.010397665085735133
2025-12,M1,30176,292,29884,0.009676564156945917
2025-12,M5,6056,80,5976,0.013210039630118891
