n_state,n_comp,effect,state_mean,comp_mean,p,state,state_family,feature,quintile,hour_block,horizon_bars,outcome,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,confirmation_q,confirmation_quarters_same_sign,quarter_details
2399,59544,-0.08256843459615715,-0.0491644394423403,0.03340399515381685,0.0014165553141558187,upper_wick_atr:Q1:H1,feature_quintile_x_server_4h_block,upper_wick_atr,1,1.0,3,mean_fwd_ret_atr,0.02372730151210996,2312,59509,-0.05809238447672713,0.01345419306421805,0.04708967572476318,3,"{'1': {'effect': -0.09174581249402808, 'n_state': 568, 'same_sign': True}, '2': {'effect': -0.07033601300620623, 'n_state': 549, 'same_sign': True}, '3': {'effect': 0.0038135116656720716, 'n_state': 597, 'same_sign': False}, '4': {'effect': -0.07030707372534577, 'n_state': 598, 'same_sign': True}}"
2144,59799,0.2488782673353645,0.2704701662109384,0.021591898875573896,0.00012629082987025122,dist_low24_atr:Q1:H5,feature_quintile_x_server_4h_block,dist_low24_atr,1,5.0,3,mean_fwd_ret_atr,0.008461485601306832,2016,59805,0.14905329968604578,0.02110228154083459,0.04923865692861404,3,"{'1': {'effect': 0.22548870472611018, 'n_state': 510, 'same_sign': True}, '2': {'effect': -0.08874891573432007, 'n_state': 441, 'same_sign': False}, '3': {'effect': 0.2849285882883613, 'n_state': 621, 'same_sign': True}, '4': {'effect': 0.09150770856943116, 'n_state': 444, 'same_sign': True}}"
12366,56366,0.1390453043347174,0.6939188096393336,0.5548735053046162,4.86449450788754e-177,ret1_atr:Q1,feature_quintile,ret1_atr,1,,3,move_ge_1atr,3.8812456179953775e-176,11724,56788,0.15696109482671416,4.895354536602057e-214,4.7070716698096705e-213,4,"{'1': {'effect': 0.1454834931673633, 'n_state': 2828, 'same_sign': True}, '2': {'effect': 0.13637263330606864, 'n_state': 2923, 'same_sign': True}, '3': {'effect': 0.12481892670023131, 'n_state': 2994, 'same_sign': True}, '4': {'effect': 0.13752626761482845, 'n_state': 2979, 'same_sign': True}}"
1180,67552,0.18515313250206744,0.761864406779661,0.5767112742775936,2.2645094029573307e-37,ret1_atr:Q1:H0,feature_quintile_x_server_4h_block,ret1_atr,1,0.0,3,move_ge_1atr,4.063114957459325e-37,1091,67421,0.1739507572640504,1.2867060181222354e-30,2.5802928170900442e-30,4,"{'1': {'effect': 0.1832893395549755, 'n_state': 299, 'same_sign': True}, '2': {'effect': 0.17909015724021127, 'n_state': 255, 'same_sign': True}, '3': {'effect': 0.15361444713220596, 'n_state': 264, 'same_sign': True}, '4': {'effect': 0.1702677515629054, 'n_state': 273, 'same_sign': True}}"
2388,66344,0.10942262055888186,0.6855108877721943,0.5760882672133124,1.8663584451415494e-26,ret1_atr:Q1:H1,feature_quintile_x_server_4h_block,ret1_atr,1,1.0,3,move_ge_1atr,2.631144424541658e-26,2223,66289,0.09823124382894954,3.801174895619693e-20,6.040002482446546e-20,4,"{'1': {'effect': 0.09585133488423614, 'n_state': 544, 'same_sign': True}, '2': {'effect': 0.10754340962819742, 'n_state': 548, 'same_sign': True}, '3': {'effect': 0.07948601440396275, 'n_state': 567, 'same_sign': True}, '4': {'effect': 0.10082219736661369, 'n_state': 564, 'same_sign': True}}"
2846,65886,0.18423917297129144,0.7565003513703443,0.5722611783990529,1.1698760611004402e-84,ret1_atr:Q1:H2,feature_quintile_x_server_4h_block,ret1_atr,1,2.0,3,move_ge_1atr,4.929253066434439e-84,2599,65913,0.19445358052895723,9.99654374573504e-86,5.679854400985818e-85,4,"{'1': {'effect': 0.17430130633774, 'n_state': 614, 'same_sign': True}, '2': {'effect': 0.18817610894807368, 'n_state': 656, 'same_sign': True}, '3': {'effect': 0.19601891995002574, 'n_state': 731, 'same_sign': True}, '4': {'effect': 0.1959050512732856, 'n_state': 598, 'same_sign': True}}"
2548,66184,0.18970138148705262,0.7625588697017268,0.5728574882146742,8.3207172263345e-81,ret1_atr:Q1:H3,feature_quintile_x_server_4h_block,ret1_atr,1,3.0,3,move_ge_1atr,3.216772123582925e-80,2396,66116,0.18607676031734988,7.023795639427997e-73,3.1734016443198783e-72,4,"{'1': {'effect': 0.21352888051203522, 'n_state': 600, 'same_sign': True}, '2': {'effect': 0.17691066439217107, 'n_state': 597, 'same_sign': True}, '3': {'effect': 0.19636273870334198, 'n_state': 570, 'same_sign': True}, '4': {'effect': 0.1404977942151332, 'n_state': 629, 'same_sign': True}}"
12444,56288,0.05944938612077044,0.6285760205721633,0.5691266344513929,5.1320176194223665e-34,ret1_atr:Q2,feature_quintile,ret1_atr,2,,3,move_ge_1atr,8.74775730583358e-34,12536,55976,0.051860725432606336,3.259589864013454e-26,5.793109947891209e-26,4,"{'1': {'effect': 0.04966026558655312, 'n_state': 2960, 'same_sign': True}, '2': {'effect': 0.051751066847414484, 'n_state': 3154, 'same_sign': True}, '3': {'effect': 0.02682178058455431, 'n_state': 3242, 'same_sign': True}, '4': {'effect': 0.050117156799888485, 'n_state': 3180, 'same_sign': True}}"
1145,67587,0.08084543531568533,0.6593886462882096,0.5785432109725243,3.882434781631347e-08,ret1_atr:Q2:H0,feature_quintile_x_server_4h_block,ret1_atr,2,0.0,3,move_ge_1atr,4.244644440559053e-08,1222,67290,0.06209262544148375,1.4181109027213978e-05,1.5504127945204788e-05,4,"{'1': {'effect': 0.09795086026729538, 'n_state': 274, 'same_sign': True}, '2': {'effect': 0.09828639969880748, 'n_state': 310, 'same_sign': True}, '3': {'effect': 0.0347016611329245, 'n_state': 331, 'same_sign': True}, '4': {'effect': 0.01973319082369762, 'n_state': 307, 'same_sign': True}}"
2354,66378,0.1552486796290128,0.72982158028887,0.5745729006598572,7.661301333415663e-51,ret1_atr:Q2:H2,feature_quintile_x_server_4h_block,ret1_atr,2,2.0,3,move_ge_1atr,1.8416589743787651e-50,2390,66122,0.15071711616121286,2.5141586472942852e-48,7.088793178461331e-48,4,"{'1': {'effect': 0.18879925010472431, 'n_state': 581, 'same_sign': True}, '2': {'effect': 0.12167857775666113, 'n_state': 598, 'same_sign': True}, '3': {'effect': 0.17566945334904271, 'n_state': 575, 'same_sign': True}, '4': {'effect': 0.10569032468011408, 'n_state': 636, 'same_sign': True}}"
2165,66567,0.1671773227071469,0.7418013856812933,0.5746240629741464,2.985011683101722e-54,ret1_atr:Q2:H3,feature_quintile_x_server_4h_block,ret1_atr,2,3.0,3,move_ge_1atr,7.719857801125143e-54,2309,66203,0.11812067175800145,2.0791570569038368e-29,3.9843412639981824e-29,4,"{'1': {'effect': 0.13429681535864546, 'n_state': 583, 'same_sign': True}, '2': {'effect': 0.09780873747657903, 'n_state': 559, 'same_sign': True}, '3': {'effect': 0.10199585047828108, 'n_state': 602, 'same_sign': True}, '4': {'effect': 0.12640336149557485, 'n_state': 565, 'same_sign': True}}"
2403,66329,-0.11749774154155723,0.4665002080732418,0.583997949614799,2.0078154194124522e-30,ret1_atr:Q2:H5,feature_quintile_x_server_4h_block,ret1_atr,2,5.0,3,move_ge_1atr,3.1241941173430276e-30,2256,66256,-0.07902851779729081,9.39192825403254e-14,1.2996210683624362e-13,4,"{'1': {'effect': -0.07893983606521732, 'n_state': 514, 'same_sign': True}, '2': {'effect': -0.037995069563511286, 'n_state': 552, 'same_sign': True}, '3': {'effect': -0.1188788684356098, 'n_state': 626, 'same_sign': True}, '4': {'effect': -0.06722788014363923, 'n_state': 564, 'same_sign': True}}"
2111,66621,0.15387438310922763,0.7290383704405495,0.5751639873313219,3.689031964085942e-45,ret1_atr:Q3:H2,feature_quintile_x_server_4h_block,ret1_atr,3,2.0,3,move_ge_1atr,7.860153332569478e-45,2342,66170,0.14538325899428106,2.998117627781533e-44,8.030672217271963e-44,4,"{'1': {'effect': 0.1866319726784843, 'n_state': 572, 'same_sign': True}, '2': {'effect': 0.08158086695975297, 'n_state': 576, 'same_sign': True}, '3': {'effect': 0.1652923953035409, 'n_state': 579, 'same_sign': True}, '4': {'effect': 0.13371281775324195, 'n_state': 615, 'same_sign': True}}"
2198,66534,0.14400544709084817,0.7192902638762512,0.575284816785403,2.762651133312247e-41,ret1_atr:Q3:H3,feature_quintile_x_server_4h_block,ret1_atr,3,3.0,3,move_ge_1atr,5.395802994750482e-41,2282,66230,0.10419303404874236,5.307674777750085e-23,8.965666854307575e-23,4,"{'1': {'effect': 0.10439773093066163, 'n_state': 564, 'same_sign': True}, '2': {'effect': 0.1253135102202596, 'n_state': 534, 'same_sign': True}, '3': {'effect': 0.10031276635552111, 'n_state': 599, 'same_sign': True}, '4': {'effect': 0.07843976294813226, 'n_state': 585, 'same_sign': True}}"
2580,66152,-0.12367987842891304,0.46085271317829457,0.5845325916072076,8.827316159218314e-36,ret1_atr:Q3:H5,feature_quintile_x_server_4h_block,ret1_atr,3,5.0,3,move_ge_1atr,1.53964816730552e-35,2591,65921,-0.09115616214444627,4.119169156230175e-20,6.490287536076956e-20,4,"{'1': {'effect': -0.09384911789675271, 'n_state': 627, 'same_sign': True}, '2': {'effect': -0.08296260530066502, 'n_state': 611, 'same_sign': True}, '3': {'effect': -0.12041394090295687, 'n_state': 695, 'same_sign': True}, '4': {'effect': -0.055045057853967294, 'n_state': 658, 'same_sign': True}}"
1188,67544,0.05746691718798791,0.6363636363636364,0.5788967191756484,6.944139635341996e-05,ret1_atr:Q4:H0,feature_quintile_x_server_4h_block,ret1_atr,4,0.0,3,move_ge_1atr,7.037979360143915e-05,1212,67300,0.07575478498815713,1.328514238319978e-07,1.5568526230312242e-07,4,"{'1': {'effect': 0.10040549123064146, 'n_state': 282, 'same_sign': True}, '2': {'effect': 0.0652119380267383, 'n_state': 323, 'same_sign': True}, '3': {'effect': 0.1102887274019364, 'n_state': 306, 'same_sign': True}, '4': {'effect': 0.024796616284110784, 'n_state': 301, 'same_sign': True}}"
2297,66435,0.16124088019101035,0.7357422725293862,0.5745013923383758,1.826718441764365e-53,ret1_atr:Q4:H2,feature_quintile_x_server_4h_block,ret1_atr,4,2.0,3,move_ge_1atr,4.597445742695549e-53,2364,66148,0.12941537957185067,9.965291278415033e-36,2.224395374646213e-35,4,"{'1': {'effect': 0.15670896676596635, 'n_state': 590, 'same_sign': True}, '2': {'effect': 0.11432677582754158, 'n_state': 600, 'same_sign': True}, '3': {'effect': 0.16056972570822425, 'n_state': 551, 'same_sign': True}, '4': {'effect': 0.07769173393628781, 'n_state': 623, 'same_sign': True}}"
2199,66533,0.12158993379269778,0.6975898135516144,0.5759998797589166,6.198816141496222e-30,ret1_atr:Q4:H3,feature_quintile_x_server_4h_block,ret1_atr,4,3.0,3,move_ge_1atr,9.449414849841802e-30,2202,66310,0.12020440144966305,4.1452655857627616e-29,7.772372973305179e-29,4,"{'1': {'effect': 0.14056356698390637, 'n_state': 558, 'same_sign': True}, '2': {'effect': 0.12158585619918771, 'n_state': 499, 'same_sign': True}, '3': {'effect': 0.12675897004923053, 'n_state': 530, 'same_sign': True}, '4': {'effect': 0.0844904842114389, 'n_state': 615, 'same_sign': True}}"
