n_state,n_comp,effect,state_mean,comp_mean,p,state,state_family,feature,quintile,hour_block,horizon_bars,outcome,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,confirmation_q,confirmation_quarters_same_sign,quarter_details,valid_months,same_sign_months,required_same_sign_months,median_month_effect,minimum_effect,valid_months_pass,month_sign_pass,median_effect_pass,halves_pass,robust_pass,month_details,half_details
2144,59799,0.2488782673353645,0.2704701662109384,0.0215918988755738,0.0001262908298702,dist_low24_atr:Q1:H5,feature_quintile_x_server_4h_block,dist_low24_atr,1,5.0,3,mean_fwd_ret_atr,0.0084614856013068,2016,59805,0.1490532996860457,0.0211022815408345,0.049238656928614,3,"{'1': {'effect': 0.22548870472611018, 'n_state': 510, 'same_sign': True}, '2': {'effect': -0.08874891573432007, 'n_state': 441, 'same_sign': False}, '3': {'effect': 0.2849285882883613, 'n_state': 621, 'same_sign': True}, '4': {'effect': 0.09150770856943116, 'n_state': 444, 'same_sign': True}}",12,9,9,0.13741944033471554,0.06,True,True,True,True,True,"{""1"": {""effect"": 0.1697865243295601, ""n_state"": 212, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.17391086716381088, ""n_state"": 115, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.03940791569788382, ""n_state"": 167, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.11421648645290755, ""n_state"": 162, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.27570366496091353, ""n_state"": 141, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.18764207526392873, ""n_state"": 157, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.10709744007461838, ""n_state"": 113, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": -0.02041763230133683, ""n_state"": 133, ""same_sign"": false, ""sufficient"": true}, ""6"": {""effect"": -0.1822991858568177, ""n_state"": 195, ""same_sign"": false, ""sufficient"": true}, ""7"": {""effect"": 0.1606223942165235, ""n_state"": 195, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.694141403486545, ""n_state"": 236, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": -0.0866413613445245, ""n_state"": 190, ""same_sign"": false, ""sufficient"": true}}","{""1"": {""effect"": 0.08254788332416438, ""minimum_effect_pass"": true, ""n_state"": 951, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.20852691781702448, ""minimum_effect_pass"": true, ""n_state"": 1065, ""same_sign"": true, ""sufficient"": true}}"
12366,56366,0.1390453043347174,0.6939188096393336,0.5548735053046162,4.86449450788754e-177,ret1_atr:Q1,feature_quintile,ret1_atr,1,,3,move_ge_1atr,3.8812456179953775e-176,11724,56788,0.1569610948267141,4.895354536602057e-214,4.707071669809671e-213,4,"{'1': {'effect': 0.1454834931673633, 'n_state': 2828, 'same_sign': True}, '2': {'effect': 0.13637263330606864, 'n_state': 2923, 'same_sign': True}, '3': {'effect': 0.12481892670023131, 'n_state': 2994, 'same_sign': True}, '4': {'effect': 0.13752626761482845, 'n_state': 2979, 'same_sign': True}}",12,12,9,0.1593793009779771,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.13735802022817656, ""n_state"": 983, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.16276818028052875, ""n_state"": 1071, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.13672849973703738, ""n_state"": 929, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.16876138029044718, ""n_state"": 979, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.17176233637522575, ""n_state"": 893, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.1567647330659674, ""n_state"": 952, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.16891976677254517, ""n_state"": 969, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.1619938688899868, ""n_state"": 1011, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.16818907460856147, ""n_state"": 943, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.14607761187082657, ""n_state"": 1018, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.15071874043191558, ""n_state"": 1002, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.15331985468330445, ""n_state"": 974, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.16059119330257066, ""minimum_effect_pass"": true, ""n_state"": 5751, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.15346926247202786, ""minimum_effect_pass"": true, ""n_state"": 5973, ""same_sign"": true, ""sufficient"": true}}"
1180,67552,0.1851531325020674,0.761864406779661,0.5767112742775936,2.2645094029573307e-37,ret1_atr:Q1:H0,feature_quintile_x_server_4h_block,ret1_atr,1,0.0,3,move_ge_1atr,4.063114957459325e-37,1091,67421,0.1739507572640504,1.2867060181222354e-30,2.580292817090044e-30,4,"{'1': {'effect': 0.1832893395549755, 'n_state': 299, 'same_sign': True}, '2': {'effect': 0.17909015724021127, 'n_state': 255, 'same_sign': True}, '3': {'effect': 0.15361444713220596, 'n_state': 264, 'same_sign': True}, '4': {'effect': 0.1702677515629054, 'n_state': 273, 'same_sign': True}}",12,12,9,0.18553631407732823,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.19565951697348416, ""n_state"": 93, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.11729035803420829, ""n_state"": 86, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.14797727422653206, ""n_state"": 93, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.24105070341063317, ""n_state"": 94, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.22594072200129223, ""n_state"": 107, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.10062924325219413, ""n_state"": 99, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.181248204099129, ""n_state"": 77, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.18982442405552746, ""n_state"": 91, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.19541280548025808, ""n_state"": 87, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.14624391869647735, ""n_state"": 82, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.19309237218102748, ""n_state"": 97, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.13703922929338286, ""n_state"": 85, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.18181227131380928, ""minimum_effect_pass"": true, ""n_state"": 554, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.16573388625845664, ""minimum_effect_pass"": true, ""n_state"": 537, ""same_sign"": true, ""sufficient"": true}}"
2388,66344,0.1094226205588818,0.6855108877721943,0.5760882672133124,1.8663584451415491e-26,ret1_atr:Q1:H1,feature_quintile_x_server_4h_block,ret1_atr,1,1.0,3,move_ge_1atr,2.631144424541658e-26,2223,66289,0.0982312438289495,3.801174895619693e-20,6.040002482446546e-20,4,"{'1': {'effect': 0.09585133488423614, 'n_state': 544, 'same_sign': True}, '2': {'effect': 0.10754340962819742, 'n_state': 548, 'same_sign': True}, '3': {'effect': 0.07948601440396275, 'n_state': 567, 'same_sign': True}, '4': {'effect': 0.10082219736661369, 'n_state': 564, 'same_sign': True}}",12,12,9,0.09529584939806135,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.07106481075679749, ""n_state"": 203, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.12869292249156994, ""n_state"": 187, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.06111775604493541, ""n_state"": 183, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.11350080272671081, ""n_state"": 194, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.11598904722487213, ""n_state"": 159, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.07848088659999142, ""n_state"": 182, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.08697331727378277, ""n_state"": 170, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.14975835614586508, ""n_state"": 210, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.10882065760057968, ""n_state"": 168, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.0715236065984709, ""n_state"": 212, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.10361838152233993, ""n_state"": 184, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.08674086295932382, ""n_state"": 171, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.10243313634393614, ""minimum_effect_pass"": true, ""n_state"": 1092, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.09417356453155834, ""minimum_effect_pass"": true, ""n_state"": 1131, ""same_sign"": true, ""sufficient"": true}}"
2846,65886,0.1842391729712914,0.7565003513703443,0.5722611783990529,1.1698760611004402e-84,ret1_atr:Q1:H2,feature_quintile_x_server_4h_block,ret1_atr,1,2.0,3,move_ge_1atr,4.92925306643444e-84,2599,65913,0.1944535805289572,9.99654374573504e-86,5.679854400985818e-85,4,"{'1': {'effect': 0.17430130633774, 'n_state': 614, 'same_sign': True}, '2': {'effect': 0.18817610894807368, 'n_state': 656, 'same_sign': True}, '3': {'effect': 0.19601891995002574, 'n_state': 731, 'same_sign': True}, '4': {'effect': 0.1959050512732856, 'n_state': 598, 'same_sign': True}}",12,12,9,0.20230988487333662,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.16798882438946705, ""n_state"": 222, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.23043270395766613, ""n_state"": 231, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.20186944744327828, ""n_state"": 178, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.1587807903597378, ""n_state"": 189, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.11627793457230595, ""n_state"": 178, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.21051336665942189, ""n_state"": 214, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.20275032230339496, ""n_state"": 221, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.18504952302706656, ""n_state"": 218, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.21632061305856154, ""n_state"": 217, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.1933616148092091, ""n_state"": 235, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.2240939228161979, ""n_state"": 251, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.2046023977042637, ""n_state"": 245, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.18496432155011444, ""minimum_effect_pass"": true, ""n_state"": 1270, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.2035432809830099, ""minimum_effect_pass"": true, ""n_state"": 1329, ""same_sign"": true, ""sufficient"": true}}"
2548,66184,0.1897013814870526,0.7625588697017268,0.5728574882146742,8.3207172263345e-81,ret1_atr:Q1:H3,feature_quintile_x_server_4h_block,ret1_atr,1,3.0,3,move_ge_1atr,3.216772123582925e-80,2396,66116,0.1860767603173498,7.023795639427997e-73,3.1734016443198783e-72,4,"{'1': {'effect': 0.21352888051203522, 'n_state': 600, 'same_sign': True}, '2': {'effect': 0.17691066439217107, 'n_state': 597, 'same_sign': True}, '3': {'effect': 0.19636273870334198, 'n_state': 570, 'same_sign': True}, '4': {'effect': 0.1404977942151332, 'n_state': 629, 'same_sign': True}}",12,12,9,0.20417739382067723,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.2042145292608134, ""n_state"": 199, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.11350810896953101, ""n_state"": 231, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.11589502923096973, ""n_state"": 195, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.2007618884261394, ""n_state"": 203, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.20927882705296297, ""n_state"": 208, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.21177556201676928, ""n_state"": 193, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.2017733933968182, ""n_state"": 195, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.14721831884158232, ""n_state"": 205, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.22089741647094485, ""n_state"": 197, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.20501629091486118, ""n_state"": 197, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.21038026453881953, ""n_state"": 184, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.20414025838054106, ""n_state"": 189, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.19883365311370926, ""minimum_effect_pass"": true, ""n_state"": 1197, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.17329873017851027, ""minimum_effect_pass"": true, ""n_state"": 1199, ""same_sign"": true, ""sufficient"": true}}"
2354,66378,0.1552486796290128,0.72982158028887,0.5745729006598572,7.661301333415663e-51,ret1_atr:Q2:H2,feature_quintile_x_server_4h_block,ret1_atr,2,2.0,3,move_ge_1atr,1.841658974378765e-50,2390,66122,0.1507171161612128,2.5141586472942846e-48,7.08879317846133e-48,4,"{'1': {'effect': 0.18879925010472431, 'n_state': 581, 'same_sign': True}, '2': {'effect': 0.12167857775666113, 'n_state': 598, 'same_sign': True}, '3': {'effect': 0.17566945334904271, 'n_state': 575, 'same_sign': True}, '4': {'effect': 0.10569032468011408, 'n_state': 636, 'same_sign': True}}",12,12,9,0.15329944456084288,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.1745770258236865, ""n_state"": 208, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.15608110975478862, ""n_state"": 201, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.07513960013890164, ""n_state"": 196, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.09394887662177842, ""n_state"": 239, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.1489433398140736, ""n_state"": 194, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.22827270004853417, ""n_state"": 179, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.15162591860579389, ""n_state"": 204, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.12881908707680034, ""n_state"": 203, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.11512860691614646, ""n_state"": 191, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.15497297051589187, ""n_state"": 202, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.18556587928038137, ""n_state"": 190, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.21825036310925683, ""n_state"": 183, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.1571340273129579, ""minimum_effect_pass"": true, ""n_state"": 1179, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.14445618459518217, ""minimum_effect_pass"": true, ""n_state"": 1211, ""same_sign"": true, ""sufficient"": true}}"
2165,66567,0.1671773227071469,0.7418013856812933,0.5746240629741464,2.985011683101722e-54,ret1_atr:Q2:H3,feature_quintile_x_server_4h_block,ret1_atr,2,3.0,3,move_ge_1atr,7.719857801125143e-54,2309,66203,0.1181206717580014,2.079157056903837e-29,3.984341263998183e-29,4,"{'1': {'effect': 0.13429681535864546, 'n_state': 583, 'same_sign': True}, '2': {'effect': 0.09780873747657903, 'n_state': 559, 'same_sign': True}, '3': {'effect': 0.10199585047828108, 'n_state': 602, 'same_sign': True}, '4': {'effect': 0.12640336149557485, 'n_state': 565, 'same_sign': True}}",12,12,9,0.12255567423049335,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.15512066930523938, ""n_state"": 212, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.11766401264933868, ""n_state"": 187, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.11147650946284193, ""n_state"": 173, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.15286575613223696, ""n_state"": 205, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.1382378649500875, ""n_state"": 194, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.07997920503087919, ""n_state"": 177, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.1469013737448408, ""n_state"": 180, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.055392215337763395, ""n_state"": 202, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.12744733581164802, ""n_state"": 177, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.16298813874504436, ""n_state"": 211, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.11111647765692323, ""n_state"": 191, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.052733227119844184, ""n_state"": 200, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.11765619883404521, ""minimum_effect_pass"": true, ""n_state"": 1142, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.11855031783193937, ""minimum_effect_pass"": true, ""n_state"": 1167, ""same_sign"": true, ""sufficient"": true}}"
2403,66329,-0.1174977415415572,0.4665002080732418,0.583997949614799,2.0078154194124522e-30,ret1_atr:Q2:H5,feature_quintile_x_server_4h_block,ret1_atr,2,5.0,3,move_ge_1atr,3.124194117343028e-30,2256,66256,-0.0790285177972908,9.39192825403254e-14,1.2996210683624362e-13,4,"{'1': {'effect': -0.07893983606521732, 'n_state': 514, 'same_sign': True}, '2': {'effect': -0.037995069563511286, 'n_state': 552, 'same_sign': True}, '3': {'effect': -0.1188788684356098, 'n_state': 626, 'same_sign': True}, '4': {'effect': -0.06722788014363923, 'n_state': 564, 'same_sign': True}}",12,12,9,-0.08836991823333443,0.05,True,True,True,True,True,"{""1"": {""effect"": -0.08713484650166581, ""n_state"": 191, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": -0.023403256039434717, ""n_state"": 199, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": -0.09478551967933962, ""n_state"": 166, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": -0.09605991969433536, ""n_state"": 199, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": -0.044116348666481287, ""n_state"": 149, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": -0.13974273251186037, ""n_state"": 174, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": -0.024953127625998772, ""n_state"": 169, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": -0.04823178739570155, ""n_state"": 183, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": -0.01896117229792793, ""n_state"": 200, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": -0.13034434203789047, ""n_state"": 224, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": -0.08960498996500305, ""n_state"": 214, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": -0.13247697008648196, ""n_state"": 188, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": -0.061026110135973255, ""minimum_effect_pass"": true, ""n_state"": 1066, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": -0.09507392432532791, ""minimum_effect_pass"": true, ""n_state"": 1190, ""same_sign"": true, ""sufficient"": true}}"
2111,66621,0.1538743831092276,0.7290383704405495,0.5751639873313219,3.6890319640859424e-45,ret1_atr:Q3:H2,feature_quintile_x_server_4h_block,ret1_atr,3,2.0,3,move_ge_1atr,7.860153332569478e-45,2342,66170,0.145383258994281,2.998117627781533e-44,8.030672217271963e-44,4,"{'1': {'effect': 0.1866319726784843, 'n_state': 572, 'same_sign': True}, '2': {'effect': 0.08158086695975297, 'n_state': 576, 'same_sign': True}, '3': {'effect': 0.1652923953035409, 'n_state': 579, 'same_sign': True}, '4': {'effect': 0.13371281775324195, 'n_state': 615, 'same_sign': True}}",12,12,9,0.1415230496334433,0.05,True,True,True,True,True,"{""1"": {""effect"": 0.13196668395454858, ""n_state"": 196, ""same_sign"": true, ""sufficient"": true}, ""10"": {""effect"": 0.13859779400674677, ""n_state"": 203, ""same_sign"": true, ""sufficient"": true}, ""11"": {""effect"": 0.1730261872693063, ""n_state"": 190, ""same_sign"": true, ""sufficient"": true}, ""12"": {""effect"": 0.10248109071638489, ""n_state"": 222, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.14515655403311434, ""n_state"": 195, ""same_sign"": true, ""sufficient"": true}, ""3"": {""effect"": 0.2706222007911341, ""n_state"": 181, ""same_sign"": true, ""sufficient"": true}, ""4"": {""effect"": 0.07021124172643456, ""n_state"": 179, ""same_sign"": true, ""sufficient"": true}, ""5"": {""effect"": 0.10298574924091497, ""n_state"": 197, ""same_sign"": true, ""sufficient"": true}, ""6"": {""effect"": 0.10033227552734736, ""n_state"": 200, ""same_sign"": true, ""sufficient"": true}, ""7"": {""effect"": 0.19290622752108244, ""n_state"": 223, ""same_sign"": true, ""sufficient"": true}, ""8"": {""effect"": 0.1839259651664379, ""n_state"": 170, ""same_sign"": true, ""sufficient"": true}, ""9"": {""effect"": 0.14444830526013985, ""n_state"": 186, ""same_sign"": true, ""sufficient"": true}}","{""1"": {""effect"": 0.1356311980702224, ""minimum_effect_pass"": true, ""n_state"": 1148, ""same_sign"": true, ""sufficient"": true}, ""2"": {""effect"": 0.1547677004963437, ""minimum_effect_pass"": true, ""n_state"": 1194, ""same_sign"": true, ""sufficient"": true}}"
