family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
abnormal_activity,tickvol_z48,1,,3,move_ge_1atr,9167,59565,-0.08608005472496227,0.5052907167012108,0.5913707714261731,1.7325837520085575e-54,3.2572574537760884e-54
abnormal_activity,tickvol_z48,1,1.0,3,move_ge_1atr,1699,67033,-0.0598871443911293,0.5214832254267217,0.581370369817851,7.851602852929936e-07,8.200562979726822e-07
abnormal_activity,tickvol_z48,1,3.0,3,move_ge_1atr,1640,67092,0.07619639141302881,0.6542682926829269,0.578071901269898,6.544714630203228e-10,7.153525293477948e-10
abnormal_activity,tickvol_z48,1,4.0,3,move_ge_1atr,1172,67560,-0.10297700236624457,0.4786689419795222,0.5816459443457668,1.4277359623268386e-12,1.6775897557340354e-12
abnormal_activity,tickvol_z48,1,5.0,3,move_ge_1atr,4377,64355,-0.1457150298669419,0.4434544208361892,0.5891694507031311,1.1517202370308865e-79,3.1841677141442153e-79
abnormal_activity,tickvol_z48,2,1.0,3,move_ge_1atr,2599,66133,-0.05563756997504532,0.5263562908811081,0.5819938608561535,1.7305686865640946e-08,1.8485620061025556e-08
abnormal_activity,tickvol_z48,2,2.0,3,move_ge_1atr,1210,67522,0.12562739882024365,0.7033057851239669,0.5776783863037233,1.703289304583992e-18,2.2872742090127896e-18
abnormal_activity,tickvol_z48,2,3.0,3,move_ge_1atr,2476,66256,0.1002144616329319,0.6764943457189014,0.5762798840859695,3.428803488616965e-23,4.739816587205805e-23
abnormal_activity,tickvol_z48,2,5.0,3,move_ge_1atr,2462,66270,-0.10687003184790289,0.4768480909829407,0.5837181228308436,5.116376388675597e-26,7.514677820867283e-26
abnormal_activity,tickvol_z48,3,,3,move_ge_1atr,9466,59266,0.08658836853737217,0.6545531375448975,0.5679647690075253,1.4201354520776585e-56,3.033925738529543e-56
abnormal_activity,tickvol_z48,3,2.0,3,move_ge_1atr,2802,65930,0.11799674410804695,0.6930763740185582,0.5750796299105112,2.8160437435510216e-35,4.5639329636861386e-35
abnormal_activity,tickvol_z48,3,3.0,3,move_ge_1atr,2770,65962,0.1311726136599598,0.7057761732851986,0.5746035596252388,9.824390156825764e-43,1.6490940620386104e-42
abnormal_activity,tickvol_z48,3,5.0,3,move_ge_1atr,760,67972,-0.07546125804123682,0.5052631578947369,0.5807244159359737,2.7720366157352084e-05,2.7720366157352084e-05
abnormal_activity,tickvol_z48,4,,3,move_ge_1atr,9412,59320,0.16189242352555488,0.7196132596685083,0.5577208361429534,4.6002976865512716e-192,3.0887713038272824e-191
abnormal_activity,tickvol_z48,4,1.0,3,move_ge_1atr,1808,66924,0.07586673405257471,0.6537610619469026,0.5778943278943279,1.1242124977324088e-10,1.2887313998395905e-10
abnormal_activity,tickvol_z48,4,2.0,3,move_ge_1atr,4159,64573,0.1743482599530688,0.7436883866314018,0.569340126678333,4.895027167120994e-108,2.5562919650520748e-107
abnormal_activity,tickvol_z48,4,3.0,3,move_ge_1atr,2102,66630,0.1727774110204,0.7473834443387251,0.574606033318325,3.0273303511456147e-56,6.186283761036692e-56
abnormal_activity,tickvol_z48,4,4.0,3,move_ge_1atr,1098,67634,0.1316854463591215,0.7094717668488161,0.5777863204896946,1.7904849472078172e-18,2.337577569965761e-18
abnormal_activity,tickvol_z48,5,,3,move_ge_1atr,31299,37433,-0.07655558118370254,0.538196108501869,0.6147516896855716,3.5170381666545483e-91,1.1807199559483125e-90
abnormal_activity,tickvol_z48,5,0.0,3,move_ge_1atr,9324,59408,-0.16278360908713724,0.4391891891891892,0.6019727982763264,1.1995312403985688e-192,1.1275593659746548e-191
abnormal_activity,tickvol_z48,5,1.0,3,move_ge_1atr,3947,64785,0.15755930155755393,0.7284013174562959,0.570842015898742,1.946848761959685e-84,5.718868238256575e-84
abnormal_activity,tickvol_z48,5,2.0,3,move_ge_1atr,3982,64750,0.23828472140074353,0.8043696634856856,0.5660849420849421,3.770953006816915e-192,2.95391318867325e-191
abnormal_activity,tickvol_z48,5,3.0,3,move_ge_1atr,2981,65751,0.182819392351261,0.7547802750754781,0.5719608827242171,4.449616663119344e-87,1.3942132211107275e-86
abnormal_activity,tickvol_z48,5,4.0,3,move_ge_1atr,7604,61128,-0.21640363515548233,0.38742766964755393,0.6038313048030363,1.1296483978340733e-284,1.327336867455036e-283
abnormal_activity,tickvol_z48,5,5.0,3,move_ge_1atr,3461,65271,-0.16155897065363883,0.4264663392083213,0.5880253098619601,1.4485856716244898e-78,3.7824181425750564e-78
abnormal_activity,gap_atr,1,,3,move_ge_1atr,12229,56503,0.10250737267067733,0.6641589663913647,0.5616515937206874,2.6541779554490814e-96,1.0395530325508903e-95
abnormal_activity,gap_atr,1,0.0,3,move_ge_1atr,1500,67232,0.1350574726320799,0.712,0.5769425273679201,1.0519770074770963e-25,1.4982702833764706e-25
abnormal_activity,gap_atr,1,1.0,3,move_ge_1atr,2655,66077,0.07224142170264347,0.6493408662900189,0.5770994445873754,1.419216575401608e-13,1.7103379242019377e-13
abnormal_activity,gap_atr,1,2.0,3,move_ge_1atr,2569,66163,0.18449921857178664,0.7574931880108992,0.5729939694391125,3.962488967865927e-77,9.801946394194662e-77
abnormal_activity,gap_atr,1,3.0,3,move_ge_1atr,2065,66667,0.16901353992019386,0.7438256658595641,0.5748121259393703,5.197856180939254e-53,9.396124634774806e-53
abnormal_activity,gap_atr,1,5.0,3,move_ge_1atr,2247,66485,-0.0828200973152508,0.4997774810858923,0.5825975784011431,5.163842810069661e-15,6.386858212454581e-15
abnormal_activity,gap_atr,2,,3,move_ge_1atr,24866,43866,0.08553630434554371,0.6344808171800853,0.5489445128345416,1.1652311694699646e-105,4.978714996826212e-105
abnormal_activity,gap_atr,2,0.0,3,move_ge_1atr,1967,66765,0.0907288769908311,0.6680223690899848,0.5772934920991537,9.354428855003352e-16,1.1882652869869124e-15
abnormal_activity,gap_atr,2,2.0,3,move_ge_1atr,4967,63765,0.17202193459029858,0.7394805717737064,0.5674586371834078,9.636525403466162e-124,5.6614586745363705e-123
abnormal_activity,gap_atr,2,3.0,3,move_ge_1atr,5027,63705,0.1587981559183267,0.7270738014720509,0.5682756455537242,6.793067826689501e-107,3.1927418785440657e-106
abnormal_activity,gap_atr,2,5.0,3,move_ge_1atr,4167,64565,-0.12604886319851016,0.4614830813534917,0.5875319445520019,1.8263780588509037e-57,4.0876080364758316e-57
abnormal_activity,gap_atr,4,,3,move_ge_1atr,12471,56261,0.0592847823010243,0.6284179295966643,0.56913314729564,6.834767885399165e-34,1.0707803020458691e-33
abnormal_activity,gap_atr,4,0.0,3,move_ge_1atr,836,67896,0.07291069426192498,0.6519138755980861,0.5790031813361611,2.1854613166851025e-05,2.232971345308692e-05
abnormal_activity,gap_atr,4,2.0,3,move_ge_1atr,2510,66222,0.1569160523801325,0.7310756972111554,0.5741596448310229,4.267742454460002e-55,8.357662306650838e-55
abnormal_activity,gap_atr,4,3.0,3,move_ge_1atr,2435,66297,0.15070578885587937,0.7252566735112936,0.5745508846554143,1.5170607501504258e-49,2.640809453965556e-49
abnormal_activity,gap_atr,4,5.0,3,move_ge_1atr,2119,66613,-0.1167601197869429,0.4667295894289759,0.5834897092159188,8.176486470889147e-27,1.2396608520380318e-26
abnormal_activity,gap_atr,5,,3,move_ge_1atr,19113,49619,-0.2168013982868192,0.4233767592737927,0.6401781575606119,0.0,0.0
abnormal_activity,gap_atr,5,0.0,3,move_ge_1atr,5013,63719,-0.3752631926432103,0.2319968082984241,0.6072600009416343,0.0,0.0
abnormal_activity,gap_atr,5,2.0,3,move_ge_1atr,2383,66349,0.1835010948445044,0.7570289550986152,0.5735278602541108,4.036059493547791e-71,9.48473980983731e-71
abnormal_activity,gap_atr,5,3.0,3,move_ge_1atr,2436,66296,0.06315285400620552,0.6408045977011494,0.5776517436949439,5.570093469350878e-10,6.233199834749792e-10
abnormal_activity,gap_atr,5,4.0,3,move_ge_1atr,3758,64974,-0.4028756465127501,0.19904204364023417,0.6019176901529842,0.0,0.0
abnormal_activity,gap_atr,5,5.0,3,move_ge_1atr,2769,65963,-0.1948169483612422,0.39292163235825206,0.5877385807194943,4.9158571173047646e-92,1.777271419333261e-91
abnormal_activity,tickvol_z48,1,,12,move_ge_1atr,7466,56499,0.07794111099126577,0.9406643450308063,0.8627232340395405,6.010902282019713e-80,1.4668783213728396e-79
