family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
compression_expansion,compression6_atr,1,,3,move_ge_1atr,12394,56338,-0.06468670650020325,0.5268678392770696,0.5915545457772728,7.729549076966842e-40,1.5287330396667752e-39
compression_expansion,compression6_atr,1,0.0,3,move_ge_1atr,1607,67125,-0.07383791813979579,0.507778469197262,0.5816163873370578,3.0952536984013953e-09,3.577630898152262e-09
compression_expansion,compression6_atr,1,2.0,3,move_ge_1atr,1152,67580,0.11297577356877442,0.6909722222222222,0.5779964486534478,1.3241188762806408e-14,1.7589041789399558e-14
compression_expansion,compression6_atr,1,3.0,3,move_ge_1atr,1488,67244,0.09213145610624895,0.6700268817204301,0.5778954256141812,1.0636709408527e-12,1.3719813584911636e-12
compression_expansion,compression6_atr,1,4.0,3,move_ge_1atr,1955,66777,-0.11513417161605216,0.4680306905370844,0.5831648621531366,2.807380206266498e-24,4.164280639295305e-24
compression_expansion,compression6_atr,1,5.0,3,move_ge_1atr,3743,64989,-0.14396854278473487,0.44376168848517233,0.5877302312699072,1.8863560562596072e-67,5.789161689900174e-67
compression_expansion,compression6_atr,2,0.0,3,move_ge_1atr,1056,67676,0.07947498732821456,0.6581439393939394,0.5786689520657249,2.078964015334806e-07,2.2564365532292406e-07
compression_expansion,compression6_atr,2,2.0,3,move_ge_1atr,2103,66629,0.14102014000249652,0.7165953399904897,0.5755751999879932,4.485546831024156e-38,8.31695141585729e-38
compression_expansion,compression6_atr,2,3.0,3,move_ge_1atr,2247,66485,0.12191497531708484,0.6978193146417445,0.5759043393246597,1.1008896410504736e-30,1.8842149625671567e-30
compression_expansion,compression6_atr,2,5.0,3,move_ge_1atr,2686,66046,-0.12730738739842168,0.45755770662695455,0.5848650940253762,3.1332527540149927e-39,6.062162937115964e-39
compression_expansion,compression6_atr,3,,3,move_ge_1atr,12427,56305,0.07334928264163687,0.6399774684155468,0.5666281857739099,8.031442295162337e-51,1.7434106445596294e-50
compression_expansion,compression6_atr,3,0.0,3,move_ge_1atr,1052,67680,0.16792740833625475,0.7452471482889734,0.5773197399527187,6.623152227705721e-28,1.0341413127470336e-27
compression_expansion,compression6_atr,3,2.0,3,move_ge_1atr,2699,66033,0.16809658538756944,0.7413856984068173,0.5732891130192479,2.2547512090611217e-67,6.689095253547995e-67
compression_expansion,compression6_atr,3,3.0,3,move_ge_1atr,2463,66269,0.13211175551323207,0.7072675598863175,0.5751558043730854,6.918039302139423e-39,1.3100116976391675e-38
compression_expansion,compression6_atr,3,5.0,3,move_ge_1atr,1994,66738,-0.10448596831881368,0.47843530591775324,0.5829212742365669,1.2218747214772422e-20,1.69916953455429e-20
compression_expansion,compression6_atr,4,,3,move_ge_1atr,12448,56284,0.13317528129013,0.6889460154241646,0.5557707341340345,2.0917768494973448e-163,1.6924376327751243e-162
compression_expansion,compression6_atr,4,0.0,3,move_ge_1atr,1117,67615,0.19680888510446504,0.7735004476275739,0.5766915625231088,6.9265011842202636e-40,1.401042284990008e-39
compression_expansion,compression6_atr,4,1.0,3,move_ge_1atr,2409,66323,0.07013994626734188,0.6475716064757161,0.5774316602083742,7.310830959808598e-12,9.164281062295285e-12
